"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",0.0000,"17.2848","27.9975","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8448","22.7987","19.2404","11.0000","11.0000","12.2090","11.0000","11.0000","11.0000","21.5818","11.0000","11.0000","11.0000","20.2100","15.6758","11.0000","11.0000","41.5932","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9137","18.4112","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.0709","21.4108","11.6688","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1310","22.6046","14.2496","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5960","11.0000","18.4258","22.3363","23.0934","13.4656","11.0000","11.0000","13.8794","11.0000","14.5785","13.3037","11.0956","12.9988","19.2860","26.1043","27.8666","22.8819","16.7267","17.4224","18.5252","65.9342","15.4060","13.8589","22.0696","21.5801","20.5582","37.5205"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",0.2500,"13.3834","26.4852","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4097","23.3463","14.1188","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.5554","11.0000","11.0000","11.0000","19.4761","13.8115","11.0000","11.0000","44.5551","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5311","20.7387","14.6036","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4742","21.7801","18.7716","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0182","11.7556","21.2050","19.0487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5345","11.7519","11.3481","25.1137","19.6423","21.0342","12.6394","11.0000","11.6427","11.0000","11.0000","11.0000","11.0000","12.9805","13.3920","21.7525","21.9016","24.3714","22.1040","17.4830","19.0075","20.8324","64.6692","20.1168","11.0000","21.6452","21.4248","19.9211","35.7336"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",0.5000,"14.2875","21.5533","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1424","14.7084","11.0000","11.0000","11.1867","11.0000","11.0000","11.0000","21.3460","11.0000","11.0000","11.0000","19.8867","13.7488","11.0000","11.0000","44.8279","11.0000","11.0000","11.0000","11.0000","11.0000","11.2519","11.0000","15.9408","14.5372","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5772","23.4114","18.8944","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1842","21.4011","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2508","11.0000","14.0939","15.9151","22.9661","12.0833","11.4550","11.1607","11.0000","11.0000","12.5161","11.0000","11.0000","12.6827","20.0134","28.0000","25.7164","18.5014","15.2470","18.1768","17.0302","62.6148","15.8232","14.2895","20.8216","21.7661","21.2406","30.9134"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",0.7500,"17.0439","27.1332","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3521","21.7828","15.9596","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.9281","11.0000","11.0000","11.0000","21.2115","15.6277","11.0000","11.0000","40.6936","11.0000","11.0000","11.0000","11.0000","11.0000","13.0981","17.9101","19.2569","17.3326","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.2822","13.3316","11.8277","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0929","15.0367","12.1618","23.0528","21.6727","14.7384","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5433","16.7843","19.8410","13.8681","11.0000","13.2172","11.3763","11.0000","11.0000","12.6664","13.3002","18.1865","24.3158","25.3118","28.4823","26.8565","19.4914","23.7249","19.8548","58.6058","17.6396","20.3077","19.5689","17.9370","26.5984","35.1423"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",1.0000,"14.0603","29.3072","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9427","21.2510","20.0492","11.0000","11.0000","11.2805","11.0000","11.0000","11.0000","24.9975","11.0000","11.0000","12.4428","19.4374","11.5961","11.0000","11.0000","41.1664","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4390","16.3309","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.3027","18.9538","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0258","11.0000","18.7577","21.0313","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4710","11.0000","17.4666","17.5809","17.8231","11.0000","11.0000","12.7040","11.0000","11.0000","11.0000","11.0000","11.5119","14.7987","17.3999","25.5596","24.8123","20.4430","17.0420","20.3290","17.3381","59.9074","18.0980","14.5498","18.2145","24.9013","23.1224","33.0603"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",1.2500,"20.0060","33.5032","11.0000","11.7154","11.0000","11.0000","11.0000","12.3204","11.6974","12.8383","15.4480","29.8618","27.4212","13.8291","12.7012","12.6812","11.0000","11.0000","11.0000","29.6248","11.0000","15.6603","13.0928","24.8440","16.2929","11.8295","11.0000","43.6705","11.0000","11.0000","11.0000","11.0000","11.0000","14.5346","16.9224","19.0305","16.0940","11.0000","11.0000","11.0000","11.0000","11.5327","11.0000","11.0000","11.0000","11.0000","17.5292","30.3042","24.8617","12.1438","11.0000","11.9918","11.0000","11.0000","11.0000","11.0000","15.1289","11.0000","14.3343","22.7873","24.9436","17.5536","12.8558","11.0000","11.3116","13.2556","11.0000","13.0769","16.1934","12.9321","18.6249","19.0520","26.1741","18.0188","17.8313","16.7672","19.0779","11.4498","18.1616","15.3616","11.3215","16.4165","23.8371","28.4151","28.0983","30.0488","17.3572","24.8870","19.6224","62.6423","19.7240","19.3837","23.4000","22.2966","26.7805","35.9132"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",1.5000,"24.7979","33.7384","11.0000","11.3759","14.1313","11.0000","11.0000","13.5782","14.9469","12.6547","19.5418","35.9284","27.4313","15.8374","15.0047","18.1233","11.0000","11.0000","11.8236","33.9205","19.1635","21.7687","16.9231","29.5062","19.3849","13.7489","11.0000","47.6298","11.0000","12.6714","11.0000","14.4380","11.0000","19.9760","24.2803","26.4959","22.6327","12.6358","11.0000","11.0000","11.0000","16.8399","11.0000","13.8663","14.2330","13.7349","15.2184","29.8287","24.1027","11.0000","11.4052","11.8338","11.0000","12.4403","19.3917","21.5243","16.0625","13.1159","16.1649","23.1285","27.7447","20.3400","16.1906","16.2453","17.3410","11.0000","11.0000","19.0814","19.7437","14.9305","23.4186","24.4389","28.6664","22.4423","16.2324","16.9546","23.2313","17.4389","25.5393","20.0534","15.7454","20.7147","29.7308","32.6614","33.2642","30.8662","20.7331","27.9936","21.5487","68.1582","20.6606","20.7299","25.1656","22.0155","35.7134","36.7537"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",1.7500,"28.2880","38.6697","11.0000","12.6636","11.3839","13.2400","13.6366","16.0711","18.9705","17.7831","19.3051","34.5091","31.7499","16.4511","21.6926","23.7628","11.0000","11.0000","18.3811","30.7455","19.4568","25.3709","18.7875","31.4444","19.9250","12.7314","11.0000","54.0546","11.0000","13.5526","11.0000","12.6038","14.0373","19.2913","23.7768","29.0786","21.6336","11.0000","20.4791","11.1599","11.0000","18.7540","11.0000","23.5074","22.0815","17.8445","17.3984","36.2153","27.9429","11.0000","12.2790","12.6995","15.5169","17.4783","19.7178","17.5496","20.1317","14.9753","17.2166","29.4417","28.3003","23.6279","22.9445","16.1928","17.0625","11.0000","13.5552","18.2549","25.2970","12.6238","26.2719","27.7167","34.3620","25.2745","12.1487","24.7117","24.0875","21.8391","29.5822","22.2390","15.4781","18.7813","32.2075","31.6541","38.7506","35.3753","28.4554","34.6129","27.2880","67.6972","26.6567","22.1945","25.9646","28.9164","37.2254","37.8567"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",2.0000,"34.6322","38.7715","13.1506","16.2032","16.0607","13.1595","11.0000","19.9864","20.3172","19.4162","18.3465","37.9472","34.0803","16.8657","17.4441","23.4117","11.0000","11.0000","20.5270","32.9179","17.5069","28.0291","20.1488","31.2323","25.1522","18.3386","13.1542","56.6403","11.0000","14.6946","11.0000","19.5331","11.7232","21.1696","26.6524","27.1808","23.2128","14.8531","18.9565","11.0642","11.0000","21.0381","11.0000","25.1071","18.5221","20.5715","25.1096","37.3795","31.9153","13.6205","13.7652","13.3775","14.5714","17.5780","22.4028","21.5732","17.3264","11.9914","19.6369","27.1929","33.1322","25.1337","23.1158","17.4633","12.9084","12.0377","15.9601","17.8349","24.3580","11.9247","29.0130","25.3734","33.5055","21.7920","17.2944","23.2332","28.6000","20.2665","28.2096","23.9323","21.2133","18.7332","32.1417","34.8886","39.6786","32.5713","27.1586","36.3841","26.2946","66.0188","25.8324","22.3138","26.7084","25.2059","40.8666","44.7659"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\ydeO1_EcoliBW___1_30_CYS_709_11#23#2020_A_ 1A_0.OKA","11/23/2020 12:04:37 PM"," 1-A","PM01","ydeO1","EcoliBW","","",2.2500,"33.5841","44.5886","11.0000","21.4092","14.3203","13.5078","11.0000","18.8097","24.0228","21.6986","21.0557","37.7566","30.6183","17.1649","23.8658","30.6447","11.0000","11.0000","24.9066","34.5114","22.1084","33.3684","16.1990","36.0866","23.6086","16.7571","11.0000","54.0220","11.0000","17.2403","11.0000","20.3420","11.0000","26.3079","29.9153","30.4342","25.7243","16.1388","20.7507","15.9072","11.0000","21.8644","11.0000","31.3154","22.2554","23.2187","26.5561","41.1875","31.8016","15.0641","11.7206","14.8357","17.1215","21.4316","27.9414","20.3639","21.4042","21.2333","17.5530","28.6101","34.6558","32.3217","24.8134","19.8951","15.6250","11.0000","18.0375","25.8384","26.2595","11.6695","36.4003","29.7814","36.5226","26.3286","24.7747","29.3900","25.6943","27.2892","31.7396","27.5276","20.2720","20.1210","40.7748","35.5044","41.7777","39.4319","25.8233","39.4182","27.4471","69.9297","25.3541","23.6574","24.0579","30.9437","44.1279","45.3525"
