"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",0.0000,"22.6972","30.7243","18.6351","14.2199","11.9272","11.0000","11.0000","12.3068","12.8187","18.5026","17.8432","27.8821","15.8231","11.0000","11.0000","14.4973","11.0000","11.0000","11.0000","24.0529","11.0000","11.0000","18.2342","19.5672","13.3383","11.0000","11.0000","42.2798","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2318","19.7590","12.1884","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5523","18.3286","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4815","11.5216","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1227","14.8002","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4861","17.2134","11.0000","11.0000","11.0000","11.0000","49.1845","11.0000","11.0000","11.0000","11.0000","11.0312","17.0238"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",0.2500,"21.4843","33.9098","15.8466","18.9324","11.2466","11.0000","13.3903","16.2377","12.8793","14.2634","17.2947","29.4258","19.5200","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.0217","11.0000","11.0000","17.2763","17.6672","12.1426","11.0000","11.0000","45.3500","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1457","15.5902","15.3495","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8207","14.2003","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9782","11.4624","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6946","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0017","17.8573","11.0000","11.0000","11.0000","11.0000","48.2960","11.0000","11.0000","11.0000","11.0000","11.0000","20.1989"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",0.5000,"22.7747","34.1075","13.3084","14.1918","11.0000","11.0000","11.5023","11.0000","11.0000","14.8671","14.8000","29.3002","14.3836","11.0000","11.0000","14.2924","11.0000","11.0000","11.0000","23.0548","11.0000","11.0000","17.2551","16.8870","16.3503","11.0000","11.0000","37.4911","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5699","18.6487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4968","13.2532","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6338","15.1970","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0313","16.6202","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2914","14.9641","11.0000","11.0000","11.0000","11.0000","47.7742","11.0000","11.0000","11.0000","11.0000","11.0000","19.0833"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",0.7500,"25.6753","35.8033","13.4563","11.0000","12.6315","11.0000","11.1261","15.3798","11.4693","15.3674","14.2685","35.0033","16.9815","11.0000","11.0000","14.9026","11.0000","11.0000","11.0000","28.7836","11.0000","11.0000","18.4928","19.8699","15.2573","11.0000","11.0000","42.7512","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8570","16.2446","12.6513","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4604","15.7722","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5622","11.7377","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5099","14.5574","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0877","11.0932","11.0000","11.0000","11.0000","11.0000","45.9969","11.0000","11.0000","11.0000","11.0000","13.1446","20.2517"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",1.0000,"23.8365","34.9600","15.4894","15.8815","16.9859","11.0000","11.0000","12.4791","11.9421","13.8232","15.9525","25.7446","18.3390","11.0000","11.0000","13.8652","11.0000","11.0000","11.0000","24.5578","11.0000","11.0000","16.1443","16.2107","16.0022","11.0000","11.0000","38.7547","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1676","18.2532","15.5117","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8733","12.4143","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0100","15.7870","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2190","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0782","14.5678","11.0000","11.0000","11.0000","11.0000","44.5953","11.0000","11.0000","11.0000","11.0000","11.0000","21.2567"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",1.2500,"27.4657","33.0020","15.8270","18.7877","12.1461","11.0000","13.9527","15.1104","15.0321","18.4700","18.6253","31.4730","18.7558","11.0000","11.0000","14.2385","11.0000","11.0000","11.0000","26.1619","14.0082","11.0000","18.1774","20.0970","15.6991","11.0000","11.0000","41.9009","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2143","18.8163","15.1293","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6914","19.7648","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4171","14.7034","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5055","13.8574","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9698","17.8726","18.5087","11.0000","11.0000","11.0000","11.0000","50.4343","11.0000","11.0000","11.0000","11.0000","11.5013","19.4705"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",1.5000,"28.2260","37.5685","17.2764","16.3002","14.8524","11.0000","11.0000","16.9815","17.3037","15.9144","20.1260","30.3252","17.8254","13.6538","11.0000","12.5916","11.2786","11.0000","11.0000","26.1033","13.6378","12.5974","19.1761","19.5400","17.4552","11.0000","11.0000","40.5500","11.0000","11.0000","11.0000","11.0000","11.0000","11.7520","19.2690","22.8168","18.8225","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1158","15.2369","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0698","16.0837","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5920","19.5464","11.4365","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.9806","19.8779","11.0000","11.0000","11.0000","11.0000","45.9435","11.0000","11.0000","11.0000","11.0000","15.3526","18.1946"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",1.7500,"24.8604","32.8428","19.5038","17.6719","12.2696","12.6456","14.6746","15.7437","17.9985","18.0433","19.9407","33.6291","19.6221","11.0000","11.0000","15.7756","11.0000","11.0000","11.0000","27.4767","11.0000","12.4126","19.3826","20.1099","17.4676","11.0000","11.0000","43.4511","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9053","21.3529","17.9442","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5438","15.8011","11.0000","11.0000","14.3834","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3176","16.2856","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6480","14.4586","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5352","17.5728","18.6357","11.0000","11.0000","11.0000","11.0000","48.5172","11.0000","11.0000","11.0000","11.0000","15.2472","23.4023"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",2.0000,"29.4956","36.7847","14.7892","18.1364","15.6101","11.0000","14.9075","15.2107","18.7973","17.6634","22.1020","30.9675","20.4319","11.0000","13.8682","15.9171","11.0000","11.0000","11.0000","27.3749","11.6547","14.4509","20.4020","21.3419","19.8076","11.0000","11.1586","42.8644","11.0000","11.0000","11.0000","11.0000","12.2280","11.0000","17.2144","20.6854","15.7010","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0861","16.6918","12.3459","11.0000","11.6571","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8824","17.5555","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2267","14.3980","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3223","20.5966","16.6480","11.0000","11.0000","11.0000","11.0000","47.8578","11.0000","11.0000","11.0000","11.0000","11.2507","23.1289"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",2.2500,"33.4717","37.1975","13.5732","19.0796","16.6506","11.0000","13.4863","14.6419","14.7374","19.3427","20.0070","36.1419","21.4051","11.0000","11.8330","16.3260","11.0000","11.0000","11.0000","27.8438","11.8438","13.9159","22.7960","22.6296","19.4569","11.0000","11.0000","40.9223","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.8198","18.2988","16.1559","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.4422","17.1041","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9564","18.1328","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5842","18.0058","17.5035","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4797","23.2705","20.6070","11.0000","11.0000","11.0000","11.0000","53.1139","11.0000","11.0000","11.0000","11.0000","13.9731","25.4181"
"C:\Users\yeg002\Desktop\Omnilog_2\CYS1\DATA_2020\11\raw_data\yegW2_EcoliBW___1_30_CYS_709_11#23#2020_A_ 2B_3.OKA","11/23/2020 12:04:37 PM"," 2-B","PM01","yegW2","EcoliBW","","",2.5000,"29.8463","34.6858","17.9956","15.8116","18.2840","15.6209","15.9767","17.7122","22.8107","20.6519","20.5484","35.8373","22.3965","12.7703","13.6613","20.8104","11.8348","12.2009","13.5511","31.1670","15.8040","13.7950","24.0990","27.1563","19.9484","11.0000","11.0000","37.7830","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3888","23.1824","17.9238","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6916","22.4982","22.0756","11.0000","11.0000","11.3135","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1699","20.1727","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9427","23.7564","14.8170","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2323","21.5364","22.1457","11.0000","11.6312","11.5959","11.0000","47.3562","11.0000","11.0000","11.0000","11.0000","13.3810","25.0785"
