Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,12.2012,18.8524,27.6838,45.7806,11.0,11.0,11.0,11.0,11.0,11.0,19.8184,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1479,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2094,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4765,11.0,11.0,11.0,11.0308,14.9757,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9459,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3526,11.2847,11.0,11.0,11.3877,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4162,16.8442,17.3053,11.0,11.0,11.0,11.0,11.0,57.4383,11.0,11.0,15.065,18.0312
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,12.9304,11.0,27.4389,44.0635,12.6753,11.0,11.0,11.0,11.0,11.0,11.0,15.8945,12.5195,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3972,15.9553,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0198,11.4035,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9958,13.3145,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2841,15.8012,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.371,17.8609,14.945,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.117,19.5727,18.559,14.2865,12.5437,11.7925,14.5225,11.0,27.6258,31.2366,11.0,13.7415,16.1774,24.2423
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,13.756,11.0,24.4678,30.2636,11.0,11.0,11.0,11.0,11.0,11.0,11.5956,16.9915,15.5139,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0686,14.9406,11.5053,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5839,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3313,14.6989,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3815,14.4008,16.2768,12.7159,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4389,16.5211,13.7975,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1664,18.6118,22.1968,17.6447,13.755,15.1148,16.4353,11.8802,15.5808,24.89,12.3313,14.4396,20.4531,23.2002
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,14.7199,11.0,19.1248,27.2118,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0626,16.1205,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8971,15.179,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.8217,14.3551,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6985,14.184,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.265,17.0352,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1844,20.9348,15.6926,14.8645,11.0,11.0,11.0,11.0,11.616,11.0,11.0,11.0,11.9008,18.0471,19.5965,19.4822,14.0893,12.2226,11.0,11.0,11.5215,19.5,11.0,17.0962,16.8081,24.6729
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.0,11.0,19.2688,23.105,11.0,11.0,11.0,11.0,11.0,11.0,11.4104,18.7757,14.775,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0588,12.9555,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8096,13.9077,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3186,17.2042,16.6903,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7839,15.5685,17.8548,11.4461,13.0765,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6453,18.6554,16.0822,12.9054,11.0,12.3944,11.9429,11.0,11.0,11.0,11.0,11.8499,13.7486,22.5395,24.4016,20.585,16.2236,19.8423,12.68,11.0,11.0,13.6462,11.0,15.0063,20.3118,26.5681
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,11.096,11.0,15.3123,13.9256,11.0,11.0,11.0,11.0,11.0,11.0,13.7638,19.701,14.1451,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9111,19.0171,16.4245,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7597,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1384,15.837,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3817,18.434,19.5811,13.0347,13.8631,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3713,21.2256,14.4452,11.0,11.0,11.0,11.978,11.0,11.0,11.0,11.3521,11.0,14.6713,19.2411,22.2052,18.4371,13.3594,14.8018,13.3033,11.4245,11.0,13.0678,11.0,17.964,18.098,22.518
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,11.0,11.0,16.0419,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1735,16.813,13.588,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6029,18.7484,16.0363,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.8082,15.0694,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.756,14.9031,11.0,12.2759,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1259,20.225,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.812,17.1493,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.616,21.6597,20.1357,22.2887,11.0,15.3621,16.6388,11.0,11.0,11.0,11.0,16.5352,16.7309,23.0365
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,11.0,11.0,20.4158,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7176,22.3724,14.9372,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.2095,11.0,13.2073,15.4753,18.449,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9211,18.253,15.6021,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8266,11.0,12.4116,18.3581,15.2739,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7006,20.6662,19.423,11.1604,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4878,21.693,14.6527,11.0,11.0,13.7952,12.525,11.0,14.6897,11.0,11.0,11.0,16.5475,18.8343,25.857,19.3528,18.2503,11.0645,16.1837,15.2124,11.0,11.0,14.8212,17.971,18.6432,23.3629
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,11.0,11.0,12.9641,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3088,18.1981,16.9979,11.0,11.9648,11.0,11.0,11.0,11.0,11.0,24.5237,11.0,15.7166,16.7357,17.2574,11.0,11.1569,11.0,11.0,11.0,11.0,11.1259,11.0,11.0,12.8963,17.8378,26.5746,12.1076,11.0,11.0,11.0,11.0,11.0,11.0,19.4127,11.0,18.8502,18.4708,13.7018,11.0,11.0,11.0,12.949,11.0,11.0,11.0,11.0,11.0,11.0,17.1051,17.4119,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8872,17.338,17.7197,11.0,11.0,11.0,11.8867,11.0,11.0,11.0,13.6756,11.0,11.0,19.3536,21.5441,16.8564,17.5191,14.0332,11.0,13.5689,11.0,11.0,11.0,20.4028,19.7484,23.1985
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 1A_0.OKA,4/19/2022 2:31:30 PM, 1-A,PM04A,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,11.0,11.0,20.2139,11.0,11.0,11.0,11.0,11.0,13.6048,23.5823,16.3027,20.9187,15.8586,11.0,15.6604,11.0,11.0,11.0,11.0,11.0,37.4973,11.2226,16.948,14.659,14.6049,11.0,19.4849,36.8764,11.0,14.1077,11.0,16.9841,11.0,16.6547,16.2403,19.645,32.9654,27.7198,11.0,11.0,11.0,11.0,11.0,11.0,31.208,13.1219,20.6322,17.7357,11.9125,11.0,11.0,11.0,13.0671,11.0,11.0,11.9463,11.0,11.0,11.5098,15.7419,19.3136,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0115,20.2143,18.2792,17.148,11.0,11.0,13.8802,11.0,11.5538,11.0,12.4793,11.0,19.3391,22.5496,23.678,17.4484,12.7713,16.9267,15.1194,11.0,11.065,11.0,12.0769,11.0,19.6567,26.5472
