Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,26.5112,17.11,13.1154,16.1765,11.2167,11.0,14.0845,11.0,13.6378,11.0317,19.6516,21.283,20.0081,11.0661,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.474,12.9855,21.3172,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0058,14.2271,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.039,17.6752,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6189,15.5086,13.3942,11.0,11.0,11.0,14.7765,59.9866,11.0,11.0,11.0,11.0,17.8897,11.8088,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4865,17.0428,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9248
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,26.9139,17.3948,11.0,19.273,20.2251,16.6412,16.4887,17.5843,17.9596,14.9317,20.2418,23.2596,19.9156,11.0,11.0,11.0,16.7752,11.0,11.0,11.0,11.0,11.0,12.9727,16.7685,17.1694,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0922,23.2584,15.7882,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0339,19.8498,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4991,20.4781,15.7801,12.0951,11.0,11.0,11.0,21.9761,63.6465,11.0,11.0,11.0,11.0,19.4661,16.3613,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.1391,11.0,11.0,18.1413,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.022,20.7566
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,30.2308,21.4186,16.492,18.8686,15.3924,11.2877,11.7913,13.7861,17.6592,15.104,18.9998,25.2831,17.8243,13.0117,11.0,11.0,12.5622,13.8837,11.0,11.0,11.0,12.7939,15.1565,15.7553,19.7103,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6168,11.0,16.5155,21.9143,15.298,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0617,21.0757,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0256,20.566,11.0,11.0,11.0,11.0,23.9982,64.773,11.0,11.0,11.0,11.0,20.6459,16.2643,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.5604,11.0,16.3577,18.8152,14.7605,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1033,19.451
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,30.5502,21.3438,18.6076,19.536,15.1538,11.7981,14.6387,19.223,17.7142,17.2285,28.7997,23.3559,24.8832,11.7236,11.708,11.0,20.5621,11.0,11.0,11.0,14.3103,13.4608,17.6732,21.7325,22.3367,12.0083,11.096,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6358,21.5551,20.9846,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1032,20.2723,18.0879,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.507,17.528,19.0119,11.0,11.0,11.0,11.0,29.5265,67.8827,11.0,11.0,11.0,11.0,19.4542,16.0394,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0635,11.0,18.022,23.5146,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1618,18.725
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,31.7983,24.6651,15.7999,21.3825,16.5199,11.9259,17.6175,20.8867,19.2226,14.0369,26.0667,23.891,20.4825,11.5925,11.0,11.0,22.4547,11.0,11.0,11.2815,12.8666,15.0744,17.9026,15.524,19.3933,11.0,11.0,11.0,11.0,11.0,11.0,14.5818,11.0,11.0,12.3483,21.0488,17.9508,11.1938,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.1261,19.7088,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.5598,22.219,15.6639,11.3172,11.0,11.0,11.0,32.9379,59.0569,11.0,11.0,11.0,11.0631,18.9779,15.0396,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.9543,11.0,17.8637,23.1207,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7895,19.8843
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,24.3935,25.6296,13.3008,21.1316,17.4041,11.0,19.9875,19.0141,22.0744,13.2104,19.0344,22.9993,21.0386,11.0,14.2001,11.0,18.8571,14.2158,11.0,11.0,12.3088,16.8146,20.6191,19.7107,20.4684,14.317,11.0,11.0,11.0,11.0,11.0,23.5445,12.2955,11.0,18.9961,24.7299,19.4607,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7491,11.0,11.0,27.2504,18.5235,11.0,11.0,11.0,11.0,11.0,11.0,20.4976,11.0,11.0,20.7654,22.4325,16.9169,11.0,14.5927,11.9746,11.0,40.1837,63.3583,11.0,11.0,11.0,13.9674,23.9582,12.907,11.0,11.0,12.0997,11.0,11.0,11.0,11.0,11.0,23.8409,12.5033,19.9345,27.7413,21.3744,11.0,11.3463,11.0,11.0,11.0,13.2261,11.2892,11.0,13.1114,22.8311
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,29.168,24.255,16.9602,23.5335,18.348,11.0,20.6555,19.5789,19.5738,11.9918,21.3276,24.3849,22.8265,16.1541,11.0,11.0,21.495,11.0,11.0,11.0313,20.0046,15.4102,15.5502,16.149,26.9025,11.0,21.0008,11.0,11.0,11.0,11.1575,27.3605,15.0432,11.0,17.4229,20.5224,21.4746,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5447,11.0,11.0,26.0588,16.6781,11.9155,11.0,11.0,11.0,11.0,11.0,30.4085,11.0,11.0,28.2897,23.9734,14.8645,11.0,25.1118,14.8493,11.0,48.3151,66.1852,11.0,11.0,11.0,13.1255,25.4755,12.5332,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.5747,11.0,18.6745,31.3075,21.7999,15.0476,15.6855,11.0,11.0,12.6725,20.3289,12.8622,11.0,16.0898,25.671
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,26.349,24.6332,18.9923,20.9781,16.1126,12.5337,29.867,19.1208,19.3555,14.1465,17.8094,21.3219,23.0277,14.4018,12.9263,11.0,19.2615,11.8027,11.0,12.1573,24.022,19.599,18.5048,17.5982,20.0527,11.0,22.2054,11.0,11.0,11.0,11.0,38.0389,11.0,11.0,14.4022,22.2898,18.9639,11.2585,11.0,11.0,11.0,11.0,11.0,11.0,15.241,11.0,11.0,32.8625,18.0986,14.7792,11.1556,11.0,11.0,11.0,11.0,43.4279,11.0,11.0,31.8777,30.4117,17.7734,11.0,31.4519,24.1061,11.0,42.9375,68.8134,11.0,11.9123,11.0,14.0472,28.0492,15.9057,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4673,11.0,19.9957,33.1657,26.6688,18.7104,18.5657,11.0,11.0,20.7638,26.4015,16.1613,11.0,13.4383,30.3809
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,28.4961,30.491,18.2452,17.3465,14.0713,11.0,33.8552,19.9337,18.2615,18.6387,12.5977,27.6836,21.325,11.0,11.355,11.0,16.5,11.0,11.0,11.0,28.8343,24.2803,16.3354,19.7316,14.5901,11.0,29.435,11.0,11.0,11.0,11.0,43.8266,11.0,11.0,16.2273,19.9646,19.3721,11.0,11.0,11.0,11.0,11.0,11.0,11.1547,11.0,11.0,11.0,29.4145,18.4887,11.0,11.0,11.0,11.0,11.0,11.0,47.8466,11.0,11.0,35.3518,33.0194,18.0233,11.0,37.7566,33.6158,11.0,44.5594,77.4822,11.0,11.0,11.0,15.6999,29.569,16.6488,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6889,11.0,17.643,40.4733,31.5973,26.6285,27.4563,11.0,11.4912,27.2672,26.7384,21.181,11.0,12.9198,33.3393
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2B_3.OKA,4/19/2022 2:31:30 PM, 2-B,PM03B,EC 224,"208    IF0a+Sodium Succinate/Ferric Citrate
209    IF0a+Sodium Succinate/Ferric Citrate
210    IF0a+Sodium Succinate/Ferric Citrate
211    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,28.0413,28.4515,14.9003,18.3024,14.1488,11.3504,40.1874,17.726,19.2299,14.4346,21.1725,25.8238,28.5306,11.0,11.0,11.0,20.2655,11.0,11.0,11.0,32.6102,29.1404,13.5631,17.0006,22.6689,11.0,35.7713,11.0,11.0,11.0,11.0,54.7132,13.129,11.0,16.505,22.8056,19.5931,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8222,26.9274,17.9004,11.0,11.0,11.0,11.0,11.0,11.0,62.9607,11.0,11.0,37.8044,37.4935,19.6402,11.0,51.1321,39.0851,11.0,54.4314,78.1794,11.0,13.2344,11.0,17.8564,34.2613,18.2367,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7044,12.098,17.0815,48.2317,37.4556,31.7505,32.4191,11.0,25.1947,32.3497,34.8238,29.7571,11.0,13.2936,34.1679
