Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,12.6689,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1015,17.5858,18.1626,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.109,27.8158,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0201,16.0287,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1433,12.4682,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3771,13.5318,12.4969,11.541,11.0,11.0,11.0,30.1326,81.9453,11.0,11.0,11.0,11.0,16.5595,11.0,11.1636,11.0,12.3708,11.0,11.0,11.0,11.0,11.0,13.982,11.0,22.373,19.2332,16.9512,12.2948,15.0665,11.0,11.0,11.0,11.0,18.7676,14.8137,22.4055,22.3169
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,13.5428,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3106,18.092,19.3224,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3623,20.6542,29.9242,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3396,18.1439,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.5659,17.8683,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.1898,15.3579,15.6271,11.0,11.0,11.0,11.288,80.3145,11.0,11.0,11.0,14.3313,20.1388,17.9282,21.1005,11.0,12.8814,11.0,11.0,11.7385,11.0,11.0,21.6186,15.4359,23.397,23.0062,23.1475,14.0833,18.1631,17.1223,11.0,13.8997,11.3227,15.6175,12.12,20.0426,26.2368
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,13.3699,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3545,15.7392,19.2012,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5516,26.9894,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4022,15.9336,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9536,17.0194,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7484,21.4384,19.7457,13.6066,11.0935,11.0,11.0,11.0,78.1338,11.0,11.0,11.0,18.3921,23.4806,19.0041,19.0512,11.0,12.3246,11.0,11.0,11.0,11.0,11.0,14.4202,16.4053,21.2916,24.7097,21.1569,12.0546,17.6772,16.5605,13.8097,11.0,13.9597,11.0,14.8077,24.1673,24.2662
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,14.3745,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7844,21.1336,23.1599,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6311,25.4359,31.8923,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0497,20.7644,11.0,12.9354,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.584,16.6145,11.0,11.0,11.0,11.0,12.0975,11.0,11.0,13.5048,11.0,17.7119,21.6847,19.2043,11.0,13.6988,11.0,11.0,13.7801,79.8703,11.2528,13.5198,11.0,22.1052,26.0752,18.3101,23.1841,11.0,16.4273,11.7287,11.0,11.0,11.0,11.0,14.8749,11.0,24.7772,28.4126,23.3953,18.2175,21.2652,17.8967,15.7066,13.9009,13.571,16.671,19.9255,24.3571,28.3667
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,14.308,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4389,21.9557,21.3245,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2876,23.45,31.8099,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5382,11.0,15.4504,15.6381,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7239,16.1416,11.0,11.7497,11.0,11.0,11.0,11.0,11.0,12.0066,11.0,21.6936,23.2076,21.6685,11.3847,11.0,14.8418,11.0,17.3736,78.7816,11.0,11.0,11.0,18.5371,26.8542,23.2914,20.562,11.0,17.9661,11.9472,11.0,11.0,11.0,11.0,11.4556,16.6899,23.966,22.9718,27.6208,17.9438,21.0878,19.6031,12.1757,14.9735,15.2936,16.7217,20.2993,23.2533,27.775
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,16.4446,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1981,23.5379,16.8514,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5761,27.8222,27.2286,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3641,22.273,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.5083,16.1098,11.0,11.0,11.0,11.0,11.0,11.0,13.5161,11.7554,11.0,21.2922,26.7337,19.7367,11.0,12.2957,17.791,11.0,16.7502,79.9146,11.0,11.0,11.0,18.6611,21.4808,21.1373,21.1931,11.8496,16.2635,15.9404,11.0,11.8764,11.0,11.0,13.143,15.3597,18.6676,29.9869,25.0433,17.222,20.2989,17.9693,13.5899,15.9282,14.0116,12.7469,19.0345,22.0975,33.382
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9311,17.4763,17.5375,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2576,27.0908,26.3565,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5051,16.7853,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.5558,15.7474,11.0,11.0,11.0,11.0,11.0,11.0,14.402,11.0,11.0,24.1188,27.837,14.7828,11.0,16.7955,20.4645,11.0,22.9313,77.2455,11.0,12.5175,11.0,16.7599,20.8524,21.5115,21.1599,11.0,12.0192,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.5863,27.4414,27.7607,16.3684,19.2069,16.2434,14.1226,14.707,17.0302,15.0236,21.0767,25.7719,30.8004
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5364,19.9223,22.4214,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5064,24.1217,23.9911,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.189,18.3552,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.9909,18.0922,11.0,11.0,11.0,11.0,11.0,11.0,14.7816,12.7062,11.0,29.4287,29.6288,19.9523,11.0,21.6667,22.3467,11.0,19.5317,77.2179,11.0,11.0,11.0,21.85,27.8339,17.9683,20.7273,11.0,12.8643,13.0616,11.0,11.0,11.0,11.0,11.0,15.5557,24.549,36.343,36.8144,19.1187,20.4359,18.8886,11.7225,18.1818,16.7903,19.9775,17.4409,17.4714,31.694
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,15.3449,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0133,21.2262,22.5715,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7236,27.8903,21.9922,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6821,18.7666,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.5856,16.0285,11.0,11.0,11.0,11.0,11.0,11.0,21.9608,13.6521,11.0,29.8747,29.54,19.4888,12.1512,27.1054,21.8179,11.0,66.9499,78.3612,11.0,11.9832,11.0,19.2753,21.1267,22.38,25.508,11.0,15.9662,11.8861,11.0,11.0,11.0,11.0,11.0,16.0995,27.1609,43.8865,43.2055,26.8269,25.6508,17.1269,15.9229,18.8083,25.7877,17.7016,21.0121,25.0832,34.9619
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_14A_14.OKA,4/26/2022 2:33:07 PM,14-A,PM03B,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,16.4812,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6977,18.7874,20.4018,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.4219,26.1763,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.6471,19.6651,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.6153,14.7811,11.0,11.0,11.0,11.0,11.0,11.0,23.5279,12.3272,11.0,37.1971,33.3105,21.5166,12.4705,34.9539,25.9491,11.0,66.2477,73.1201,11.0,11.0,11.0,21.5754,24.5363,21.1402,24.8824,11.0,15.7062,13.1221,11.0,11.0,11.0,11.0,11.0,14.1781,23.5514,50.611,50.7449,34.243,30.9064,19.2379,14.4118,20.5825,32.3767,20.171,18.7994,22.0586,43.9572
