Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,23.7967,33.7401,16.6761,16.6584,13.1138,11.0,16.7238,12.9814,14.1957,16.9935,19.687,24.3043,23.5074,11.0,11.0,11.0,11.466,11.0,11.0,36.8614,11.9955,11.8204,13.7616,18.8534,12.8752,11.0,11.0,34.917,11.0,11.0,11.0,11.0,11.0,11.0,15.3916,15.8897,11.9126,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5308,15.5915,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0562,16.7354,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3753,13.2868,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3076,14.4826,11.0,11.0,11.0,11.0,52.3388,11.0,11.0,11.0,11.0,11.252,15.2614
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,25.7944,36.9488,15.9549,16.7316,15.8939,12.6753,14.2772,12.7786,14.254,19.4374,26.5769,24.9955,29.6588,11.0,11.0,11.379,14.936,12.6213,11.0,39.6719,11.9248,11.7524,15.2276,17.5971,16.0056,11.0,11.0,31.9304,11.0,11.0,11.0,11.0,11.0,11.0,12.08,18.5882,16.2534,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9849,16.5615,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3879,20.4296,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.6259,18.7789,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5356,19.703,11.0,11.0,11.0,11.0,47.2614,11.0,11.0,11.0,11.0,13.4879,19.7335
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,22.5439,37.7079,20.8867,17.9131,12.4522,12.9558,12.9676,16.0399,16.1886,16.7377,21.7718,23.1568,19.9115,11.0,11.1278,11.0,13.6784,11.0,11.0,38.7342,11.0,11.0,14.0164,18.0439,17.8776,11.0,11.0,31.6229,11.0,11.0,11.0,11.0,13.3454,11.0,14.5634,16.7747,12.799,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8791,17.8451,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8131,19.1243,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.0178,15.9358,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.1394,11.0,11.0,11.0,11.0,44.851,11.0,11.0,11.0,11.0,11.0,19.116
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,27.99,43.9875,26.2383,16.9789,20.0392,17.1673,21.0495,14.7667,21.8742,28.3017,23.7634,32.4417,24.3363,21.3125,17.0128,11.0,18.8067,13.4128,12.9523,44.7723,23.778,11.0,18.3723,24.5407,22.5097,11.0,11.0,37.9024,11.0,11.0,11.0,11.0,17.0992,11.0,22.2176,24.1144,21.224,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9634,11.0,11.1897,24.9166,23.2637,11.0,11.6189,11.0,11.0,11.0,11.0,11.0,11.0,26.2508,11.0,24.338,21.6035,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2841,26.8391,17.096,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2098,19.9403,24.1396,11.0,11.0,11.0,11.0,47.6839,11.0,12.4262,11.0,11.0,11.4089,20.604
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,32.4741,50.5065,28.7016,16.6579,25.7883,25.8792,18.6957,22.7248,29.3406,39.185,38.7599,33.0827,27.5564,35.6664,36.4127,21.3104,23.4487,19.0839,33.4274,62.7554,38.9659,14.7907,26.1391,25.6454,26.0019,13.0517,13.5564,43.482,17.9467,11.0,16.5496,14.5239,23.4108,18.2814,21.6586,24.2587,20.6342,11.0,13.6923,11.1944,11.3804,11.0,11.0,14.8305,15.9755,11.7316,13.6827,42.7529,30.1158,11.0,30.9938,11.0,11.9194,11.0,11.0,11.0,15.2788,38.1964,11.0,31.3552,20.1733,11.0,11.0,11.0,11.0,11.0,11.0,16.4423,11.0,11.0,26.8758,44.2754,19.6505,11.3567,13.515,11.0,14.7227,11.0,11.0,11.0,11.0,15.6968,17.5909,25.6404,26.1208,11.0,11.0,11.0,11.0967,50.6189,16.6701,11.5395,11.0,15.4003,11.0,23.6017
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,40.5516,55.2648,37.9724,30.0349,37.6578,39.6994,22.5978,36.5285,47.5638,49.5524,46.6824,43.1115,34.6393,50.1452,46.7048,34.3386,27.8458,24.5079,45.9566,74.2712,54.7951,11.0,34.0579,42.8561,34.1219,22.5502,25.4999,50.9067,31.2217,21.4108,21.6077,28.4028,22.1026,25.6486,31.0572,35.5078,25.8074,11.0,19.0579,29.8717,25.5077,20.8343,11.0,22.835,24.4161,31.0346,31.0543,55.9003,37.9422,11.0,45.2432,13.1941,21.7226,19.1627,20.6302,17.9657,28.7538,51.0253,13.0225,44.8347,35.3427,15.3429,20.3909,26.2914,15.8777,11.0,11.0,28.405,23.269,11.0,43.0444,53.341,31.4624,24.0237,31.9587,18.1516,33.6865,29.4199,18.8328,15.0893,11.0,16.6799,31.6591,36.4908,42.2006,11.0,11.0,19.4737,46.0072,50.6736,32.9805,22.6607,13.5713,23.4924,17.243,34.3112
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,50.3826,62.6587,38.2164,41.3571,48.4065,55.5156,33.7058,45.2711,53.2867,58.1124,48.0337,57.6359,49.178,58.1857,66.2477,54.7397,29.3044,30.3489,62.8168,87.1657,62.1762,15.7639,35.5902,49.5617,38.3948,31.8401,37.3616,70.6716,39.4734,27.8057,20.8419,42.5194,32.8179,40.2711,42.6739,39.5828,37.1433,13.1987,31.0478,41.5892,36.0411,31.861,11.0,37.1139,31.1848,37.385,43.2353,69.8681,48.2243,11.0,57.1296,17.3489,29.2482,29.7273,36.086,25.932,36.4558,57.1255,24.6731,56.2753,43.9834,22.8225,32.5253,30.7843,27.0499,20.7087,11.0,38.0976,34.6392,11.0,45.0453,64.1633,46.1134,35.5809,43.8841,31.4725,43.5503,36.2135,34.2345,28.2183,13.7393,18.1177,38.5777,50.0674,52.2133,11.5478,11.0,30.2082,78.5807,46.4357,34.758,22.2017,17.883,23.713,27.7755,38.2542
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,57.9235,67.3249,48.0197,50.0474,56.5814,61.5671,43.5584,53.7371,60.1795,59.8425,52.0279,61.0818,59.1522,63.4239,78.8195,68.3461,34.6301,32.3514,71.2137,101.491,73.4139,15.818,40.9135,57.4471,54.6538,40.2359,49.4501,83.2938,44.0667,34.1974,27.3292,55.9525,53.0089,46.6427,37.9564,45.9418,46.7243,15.8599,38.7889,44.5052,41.2482,44.2422,11.0,43.5231,34.9569,49.7694,54.8771,81.7193,56.2231,11.0,68.5261,26.5542,36.8582,35.2159,44.0726,37.0981,42.3609,76.5295,31.983,63.0868,54.1097,40.8796,45.7429,39.8737,35.7545,22.3643,11.0,49.7526,46.3248,11.0,51.6798,81.5322,50.3762,48.9325,54.6589,42.5457,51.6082,43.5462,39.8054,38.3644,23.8558,46.6038,49.7473,59.2267,52.8233,11.8059,11.0,36.6817,89.6292,55.2729,48.7828,34.6323,23.867,31.8148,34.6129,43.8667
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,66.7009,75.2854,66.3268,55.276,62.3427,68.7732,50.5334,62.9721,68.9474,64.7492,62.4388,67.4219,59.5841,74.8223,96.466,88.4033,46.6946,38.1139,87.6056,112.3495,83.3736,34.7854,59.9172,64.2036,75.8492,45.4171,57.8972,104.4485,55.2336,39.4547,38.4092,62.8872,67.7118,51.1502,50.4212,52.1321,49.3004,24.0784,47.2073,51.8859,49.4956,50.8764,11.0,52.8318,38.8607,53.8902,65.4403,96.2791,62.6731,15.5692,79.4812,35.7508,34.8233,45.7421,53.8657,53.8066,46.4636,85.4514,40.2647,77.1963,61.0471,49.6651,51.1061,44.1447,46.0681,30.503,16.9864,62.5548,52.9695,11.0,60.9815,104.3151,53.5032,50.0905,65.3815,47.716,55.4711,47.138,45.3039,49.1548,37.3924,103.1841,54.838,69.9673,65.2982,16.2881,15.9081,42.6376,103.2323,61.346,50.075,54.7268,31.7765,38.8514,44.4196,49.0131
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_10B_7.OKA,4/26/2022 2:33:07 PM,10-B,PM01,EC 517,"64    IF0a+Sodium Succinate/Ferric Citrate
65    IF0a+Sodium Succinate/Ferric Citrate
66    IF0a+Sodium Succinate/Ferric Citrate
67    IF0a+Sodium Succinate/Ferric Citrate
72                    M9 No carbon source 
73                    M9 No carbon source 
74                    M9 No carbon source 
75                    M9 No carbon source 
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,75.9202,81.8387,77.6869,64.8789,75.4821,76.8748,52.8796,69.3556,74.3673,77.5909,70.8361,71.5331,69.8592,91.1308,119.3018,98.5395,64.7088,56.4218,100.2644,121.2947,93.472,39.1813,75.8584,72.0031,86.3001,54.2973,62.9712,115.4037,61.6964,48.6791,49.3236,71.6211,82.8866,60.7876,60.5932,59.1504,58.2153,24.0549,54.0934,55.6504,49.0887,53.9889,12.5214,66.81,46.4011,65.2137,74.7754,104.9168,72.6554,29.3143,85.5784,40.2067,47.9607,51.1307,62.5788,62.2191,53.1886,97.9296,49.7222,90.2258,65.9513,52.8929,55.2035,51.3791,51.2084,39.2994,26.6281,68.1766,59.7777,11.0,68.2532,121.7259,60.781,55.4654,75.5421,56.6547,62.346,54.1187,58.669,59.3505,47.3332,146.4266,59.7674,75.1123,65.6727,18.7162,24.4875,48.8071,110.2304,66.0451,48.266,82.6303,43.5413,47.2774,47.5166,52.3576
