Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,13.3429,39.3779,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.158,20.5094,20.6022,11.0,11.0,12.3476,11.0,11.0,11.0,36.2774,11.0,11.0,11.4402,18.924,16.6158,11.0,11.0,54.0874,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.3584,18.3087,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5995,20.7464,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6461,20.6988,14.3096,11.0,11.0,11.0,11.0,11.0,11.0,12.6402,11.0,13.7832,19.0983,15.2312,17.3814,11.0326,11.0,13.3715,11.0,11.0,11.0,11.0,13.1717,12.1232,23.0192,21.6904,23.1325,15.2829,17.8202,19.8839,70.409,15.3791,15.3187,16.2219,19.3179,21.2323,24.6258
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,14.6871,39.3166,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.436,20.1313,17.8007,11.0,11.0,11.0,11.0,11.0,11.0,33.3076,11.0,11.0,14.4367,18.424,17.36,11.0,11.0,51.3443,11.0,11.0,11.0,11.0,11.0,11.0,11.186,18.0747,13.578,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4101,16.5689,11.0,11.4945,14.3725,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0618,15.7287,15.753,11.3434,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6077,22.6685,18.5865,17.0862,11.0,11.519,13.3892,11.0,11.0,11.0,11.0,11.9945,16.7634,20.3138,22.4677,21.8483,19.3642,16.3882,20.0273,71.8663,16.7028,15.9693,13.6155,18.2799,24.4669,30.6449
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,18.2361,42.8254,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5178,20.4173,20.1642,11.0,11.0,11.742,11.0,11.0,11.0,36.8953,11.0,11.0,13.1843,15.1885,19.1509,11.2521,11.0,53.6166,11.0,11.0,11.0,11.0,11.0,11.0,14.9045,24.5736,15.8405,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.5369,18.6554,11.2512,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3435,23.1729,20.9467,13.1669,11.0,11.0,11.4342,11.0,11.0,11.0,11.0,11.0,19.1653,22.2231,19.2542,15.5914,11.0,11.0,12.5949,11.0,11.0,11.0,11.0,13.3014,14.5493,24.8503,25.1846,18.8205,17.9867,16.1266,20.2154,71.6174,15.0149,15.2143,13.9788,21.5119,20.1655,26.3811
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,16.2386,45.6627,15.2787,11.0,11.0,11.0,11.0,11.0,11.0,11.805,13.8477,24.3482,20.5587,19.107,15.4131,13.4945,11.0,11.0,11.8018,38.633,20.4494,11.0,19.577,23.593,23.5102,11.3832,11.0,59.7887,11.0,11.0,11.0,11.0,11.0,11.0,14.8274,21.6211,20.6079,11.0,12.4047,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,28.3224,20.6835,11.0,14.0162,11.7408,11.0,11.0,11.0,11.0,11.0,23.4419,13.5644,24.513,20.5768,12.858,13.1653,11.0,12.3186,11.0,11.0,11.5687,13.7718,11.0,27.4857,29.6055,20.2806,16.9771,11.0329,13.0925,17.2728,11.0646,12.0717,11.0,12.028,13.7678,15.1069,26.5798,32.0415,22.4722,15.3571,21.4251,25.3628,71.761,19.3768,19.9823,17.5836,24.306,20.6158,30.4649
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,22.4014,48.7196,20.6315,11.0,18.4348,16.455,11.0,16.1976,23.4157,20.5166,23.5637,28.4615,22.3915,28.2777,29.2387,18.6051,11.0,11.0,25.409,54.5372,27.3608,15.8985,19.9625,26.4467,27.2833,11.3542,11.6572,64.129,12.7483,11.0,11.0,22.2985,12.9298,23.568,19.7833,21.737,17.3734,11.0,12.5789,21.1343,12.8067,20.3535,11.0,14.6521,14.1649,11.9776,22.0468,34.921,32.9774,11.0,31.2738,14.3223,15.9854,14.0918,16.0285,11.0,11.0,42.7043,19.4224,33.7791,24.5923,15.5844,17.9283,20.1563,15.8035,11.0,11.0,19.7482,15.8134,11.0,37.851,36.8069,24.0163,24.7351,23.8589,17.9661,33.2903,21.0574,28.6005,13.8374,14.2626,20.8595,27.2146,37.1583,37.0355,25.5144,17.4787,31.5919,39.1499,70.8605,28.8807,25.377,26.2146,26.0372,24.9897,32.7561
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,33.5471,56.3198,21.2797,17.4029,32.5543,31.3286,12.6906,26.8346,31.9651,30.2656,28.8223,40.3674,35.0381,41.1771,39.198,37.9792,11.0,14.8754,40.4646,64.6365,35.465,22.787,22.9696,36.3722,31.9239,23.7439,25.1615,83.5517,21.0179,19.5865,11.5131,32.9251,13.5398,30.4545,24.7036,28.1987,32.8902,11.0,24.2557,30.9649,24.7836,29.0831,11.0,22.9536,18.9613,26.3177,28.747,47.0374,38.7572,11.0,36.7623,19.6979,25.8856,24.9079,24.6953,18.7394,20.5368,53.9938,21.2605,38.2739,34.3919,28.923,26.3592,30.1178,24.5749,13.0352,11.0,29.9497,25.5644,11.0,43.8734,42.9231,30.2544,32.5114,37.9914,29.3077,47.8799,35.0144,36.8038,24.2169,17.1534,24.8972,38.2478,46.5114,54.2799,22.5981,20.3998,44.5207,67.8631,76.6317,48.0757,24.7815,23.69,29.4595,43.3458,42.0968
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,41.2673,59.9769,24.3214,22.6257,36.6343,36.5323,19.9744,36.7269,39.9201,35.9037,29.7435,47.4832,44.1296,50.9442,53.9145,52.0604,13.8067,13.4039,52.6805,78.2065,42.576,34.7891,27.5874,45.0964,35.5641,33.2672,36.5538,93.9268,34.7602,23.7924,16.0546,45.3696,24.1161,40.5608,28.0654,33.5153,41.8445,11.0,32.9281,40.1333,31.1596,42.9689,11.0,31.4288,19.7938,42.141,35.2673,59.7473,50.6453,11.8362,50.9683,23.5029,33.5835,35.6061,31.3886,30.4584,27.2269,65.8972,27.4144,45.0847,42.8703,41.6216,39.0272,41.1962,37.9826,22.511,15.1805,37.7883,35.7545,11.8645,50.5916,51.5648,45.202,47.4832,52.3126,38.9454,57.976,46.8445,49.1744,37.6329,33.182,26.5361,46.0866,58.0493,61.7079,26.802,21.9368,54.9721,87.5852,74.6678,54.6381,34.9587,32.2304,39.0896,53.949,43.6997
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,45.5415,68.3375,34.2688,32.4886,48.8044,42.4348,32.0133,46.2744,49.9964,36.8609,29.87,47.7082,54.8393,58.8632,63.2285,64.1798,22.4042,17.1947,60.8537,88.7551,54.6966,40.6053,36.1087,51.9743,47.2484,40.5072,41.3773,103.0047,34.5387,27.958,21.8785,52.4603,34.3296,44.1701,33.4811,35.8574,47.3989,11.0,39.8077,41.74,34.5159,47.3997,11.0,40.3473,25.3085,51.8449,49.3623,64.1714,57.3191,15.4086,62.1883,26.8715,37.7809,38.51,38.4194,38.1385,39.0574,72.4979,32.4052,51.8133,53.4844,49.7672,49.0414,45.9452,43.0534,28.9359,23.1217,46.1895,44.7483,11.0,60.9225,58.2435,54.7505,54.1628,60.169,47.5342,59.7799,53.7748,60.2153,44.9638,39.7762,41.5767,57.5803,68.7208,67.4531,29.4482,27.3705,58.5304,101.2907,78.4509,58.6285,42.0333,39.6239,41.4781,54.583,48.0364
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,50.6516,76.6478,44.2495,35.5034,55.1377,42.4815,38.21,54.2765,56.232,44.923,41.1694,57.9058,59.0468,65.4145,76.2602,72.2371,28.1782,26.1128,78.4812,102.5205,65.3376,51.5729,43.1212,63.7359,60.8123,45.3324,52.592,115.2795,40.5098,33.4615,27.9074,65.4086,45.6564,50.0038,40.7859,37.0102,56.8164,14.1126,43.1052,46.0684,44.6349,55.6488,14.1328,45.1802,28.81,56.6526,58.1902,74.2411,61.2847,25.6973,62.913,35.7235,41.9952,44.4173,51.2308,48.4758,42.3517,83.4076,34.434,58.6111,66.1146,56.4067,55.919,49.3956,52.8095,39.2494,33.7328,55.1832,52.4851,11.0,61.0611,66.3593,63.991,63.6819,72.3699,57.0678,72.1438,63.7936,66.9672,61.2629,52.9721,75.9617,65.6466,76.8396,81.1835,32.1626,40.3596,59.4947,112.1258,85.8542,61.2335,50.4447,49.1602,54.1543,65.4463,45.1943
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__1_37_SBR_709_4#26#2022_A_ 8A_2.OKA,4/26/2022 2:33:07 PM, 8-A,PM01,EC 518,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,55.4585,81.2783,47.1996,47.0524,66.2588,53.2016,46.4459,58.2116,64.057,54.3673,43.2346,52.9654,63.2917,79.0517,90.2748,86.977,30.1846,30.5253,89.5525,109.3817,76.6348,58.3567,51.4551,65.2474,69.0401,53.5835,58.8759,125.9645,42.3461,37.2854,32.6162,76.5491,53.892,61.1553,49.1265,42.5159,60.2908,16.482,43.758,50.0185,38.3356,57.9416,20.166,45.7366,42.6352,60.1972,73.5028,82.9283,66.2676,34.9333,71.7322,46.2107,41.6286,51.8989,58.2329,61.0168,46.4562,89.9096,43.7701,64.6396,70.3234,60.7405,56.2007,51.5208,62.1912,41.8585,40.7167,59.0385,55.0327,13.5366,67.0561,82.2013,67.3276,64.7778,78.5221,63.357,75.1396,66.7989,73.3303,65.5229,62.722,108.8819,69.8935,84.3026,82.8712,46.7243,43.7333,62.6352,117.2659,96.9842,64.5052,66.4885,54.2115,55.2846,60.7967,50.1045
