Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,25.0421,18.3533,16.2271,16.9676,15.0722,11.0,13.9714,15.9378,12.8798,18.0456,22.3089,48.2337,13.7163,11.0,11.0,11.0,42.8439,11.0,11.0,11.4985,32.8395,11.0,12.8515,18.8219,12.907,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7731,15.9524,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9185,11.3649,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,32.6289,14.0977,11.0,11.0,11.0,11.0,11.0,11.0,11.0,35.6617,11.0,11.0,20.2871,14.3519,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4727,21.4129,17.3744,11.0,11.0,11.0,11.0,11.0,11.0,11.0,56.8552,11.0,16.0708,18.7817
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,23.0513,20.0534,13.2057,15.8428,13.1853,16.2473,12.6854,15.0253,17.1361,17.0674,27.5738,49.8086,20.0815,11.0,11.0,11.0,43.5646,11.1272,11.0,11.0,29.0025,11.0,13.1449,20.4736,14.1481,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1721,13.0206,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1232,13.3274,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,35.2614,19.4594,11.0,11.0,11.0,11.0,11.0,11.0,11.0,32.6999,11.0,12.2704,24.2264,16.4946,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2703,18.4421,11.0,11.0,11.0,11.0,11.0,11.0,11.0,57.9065,11.0,18.8681,23.3421
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,24.6064,19.159,20.3813,20.146,14.8622,16.7727,11.7808,16.3821,18.474,19.7957,25.7916,61.1201,21.6625,11.0,11.0,11.0,43.4792,11.0,11.0,13.8414,32.3036,12.8448,14.9493,27.7058,15.2082,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9353,19.4758,17.0174,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9098,15.7041,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,44.579,20.5136,11.0,11.0,11.0,11.0,11.0,11.0,11.0,33.8518,11.0,14.0734,29.7845,17.6941,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1561,25.6488,22.9718,11.0,11.0,11.0,11.0,11.0,11.0,11.0,56.6333,11.0,22.3267,28.2011
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,29.0188,22.7697,18.587,20.4666,19.8529,27.3718,16.6843,16.2227,20.2181,22.8196,24.5631,66.3067,23.204,11.0,11.0,11.0,46.316,11.7399,11.0,11.0,33.789,11.6341,12.9934,24.5722,17.1682,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3719,19.7117,22.7248,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4228,11.0,19.8645,17.0558,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,41.7422,20.8351,11.0,15.0088,11.0,11.0,11.0,11.0,11.0,34.0879,11.6017,13.4306,26.1372,19.8157,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.61,28.8193,26.3295,11.5488,11.0,11.2826,11.0,11.0,11.0,11.0,55.2978,13.31,24.0208,25.8202
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,37.2046,30.4642,27.5752,18.9398,22.924,42.5502,26.6438,30.4044,26.1114,33.4972,41.0285,77.8615,28.2476,14.3636,11.0,15.4187,47.1013,13.8342,11.1602,13.4036,32.3948,14.8855,19.7365,22.2124,26.6045,14.3544,14.4192,17.3467,11.0,11.0,11.0,15.884,17.2514,14.9086,16.7825,18.46,23.6996,11.0,14.2624,11.0,11.0,11.0,20.274,11.0,11.0,11.0,11.9153,22.1305,22.9966,11.0,11.0,11.0,21.8105,11.0,11.0,11.0,16.5191,11.0,11.0,56.5687,33.3001,11.0,15.7556,15.4519,14.1899,11.0,11.0,11.0,32.2169,17.5604,12.8862,32.4936,30.3622,20.1778,11.0,11.0,11.0,11.0,11.0,12.9168,11.0,13.4754,19.8299,33.3894,26.1208,21.0163,15.5203,13.3783,11.0645,11.0,11.4485,11.0,62.2837,22.6271,23.1402,40.8525
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,49.2984,31.3352,44.8843,31.864,36.0714,59.1409,36.2871,39.6286,43.951,44.7731,52.619,89.553,29.3791,18.5064,11.0,21.932,59.3308,25.1849,21.5929,24.4553,30.4575,11.0,37.4192,21.8708,39.5065,29.0614,28.3104,23.157,21.4239,11.0,16.3196,23.4616,24.9558,28.1797,31.4309,22.1456,30.1275,11.0,24.8545,11.0,14.5794,11.0,36.1601,12.5614,15.2547,19.6089,17.4844,25.9357,27.1289,11.0,21.2978,20.7795,23.5471,11.0,11.0,14.6383,24.4866,11.0,14.5077,66.2071,46.3016,26.1364,21.7995,35.6726,29.4518,20.079,15.026,11.0,31.5955,25.8226,18.4283,32.5527,42.1303,33.428,23.7272,22.9088,18.95,16.6603,11.0,24.872,17.802,19.4397,33.9162,41.9509,38.3161,36.1702,29.666,22.9133,22.5075,16.6075,22.0707,22.7555,64.9968,34.4716,31.9047,50.8438
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,54.3303,41.8405,55.9328,41.0164,46.6608,75.9584,49.0852,49.6104,49.7105,56.6143,57.8312,100.1297,29.9305,24.2936,11.0,34.5472,70.7237,36.07,34.0439,33.0702,31.6517,15.3853,45.8361,26.6459,51.4247,37.6544,35.4648,35.5591,31.1634,11.0,22.9238,34.4765,37.8623,33.064,40.9727,14.9934,35.989,19.5362,34.1882,11.0,14.9037,11.0,44.7989,25.9443,22.1654,26.7608,26.1379,37.7469,29.3517,16.1478,33.5529,25.8142,23.2831,11.0,11.0,20.8401,34.7754,11.0,12.9848,75.329,59.4598,32.8459,30.9297,45.4731,42.4851,31.2712,25.6807,11.0,32.585,37.9861,13.3284,36.1245,51.5873,42.3495,31.4207,36.4887,30.595,24.3615,11.0,36.5922,23.6452,25.1065,40.0025,50.8629,41.739,43.7691,39.3376,29.9567,35.3702,30.8714,33.533,32.0072,61.7337,39.8697,39.4426,56.8324
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,66.6142,51.2044,62.4144,48.9016,57.3619,90.5857,57.5437,60.7229,61.2139,67.8344,71.7821,121.977,35.9539,27.4299,11.0,43.8742,80.5828,43.1721,41.0586,41.1846,35.0748,15.6278,54.6661,39.8801,65.4961,47.038,53.6761,46.0842,39.9216,15.6459,29.2484,41.8583,48.6535,42.4476,44.1339,22.1776,39.9673,25.7429,44.1062,11.0,21.231,11.0,57.9559,37.3592,35.5824,39.8782,34.5847,52.735,36.3408,28.2008,40.0908,37.0398,35.0385,11.0,11.0,32.1345,46.1167,18.5967,20.8595,94.4254,71.9078,48.2307,39.094,54.2635,56.5935,39.4267,31.0599,12.4341,36.0204,49.1079,23.1348,54.8567,58.9526,56.9337,45.3874,45.9807,42.2296,34.9831,11.0,48.3581,42.8544,40.9264,56.0383,74.3148,54.4524,54.1318,50.6913,46.1713,48.4981,50.2816,48.27,42.2453,69.6775,55.5526,56.4603,74.2829
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,71.1344,55.8031,71.1659,56.8595,66.6265,103.469,63.6689,67.2847,66.2566,74.193,72.7393,130.8156,40.7885,32.7561,12.974,53.899,92.7703,51.3315,46.0519,49.2363,35.2911,21.6376,63.9832,46.9407,73.739,53.1633,54.04,58.425,52.8197,21.7623,40.457,44.2378,64.298,42.8718,51.9993,21.7615,46.2314,38.4874,51.1105,11.0,24.1479,11.0,63.7996,44.4406,48.1891,43.6234,41.3706,63.4079,46.5157,36.6066,45.8157,48.7743,31.8454,11.0,11.0,45.0719,52.6298,24.5395,23.3618,102.1963,84.9626,57.2273,50.2356,60.6226,68.8785,46.1943,40.6437,14.8962,40.3818,60.0961,21.8942,61.3926,60.0664,60.9905,48.7658,53.5314,49.7747,42.7616,11.0,56.8173,46.3481,48.9995,60.635,75.5147,59.1033,57.0222,57.7867,47.6379,51.6612,61.0874,50.3306,54.9481,81.028,58.925,65.6209,79.5889
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 7B_1.OKA,4/26/2022 2:33:07 PM, 7-B,PM02A,EC 518,"168    IF0a+Sodium Succinate/Ferric Citrate
169    IF0a+Sodium Succinate/Ferric Citrate
170    IF0a+Sodium Succinate/Ferric Citrate
171    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,79.3436,53.4774,72.3559,59.0651,67.3475,114.4398,75.9561,76.0986,70.6029,76.7286,77.2043,130.3031,45.7747,36.0388,15.2162,60.4149,99.9854,55.9064,55.2795,59.7537,36.8742,19.6444,63.6025,48.6254,78.9622,56.5521,60.5914,58.9048,64.7888,30.9179,48.5344,52.646,73.947,47.6439,53.3349,24.1717,57.9648,42.8904,54.1886,17.0843,36.0206,11.0,73.8197,49.4896,50.8964,54.8317,40.9541,67.9874,53.2571,50.512,49.8942,52.1045,43.4245,11.0,11.0954,48.154,63.5568,32.0008,28.2378,104.4766,92.5466,63.1595,53.2584,69.5763,76.7103,52.6224,44.8821,20.8429,41.3213,63.6348,23.3179,67.2505,62.2829,68.1142,54.6207,62.2162,55.5041,48.2536,11.0,63.2801,48.4776,52.5402,66.9724,80.5849,61.4935,58.0043,62.3036,58.9981,52.6483,59.3552,52.2599,54.9852,82.7775,63.3472,70.6458,78.7483
