Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,26.1518,14.9385,12.9634,15.6615,12.7368,24.6923,13.2993,11.9439,14.8308,16.969,20.6863,52.4702,21.4969,11.0,11.0,11.0,37.7504,11.0,11.0,11.0,26.9527,11.0,12.9361,17.8239,18.69,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4566,20.2675,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.677,28.062,11.0,11.0,11.0,16.6361,11.0,11.0,11.0,11.0,11.0,11.0,26.7385,17.587,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.9255,11.0,11.0,20.0011,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8966,16.8601,11.0,11.0,11.0,11.0,11.0,11.0,11.0,51.525,11.0,13.6475,19.3501
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,28.4615,23.5271,22.8302,22.0226,19.1008,70.3896,16.5297,24.7368,21.29,25.5113,31.2605,71.3263,29.1309,11.5225,11.0,11.0,39.7905,15.6327,11.0,13.6301,25.4199,12.28,20.1297,19.5256,21.476,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6023,18.3124,16.7846,17.9366,18.2182,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4567,26.8921,11.0,11.0,11.0,47.6461,11.0,11.0,11.0,11.0,11.0,11.0,41.9649,34.9907,11.0,15.1503,11.0,11.0,11.0,11.0,11.0,27.5637,15.9948,15.5058,21.7357,20.6612,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.7349,11.0,16.6015,24.188,21.4783,11.9528,11.0,11.0,11.0,11.0,11.0,11.0,55.2941,11.0,20.6061,26.0882
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,47.7124,36.118,34.6341,28.4422,30.7832,100.8857,28.8964,41.4656,39.1089,46.5344,50.5204,88.5224,43.1,24.1644,11.0,11.0,45.2382,11.0,21.1115,11.0,33.3168,12.434,39.0704,24.0124,35.8504,11.5494,23.0289,27.7577,11.0,11.0,23.5721,20.0445,28.3438,34.9092,26.4145,18.5539,34.8088,11.0,11.0,11.0,17.0781,11.0,29.0572,11.0,11.0,17.4006,15.5863,26.2059,29.8181,17.9851,18.9701,11.0,62.2355,11.0,11.0,19.2655,23.942,11.0,11.0,65.4314,57.2647,20.3626,31.4445,19.8613,26.2184,17.7633,13.5262,11.0,33.1522,28.5309,17.4757,24.6892,33.6822,24.1098,15.9956,15.1584,11.3801,11.7539,11.0,18.5832,50.5153,14.1622,25.9324,32.0011,32.0511,29.1327,19.913,11.0,14.675,11.0,17.3715,17.3145,56.5471,26.6196,23.9688,39.7456
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,65.2168,47.6792,48.0836,41.0131,50.4512,121.8376,41.6119,54.2783,52.5669,60.7992,62.2324,110.0429,50.5554,34.7553,11.0,23.5638,54.6616,11.2262,36.5836,12.282,30.5977,11.0,57.3263,23.9802,46.8791,33.3822,35.6218,47.1169,26.8754,11.0,45.2182,36.5037,44.8786,43.9448,42.2198,17.3827,50.7836,11.0,20.9482,11.0,30.4511,11.0,51.8167,11.0,11.0,30.4688,28.8176,39.0069,26.5395,22.6042,30.7239,22.2041,76.5023,11.0,11.0,28.9498,34.6581,11.0,11.0,73.5027,71.5776,33.9101,45.8539,39.258,44.2525,32.9527,28.5264,11.0,31.5711,39.642,11.0,27.7506,43.5193,41.8478,32.7859,36.6639,29.0556,22.4787,11.0,35.7414,42.2682,24.8339,41.6329,34.6094,46.5074,41.5532,42.3379,11.8793,27.3462,22.606,30.027,26.4229,62.8664,39.1802,29.1306,55.7659
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,73.8936,58.8646,63.766,45.7428,60.3153,141.4078,58.3968,65.9085,64.5945,73.6976,71.383,129.1538,59.5994,43.1036,11.0,35.6586,70.2708,28.6667,50.937,22.523,34.5748,16.2049,67.3981,43.4174,66.5253,48.4434,50.626,55.6368,42.6241,11.0,67.2009,46.5207,59.0062,53.201,52.7311,17.6986,69.8745,13.9759,37.2503,11.0,45.8913,11.0,65.1645,11.0,26.2934,42.7873,38.8368,51.2894,27.0589,31.9429,42.0663,37.529,82.8022,11.0,11.0,40.8355,49.9448,11.0,11.0,87.9112,88.8325,46.4246,56.0283,57.1379,60.358,47.0412,40.3535,11.0,34.9229,57.5032,15.0907,32.9944,59.3712,51.0558,40.5793,52.2582,40.6655,33.3363,18.2018,48.3502,41.5997,35.3536,51.9166,43.7702,55.0869,51.6143,47.8856,20.1008,41.0736,34.4837,44.8743,37.9756,77.6723,57.2884,46.0629,65.7638
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,79.1728,63.8895,72.3846,56.056,68.5195,152.6136,57.909,71.1912,73.2511,84.6764,75.3498,147.8231,64.3823,51.5215,11.0,43.179,79.1234,38.5129,55.8192,21.2432,28.7894,12.6139,77.2611,58.1067,71.9313,56.1622,59.5301,64.2026,48.929,17.0846,81.3314,55.2573,75.0057,57.0862,56.2986,16.3078,78.0017,22.9736,48.5326,11.0,53.3538,11.0,71.9324,24.6836,46.7989,52.4176,49.024,59.16,24.4833,38.2428,58.4862,48.7581,87.6777,11.0,11.0,51.0955,56.0577,11.0,16.4737,93.6261,98.5235,59.0856,64.696,65.1074,71.1976,56.0382,44.9111,20.2649,31.1495,64.4587,14.6976,37.4124,61.5669,64.9225,46.9652,58.0619,49.5014,38.9127,26.6798,61.9233,46.1459,41.6084,57.7759,38.297,65.8507,52.8365,54.8306,24.7877,51.8555,50.4074,46.6666,44.4441,92.2887,56.3041,51.7444,69.6366
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,88.9978,67.0858,76.2044,62.7451,76.6053,159.7484,63.3964,76.6028,75.0566,86.599,73.2913,160.1787,71.823,52.5757,14.9876,59.939,91.4029,49.5048,60.4751,26.9066,36.0989,12.8985,80.9826,72.8262,78.152,59.3297,65.8096,74.629,58.85,37.5093,95.7986,56.589,80.2407,64.1012,62.139,17.2833,88.5754,23.2337,56.5391,11.0,58.2363,11.0,81.4957,38.5046,55.5988,55.7619,50.9737,66.1839,25.2791,44.5776,62.632,57.0843,95.7258,11.0,11.0,57.7617,71.0635,11.0,16.0227,98.0275,107.4312,65.8438,66.7707,68.9703,85.2996,58.5972,49.9173,31.0281,38.5596,69.5034,17.1835,46.5139,63.0869,68.5806,53.0086,63.1283,54.6138,55.6293,36.8326,69.1119,45.8739,40.9883,64.7891,43.2262,69.3193,58.3078,63.3013,26.7512,54.0,51.7543,55.4169,50.2692,99.4259,56.6475,64.4615,80.812
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,69.64,68.9326,75.5749,63.4871,81.8694,168.6926,62.8848,81.8595,82.7821,86.2764,72.0761,172.771,79.1231,58.8026,15.0353,61.141,99.2635,52.0209,57.3299,28.2302,34.9459,13.4393,80.6814,83.9522,83.1428,65.4805,67.9245,73.555,67.0017,41.5083,110.1813,61.2665,88.989,65.9778,62.3836,22.3146,91.4113,21.6129,61.9975,23.1152,58.7234,12.9459,89.4998,47.1418,64.8124,57.6394,51.9054,74.4638,26.3644,52.5252,61.8277,60.8108,102.6491,11.0,18.878,60.252,75.1398,12.054,16.6095,102.227,122.4921,64.2088,75.1627,75.0719,86.4947,62.8262,49.3068,32.4341,40.9613,75.2457,18.247,55.1606,66.7612,70.3151,53.9516,66.2343,55.0803,54.2154,43.3041,75.6296,45.6571,42.2444,70.7172,45.398,70.703,54.9089,64.8003,22.858,54.3752,50.4042,54.7123,48.7382,107.6829,58.524,67.1291,79.5002
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,71.7099,71.2585,75.8207,65.2125,80.6788,174.2184,65.3965,80.8755,79.8005,89.1756,76.3138,188.6087,80.0704,60.7443,18.2809,63.5299,99.7944,60.4863,62.989,27.0649,38.0687,17.734,85.2618,101.3093,94.3463,61.7468,70.3771,75.8144,74.3091,46.5505,121.191,61.0037,95.5374,67.2839,67.3658,19.7538,97.4169,29.8036,65.1024,30.8254,61.4703,17.3565,89.8052,53.07,68.8996,60.6077,52.9402,73.3939,24.8164,59.4671,68.0453,69.9193,114.0876,11.0,27.9709,58.6387,80.6196,12.2143,18.086,101.999,132.4768,68.4093,73.6227,74.0467,89.4818,60.8465,52.6742,42.3115,34.9503,79.6744,26.5705,59.2439,62.2597,70.3961,53.656,68.2272,58.8887,55.7183,45.3548,81.1648,44.3433,44.2061,68.3175,42.7852,72.7815,57.8722,67.5759,27.7313,57.3279,51.5685,52.8349,49.8845,118.5905,61.518,68.0694,64.6075
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC203 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_24B_43.OKA,2/25/2022 4:20:34 PM,24-B,PM02A,EC203,"0                             M9-No Carbon
1                             M9-No Carbon
80    IF0a+Sodium Succinate/Ferric Citrate
81    IF0a+Sodium Succinate/Ferric Citrate
82    IF0a+Sodium Succinate/Ferric Citrate
83    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,72.156,71.2463,81.1359,63.0092,81.1217,180.7955,61.3331,83.4983,81.1979,89.5454,78.9596,192.5786,95.2548,60.013,25.6075,66.4779,102.0803,64.9163,61.3146,29.4837,34.022,17.6391,87.5718,104.2449,88.5619,66.2033,74.7771,81.9041,73.4294,50.0874,129.0014,62.1805,103.6136,66.839,67.3058,19.5925,95.277,26.3502,68.1745,38.5273,59.9655,33.0251,93.1846,61.1993,68.0886,59.6386,55.9453,95.1036,24.1811,58.6834,66.0851,69.3815,121.986,11.0,34.0519,60.1053,88.5965,11.0,17.573,106.6718,143.8643,67.9802,73.4045,78.0359,88.869,65.7987,55.2935,45.0149,47.026,82.1998,33.5569,55.3329,73.2065,74.4048,51.4853,66.6769,63.0073,51.5176,50.0227,82.6162,46.7039,43.021,68.0091,35.9439,75.9154,57.4086,72.5506,23.4009,55.6689,59.6661,53.4357,52.2434,125.033,59.4638,81.8596,61.3604
