Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,15.8172,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0303,12.2595,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1087,15.2904,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.724,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3502,12.0303,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6158,17.1869,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.1101,15.9433,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.1457,18.8757,18.8045,11.0,11.6383,11.4764,11.0,11.0,11.0,11.0,11.2638,13.4111,20.5222
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,18.5089,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0489,20.2285,15.6529,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2652,12.8753,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4594,13.7916,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.235,13.2944,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9503,20.98,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1207,20.5751,18.3781,11.2286,11.0,11.0,11.5619,11.0,11.0,11.0,11.0,14.6756,13.6853,20.5761,20.1176,19.4394,16.2734,13.1495,12.672,11.0,11.0,11.0,12.3269,19.0835,22.9469,26.5796
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,18.9788,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7326,14.1971,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2452,13.6227,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1577,12.6101,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6965,12.3239,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5088,15.4795,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.118,21.0698,18.5494,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4784,25.6725,15.6592,11.6237,12.1081,11.0,11.0,11.0,11.0,11.0643,11.0,18.3486,21.8671
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,17.2308,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5598,11.9047,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4964,15.3438,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7815,12.0556,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.409,14.2478,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0774,17.6803,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7333,16.9624,16.3797,11.0,11.0,11.0,11.0,11.3499,11.0,11.0,11.0,11.6079,11.0,22.9983,23.7902,21.9132,16.6662,14.4733,16.9877,11.0,12.1609,11.5468,11.5497,16.6805,22.712,23.7839
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,17.233,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.326,17.8394,15.6032,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9416,17.6046,14.6611,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7564,16.9824,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4149,14.7215,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2029,19.7269,12.1172,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1271,23.899,21.3286,12.5486,11.653,11.0,11.0,11.0,11.2908,11.0,11.0,11.0,13.6813,26.1046,27.2728,22.7991,20.7122,16.5493,17.129,19.4104,14.6483,13.4685,14.3712,21.0223,19.5419,27.8349
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,22.3158,13.48,13.5286,11.0,11.0,11.0,11.0,13.8755,21.8467,21.6799,24.734,21.7404,14.1229,11.0,23.8816,11.655,11.0,11.0,11.0,13.5585,25.5049,17.187,19.843,20.9412,25.7493,11.0,24.0721,11.0,11.0,11.0,11.0,27.3995,11.0,21.298,28.2037,24.9207,32.1256,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.3923,15.2893,29.4977,24.0955,25.1041,11.0,15.9978,11.0,11.0,11.0,11.0,11.0,11.0,14.7071,14.4277,26.7883,28.6096,19.0795,16.398,11.2924,12.9252,12.9044,11.0,14.0571,17.1338,12.8565,18.6256,28.6483,28.1004,18.3048,17.2803,16.9639,19.3519,18.3382,15.3979,13.7196,18.7697,19.8786,21.9179,32.9125,32.2212,28.1326,25.568,28.5183,23.5467,23.5769,22.6117,22.6371,23.3316,26.0124,35.2616,35.9829
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,25.4371,21.4123,12.0357,16.7879,11.0,11.0,11.0,21.8707,29.026,38.3863,36.1128,27.2256,21.4934,11.0,31.3853,18.4319,11.0,26.1004,11.0,23.1645,35.4121,20.9133,24.9453,23.0954,35.3747,22.7604,45.2311,13.1726,11.0,15.0817,11.834,45.9242,11.0,37.1749,46.8875,30.7639,47.1922,25.5393,13.6755,16.0432,12.2913,15.0735,11.9953,12.0106,41.1018,27.1479,43.8225,28.0952,26.0912,19.5581,21.0772,11.0,19.3408,12.4137,13.1194,11.0,25.0532,21.8402,15.9096,27.8924,31.0709,22.4614,14.8214,19.5,17.4641,14.2329,11.0,14.5267,18.3128,15.5226,21.4594,37.5367,35.6817,23.7332,23.8827,19.146,22.151,17.4409,16.6281,20.3474,17.4989,21.2512,30.0564,32.547,33.947,33.0869,24.9398,25.1475,23.6908,19.8054,24.7118,20.7236,27.3537,30.5527,31.154,40.2188
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,28.7177,23.8508,23.4553,18.564,12.6428,11.0,13.0414,30.4826,39.4145,42.9889,47.254,31.8053,29.4837,19.6121,42.8719,23.1177,19.412,42.4779,26.3029,33.1802,49.7455,28.3067,38.6267,29.7559,51.6109,21.29,66.8296,50.5253,12.6811,25.8145,16.7576,60.1567,11.0,51.9831,61.5561,37.1906,58.1283,40.5806,20.2213,16.6808,17.7681,22.1834,20.2928,22.0534,56.4027,41.8386,60.8455,34.0347,31.8244,27.7881,24.4326,12.4525,21.438,16.3204,19.1909,14.72,27.3135,35.6899,23.5775,34.3245,34.4333,25.7339,24.0648,23.5621,20.4599,19.3118,13.0947,25.4763,22.975,25.6993,29.9617,37.1392,42.541,33.8122,27.8359,23.5792,33.8815,22.132,26.706,29.7661,30.5992,28.6894,35.0597,37.8356,43.2623,42.416,29.301,32.1861,31.0295,30.6929,28.6469,30.5837,33.8749,31.795,37.5378,40.6557
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,24.0001,26.6532,20.9063,23.1546,21.2018,11.0,12.3788,43.2594,56.1407,49.6247,53.708,37.1766,32.5518,19.2767,48.5028,27.752,20.6342,48.6337,38.3551,36.1036,61.319,38.7271,46.6648,32.8999,55.3366,27.5918,83.5013,74.3476,20.9404,32.8178,23.649,77.3708,11.0,61.7752,73.8057,31.3759,81.0141,58.7736,24.7911,23.2143,13.7541,21.1228,25.5337,34.1327,67.711,48.5267,71.7877,36.1468,35.5337,25.4817,34.5417,17.145,23.7614,21.5679,18.5503,19.4568,31.1976,43.135,30.9492,32.7511,38.1684,36.3855,29.9831,30.8634,23.1294,26.8647,15.4445,29.9086,29.4659,27.3609,32.7063,46.9559,41.2276,31.1926,29.1424,32.2271,32.6743,29.9055,29.1446,31.0952,28.0336,33.8831,32.6484,43.8365,40.6728,43.7327,35.4027,42.1248,38.9273,36.6522,31.3491,44.1935,33.7438,41.6694,40.2752,38.0994
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R1_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15A_20.OKA,3/4/2022 2:54:48 PM,15-A,PM04A,EC207,"8                             M9-No Carbon
9                             M9-No Carbon
96    IF0a+Sodium Succinate/Ferric Citrate
97    IF0a+Sodium Succinate/Ferric Citrate
98    IF0a+Sodium Succinate/Ferric Citrate
99    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,31.9116,25.2495,31.4597,26.7804,27.5095,11.0,15.2439,49.0526,61.5639,58.6224,68.892,32.1043,31.1435,25.1001,60.0301,34.0052,26.5884,55.2172,51.8691,40.9443,71.6508,46.047,52.7574,30.4475,69.5356,30.7024,98.1602,81.6317,24.8857,51.1492,29.5006,87.9236,11.8239,69.4707,85.8456,32.5948,105.2012,68.9649,31.5584,27.1713,22.2106,31.0212,31.5923,40.7541,85.7489,60.1356,82.806,36.8704,46.5475,33.8498,34.473,27.5186,31.8777,28.7057,28.6896,21.5987,42.723,50.5199,32.1243,36.8367,45.1127,36.5134,31.9943,33.897,27.2511,28.3965,23.4212,35.038,30.1111,31.1475,40.4243,56.4551,48.2751,37.9459,36.8092,42.7529,44.3712,31.2735,34.2095,31.2427,36.937,38.7493,43.7634,43.4112,51.5387,53.1914,37.9241,47.4331,37.4586,37.0351,34.1741,38.0177,40.8303,46.0914,46.6815,51.2713
