Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,24.0045,16.7489,14.5666,18.1794,11.0,11.0,11.0,11.0,12.8968,11.0318,19.0634,19.414,17.2907,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6801,17.3258,23.2152,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1461,15.8081,18.7517,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2306,15.9943,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3816,11.1224,11.0,11.0,11.0,11.0,11.0,44.4479,11.0,11.0,11.0,11.0,13.9143,12.5204,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1343,11.0,13.1785,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3176
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,30.7689,21.649,17.8667,15.0714,16.9268,11.0,12.9754,17.9754,16.3242,18.0222,21.125,23.3766,22.4772,11.5235,11.0,11.0,11.0,12.3072,11.0,12.0231,12.0207,13.7409,18.9326,18.3714,26.516,11.5484,11.0,11.0,11.0,11.0,11.0,11.0,12.1004,11.0,16.2273,25.6499,22.1581,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1062,19.8787,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4378,20.5876,16.0233,11.0,11.0,11.0,11.0,11.0,46.3319,11.0,11.0,14.0064,11.0,19.7529,18.8772,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8895,11.0,17.0124,19.163,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.8749
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,26.0323,21.0509,17.9495,13.4625,12.4181,11.0,12.4732,15.2835,15.0922,13.0468,18.1022,21.6847,18.976,11.0,11.0,11.0,11.0,11.8614,11.0,11.0,11.0,12.4711,15.1709,19.3664,24.632,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.901,17.3127,15.3488,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4221,17.9588,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5927,14.5041,12.6705,11.0,11.0,11.0,11.0,11.0,47.3662,11.0,11.0,11.9405,11.0,17.5999,13.3539,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.63,11.0,18.5465,18.2029,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0841,21.8205
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,24.6388,23.4869,13.7432,13.991,13.1893,14.6036,13.2712,18.3674,17.4836,13.839,18.2374,25.433,18.1358,11.0,11.0,11.0,11.0,12.2133,11.0,11.0,11.0,11.0,11.8438,24.193,25.0753,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3781,18.7793,20.2653,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.6507,17.7647,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1837,22.0248,11.0,11.0,11.0,11.0,11.0,11.0,48.6494,11.0,11.0,12.3477,11.0,22.713,16.4074,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2345,11.5901,11.4876,22.6677,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3419,21.1428
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,29.566,17.0479,16.1251,16.3459,11.939,11.0,17.8543,18.5466,14.9887,17.862,16.5088,23.9913,21.2975,11.1651,11.0,11.0,11.0,15.1774,11.0,11.0,14.7194,14.5915,11.8213,18.4473,19.6457,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7999,15.8622,18.1933,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8559,19.3518,11.0,11.0,11.0,11.0,11.0,11.0,12.459,11.0,11.0,12.3965,16.6116,13.0325,11.0,11.0,11.0,11.0,11.0,48.87,11.0,11.0,11.0,11.0,20.2901,17.644,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.5436,11.0,15.3732,30.2024,25.0371,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3117,17.3864
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,21.899,15.5664,16.8175,16.7537,14.7445,11.0,29.1112,18.0802,17.3578,14.2197,18.6108,26.3503,18.5612,13.0441,11.0,11.0,11.0,16.7411,11.0,11.0,11.0,14.474,16.2733,20.9071,21.1787,11.0,11.0,11.0,11.5291,11.0,11.0,23.6926,11.0,11.2198,16.0433,15.486,19.8509,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5531,22.1738,11.0,11.0,11.0,11.0,20.4698,11.0,22.5385,11.0,11.0,19.041,22.4757,12.414,11.0,18.5061,14.9541,11.0,11.0,47.6047,11.0,11.0,11.2232,13.3117,20.9454,17.0039,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7302,11.0,15.7925,43.6398,36.9397,20.3539,19.3309,11.0,11.0,11.0,15.1416,18.8531,11.0,15.788,19.9661
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,25.903,22.2427,14.43,18.1019,17.4559,11.0,39.6333,19.7622,18.7409,14.9467,18.9644,27.1596,20.4199,14.9364,11.0,11.0,11.0,18.8322,11.0,13.952,17.4119,14.4018,13.8247,21.5153,18.3024,12.865,11.0,11.0,11.0,11.0,11.0,26.6829,11.0,11.0,15.1392,19.8992,19.9312,11.7116,11.0,11.0,11.0,11.0,11.0,11.0,12.026,11.0,11.0,21.3734,18.9448,11.0,11.0,11.0,11.0,30.0223,11.0,32.2299,11.0,11.0,24.8186,23.2912,17.0534,11.0,32.1159,18.1231,11.0,11.0,51.7,13.8937,11.0,13.6417,11.5024,24.1736,15.5575,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2246,13.9707,17.2111,52.6067,43.4833,29.176,30.6889,11.0,11.0,15.2683,33.0215,26.4805,21.1061,13.3882,25.1289
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,30.1217,20.4968,15.2574,17.3192,19.599,11.1598,44.7004,21.9841,16.4092,21.2825,19.5712,28.6505,24.0798,16.3831,11.0,11.0,11.0,13.8207,11.0,13.1896,21.827,20.9851,19.4354,21.1897,24.8234,11.0,22.1901,11.0,11.0,11.0,11.0,38.6917,11.0,12.3779,13.2118,21.1947,21.6857,14.2765,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9212,11.0,17.284,22.1379,11.6643,11.8375,11.0,11.0,40.8023,11.0,37.3933,11.0,11.9296,29.7458,27.6829,16.5788,14.4409,42.1592,25.2328,11.0,11.0,49.8458,15.3158,11.0,16.8467,13.205,22.753,14.6373,11.5159,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2544,19.1884,58.2705,49.6334,38.6534,34.7106,11.0,20.1311,31.0375,36.2912,37.0709,25.5277,17.2048,30.5072
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,27.63,22.0272,19.5347,16.971,14.8796,11.7982,49.9781,20.0607,21.1324,16.3927,16.673,34.971,27.1448,14.1905,11.0,11.0,11.0,11.0,11.0,15.7514,31.9672,26.4534,18.6877,21.4709,21.9536,15.514,33.0451,11.0,11.0,11.0,11.0,47.0064,12.7887,11.0,17.1603,21.4356,19.485,19.7839,11.0,11.0,11.0,11.0,11.0,11.0,11.2487,11.0,11.0,23.5602,22.8885,11.0,11.0,11.0,11.0,48.6993,11.0,50.0188,11.0,11.0641,33.8201,24.6927,15.5652,11.6344,55.0311,37.8669,11.0,11.0,47.0448,16.1528,11.0,16.3761,14.9532,25.5289,12.8757,14.6093,11.0,11.4103,11.0,11.0,11.0,11.0,11.0,11.0,12.0059,18.8283,66.8165,60.4768,44.5736,44.475,12.6117,22.9796,35.4644,44.5593,43.504,28.7871,14.2885,35.1328
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6B_3.OKA,3/4/2022 2:54:48 PM, 6-B,PM03B,EC212,"18                             M9-No Carbon
19                             M9-No Carbon
116    IF0a+Sodium Succinate/Ferric Citrate
117    IF0a+Sodium Succinate/Ferric Citrate
118    IF0a+Sodium Succinate/Ferric Citrate
119    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,23.2767,18.6003,15.4274,15.2064,16.6019,11.0,52.663,22.4839,17.8038,13.9348,19.3259,37.6302,24.7199,11.0,11.0,11.0,11.0,11.0,11.0,14.0927,37.8077,33.445,16.9155,18.4812,18.5701,14.6733,32.8717,11.0,11.0,11.0,11.0,55.4058,13.1607,11.0,15.9505,18.4362,21.3933,25.6463,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9679,22.1282,11.0,11.0,11.0,11.0,51.1307,11.0,64.2031,12.5893,11.0,45.1947,35.7617,15.1462,14.5885,67.5368,47.7801,11.0,11.0,46.1673,12.8993,11.0,14.6852,16.0714,26.3255,15.8409,11.6793,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7581,75.903,70.9297,49.3801,47.4358,12.3903,25.8551,41.929,48.0161,47.9467,31.9582,12.8051,38.6647
