Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,12.4738,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1356,35.1152,14.3247,11.0,11.1862,11.0,152.3231,11.0,11.0,11.0,99.4548,11.0,27.9437,25.9031,15.4022,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.1865,15.9974,11.0,11.0,11.0,11.0,29.5808,11.0,11.0,11.0,11.0,11.0,20.9822,17.8548,11.0,11.0,11.0,19.6548,11.0,11.0,11.0,11.0,11.0,11.0634,72.5144,19.9719,11.0,24.3846,11.0,11.3441,11.0,11.0,11.0,40.5218,11.0,17.4732,24.6615,19.6644,15.3497,11.0,11.2604,11.0,11.0,11.0,11.0,11.0,11.0,16.3158,25.6541,27.6997,14.8444,20.916,14.621,19.2022,18.5264,16.1547,18.5511,109.7625,25.4927,30.8433,26.3419
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,13.8712,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1303,34.986,18.1617,11.4391,12.2306,11.0,152.7195,11.0,11.0,11.0,95.8302,11.0,27.7482,28.4737,18.6441,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5362,12.3706,24.5296,17.9611,11.0,11.0,11.0,11.0,26.829,11.0,11.0,11.0,11.0,11.0,21.9218,17.748,11.0,11.0,11.0,17.3031,11.0,11.0,11.0,11.0,11.0,11.0,72.7287,20.6233,11.0,23.0837,11.0,14.4287,11.0,11.0,11.0,41.5566,11.0,17.4986,25.0231,20.7172,13.0531,11.0,12.5411,13.9998,11.0,11.1932,11.0,11.0,11.2579,15.2733,23.6714,24.8006,20.2611,16.0062,17.5116,15.8557,12.8755,11.0973,14.4329,114.2623,22.2665,25.9668,28.1646
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,20.0786,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4737,39.9999,21.5586,11.2175,14.6275,11.0,155.7578,11.0,11.0,11.0,96.6767,11.0,27.1369,27.1404,18.6593,11.0,11.0,11.0,11.0,11.0,11.0,11.5243,11.0,12.22,11.0,24.7707,21.4764,11.0,11.0,11.0,11.0,30.0109,11.0,11.0,11.1542,11.0,11.3464,19.9525,20.0366,11.0,11.0,11.0,27.7569,11.0,11.0,11.0,11.0,11.0,11.0,73.7238,23.3375,13.2618,20.5865,11.0,13.9323,11.3808,11.0,11.0,37.5097,11.2203,17.0705,27.9649,24.8247,15.1388,11.0,15.0936,15.6833,11.0,11.0,11.1587,11.0,11.0,18.5192,26.3051,24.4384,24.743,23.721,14.5842,17.3818,14.219,18.0203,12.1586,117.641,24.2076,30.2686,28.9379
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,15.3118,11.0,12.8798,11.0,11.0,20.0923,16.9483,14.1742,15.023,19.3421,23.2927,51.6543,23.6019,11.0,11.0,11.0,158.9073,11.0,11.0,11.0,100.6885,11.6675,25.9721,32.6034,20.7304,11.0,11.5329,11.8586,11.0,11.0,11.0,11.0,11.0,16.4742,18.5729,26.9074,20.443,11.0,12.816,11.0,11.0,28.5502,21.4997,11.0,11.0,11.0,12.6004,28.6594,20.9251,12.3168,11.2195,11.0,35.5962,11.0,11.0,11.0,13.5288,11.0,12.4334,82.3912,29.3044,17.663,38.4244,16.1037,21.6014,12.5555,12.4458,11.0,40.5785,18.4102,18.0707,32.9987,26.4349,15.4088,18.8861,18.5875,17.646,16.6377,11.0,13.0673,11.0,19.2271,19.0711,29.4431,36.3398,29.8135,25.4811,16.6547,24.5709,20.7141,20.5894,20.6146,119.1937,32.9221,36.315,40.3462
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,30.5196,17.412,22.1354,15.8793,20.2947,55.4899,23.741,26.0485,28.7467,28.9769,35.2426,66.5706,29.357,20.2282,12.122,14.6421,156.6134,13.0611,20.2329,17.7201,100.2772,11.0,36.8042,31.5501,34.8878,19.6291,22.8186,23.9374,11.0,11.0,15.4626,11.0,11.0,33.7497,28.8894,27.1875,40.2232,11.0,23.2515,11.0,15.292,31.9367,35.549,13.6984,11.0,19.657,16.9566,39.8277,28.1124,19.4523,19.447,22.3034,41.1959,11.0,11.0,16.3431,24.3779,13.408,15.2551,93.8139,44.2241,32.9006,50.315,32.2322,34.9662,27.2349,21.1129,12.9422,43.5239,24.2123,23.6894,42.0735,40.4463,34.4887,34.5948,27.8479,30.8277,20.055,14.4674,25.1764,11.0,23.7438,29.4898,36.0628,46.4939,43.6873,39.5168,21.0909,35.824,31.2584,30.6154,27.8217,117.2988,40.4198,44.3568,49.607
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,37.7879,25.2836,41.6284,22.0979,30.0116,74.3732,38.4834,33.8926,38.3299,41.0622,43.5569,74.9884,35.336,24.0079,14.8681,24.6795,158.6733,23.4451,25.7737,19.9306,99.514,16.3918,49.5024,29.3697,52.7904,32.7613,33.1663,37.1967,24.1443,11.0,21.7108,14.1045,17.9947,38.5067,37.2799,25.4147,50.3489,18.6684,35.4932,11.0,29.0755,33.6151,53.7719,19.8193,22.1676,25.6092,22.0182,50.3404,26.3777,33.51,30.6704,34.0035,49.2503,11.0,11.0,25.0642,33.1539,19.6656,17.5896,104.8055,56.5704,47.0403,60.7773,49.0829,45.7433,35.3385,32.3828,23.9921,44.9002,34.1935,21.0476,51.1936,48.263,49.9426,42.9664,38.8646,39.4797,29.1657,28.5609,38.177,16.1329,16.2884,38.9219,47.1393,55.8142,51.6848,50.2082,31.5563,46.0688,44.6779,45.8088,36.6322,124.4904,50.0512,53.7108,52.8751
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,48.3133,32.4214,48.4844,29.7989,39.603,88.0549,49.8393,45.2676,39.682,56.8076,47.3916,84.2249,38.4932,31.9962,16.281,28.2632,160.5733,33.1391,37.1366,28.2785,101.9132,20.5738,55.4241,33.2013,61.6392,32.0792,41.2453,40.5315,34.7803,15.479,28.7083,11.9413,22.0081,44.1526,44.3284,29.8413,60.635,20.7313,43.4825,12.352,36.9961,42.5842,63.2816,26.1447,33.3072,29.1844,28.541,57.0851,27.8193,39.9242,42.9731,43.1423,55.5919,11.0,15.3914,27.5439,41.2221,23.1245,13.194,111.4649,69.3791,56.0255,70.5644,50.0051,58.4179,47.9258,37.1563,24.3961,43.5999,37.9108,21.1498,60.6555,58.1131,59.2363,46.2507,50.4413,48.6647,42.3288,31.8787,48.9642,17.6934,20.0356,44.8984,54.6129,64.1729,58.4157,52.5881,38.8213,46.3585,54.6922,51.4808,42.1573,129.1747,57.4169,56.6687,65.7441
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,57.534,33.6798,55.2428,43.5718,51.9794,103.9243,56.6859,50.6006,55.7887,62.8207,53.3274,92.9863,39.3585,34.4725,14.3928,38.7698,168.3229,43.2972,45.0462,37.5605,105.2053,28.2487,65.5952,47.9351,67.5238,39.8608,48.2494,52.069,49.0076,30.7272,40.8015,17.7897,33.3601,52.5657,51.7762,28.6813,69.2471,26.8505,49.2292,19.4756,45.4996,61.3774,77.8026,40.6592,42.0891,39.4439,40.007,69.5492,31.4895,51.8543,46.6227,49.8608,59.6467,11.3796,22.8776,41.1822,52.6642,30.1369,20.3107,118.3376,76.9203,62.8441,77.1713,62.0878,67.5577,55.9883,49.8424,33.1629,45.3671,50.3601,23.6063,70.7846,65.5495,71.6767,57.9737,57.4604,56.142,51.3397,40.2734,56.9998,19.6952,23.1881,56.7078,53.7068,76.4651,70.1276,68.947,46.8926,54.23,60.9826,56.714,52.3872,134.233,61.4849,64.9456,71.084
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,70.5488,33.7957,60.3284,42.7889,58.5946,118.4247,58.4272,56.1498,54.4452,60.4911,52.6963,96.2778,46.3672,35.3775,15.9974,43.9113,170.0275,45.5134,42.784,37.8514,107.9138,34.5459,66.1534,50.9204,68.9845,36.1243,50.416,50.9771,49.2335,34.2077,44.699,12.2574,33.9499,57.6845,50.5422,33.7402,76.7955,24.2489,50.0188,25.127,45.9716,69.104,82.2133,41.6212,46.8964,42.677,42.2111,73.6442,28.483,59.9994,48.5248,51.993,66.5446,11.0,26.621,38.8064,52.0382,37.1114,17.7485,119.0295,86.1686,66.1852,89.5807,66.0133,72.4344,51.4746,50.1553,36.5051,46.0591,51.684,23.1096,73.0592,68.4051,73.7822,50.9946,56.0081,55.6788,55.6297,46.3707,60.6301,22.6964,22.9677,58.1527,52.6172,77.5458,66.0186,63.6105,47.6982,55.2656,57.9188,59.0953,58.2946,135.2222,64.8631,68.4474,71.8805
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC213 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_14A_22.OKA,2/25/2022 4:20:34 PM,14-A,PM02A,EC213,"20                             M9-No Carbon
21                             M9-No Carbon
120    IF0a+Sodium Succinate/Ferric Citrate
121    IF0a+Sodium Succinate/Ferric Citrate
122    IF0a+Sodium Succinate/Ferric Citrate
123    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,64.0126,32.5805,51.8569,42.6061,57.9974,123.6143,59.4919,60.2507,56.5049,59.1965,53.4496,103.4445,43.9589,33.7594,13.9919,46.2349,174.9506,47.1805,47.094,40.0351,99.3274,38.8949,67.9896,62.2512,68.2419,38.2912,51.1543,53.6429,53.3836,39.4974,49.3471,12.5728,38.0906,54.1169,47.0646,30.8321,82.1053,25.3623,51.5862,30.095,44.9469,80.9183,86.6025,46.4455,50.4996,43.6848,40.1306,73.0018,35.8127,60.2963,49.9568,53.2714,70.5658,11.0,30.6626,40.871,59.6066,39.3868,16.7226,119.321,94.9522,69.1062,90.6497,65.517,70.3454,52.8335,49.0919,39.9526,52.6785,56.677,24.7737,75.6281,64.9136,75.7048,53.8797,58.382,55.9361,55.4257,51.7246,59.8658,20.7382,22.8965,60.5768,55.3464,76.7597,64.7591,69.4741,48.2314,59.9086,60.0259,62.6188,62.1366,141.2493,66.9557,66.7044,75.6563
