Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,13.4757,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3192,19.1926,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4638,20.247,22.499,11.0,11.2143,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3413,14.9289,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5229,19.9887,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.602,13.6313,20.1104,13.9302,14.1479,11.0,11.0,11.0,61.0946,11.0,11.0,11.0,17.3982,15.7198,20.7157,15.0252,11.0,18.3811,15.2082,11.0,11.0,11.0,11.0,17.8758,11.0,22.4839,37.3849,34.9428,28.4836,24.1679,18.9853,12.0263,18.403,22.633,18.8014,16.1353,23.3124,24.5875
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,15.5632,11.0,11.0,11.0,11.0,11.0,15.1187,13.8421,11.0,11.0,11.2862,24.1733,24.892,14.3439,11.0,11.0,11.0,11.0,11.0,11.5092,20.8755,20.4573,16.0451,18.1976,20.0152,11.0,25.8161,11.0,11.0,11.0,11.0,11.0,14.9821,21.455,11.0,17.1808,19.142,15.323,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2965,16.6879,21.6124,15.7909,11.0,11.0,11.0,11.0,13.6438,21.8835,13.8148,11.0,16.0246,20.1784,26.4109,18.413,31.6774,13.2608,11.0,11.0,74.3228,11.0,13.9123,11.0,20.0038,21.9264,26.4148,31.0324,15.5089,21.7905,18.725,12.1527,11.0,11.0,11.6491,22.3163,16.5614,27.311,44.5152,50.4519,38.6838,38.7349,28.3094,14.3169,28.2107,30.5057,32.2583,21.3121,19.557,26.489
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,20.3605,16.2842,11.0,11.0,11.0,11.0,31.3213,17.0268,17.8211,11.0,14.0659,20.5791,45.6781,17.6548,11.0,11.0,11.0,11.0,11.0,20.188,34.1573,38.3282,26.6849,22.2902,22.4333,11.0,28.6004,18.8692,17.6537,11.0,21.085,14.5725,24.2133,26.7113,11.0,18.7267,22.0305,24.4931,18.6229,11.0,13.2811,11.0,11.0,11.5622,13.0062,13.583,11.0,17.3868,18.7278,15.8524,13.4574,12.1502,11.0,11.0,18.729,30.087,25.6487,11.0,21.4748,21.5418,31.1139,30.4362,42.0693,18.4974,21.0117,11.0,83.0269,17.4576,15.8887,13.9512,25.0681,23.1148,25.723,40.0791,17.6952,27.3337,24.8573,18.5244,11.0,11.0,14.3482,18.0645,17.7882,25.1301,66.6848,59.3466,48.2928,45.2243,33.911,14.2868,30.5194,43.4841,50.1606,26.9477,22.312,26.4598
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,17.097,20.2679,11.0,11.0,11.0,11.0,35.6068,12.4397,24.1499,13.5099,11.0,21.8919,33.5788,26.3201,11.0,14.2178,15.8891,11.0,11.0,25.9721,42.3849,44.8546,37.4314,20.7789,20.9609,11.0,38.4747,22.0077,23.8895,11.0,29.7047,21.8678,32.2579,34.7481,11.0,21.3366,22.0769,28.0996,23.8152,11.0,17.8018,11.0,11.0,13.4452,19.2393,13.9804,12.9986,18.4465,21.9182,19.1749,11.5312,16.0022,11.0,11.0,20.1976,34.3593,32.411,11.0,22.41,17.2998,30.4266,32.3842,57.5226,24.6452,20.725,11.0,86.4043,23.6541,19.4743,11.5409,27.3124,16.8799,33.2712,48.925,25.7466,29.9997,31.5595,26.2016,11.0,12.8203,17.141,22.5414,23.3345,25.568,66.3864,75.9197,59.2962,50.4458,36.2366,20.9794,42.004,51.6018,55.9058,30.1312,24.219,25.1731
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,18.0079,24.0764,11.0,11.0,11.0,11.0,42.2882,11.0,23.2614,18.1225,12.975,18.6288,43.4976,47.1595,11.8661,20.2561,16.5731,11.0,11.0,32.2437,50.117,59.6584,56.2606,23.2693,22.114,11.0,49.3713,31.4129,22.1434,11.0,39.2717,33.4505,43.121,38.6441,11.0,24.2889,19.505,31.5934,24.429,11.0,23.9081,11.0,12.399,11.0,26.1618,24.5979,15.6323,17.0185,17.1122,19.2388,16.8219,15.9355,11.0,12.9738,31.8828,47.345,39.78,11.0,22.7648,17.2823,31.0841,39.1301,67.9965,29.5819,20.5442,11.0,89.7286,31.8501,18.2285,17.2523,30.3368,21.6584,26.3679,51.0158,33.6744,33.2686,35.9058,33.7633,11.0,15.2152,14.8147,19.6451,28.3436,23.2767,74.0852,83.04,64.1292,55.1065,34.5639,25.4754,54.6381,58.8275,67.0176,34.2084,23.79,25.1387
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,17.176,35.2649,11.0,11.0,11.0,11.0,43.6972,18.823,25.7188,17.0151,14.8384,21.8393,51.8174,46.723,17.2418,26.8666,27.3536,11.0,11.0,42.7745,53.2391,71.9533,74.9023,22.6271,24.8665,16.9774,55.4728,40.258,28.8707,11.0,50.2454,41.6315,53.4717,49.9673,11.0,21.2279,26.2907,36.4034,35.2589,11.0,34.2004,11.0623,16.2457,17.8902,29.7265,31.6358,20.4833,18.1157,19.8365,25.3993,20.5544,21.4388,11.0,12.4732,39.7334,62.8784,54.9763,11.0,30.669,16.4427,34.1683,44.8133,75.6971,42.4255,23.0903,11.1598,96.829,41.9258,21.2116,21.8885,31.6619,21.45,32.4405,56.8987,35.3478,39.8671,38.5035,39.7759,11.0,20.7827,21.9963,18.653,30.7102,23.9071,85.8565,96.3452,64.6003,63.6239,42.8632,33.2659,62.5604,72.0198,68.4027,34.3082,26.9257,28.9763
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,24.4584,43.923,11.0,12.7478,14.446,11.0,51.5849,25.1312,31.7132,15.0188,17.5159,25.9091,54.2357,63.3519,20.9978,35.2928,39.001,11.0,11.0,49.7728,62.3802,85.2278,83.3556,25.3426,29.7125,22.1175,69.9434,47.2173,38.6441,11.0,58.7015,56.435,61.2923,60.3309,13.1194,21.5642,28.5184,37.5645,43.3735,11.0,36.814,15.9217,15.9023,22.7676,33.1726,40.0899,30.2236,23.3816,25.5371,27.3754,25.6381,24.4103,16.8506,13.998,44.3917,63.3925,68.6419,11.2544,31.5463,15.951,40.0081,60.8404,87.5314,47.5115,29.7117,14.4117,102.3828,55.1456,28.7423,24.1306,36.1564,25.8902,36.5301,66.647,40.3237,53.7748,46.5575,48.4177,11.0,20.2849,24.5821,23.3273,37.1242,27.9987,93.6169,99.5212,70.242,75.6471,42.2814,41.1932,70.2171,73.192,82.5899,48.0962,23.8494,27.95
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,22.9346,42.0295,11.0,11.0,11.5391,11.0,53.2152,31.0847,33.8228,13.6175,13.8216,27.0332,59.9436,62.5473,25.808,39.2611,33.1241,11.0,11.0,60.2204,75.2199,92.6669,83.9785,23.3188,24.5572,26.2385,75.1827,51.2456,38.8568,11.0,64.6096,59.6168,65.8941,68.2952,12.6187,19.7724,23.8012,43.5471,44.4424,11.0,38.8699,11.78,19.4867,18.438,36.0,47.3662,27.2226,22.0785,27.8305,31.5196,24.2258,27.0162,11.565,11.0,44.1441,62.4811,82.8025,11.0,29.7542,20.1016,43.7137,63.5874,84.5993,46.7955,29.2365,14.7286,106.07,63.114,24.9683,26.1504,33.2618,21.113,35.1727,76.5864,47.736,68.1393,49.3637,48.3474,11.0,19.0104,27.4588,23.938,24.358,25.2467,96.6177,109.1946,78.8068,80.2244,44.5807,45.7842,81.9995,82.4992,83.785,52.0428,22.9274,30.8709
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,29.0844,45.2386,15.1712,16.0165,13.1617,11.0,66.8995,38.7357,42.0852,25.4348,19.669,23.9564,63.989,43.0855,29.632,48.6347,44.1531,11.0,11.0,73.3445,91.1304,105.2213,84.6439,21.855,34.0158,27.6293,96.438,57.1957,48.6265,11.0,78.2518,66.5347,77.7531,79.6585,14.6128,24.6475,33.2529,46.963,56.3533,11.0,42.3333,12.0923,24.1808,24.1875,45.8356,52.6925,36.726,23.7985,29.0164,36.2773,23.2769,36.0112,14.5075,17.0412,50.0277,70.9476,96.356,13.0335,33.7482,17.9283,47.7919,75.9762,108.3751,56.6731,36.1164,16.1112,110.6725,67.9109,24.7625,32.1659,41.7428,21.061,39.7298,83.6399,48.2215,60.5764,54.6831,57.8139,19.0032,22.771,31.1532,25.3081,30.2472,28.5794,109.5171,115.5944,90.9831,88.955,49.2642,55.3789,88.6986,90.1859,92.026,56.371,24.0258,26.0428
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14A_22.OKA,3/22/2022 4:15:17 PM,14-A,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,31.2683,47.3943,13.7194,13.5601,12.0852,11.0,67.2653,39.1331,38.3425,23.5009,16.7315,24.6007,66.8669,50.8818,29.5038,49.4982,47.875,11.0,11.0,78.0954,103.6302,109.4891,92.9424,21.154,31.4515,21.6758,99.5828,64.2352,49.4579,11.0,82.0183,69.8825,85.9631,88.7987,12.8739,21.947,26.7257,52.6106,59.8891,11.0,43.2101,11.751,27.5267,22.7657,48.9899,54.6178,38.185,21.5495,25.8024,34.3098,28.2151,31.9766,15.9919,14.9143,54.3932,69.1404,106.5446,11.0,58.678,20.2188,47.3729,88.1697,123.3563,59.64,32.7117,14.6881,117.8268,71.6515,32.2968,35.7975,45.7935,22.781,37.9353,88.341,53.1694,49.3946,54.6315,58.3684,11.0,19.1614,31.5133,25.0735,29.1565,24.8594,113.513,120.3724,97.5262,91.3286,55.9254,50.8864,90.212,94.1997,102.0347,63.0588,27.2169,26.6944
