Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,24.862,17.0917,11.0,15.8882,15.0569,11.0,15.1805,14.171,13.8614,21.7513,23.5709,37.22,19.2539,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8571,24.423,18.7053,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0262,12.6838,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.2571,14.1105,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1119,30.214,19.8862,11.0,11.0,11.0,11.0,11.0,60.1326,11.0,11.0,11.0,15.3534,29.0978,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9972,14.671,26.54,22.6817,14.1137,11.0,11.0,11.0,11.0,11.0,11.0,15.0515,12.1971,16.1569,27.397
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,23.0547,21.7181,11.0,11.0,17.5457,14.2287,20.9597,15.3995,16.5071,23.59,16.2033,32.4022,28.5035,11.0,11.0,11.0,11.3766,11.9035,11.0,13.7759,20.2913,20.9917,22.5174,19.7132,22.3128,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0313,15.6099,13.7636,21.0987,16.0972,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6477,18.7759,18.8498,11.0,11.0,11.0,11.0,17.8512,11.0,11.696,11.0,11.0,15.0797,28.9049,19.9624,11.0,14.3703,11.0,11.0,11.0,71.4972,11.0,11.0,11.0,19.0338,24.7875,12.7431,11.5248,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.62,19.8276,32.3617,23.9589,16.9941,21.2375,11.0,11.0,17.2686,24.4615,25.7832,21.0057,15.8466,27.2223
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,29.4326,27.0516,11.4158,14.3841,21.7153,16.8957,37.886,26.5361,31.3788,31.4651,22.2835,38.0418,34.4045,11.6223,11.0,11.0,13.3452,21.5729,11.0,23.9259,36.9101,34.8905,34.7498,21.9144,29.4123,11.0,25.2465,11.0,18.7896,11.0,19.5282,12.543,22.1299,21.202,13.8095,29.5598,20.208,17.7619,11.0,11.0,14.1709,15.6835,11.0,14.5124,15.8723,15.0677,20.0771,23.1957,21.5107,16.136,11.0,16.9375,11.0,25.7913,14.9569,31.2617,22.9705,11.0,18.0053,31.6887,22.431,13.8502,21.4754,14.9839,11.0,13.7728,76.8244,17.6406,21.1539,18.9998,22.835,34.0991,15.0979,21.3651,17.1717,11.0,12.8594,11.1909,11.0,13.5311,12.699,11.0,32.3359,20.7021,47.2097,29.9358,31.0323,23.7522,11.0,14.9245,22.4278,30.4859,35.2137,23.3207,17.3151,32.3094
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,33.4496,32.781,11.3522,17.8424,18.4142,16.9394,40.8642,32.3204,40.3671,35.7218,18.2087,43.05,33.2015,14.4016,11.0,11.0,13.8432,24.3728,11.0,26.4069,39.8922,39.5057,41.4398,22.6584,34.7967,11.0,32.8684,11.0,29.8291,11.0,25.5288,19.4833,32.3711,31.9815,11.1857,33.901,23.8131,23.5632,11.0,11.0,25.2244,19.0254,19.0005,20.3291,21.279,23.2901,22.9387,23.1676,20.6804,17.4864,14.9144,22.9467,12.4595,31.2903,22.8644,39.0751,33.8665,11.0,19.3888,33.2607,25.2967,17.6263,33.0111,18.7324,20.7477,18.9206,81.828,28.6142,22.9168,26.1028,30.4623,25.4564,15.926,27.4413,21.5569,11.0,18.2409,16.8618,11.0,21.3514,25.8902,11.0,35.0395,21.7764,43.478,39.9018,35.0339,31.0792,11.0322,19.6688,30.6598,35.6859,42.0453,35.0073,17.9317,40.3576
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,29.4796,33.8242,11.0,16.6819,19.6671,18.6035,45.5664,39.583,50.1141,42.2235,19.329,50.1262,43.962,16.556,11.0,11.0,13.424,28.5469,11.0,31.0257,47.9996,52.2551,48.7624,24.8946,37.0172,11.0,43.5993,11.0,30.6843,11.0,33.6181,29.9936,43.9279,38.2073,14.5834,35.1202,33.5532,24.4583,16.2052,11.0,30.7968,27.2398,26.6859,27.1781,30.8523,27.4289,27.8648,22.4286,20.4989,28.1209,19.2913,27.8292,21.8148,36.0056,33.7752,52.471,49.3438,11.0,15.7486,35.169,25.2198,25.6716,45.7229,21.218,26.2487,25.0299,82.3819,32.2298,31.7233,36.1936,29.6351,36.6701,17.4869,30.4385,19.6282,11.0,26.433,34.9755,11.0,31.7863,35.0626,11.0,46.1939,21.4585,53.5214,62.9327,34.8935,45.5803,18.3098,31.2196,42.3737,43.4331,48.9786,38.9698,19.0082,40.5223
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,30.3576,38.5899,13.1057,16.1175,23.2733,18.7394,57.6287,48.0407,50.8369,53.0417,23.1088,61.3704,54.6066,23.5288,11.0,11.0,23.8431,37.3492,11.0,44.9689,54.3281,63.6253,56.1682,23.7274,40.4551,11.0,50.3073,12.4281,40.7765,11.0,43.0755,39.3703,48.5758,43.3083,12.826,47.1841,34.8893,30.8607,21.8339,11.0,36.5461,39.6443,33.1616,37.0078,39.824,39.4173,33.3152,27.3509,26.0823,34.6985,29.257,39.1085,31.9758,43.0505,42.3875,63.206,60.9255,11.0,24.8204,41.8055,29.631,32.4204,51.3162,22.0206,32.7973,37.2038,88.7719,44.3763,36.3114,44.6759,38.8918,31.4175,14.4581,42.0341,31.354,11.0,40.1595,46.0786,11.0,43.6154,45.4899,11.0,56.6298,20.1751,68.329,68.4169,46.2376,47.909,21.7901,37.8431,52.3864,57.2245,63.2266,37.906,18.9615,46.0133
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,35.8202,47.324,15.0419,20.8216,23.9309,25.9911,59.0367,57.5208,61.6984,55.3207,27.1714,71.9846,55.1327,30.063,15.7134,15.9684,25.8084,41.53,11.0,51.2031,64.7595,68.2711,70.4738,28.982,47.8817,11.0,57.3227,17.7208,47.4437,12.536,56.8853,49.0294,60.6511,51.1752,15.3681,47.3591,32.9349,43.0068,30.5892,11.0,48.8875,49.5624,42.5501,48.756,49.4688,42.9185,43.519,27.1931,26.7619,39.6531,36.0344,41.6656,38.8642,47.1822,50.4105,63.7933,73.284,11.0,28.3896,48.7287,34.5165,42.8278,55.8756,28.2898,47.7473,37.7443,94.5099,46.595,48.5439,53.8277,43.1255,41.7805,21.5438,47.4322,43.2136,11.0,49.7528,50.3347,11.0,48.7417,49.7763,11.0,63.0746,27.1339,76.3278,73.5989,69.4159,61.4396,28.1181,48.0376,60.3159,73.9792,78.691,59.7752,25.9357,55.7432
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,36.8714,50.2254,17.4524,19.1452,27.836,31.7294,70.364,61.1078,61.6678,51.3822,27.1531,75.226,69.538,32.5264,11.0,18.1327,20.4862,46.2702,11.0,53.469,71.0577,72.2658,82.1237,23.7786,46.8693,11.0,63.7958,21.7933,55.701,11.5037,63.2587,54.5112,65.9748,57.9943,13.4643,50.7942,34.647,50.8987,36.185,11.0,53.1503,57.8401,48.5,51.1839,55.3125,52.9072,52.8109,27.3036,28.7927,40.0722,36.1852,45.9956,40.7389,51.8183,59.602,54.8775,84.9305,11.0,26.3,47.292,35.5239,49.9961,81.5038,31.734,48.9103,41.6837,94.3503,58.5031,56.982,59.6653,47.9498,41.0203,20.2358,55.9338,47.1669,11.0,54.5297,47.6093,11.0,51.9419,59.1174,11.0,62.4848,21.191,79.6116,85.7165,77.5617,66.8813,17.3643,52.2026,64.7554,78.8841,95.8792,69.6251,21.4009,56.9016
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,39.7854,49.6276,13.1764,23.4495,33.6818,32.3446,76.9435,51.8308,71.5768,53.1287,22.8546,85.3902,79.9282,38.0163,13.6754,27.9367,27.6733,49.3199,11.0,66.558,76.5961,82.2909,92.3092,33.1853,51.4091,14.1877,70.381,29.2517,58.8458,11.0,73.0563,61.9017,73.7301,69.175,18.3657,50.6501,38.1092,71.8423,39.1411,11.0,63.539,67.4339,56.8414,59.2564,65.5155,59.6001,58.2431,33.9997,29.3471,44.4206,45.9921,51.744,45.7075,62.0775,73.2467,57.3766,93.9803,11.0,31.3457,55.6968,36.5243,69.9009,89.4093,41.6156,59.1072,41.5755,95.2213,65.7281,58.0975,68.9717,60.9269,43.5105,24.1364,63.373,49.9715,11.0,70.1926,51.6455,11.0,68.7253,65.779,15.5498,71.7366,27.437,94.3894,93.7893,86.9726,77.0945,23.5028,60.7834,78.072,87.554,108.928,80.2024,25.5038,64.4812
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC218 R2_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_14B_23.OKA,3/22/2022 4:15:17 PM,14-B,PM03B,EC218,"30                             M9-No Carbon
31                             M9-No Carbon
140    IF0a+Sodium Succinate/Ferric Citrate
141    IF0a+Sodium Succinate/Ferric Citrate
142    IF0a+Sodium Succinate/Ferric Citrate
143    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,40.5156,57.6732,16.7321,23.4793,36.2759,36.5347,73.2289,60.7118,78.9651,58.7344,27.6206,91.1385,83.2819,48.0455,12.0226,29.1464,34.3354,42.754,11.0,70.9102,86.9472,93.3592,99.8218,34.1022,47.287,12.0717,79.9258,32.8531,62.3379,14.8651,82.6628,67.16,80.7775,72.2407,18.7665,53.049,34.9957,62.6949,43.3243,11.0,69.5676,69.2687,64.7475,69.8145,72.4722,66.9773,61.1067,37.1652,33.5794,36.7776,48.2435,56.9096,50.4921,65.3532,75.6616,73.6585,92.8019,12.0449,36.3342,53.448,38.838,72.7017,94.1798,46.4688,66.7655,44.9335,98.6758,71.9305,50.16,86.3753,70.218,42.2941,21.1516,58.4674,57.26,11.0,72.1596,42.7617,11.0,76.4735,71.3163,12.4357,76.1976,21.606,97.5997,99.3477,90.0257,79.1381,30.3167,58.8247,81.6166,97.3493,114.1393,82.0505,26.2342,69.9791
