Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,16.0302,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.728,23.9804,15.2657,11.0,11.0,11.0,36.2823,11.0,11.0,11.0,20.916,11.0,12.2817,16.1837,17.1316,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6766,16.9344,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9337,26.0243,14.8941,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.9214,19.4131,11.0,11.0,11.0,11.0,11.0,11.0,11.0,37.7403,11.0,15.4621,23.1047,23.0603,14.99,11.0,11.0,11.0,11.0,11.0,11.0,13.31,39.1951,14.9204,18.8906,21.8151,17.6282,16.4538,11.1923,14.2178,11.0,11.3589,14.1112,63.2976,23.1856,21.6397,23.8768
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.2136,16.9785,11.0,11.0,11.0,37.2749,11.0,11.0,11.0,19.3352,11.0,11.0,20.6197,11.2193,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6143,13.6726,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6177,21.0443,14.4264,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.0084,17.724,11.0,11.0,11.0,11.0,11.0,11.0,11.0,35.3449,11.0,13.437,21.9418,18.7296,11.0,11.0,12.1559,11.0,11.0,11.0,11.0,20.5235,45.4926,11.1972,21.3472,22.8381,18.3371,14.3924,13.5093,16.0134,11.0,11.0,14.8178,67.2984,22.527,19.0018,27.4574
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,20.2671,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8555,30.4843,17.0203,11.0,11.0,11.0,40.926,11.0,11.0,11.0,23.7273,11.0,11.0,20.8788,17.7946,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7556,18.5969,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6602,23.4909,21.6077,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.5998,19.4705,14.1728,11.0,11.0,11.7099,11.0,11.0,11.0,35.6653,11.0,12.5565,21.7674,21.3529,11.9377,11.0,11.0,12.7679,11.0,11.0,11.0,13.2882,47.9649,15.9038,24.6923,23.6479,21.5169,17.3768,12.5542,14.082,12.0944,15.8725,13.4137,70.5606,22.3023,23.5246,29.6106
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,12.7054,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,32.2163,15.5367,11.0,11.0,11.0,35.909,11.0,11.0,11.0,21.345,11.0,11.0,23.9437,11.7607,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4027,12.322,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.505,22.9538,17.616,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,30.1345,15.498,11.0,13.7708,11.0,11.0,11.0,11.0,11.0,31.0165,11.0,15.6926,19.774,18.4634,11.0,13.4114,11.0,11.0,11.0,11.0,11.0,15.4582,46.2915,15.4691,19.2509,25.872,17.4908,13.5907,11.0,15.7451,15.2193,12.5656,14.194,64.0188,20.3013,24.5662,31.7111
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.8026,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1256,36.4737,16.858,11.4409,11.0,11.0,37.0872,11.0,11.0,11.0,25.7108,11.0,11.9743,23.4285,11.7614,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6439,18.6099,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.8172,23.0224,14.0647,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,32.8611,18.696,11.0,11.0,11.0,11.0,11.0,11.0,11.0,35.0201,11.0,17.6588,21.6656,20.3808,13.566,11.0,11.0,11.0,11.0,11.0,11.0,12.4187,45.3953,14.525,17.4355,24.0666,20.9668,16.8692,16.6841,20.5138,11.8537,12.6673,14.4164,66.7175,17.512,28.5681,33.0519
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,15.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6599,39.3333,17.1312,11.0,11.0,11.0,42.1513,11.0,11.0,11.0,20.7505,11.0,11.0,22.8047,19.4774,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.1058,14.8252,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.598,22.3688,16.1552,11.0,11.0,20.4754,11.0,11.0,11.0,11.0,11.0,12.0455,31.7723,17.5414,11.0,11.0,11.0,11.0,11.0,11.0,11.0,35.2009,11.0,15.7394,17.8326,26.8344,11.0,12.0122,11.0,11.0,11.0,11.0,11.0,14.8176,44.5913,12.7013,19.9945,22.3154,18.7087,15.7263,14.914,18.5893,14.195,15.6238,12.7262,67.2216,17.3487,25.6585,28.0118
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,13.276,11.0,11.0,11.0,11.0,17.8961,18.8125,11.0,11.0,27.0583,11.0,44.4408,20.7809,18.6608,11.0,11.0,40.69,11.0,11.0,11.0,21.3512,11.0,11.9746,21.6381,16.2925,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2768,16.5463,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.566,20.7903,28.1177,11.0,11.0,41.8567,11.0,11.0,11.0,11.0,11.0,11.0,34.8647,31.0201,14.412,21.4798,11.0,11.0,11.0,11.0,11.0,34.5883,16.3822,15.0978,22.5226,37.2021,11.0,14.2313,11.0,11.0,11.0,11.0,11.0,11.1931,45.5499,11.1672,21.0645,21.5451,38.0102,14.0064,16.2583,27.854,11.4258,13.7312,11.7512,67.5367,14.9202,17.9581,32.9428
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,15.1078,28.8448,19.4793,11.0,13.5451,44.8642,34.1297,16.875,11.0,46.4193,14.2318,57.0673,43.1941,44.4554,11.0,15.5083,39.0142,11.0,11.0,11.0,23.8203,11.0,16.3778,24.9813,17.4905,11.0,11.0,11.0,11.0,11.0,18.3303,30.4618,11.0,24.1833,17.4565,24.261,18.9128,11.0,11.0,11.0,11.0,11.0,19.6259,11.0,11.0,20.2321,32.548,25.3821,29.2094,38.5991,11.0,11.0,65.3586,11.0,11.0,31.5773,11.0,12.2544,11.7284,50.499,51.0331,12.5004,34.9899,11.0,11.0,11.9299,14.9896,11.0,38.5316,32.4866,18.4821,22.7081,56.1422,14.3509,18.132,11.0,11.4752,12.4809,11.0975,12.4797,15.1544,68.8693,17.6664,26.054,30.2115,56.9627,22.5498,18.0509,48.0724,15.3049,15.6334,20.8587,73.5982,21.3618,30.4659,36.3053
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,19.64,51.8158,39.5898,11.0,35.4257,71.3741,47.0078,40.6797,16.703,57.822,15.2862,66.3086,65.2234,63.251,11.0,30.1148,47.2341,11.0,26.8601,15.0874,29.4837,11.6981,38.0242,25.9624,20.5541,17.4971,11.9043,28.9021,11.0,11.0,39.0396,39.6372,11.0,51.675,33.8298,24.0121,20.2692,11.0,23.6191,11.0,11.0,11.0,38.3872,14.8237,33.0224,35.8984,42.3386,46.409,28.0113,49.6854,11.0,11.0,87.1331,11.0,11.0,39.346,11.0,24.3444,14.3267,60.0385,69.4091,13.2446,50.2113,11.0,11.0,11.0,30.5937,11.0,38.7167,45.2349,20.153,21.9516,76.6419,22.8706,15.0389,11.0,16.3526,11.9695,13.7583,22.458,15.4466,63.3466,40.1944,27.33,27.6686,68.659,22.0532,22.2795,60.1524,17.9095,17.8427,35.4122,85.6313,51.0201,44.3397,43.0236
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC221 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 6A_6.OKA,2/25/2022 4:20:34 PM, 6-A,PM02A,EC221,"36                             M9-No Carbon
37                             M9-No Carbon
152    IF0a+Sodium Succinate/Ferric Citrate
153    IF0a+Sodium Succinate/Ferric Citrate
154    IF0a+Sodium Succinate/Ferric Citrate
155    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,35.7242,59.6277,58.3163,23.6739,53.2109,86.8894,56.099,55.7418,45.4241,67.1917,39.993,78.6192,83.4088,83.0714,11.0,44.7707,53.6413,28.2995,43.6382,19.0758,22.6556,11.699,50.0309,55.1099,35.749,37.4584,34.0801,48.0228,14.2653,11.0,63.2652,52.9306,11.0,60.6035,51.4265,26.1058,42.5047,11.0,43.1716,11.0,34.0736,11.0,59.0758,35.7331,50.9427,53.0094,56.3107,63.6488,36.1248,55.0042,15.8657,11.0,103.1656,11.0,24.7159,55.3339,11.0,34.6396,16.1186,70.1214,81.667,13.2139,61.8944,11.3551,13.8275,26.4004,43.9078,11.0,39.991,61.4616,19.2264,24.5068,80.6862,42.5084,39.1173,28.417,16.8695,23.1807,36.5622,42.6836,15.7079,63.9021,57.1928,22.6292,41.5061,76.6507,47.8453,19.8129,73.5399,41.25,26.7625,49.8079,104.1565,71.3005,56.2065,54.8067
