Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3592,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7851,12.9985,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4309,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6071,17.1245,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3096,12.8405,11.2494,11.0,11.0,11.0,44.1087,67.2736,11.0,11.0,11.0,12.8545,18.8142,15.9824,11.0,11.0,16.0052,11.0,11.0,11.0,11.0,11.0,28.9658,11.0,21.569,19.056,16.3919,11.0,14.6908,11.0,11.0,11.9573,11.0,12.5603,11.0,19.6761,21.8191
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.8361,11.8623,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0477,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7062,13.3761,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9066,18.0749,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4007,14.8843,11.0,11.0,11.0,11.0,47.7163,73.2181,12.6789,11.0,11.0,14.7356,21.0213,20.5058,16.7141,11.0,13.1184,12.1811,11.0,11.0,11.0,11.0,37.4702,16.0286,24.7665,25.1882,20.5378,16.7115,16.2629,11.0,14.9803,18.5256,12.5182,13.9139,14.5041,22.2436,26.3583
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,13.3163,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.5998,19.3674,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.1542,15.6858,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7108,14.2936,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9702,16.2875,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.5245,23.3454,19.1946,15.4,11.0,11.0,11.0,47.8604,71.1982,16.8562,11.0,12.1107,16.2558,23.7173,17.2192,14.3364,11.0,14.5973,16.6433,11.0,11.0,11.0,11.0,47.5806,14.2137,24.2591,23.4596,24.2211,22.2075,18.4886,16.2485,16.1417,18.9823,15.9951,13.9647,25.3561,23.7464,27.1348
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6103,13.5296,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.464,13.0047,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9066,13.4892,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3208,15.1801,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.304,15.1999,18.0952,11.6633,11.0,11.0,11.0,46.7196,69.319,18.0055,11.0,11.0,14.0997,23.7399,19.2381,14.7016,12.5846,11.0,12.906,11.0,11.0,11.0,11.0,31.8261,13.7483,24.7675,20.602,20.9977,17.4768,14.6063,14.5514,15.0825,18.2515,16.0511,14.7611,17.4315,20.2044,28.6283
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.768,13.1248,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3716,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1247,11.0,11.0,11.0,16.9062,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4877,15.9838,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1013,21.0517,17.6533,11.6985,11.0,11.0,11.0,46.8929,69.2617,16.871,11.0,11.0,14.3957,23.1538,16.3646,11.0,11.0,11.0,13.1357,11.0,11.0,11.0,11.0,32.1755,11.0,20.4983,21.7331,23.947,13.9627,12.6927,16.0719,11.4858,11.943,12.3943,13.3692,18.7361,18.6805,25.5906
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3278,15.2687,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1865,15.712,11.4706,11.0,11.0,11.0,11.0,11.0,11.0,14.341,11.0,11.0,11.0,14.8316,13.8592,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4049,14.5409,11.0,11.0,11.0,11.0,11.0,11.0,16.946,11.0,11.0,28.5985,16.946,17.203,11.0,11.0,13.3802,11.0,42.6992,66.9865,18.1367,11.0,11.0,16.535,24.2684,16.1004,11.0,11.0,15.9468,11.6601,11.0,11.0,11.0,12.3068,21.9282,12.9022,23.6496,31.1793,27.4113,18.2415,18.3813,13.8995,13.7589,17.3234,14.3054,19.7415,19.6508,21.0874,25.6962
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.5236,14.3042,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0621,16.3098,16.293,11.0,11.0,11.0,11.0,11.0,11.0,22.6222,11.0,12.194,11.748,18.2686,15.2478,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0078,13.9572,11.0,11.0,11.0,11.0,11.0,11.0,21.4596,11.0,11.0,29.5042,19.6485,19.0544,15.8263,11.2196,21.3635,11.0,47.6044,69.2279,25.5369,13.9466,11.0,18.7597,27.1782,19.5415,15.3932,12.2218,13.4572,11.5321,11.0,11.0,11.0,11.0,23.4886,17.8491,22.8321,30.5954,28.1163,24.1941,20.398,15.8681,12.1638,16.7108,16.4305,17.0307,22.4891,21.4866,26.4441
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,11.3501,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6045,22.9795,13.8111,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3424,14.2562,11.0,11.0,11.0,11.0,11.0,11.0,27.0084,11.0,11.0,11.0,16.3747,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4958,16.1358,11.0,11.0,11.0,11.0,11.0,11.0,29.9305,11.0,11.0,38.563,24.8706,17.4871,11.0,15.8,20.6373,11.0,45.3544,65.2621,23.4621,14.727,11.0,22.4427,26.3592,17.6239,13.5587,11.0,12.5216,13.0307,11.0,11.0,12.3404,11.2228,28.5816,15.3544,25.1186,29.8811,35.215,24.5614,17.6049,18.0927,15.7154,22.4204,18.9265,21.9016,19.1499,20.9774,28.023
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9011,15.3899,16.8739,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7955,17.9575,11.0,11.0,11.0,11.0,11.0,11.0,23.9757,11.0,11.0,12.0589,19.3537,15.0797,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.7761,15.8147,11.0,11.0,11.0,11.0,11.8719,11.0,32.9703,11.0,11.0,46.1421,26.2611,18.9433,11.7585,25.1999,30.391,11.464,48.0565,67.374,25.4646,13.8029,11.7616,22.0799,30.078,15.8145,17.2448,11.0,15.3725,11.5649,11.0,13.9016,11.0,11.0,26.9801,17.3724,29.2813,29.6925,32.3928,29.4953,20.9651,16.9522,16.2533,20.4983,18.9605,28.7446,22.4321,21.1601,24.6899
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E. coli__3_37_SBR_709_3#22#2022_B_ 6A_6.OKA,3/22/2022 4:15:17 PM, 6-A,PM03B,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4329,19.9454,15.9853,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2725,17.3503,11.0,11.0,11.0,11.0,11.0,11.0,27.6813,11.0,11.0,11.0,20.1685,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4944,14.5214,11.0,12.0508,11.0,11.0,11.0,11.0,34.5517,11.0,11.0,38.7044,29.0016,19.5674,11.598,30.0392,35.4639,11.0,46.855,68.0797,29.4059,16.0588,11.0,21.1377,31.0877,16.4624,13.0912,12.0372,13.9185,11.6269,11.0,11.0,11.0,12.7465,31.1142,15.4006,22.9255,32.63,31.6418,30.5847,24.0041,12.2365,12.9504,18.1216,20.7088,29.5536,22.2973,20.6591,26.6944
