Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,26.4636,16.6817,14.2187,11.0,17.079,15.8924,11.6615,14.0519,13.1666,20.6957,17.7836,28.3488,19.3598,11.0,11.0,11.0,44.0738,11.0,11.0,11.0,45.7662,14.1577,12.7774,17.9497,17.3033,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9007,17.6455,15.074,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1569,28.7311,11.7286,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.6299,18.5674,11.0,11.0,11.0,11.0,11.0,11.0,11.0,31.9145,11.0,11.0,19.5754,11.6588,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4571,11.0,11.0,11.0,11.0,11.0,11.0,11.0,54.9235,11.0,18.7244,21.1853
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,24.1194,20.2841,15.1549,14.7151,15.7742,17.0557,11.0,14.0215,15.601,15.2048,15.9002,33.3973,20.0187,11.5225,11.0,11.0,44.3006,11.0,11.0,11.6498,43.4061,15.7767,14.4393,20.5249,18.1827,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.392,18.932,14.049,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0561,17.9017,15.7208,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.5364,19.0779,11.0,11.0,11.0,11.0,11.0,11.0,11.0,28.6888,11.0,13.3764,19.7645,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8985,15.7014,11.0,11.0,11.0,11.0,11.0,11.0,11.0,57.9071,11.0,14.544,19.1995
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,26.302,15.2978,12.6266,11.4913,15.8536,16.2504,12.8986,14.0373,17.394,15.5831,18.6049,33.1885,20.5867,11.0,11.2228,11.0,50.125,11.0,11.0,11.0,43.341,12.6211,16.3098,20.4099,20.3383,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0797,19.6065,18.9158,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0273,15.5392,20.5733,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,31.2381,19.376,11.0,11.0,11.0,11.0,11.0,11.0,11.0,32.9359,11.0,13.0869,19.7333,16.319,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1597,17.2725,11.0,11.0,11.0,11.0,11.0,11.0,11.0,57.5013,11.0,15.0856,19.9585
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,25.8176,17.3128,11.0,15.6934,15.5282,13.7446,11.5049,15.9586,16.2783,14.6687,14.8726,35.7762,18.1175,11.0,11.0,11.0,48.2151,11.0,11.0,11.0,43.6421,11.0,15.5852,19.3693,14.3168,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3967,18.326,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3723,19.2554,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.0871,13.7774,11.0,11.0,11.0,11.0,11.0,11.0,11.0,31.9177,11.0,11.0,28.7898,11.4373,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9868,14.4232,11.0,11.0,11.0,11.0,11.0,11.0,11.0,57.2006,11.0,14.4939,19.6041
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,27.7841,21.1413,12.3232,12.3686,12.9714,18.968,13.7973,15.2334,12.9885,15.9356,18.3692,37.4287,15.9829,11.0,11.0,11.0,53.3275,11.0,11.0,11.0,42.4227,11.0,16.2873,18.1476,16.9277,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5502,18.6421,18.8271,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9121,19.6214,11.2865,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,30.0289,18.5123,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.3419,11.0,11.0,28.0625,13.6475,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4798,16.0632,11.0,11.0,11.0,11.0,11.0,11.0,11.0,58.972,11.0,13.4214,22.2156
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,26.5251,14.3787,16.8171,16.2239,13.1269,20.4855,13.1221,16.997,16.7879,17.2697,19.5146,41.4497,21.0052,12.8702,11.0,11.0,48.566,11.0,11.0,11.5027,39.7705,11.3481,18.7843,20.5159,21.9202,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1397,11.0,12.3031,18.2864,20.3709,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3438,18.7577,20.2126,13.1641,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,31.8936,23.8323,11.0,11.0,11.0,11.0,11.0,11.0,11.0,28.2169,11.0,11.0,27.5616,13.5033,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4026,19.6981,11.0,11.0,11.0,11.0,11.0,11.0,11.0,60.2484,11.0,14.6182,22.5984
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,31.567,24.3276,15.2949,22.0394,22.5371,31.4796,22.8467,28.2042,24.7107,25.0247,30.4917,52.2958,23.7414,16.9206,11.0,11.0,54.7997,11.0,11.0,14.6009,43.7594,13.6262,22.2804,21.3359,30.2316,11.459,11.0,11.0,11.1249,11.0,11.0,15.1953,12.4844,17.0796,20.5265,20.6448,28.2701,11.0,11.0,11.0,11.0,11.0,13.8806,11.0,11.0,12.0137,11.1575,22.8853,26.8893,15.5529,11.0,11.0,16.6441,11.0,11.0,11.0,11.0,11.0,11.0,40.0604,33.9363,11.5081,14.3601,11.0,15.1081,11.0,11.0,11.0,35.9319,14.3049,11.0,31.4734,17.9888,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0045,20.7933,20.3311,12.0912,11.5118,11.0,11.0,11.0,11.0,11.0,57.346,11.3551,21.9865,29.3537
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,39.6345,32.2066,29.6944,28.5369,31.6419,45.014,30.1803,34.6303,32.0498,36.4757,36.5513,68.4424,31.845,23.0903,11.0,11.0,55.1318,11.0,15.4794,15.3853,43.9685,14.9598,26.0219,24.6236,35.5565,20.9973,20.1731,18.6718,16.6596,11.0,14.1102,25.5835,21.0641,22.4235,24.4628,24.59,31.7584,11.0,15.4774,11.0,12.3248,11.0,26.3224,12.8335,11.0,11.0,12.5442,28.7612,31.2931,20.0203,17.7254,11.0,23.1155,11.0,11.0,13.1711,14.8665,11.0,11.0,47.0736,42.6525,15.9185,24.9227,16.1883,23.6308,13.9869,18.8924,11.0,32.07,19.7694,11.0,42.6525,25.0493,19.9184,19.2429,15.7989,11.0,11.0,11.9643,19.1218,11.0,11.8643,24.3331,22.2715,27.6721,19.1384,19.6119,11.0,17.4033,11.0,15.6182,11.0,67.3582,18.5327,17.4632,37.0154
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,52.4861,38.1647,35.6428,32.5178,33.9038,50.5275,36.3029,47.9948,35.772,45.1859,41.1326,75.1579,37.9167,20.6236,13.0296,11.6755,60.4512,20.3726,22.8493,15.8132,49.5316,20.7374,38.7106,26.1199,44.6403,27.8281,20.8426,28.8764,20.5649,11.0,20.59,30.1867,28.0555,33.0214,31.573,19.0296,46.141,11.0968,23.9795,11.0,23.2304,11.0,36.1131,21.1154,16.4833,15.1604,16.8514,36.9404,32.2864,27.1875,28.9656,18.6267,28.1973,11.0,11.0,19.5489,19.8697,11.0,12.2912,53.2265,56.4271,28.8494,32.8254,26.8559,34.8634,22.7454,28.5723,11.0,30.8589,25.3508,15.6899,46.6772,35.8494,27.4541,26.1524,24.6895,17.8366,16.4175,14.8387,27.9536,11.0,23.0808,27.7544,33.3878,36.4194,29.1638,29.3943,20.3545,24.8758,11.0,21.5069,13.2855,70.43,28.9962,19.2112,44.8493
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5B_5.OKA,2/25/2022 4:20:34 PM, 5-B,PM02A,EC222,"38                             M9-No Carbon
39                             M9-No Carbon
156    IF0a+Sodium Succinate/Ferric Citrate
157    IF0a+Sodium Succinate/Ferric Citrate
158    IF0a+Sodium Succinate/Ferric Citrate
159    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,56.1018,41.6049,42.5435,36.9426,39.859,56.053,42.1616,46.4193,39.514,49.3638,53.4432,85.2176,44.846,22.5169,11.9974,21.6737,64.0393,29.2584,25.8926,19.5862,45.6581,23.0394,41.2762,27.8561,44.4044,35.3352,32.1846,36.7892,26.8724,11.0,27.1611,35.1124,34.6847,36.0834,35.7932,21.3236,43.4094,12.8704,30.9431,11.0,25.7402,11.0,39.2806,23.1846,20.2601,21.2364,23.9493,40.29,32.5109,29.408,27.6746,22.0332,33.3567,11.0,11.0,24.2851,29.3682,11.0,13.0541,58.8359,60.2522,31.0279,40.0638,34.8831,43.3114,23.9125,32.1699,15.6638,31.0775,31.0469,11.0,52.9996,39.3125,36.3165,27.8424,26.7908,23.5114,19.6386,19.5966,29.6008,11.0,24.4437,32.8078,39.9731,42.0262,34.9269,34.7342,21.0404,33.5926,13.2416,26.8611,20.0527,80.4533,33.3803,25.1341,47.9432
