Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,14.7688,15.5343,30.1346,14.2353,11.0,11.0,11.0,11.0,12.6137,11.0,14.3785,16.2187,15.4884,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.657,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5903,13.1239,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4894,15.3259,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0887,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3959,14.5764,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.713
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,19.8858,18.2262,26.2887,14.6598,15.2435,12.3476,12.0603,13.2983,13.9694,14.1768,17.4943,19.4475,19.2943,11.0,11.0,11.0,12.0445,11.0,11.0,11.0,11.0,11.0,11.0,15.0536,14.9459,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8597,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0595,11.9967,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9972,12.7963,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5723,11.2789,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5699,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0444
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,19.3437,17.0641,31.8437,11.933,11.0,11.0,11.0,11.0,14.2514,14.5631,17.8615,24.4556,13.6223,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6051,13.2357,11.317,13.2172,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7437,16.8168,13.447,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6791,16.0682,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6094,15.9205,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.022,13.6008,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2858,14.5665,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9604
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,22.0515,18.4437,32.8278,15.5939,12.5928,11.0,11.0,15.0333,14.6708,16.6883,19.7091,23.4483,19.2236,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2084,13.4985,15.2679,16.5109,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4032,16.8659,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7736,11.2139,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7098,16.0343,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6014,11.6886,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9812,14.7885,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5863
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,21.4613,18.7489,28.6855,15.4939,12.9847,12.2451,12.0399,11.0,16.6805,15.0598,19.293,23.52,15.3765,11.0,11.0,11.0,12.3312,13.2176,11.6677,11.0,11.0622,12.2318,13.9628,13.4676,18.6992,11.0,13.8853,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5485,19.6728,11.1292,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1982,15.4685,15.6427,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3811,13.1621,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5982,12.1899,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5209,16.3319,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6507,15.3038
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,16.4835,18.8304,26.3927,11.9605,15.9429,11.0,11.3469,13.1057,13.5725,15.677,19.1615,21.6971,12.9888,11.0,11.0,11.0,11.0,15.1074,11.0,11.0,16.6093,13.8916,12.8861,16.2201,14.99,11.0,15.4865,20.5098,11.0,11.0,11.0,11.0,11.0,11.0,16.5477,17.0638,23.0198,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.946,12.3707,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9338,14.6364,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7379,14.8139,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8038,17.777,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.406
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,20.0372,17.7891,33.1104,15.8348,14.4249,11.0,11.1262,16.1035,15.0679,17.9426,25.4712,24.2928,17.6367,11.0,11.0,11.0,11.6192,13.2644,11.0,11.0,24.632,11.0,13.5595,15.9595,20.2712,11.0,16.7697,38.2335,11.0,11.0,11.0,11.0,11.0,16.4076,15.5302,17.3274,28.3329,13.4326,11.0,11.0,11.0,11.0,11.0,11.0,16.2519,11.0,11.0,13.6392,16.556,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2837,16.9194,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0588,15.7247,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2706,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4411
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,15.771,14.5057,33.9859,13.2621,14.0239,11.9905,11.0,12.9275,13.7956,26.5077,19.6463,19.9228,16.0063,11.0,11.0,11.0,11.0,27.9525,12.7696,11.0,31.973,11.6346,12.5136,15.5146,20.4641,11.0,20.5954,44.5924,11.0,12.5541,11.0,13.6759,11.0,19.4348,11.4058,14.1988,29.2479,24.6993,11.0,11.0,11.0,11.0,11.0,11.0,18.9867,11.0,11.0,13.3568,14.8082,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3514,13.2783,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2595,14.0503,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7747,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5012
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,17.811,19.5052,31.261,11.1867,11.6268,11.0,11.0,14.3778,18.8273,37.4491,18.8929,19.4345,13.7155,11.0,11.4195,11.0,11.0,38.9776,22.1493,11.0,40.4953,19.0698,14.9147,16.8843,33.5256,11.0,26.2554,50.953,11.0,15.431,11.0,19.0118,11.0,24.0389,16.3518,14.0934,35.395,40.1542,11.0,11.0,11.0,11.0,11.0,11.0,23.511,11.0,18.4434,14.4332,16.5709,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5243,14.8505,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8287,19.0831,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1971,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9078
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 131 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_19B_37.OKA,4/19/2022 2:31:30 PM,19-B,PM04A,ELI 131,"172    IF0a+Sodium Succinate/Ferric Citrate
173    IF0a+Sodium Succinate/Ferric Citrate
174    IF0a+Sodium Succinate/Ferric Citrate
175    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,21.256,17.9417,30.7592,13.517,14.4294,14.8231,12.4199,13.7157,18.4446,47.1269,23.9525,21.6768,17.2094,11.0,20.1067,11.0,11.0,52.4454,35.845,11.0,45.6076,28.3159,17.3603,17.0322,42.2852,11.0,45.6991,65.4604,11.0,18.5546,11.0,32.517,11.1543,28.4731,23.5255,14.8722,42.7789,54.4968,11.0,11.0,11.0,11.0,11.0,11.0,26.0456,11.6342,20.0755,15.1996,16.7453,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9744,16.5347,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8295,19.3284,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1026,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9043
