Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7393,13.6273,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4867,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2454,15.1229,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4491,13.1688,15.9357,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0812,11.0,11.0,11.0,11.0,55.0853,64.5448,11.0,11.0,11.0,11.0,13.2817,13.9269,11.0,11.0,11.1632,16.4702,11.0,11.0,11.0,11.0,12.7503,11.0,37.3969,20.5097,17.9047,12.3944,11.9606,11.9518,15.0938,11.0,11.0,11.0,14.1891,18.7557,16.1381
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,13.4157,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9353,17.3039,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.932,11.0,23.7512,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0027,11.9939,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.979,11.0,14.0888,18.1777,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8302,16.9341,13.0145,12.4048,11.0,11.0,11.0,69.2966,14.0802,11.0,11.0,11.467,16.0911,15.6083,14.0107,11.0,13.6275,11.1572,11.0,11.0,11.0,11.0,14.6251,13.4284,34.3167,21.4223,18.3729,14.6409,15.8811,18.1531,18.5438,14.7052,12.4521,12.3885,11.8894,19.9457,24.0327
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,14.1599,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1245,17.696,15.0074,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0572,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0314,11.6206,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.1122,20.8162,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.624,19.7038,21.7782,13.0413,12.3408,11.0,11.0,11.0,69.3758,12.2002,11.0,11.0,14.6497,18.0734,20.3486,14.5244,11.0,14.5538,12.7826,11.0,11.0,11.0,11.0,18.3518,13.3119,27.9602,22.1451,19.9238,12.2853,16.3165,18.1224,20.204,11.0,11.1287,11.8418,15.8166,20.94,21.7027
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.9196,16.7352,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7365,15.6641,15.2079,22.2497,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6398,16.8211,11.0,12.0613,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4415,17.3084,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4116,19.2649,17.4574,11.0,17.1508,11.0,11.0,11.0,67.2901,18.8985,11.0,11.0,15.3169,19.5553,15.5449,13.5288,11.0,16.4273,12.2039,11.0,11.0,11.0,11.0,18.9451,13.7159,30.9576,28.0942,17.7251,16.2219,17.1719,16.8211,20.7727,14.455,13.6036,16.3451,18.5752,24.4884,23.4601
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.4175,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8846,18.8562,18.1236,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0632,14.1964,11.278,23.1024,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5978,11.3786,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5549,19.8098,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1229,17.3555,20.4555,11.0,12.4869,12.0885,11.0,11.0,67.7952,20.9484,13.3433,11.0,13.6066,21.495,21.4635,13.1687,11.0,16.2328,13.3048,11.0,11.0,11.0,11.0,15.8159,16.3281,26.1324,20.7834,19.3598,16.4819,12.4411,16.9146,21.7769,13.345,11.0976,11.2926,17.2655,22.4015,24.1758
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,15.0034,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1001,20.687,13.7517,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4872,12.1421,22.7224,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0782,14.4037,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4994,17.5923,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8895,17.9052,19.7054,11.0,11.8217,11.0,11.0,11.0,67.3438,21.9056,11.0,11.0,14.4224,19.6859,15.5905,11.0,11.0,13.2885,16.2551,11.0,11.0,11.0,11.0,21.3255,14.8312,22.0141,30.1467,18.7321,15.1145,14.1635,18.8246,19.9826,14.9817,11.5238,11.0,15.6481,22.0975,27.3684
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,13.5142,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7989,18.4632,14.6635,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7,11.0,20.9959,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.6064,12.2577,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.4942,19.3,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7075,15.2961,14.9089,11.0,11.9184,11.0,11.0,11.0,66.0545,17.0737,11.3794,11.0,12.2976,17.8357,18.8121,11.0,11.0,12.1836,12.2662,11.0,11.0,11.0,11.0,15.4853,12.1651,21.0843,25.9614,25.7771,17.9689,18.8237,14.8769,20.795,14.2517,15.474,14.8274,18.0471,24.3402,24.0928
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5948,20.5752,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4486,14.7256,11.588,18.3828,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2962,14.9919,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.7536,19.8182,11.0,11.187,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1215,21.9822,21.6367,11.0,18.1111,11.0,11.0,11.0,63.2264,20.9862,11.0,11.0,16.864,21.1259,14.6591,13.539,12.3051,14.5651,13.8545,11.0,11.0,11.0,11.0,15.8072,17.6355,20.6363,34.8372,33.0326,21.2149,17.2162,18.2233,22.2966,17.6269,16.3349,16.5296,16.9429,19.0893,22.0884
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,11.0322,13.7564,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2548,23.5837,20.3704,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4129,12.3843,13.8664,22.4344,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8406,13.7872,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8268,16.7827,11.0,11.0,11.0,11.0,11.0,11.0,13.8194,11.0,11.0,11.0,22.0672,22.2975,11.5116,22.8589,11.0,11.0,11.0,68.0252,22.5399,11.0,11.0,13.3599,18.7477,19.7635,13.5602,11.0,15.2474,12.5507,12.8104,11.0,11.0,11.0,17.3758,19.5869,25.1246,39.9235,36.5468,22.7705,23.9874,20.4115,26.3882,20.1748,12.4657,19.5885,18.9964,25.0507,25.0533
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 147 R1_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_20A_26.OKA,4/26/2022 2:33:07 PM,20-A,PM03B,ELI 147,"52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,15.1029,18.1991,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0461,21.0742,19.3642,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0064,11.0,14.7955,22.9153,11.0,11.0,11.0,11.0,11.0,11.0,11.6291,11.0,11.0,11.0,19.4684,14.9244,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.3674,19.6336,11.0,11.0,11.0,11.0,11.0,11.0,13.784,11.0,11.0,17.1938,24.3863,21.2981,12.3106,25.4793,11.0,11.0,11.0,62.7937,19.1448,11.0,11.0,13.9586,18.2961,18.0568,13.2146,12.2765,17.6999,13.7873,11.0,11.0,11.0,11.0,13.1773,13.1187,24.91,47.5937,49.6244,33.1108,26.9123,15.3257,27.6326,20.9096,14.0213,22.8473,19.6917,21.17,28.6694
