Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,20.2283,16.1108,11.0,12.7671,11.9267,11.0,11.0,11.0,11.0,11.822,21.5809,27.2578,15.7261,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.5525,29.4316,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2228,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5893,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.52,11.2144,11.0,11.0,11.0,11.0,26.0707,41.3891,11.0,11.0,11.0,11.0,17.8745,12.8649,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7966,15.2795,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.883
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,23.4334,22.0398,17.2308,16.8689,16.2625,12.3853,15.7184,15.587,14.3878,16.7364,25.4919,29.4129,20.3335,11.0,11.0,11.0,11.0,14.3295,11.0,11.3419,12.5031,11.0,16.2719,20.6797,32.5666,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5202,19.9608,13.7381,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2645,15.0619,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5029,23.1013,14.0163,11.0,11.0,11.0,11.0,43.7965,38.2252,11.0,11.0,11.0,11.0,26.5628,11.6217,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6802,19.5315,16.742,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9831,22.5912
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,21.442,18.0541,14.3594,16.9872,13.652,11.0,14.3147,15.2873,13.4792,11.0,23.7852,26.6887,18.0101,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7472,29.2638,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2135,11.0,11.0923,17.4149,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1019,19.0189,13.4631,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.401,19.0229,17.1366,11.0,11.0,11.0,11.0,41.3616,41.6329,11.0,11.0,11.0,11.0,18.9287,13.2245,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6518,15.378,16.474,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5068,21.8007
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,23.4209,23.3225,11.672,15.7584,15.4512,11.1269,25.0093,18.4414,13.3927,15.5306,26.0843,26.3681,22.2358,11.0,12.5334,11.0,11.0,11.0,11.0,11.4648,11.0,15.8263,12.8145,18.1636,25.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8697,11.0,11.0,14.1879,18.4616,16.582,11.0,11.0,11.0,11.0,14.6619,11.0,11.0,11.0,11.0,23.1321,29.3293,14.1443,11.0,11.0,11.0,11.0,11.0,11.0,15.5869,11.0,11.0,15.4947,16.6959,18.4161,11.0,11.0,11.0,11.0,51.4912,41.5022,11.0,11.0,11.0,13.2035,22.2805,12.7625,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4594,20.103,16.5443,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4851,25.2113
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,18.7523,27.2829,12.0694,13.303,13.7443,15.2611,29.4466,11.4437,13.1404,11.0,26.5635,28.216,33.6107,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2522,11.0,18.9189,24.1234,11.0,11.0,11.0,11.0,11.0,11.0,13.5009,11.0,11.0,11.0,19.4028,12.4061,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.7002,35.9543,15.2269,11.0,11.0,11.0,11.0,11.0,11.0,20.398,11.0,11.0,20.6892,18.8824,18.2932,11.0,11.0,13.07,11.0,50.3923,36.4672,11.0,11.0,11.0,13.1016,20.0718,12.8117,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5675,19.1842,19.6438,19.8515,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9088,38.0638
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,23.8457,32.8564,11.3218,17.0873,18.0004,14.6151,37.9816,18.6417,12.9472,15.1111,30.6788,27.3521,39.6876,11.0,12.9622,11.0,12.0477,11.0,11.0,11.0,11.0,17.415,11.0,18.8103,26.4895,11.0,22.6075,11.0,11.0,11.0,11.0,16.873,11.0,11.0,11.0,24.4085,11.4082,11.0,11.0,11.0,11.0,11.4442,11.0,11.0,11.0,11.0,35.0631,46.9294,15.5774,11.0,11.0,11.0,11.0,11.0,11.0,24.3841,11.0,11.0,20.9862,19.2132,15.1679,11.0,11.0,13.0403,11.0,54.1141,37.0171,11.0,11.0,11.0,14.0897,23.0237,13.8067,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9427,14.5355,18.366,23.1566,11.0,11.0,16.9814,11.0,11.0,11.0,11.0,11.0,15.0154,40.9942
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,29.6708,38.2166,18.2545,17.6508,15.2772,11.0,43.5433,35.8116,17.6264,21.8185,27.666,32.752,49.1812,11.0,24.1417,11.0,11.8107,11.991,11.0955,11.252,11.0,28.6295,15.5129,20.1849,30.2124,11.0,29.7849,11.0,11.0,21.0279,11.0,22.154,11.0,11.0,12.0606,19.1015,17.609,11.0,11.0,11.0,11.0,14.1655,11.0,11.0,11.0,11.0,37.4064,50.5646,16.8549,11.0,11.0,11.0,11.0,11.0,11.0,33.127,11.0,11.0,30.9635,22.7723,20.4798,11.0,11.0,16.6809,11.0,50.5753,54.6062,11.0,11.0,11.0,14.9796,22.6316,16.6032,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6341,19.5589,18.759,32.1228,14.4721,11.0,22.1571,11.0,13.5883,11.0,11.0,11.0,17.7491,51.0313
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,20.1145,43.2111,18.503,18.5943,15.8761,12.7521,53.957,50.83,18.2055,20.0853,29.7365,33.1036,55.7816,11.0,34.4771,11.0,15.5735,11.0,11.0,12.0964,18.0766,34.3228,12.6443,19.7538,29.4755,11.0,35.1674,11.0,11.0,32.4691,11.0,35.7431,11.0,11.2199,14.7333,24.8854,18.2846,11.0,11.0,11.0,11.0,13.3019,11.0,11.0,11.0,12.5459,46.4823,59.6513,16.3469,11.0,16.0208,11.0,11.0,11.0,11.0,33.4962,11.0,11.0,30.6961,22.1171,18.1514,11.0,18.9666,24.0745,11.0,52.4192,60.8247,11.0,11.6557,11.0,13.7944,26.9597,16.7963,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1701,17.6879,22.4044,39.4487,26.4935,14.4446,34.0093,14.8654,27.1201,11.0,11.0,11.0,16.1,60.5696
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,27.5919,44.8651,16.2151,15.6209,19.2974,12.4405,59.9875,60.5572,23.1848,19.9362,31.2714,33.43,57.8045,13.2077,42.7501,11.0,11.0,11.8368,11.0,14.7182,26.8794,46.5771,14.5682,23.302,26.6809,11.0,46.0436,11.0,11.0,43.9266,11.0,48.595,12.235,11.0,14.2676,33.6087,17.9575,11.0,11.0,11.0,11.0,17.5675,11.0,11.0,11.3399,11.0,48.4134,70.6828,21.3045,11.0,27.1247,11.0,11.0,11.0,11.0,39.739,11.0,11.0,59.2861,22.0067,19.5719,11.0,28.6198,22.9767,11.0,49.9272,73.295,11.0,11.0,11.0,17.649,26.554,16.7768,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3706,20.8051,22.7978,47.4028,31.6856,14.7521,42.0543,21.6682,35.2462,11.0,11.0,11.0,19.2784,63.9942
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 155 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_14B_27.OKA,4/12/2022 1:53:05 PM,14-B,PM03B,ELI 155,"232    IF0a+Sodium Succinate/Ferric Citrate
233    IF0a+Sodium Succinate/Ferric Citrate
234    IF0a+Sodium Succinate/Ferric Citrate
235    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,27.4315,47.6608,18.7156,20.6098,16.5547,11.8614,66.8199,71.858,19.611,17.828,37.5882,31.1806,67.9461,12.3603,48.6513,11.0,11.5628,12.0594,11.0,13.3145,34.5973,53.0607,18.6611,15.2856,29.6067,11.0,52.9232,11.0,11.0,51.0362,11.0,56.105,11.0,11.0,15.0752,35.0507,16.4375,11.0,11.0,11.0,11.0,14.1662,11.0,11.0,11.0,11.0,57.6946,71.879,16.5056,11.0,33.6479,11.0,11.0,11.0,11.0,48.3716,11.0,11.0,92.6991,22.3211,19.5447,11.0,39.6752,25.8709,11.0,50.1594,80.9878,11.0,11.0,11.0,17.3165,28.0768,15.8334,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.7705,18.3937,24.1536,57.2138,39.6445,19.1579,50.2491,30.2754,40.3247,11.0,11.0,11.0,16.3137,70.3517
