Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,11.0,23.2644,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3249,13.7551,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2196,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.303,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9596,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9878,13.4166,13.0022,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6444,11.0,11.0,25.5879,13.3866,12.4069,11.6598,11.0,11.0,11.0,13.305,26.1288,34.2278,16.3195,26.9896,36.5729
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,14.8904,11.0,25.1419,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.1954,15.8112,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6844,13.6485,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8323,13.327,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6916,13.7252,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9361,18.9,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3777,19.6818,12.078,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5832,21.7119,20.9673,19.4622,11.5269,12.9038,11.0,11.0,11.0,11.0,12.2542,12.2361,18.8644,22.8537
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,11.0,11.0,21.7187,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2476,18.8413,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.734,12.6147,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.103,12.1773,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0919,11.4957,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6475,15.4912,11.7565,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0585,12.5852,18.333,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8095,17.8148,17.3856,12.7625,13.3093,11.0626,11.0322,11.0,11.0,11.0,11.7445,13.3504,21.9293
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,19.9845,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0099,11.717,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1905,12.8947,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0605,14.0366,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3873,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0246,15.2488,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7764,16.5909,19.0177,11.9747,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4406,17.219,15.7116,17.3544,11.6233,12.866,12.0956,11.0,11.5441,11.0,11.0,11.0,19.9251,22.7566
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.6433,11.0,17.1913,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0157,12.1671,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1415,14.4038,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9435,12.8521,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3309,16.1871,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7608,12.9033,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5066,14.3951,17.5924,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3273,21.4731,19.1602,19.6107,11.7629,17.0146,11.0,11.0,11.2924,11.0,11.0,14.0976,21.5055,22.6194
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,11.0,11.0,22.0946,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1679,16.238,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6491,14.586,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7975,16.0655,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3091,20.0108,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5286,14.5811,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7414,18.1738,20.8402,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9934,22.5576,23.7815,16.3668,11.5959,11.16,11.0,11.0,11.0,11.0648,11.0,13.9003,16.7137,23.4007
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,11.0,11.0,22.5561,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.159,16.7561,14.3822,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8438,11.6633,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0162,15.8933,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2753,15.2206,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5672,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.877,15.9177,15.2289,11.2305,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6484,14.2956,23.0962,19.4076,16.1317,13.2973,13.9088,12.8628,11.0,11.0,11.0,11.0,17.3742,19.917,22.2866
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,13.7541,11.0,20.235,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1957,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.7168,11.0,12.7779,16.7437,13.5243,11.0,16.3821,17.8646,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1594,19.4398,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4847,14.8899,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3598,15.1432,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4185,14.471,19.2805,13.8656,11.0,11.0,11.5974,11.0,11.0,11.0,11.0,11.0,13.3582,20.2384,21.9319,16.4073,13.3016,11.0,13.0317,11.1303,11.0,11.0,11.0,15.7624,19.4291,23.3582
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,11.0,11.0,22.7278,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5735,14.9149,11.0,17.5275,11.0,11.0,11.0,11.0,11.0,31.054,11.0,11.0,15.1649,12.89,11.0,26.7918,42.4721,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3848,19.9853,16.7398,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2692,19.3791,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8896,16.9587,19.0759,11.0,12.4724,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3541,18.9712,14.8935,13.5078,12.819,11.0,11.0,12.5796,11.0,11.0,11.0,12.2707,13.7125,22.7769,21.2197,20.435,20.0122,13.2727,12.6175,14.4,16.5267,13.3736,11.3257,22.7919,25.6708,22.2389
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9A_20.OKA,4/12/2022 1:53:05 PM, 9-A,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,12.2594,11.6034,22.8142,11.0,11.7064,11.0,11.0,11.0,11.0,14.3528,11.0,18.9379,12.4205,11.0,27.0102,11.0,11.0,11.0,11.0,11.0,44.3531,11.0,11.0,18.5755,14.8328,11.0,40.1375,58.2999,11.0,14.4862,11.0,11.0,11.0,11.0,11.0,15.3279,27.7896,27.3199,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,16.9323,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.3413,18.99,11.0,11.0,11.0,11.0,12.356,11.0,11.0,11.0,11.0,14.6515,15.6573,20.8092,12.9405,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3334,18.006,24.0887,18.2118,11.0,15.6098,15.9452,11.0,11.0,11.0,11.0,12.3534,20.3608,25.2465
