Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,19.4826,15.0501,31.0914,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.338,18.1032,13.237,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7682,14.1245,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2854,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4553,12.4818,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8555,13.704,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6491
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,22.0071,18.8172,35.669,11.0,11.0923,12.2594,11.5937,11.5929,14.5432,13.3136,13.4942,20.7588,15.776,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5031,11.0,15.3049,16.9833,14.2287,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7496,18.7825,13.3647,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4684,15.5133,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9765,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0108,11.8704,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.444,13.8093,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2621
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,21.5346,16.107,33.2166,11.0,11.0,13.0827,11.0,13.8893,11.0,11.0,15.6775,16.311,12.9317,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2557,13.8739,13.0918,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0308,15.453,12.2386,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6868,15.5056,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0418,13.9927,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0854,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4355,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5556
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,22.803,13.2027,30.6469,15.4207,11.0,11.0,11.0,11.0,12.6469,14.0834,15.5881,20.5745,16.5712,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.6339,15.0313,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8583,16.6039,14.8858,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5978,13.7815,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.635,14.009,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4114,11.4947,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7441,11.77,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.956
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,21.6281,19.351,30.8323,13.2719,12.0915,11.0,11.0,11.0,13.8014,11.0,18.3221,22.6933,17.7018,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4183,12.8085,17.1837,11.7944,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8103,16.581,17.4995,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3085,13.6456,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.493,11.2452,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2697,15.0607,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0698,13.8813,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.511
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,22.2244,15.0211,36.1628,15.635,14.4535,11.0,11.0,11.0,16.3078,11.7011,20.194,22.7636,12.9926,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.158,12.4885,20.385,16.2683,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7694,13.8574,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4398,18.9774,12.6174,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8534,11.0306,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0102,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.597,15.0234,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0666,19.7149
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,26.141,15.2121,33.5661,11.0,11.0,11.0,11.0,14.4548,11.7223,16.901,16.6608,13.7577,12.7427,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3127,12.1354,13.7456,16.6183,18.9554,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4729,16.1438,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1324,11.122,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0891,12.4678,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4066,13.5214,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2765,13.4617,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4534
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,19.1122,17.8356,31.0296,11.0622,14.1058,13.007,11.6934,13.5697,14.0836,16.3237,14.8426,20.8787,15.4687,11.0,11.0,11.0,11.0,11.0,11.0,11.0,31.8263,11.0,12.4862,16.542,16.3283,11.0,17.2585,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7155,12.6373,18.6271,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.765,11.7944,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8388,13.4247,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0907,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1532,16.9811,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0622
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,27.7779,15.0223,34.5324,14.3494,13.0821,11.0,11.0,12.976,15.5927,14.8115,15.869,19.2572,18.5188,11.0,12.7084,11.0,11.0,11.0,11.0,14.8432,41.5109,13.8727,15.705,17.796,14.9281,11.0,26.3156,39.7311,11.0,11.6344,11.0,11.0,11.0,11.0,14.9833,13.834,22.1382,21.4408,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1582,17.7888,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1201,11.3994,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4309,17.1806,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3954,16.065,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8184,17.0011
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_ 9B_21.OKA,4/12/2022 1:53:05 PM, 9-B,PM04A,ELI 158,"240    IF0a+Sodium Succinate/Ferric Citrate
241    IF0a+Sodium Succinate/Ferric Citrate
242    IF0a+Sodium Succinate/Ferric Citrate
243    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,24.4326,20.8453,33.7931,13.9759,12.7476,11.5105,12.5129,12.7604,15.889,23.4698,15.4314,19.6356,15.1914,11.0,21.8361,11.0,11.0,11.0963,11.0,13.8775,53.6494,13.3385,17.7191,12.8412,20.1462,11.0,30.431,50.5502,11.0,13.921,11.0,11.0,11.0,11.0,15.8529,15.9173,28.3125,24.0525,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8945,16.3221,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0374,13.1438,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9464,15.3657,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7984,14.5222,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0376,17.8305
