Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,24.4817,15.4379,15.682,11.0,11.715,11.0,16.4423,12.4782,14.5717,11.0,15.612,23.596,13.6847,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9151,13.8557,12.7978,20.3124,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2062,13.7583,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8252,16.7773,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1359,15.1712,11.0,11.0,11.0,11.0,37.7152,68.8146,11.0,11.0,11.0,11.0,15.9654,12.1591,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9814,14.6381,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8528
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,27.1506,19.4158,13.941,15.1378,12.8468,11.0,11.7491,15.1501,16.6712,13.2753,14.9877,22.6731,22.778,11.2927,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8493,17.5659,24.8519,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.038,13.6733,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1848,14.9595,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9285,15.3055,11.2834,11.0,11.0,11.0,39.5743,65.0106,11.0,11.0,11.0,11.0,15.9637,19.5198,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.4428,11.0,14.4943,16.966,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.761
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,24.5756,17.8841,18.5492,15.2518,12.6376,11.2524,11.0,11.6222,14.4899,13.5221,13.4182,24.7107,17.7852,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2652,15.5816,23.028,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6144,15.626,15.9007,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.668,15.3724,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4066,15.9833,11.0,11.0,11.0,11.0,43.5138,69.7398,11.0,11.0,11.0,11.0,16.3283,17.6633,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9569,11.0,11.5811,19.4291,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1173
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,22.4722,20.3835,12.2859,11.2491,15.8458,12.9074,13.4496,13.3739,14.531,15.2145,11.0,26.0,17.8254,11.0,11.0,11.0,14.1908,11.0,11.0,11.0,11.9327,13.6,11.0,13.3988,21.0471,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.634,19.3995,13.5326,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9347,15.6255,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2817,15.4873,11.0,11.0,11.0,11.0,43.9572,67.4526,14.7316,11.0,11.0,11.0,19.9419,16.4082,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1474,11.0,15.7457,22.8133,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8425
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,24.6003,17.1669,12.5127,11.0,13.5529,11.0,14.9109,14.0971,16.173,14.0187,17.4279,23.8202,19.1368,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9269,14.2801,18.181,24.0672,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.5166,15.5669,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.43,17.6951,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6269,12.5752,11.0,11.0,11.0,11.0,46.5298,70.0011,17.1576,11.0,11.0,11.0,21.4728,19.2758,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4578,11.0,15.6555,17.0981,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.1054
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,20.7152,17.0229,12.7682,12.9221,11.9954,14.2562,11.0,15.5869,18.6304,12.6568,14.8524,25.1759,17.2425,11.0,11.0,11.0,14.077,11.0,11.0,11.0,11.0,11.0,14.3299,16.7662,23.8279,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8665,11.5322,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2286,17.9558,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.7878,14.8678,11.0,11.0,11.0,11.0,45.7289,70.3997,15.2497,11.0,11.0,11.0,16.8697,14.7119,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6053,11.0,13.5767,22.6226,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0673
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,24.2529,25.7274,12.2196,17.3812,16.8292,11.0,13.1158,14.2307,15.7996,13.2313,13.0292,27.8748,17.4687,11.0,11.0,11.0,12.2182,11.0,11.0,11.0,12.4372,17.7515,15.918,17.7009,25.3012,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1037,17.792,15.274,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.7855,16.2696,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2368,23.682,17.3382,11.0,11.0,11.0,11.0,50.91,69.6905,15.7358,11.0,11.0,11.0,17.0741,18.2155,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5775,30.6431,12.8044,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7118,16.7329
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,24.1298,28.4423,11.0,14.1275,14.3718,12.2769,15.8094,14.0662,17.9898,16.5083,16.3818,27.7145,23.4769,12.0887,11.0,11.0,13.3039,13.3831,11.0,11.0,14.4571,17.1493,14.6758,19.642,25.9517,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0608,19.3284,15.2544,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.045,17.8307,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4852,20.5714,19.9915,11.0,16.2442,11.0,11.0,49.836,69.5351,21.2259,11.0,11.0,12.1003,20.3104,16.5402,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0703,18.1775,31.614,26.8279,13.5823,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9319,18.7495
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,21.2097,32.1919,17.0327,16.7441,16.9723,13.2662,15.7592,20.2863,18.2904,15.0016,12.0843,28.0284,26.6366,13.5634,11.0,11.0,13.3693,11.0,11.0,12.9664,13.9037,26.7524,17.5559,19.9302,28.7635,11.0,12.35,11.0,11.0,11.0,11.0,11.0,11.5228,11.0,15.0226,21.3536,16.9815,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7643,22.5049,19.9628,11.0,11.0,11.0,11.0,11.189,11.0,18.0002,11.0,11.0,14.8158,24.8344,21.1572,12.6453,23.4982,12.7296,11.0,50.1013,72.3683,24.3718,11.0,11.0,13.4174,20.2152,14.534,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5068,14.7697,44.1117,32.7612,20.3063,11.283,11.0,11.0,13.8436,11.0,18.5375,11.4518,14.8634,20.8246
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 176 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_18B_23.OKA,4/26/2022 2:33:07 PM,18-B,PM03B,ELI 176,"56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,28.5838,28.6613,13.3909,14.8552,14.4103,11.0,19.6418,16.5772,17.7759,13.9064,17.7465,28.3836,33.8897,11.7917,11.0,11.0,14.7363,11.0,11.0,14.858,14.0661,26.1039,14.2619,19.4033,28.6047,11.0,11.0,11.0,11.0,11.0,11.0,14.1366,11.0,11.0,13.1183,21.0744,16.0409,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.092,20.35,11.6337,11.0,11.0,11.0,11.0,11.0,15.8854,11.0,11.0,14.7118,24.0812,17.4249,11.0,23.1097,15.1101,11.0,49.1565,73.0639,22.0654,11.0,13.6142,13.7652,22.6296,17.3517,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5417,19.2242,47.3341,38.2638,28.1224,13.4219,11.0,11.0,14.1243,12.9317,28.4133,18.6019,15.2739,21.0492
