Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,11.0,17.8826,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3473,11.0629,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0799,12.6273,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5863,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0477,15.3795,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5991,14.45,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2875,15.1757,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4806,16.6207,13.0582,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8536,19.6116
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,11.0,11.0,17.7053,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5232,13.1707,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6144,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5913,14.5075,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7479,16.277,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7874,15.0218,13.327,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8728,18.0812,17.5124,12.071,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2298,22.6679,16.1087,11.6569,13.9481,14.1137,11.1293,12.1532,11.0,11.0,11.0,16.2745,21.5874
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,12.0896,11.0,18.0932,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5329,12.5977,15.5766,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8228,16.2644,11.2526,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0264,15.5213,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0267,18.0844,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2225,16.3216,19.0083,14.5907,11.5036,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6278,21.7231,21.4589,12.6181,11.0,13.1165,11.0,11.0,11.0,11.0,12.2448,11.0,12.0983,23.6324,27.4453,22.3158,14.5848,17.2838,13.5913,13.9992,12.0798,11.0,12.0715,18.436,24.2996,24.5594
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,17.3681,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0623,13.7016,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5255,16.373,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6481,16.2365,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1947,21.3636,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3243,16.8789,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4562,20.4572,19.656,13.4563,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4368,23.6551,20.0433,15.9164,11.0,12.525,11.0,11.0,11.0,11.7172,17.0307,22.5182,23.3056
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.2563,11.0,17.3582,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2247,14.5548,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1822,15.3525,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9321,14.3767,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2744,14.6114,16.3483,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4371,14.7178,18.3534,12.2427,11.2202,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5549,16.9329,18.8774,11.0,11.0,11.227,12.2886,11.0,11.0,11.0,11.0,11.0,11.0,26.8146,26.1524,18.1476,14.5375,18.6739,12.7117,14.8577,11.0,11.0,11.3251,17.8305,23.2628,22.7165
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,12.5366,11.0,12.4165,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5368,13.1701,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6826,14.4376,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6285,15.2653,11.9483,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6219,19.1761,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1628,16.229,17.8961,12.2399,11.0,11.0,11.0,11.0,11.0,11.0,13.0883,11.0,16.3117,18.2218,18.2093,11.3299,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1957,11.0,21.058,27.728,23.1758,17.2143,14.6101,16.0167,12.2083,12.4593,15.9111,13.6648,19.2181,24.382,24.7504
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,11.0,11.0,15.5062,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9374,12.9252,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0058,18.7484,14.2421,11.0,11.0,13.4695,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6832,15.9772,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8867,12.9359,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2894,13.3803,18.2681,11.0,12.4802,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6709,15.9891,15.8111,12.7747,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1699,11.3981,26.0205,24.0327,20.7135,11.6029,13.8338,13.0908,11.0,15.0628,17.0724,14.3995,18.9262,23.7643,26.6928
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,11.0,11.0,11.6905,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0987,15.5921,12.8269,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4905,11.0,11.473,15.537,16.2489,11.0,11.0,26.4303,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8405,13.0489,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0491,13.2626,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4012,17.8955,16.0413,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4432,19.2279,15.1013,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9566,25.5071,21.5647,16.3718,11.0,11.0,11.0,11.7499,11.0,11.0,18.234,18.2167,27.2142
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,11.0,11.0,11.6019,11.0,11.0,11.0,11.0,11.0,11.0,22.1204,13.4669,11.0,13.3238,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.0528,11.0,11.8175,14.8547,16.2826,11.0,12.7889,37.2795,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7608,18.2344,11.2932,11.0,11.0,11.0,11.0,11.0,11.0,14.0362,11.0,15.3577,16.1863,14.8328,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6016,13.8775,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1584,11.0,14.824,15.2468,16.6688,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6668,23.2714,23.8516,17.6835,15.1365,12.9796,11.0,13.7965,13.0587,12.5613,11.0,19.285,18.4377,21.2195
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_ 7A_12.OKA,4/19/2022 2:31:30 PM, 7-A,PM04A,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,11.0,11.0,20.2139,11.0,11.0,11.0,11.0,11.0,16.7814,30.9837,14.2004,18.0014,11.0,11.0,12.689,11.0,11.0,11.0,11.0,11.0,39.3312,13.7354,12.8034,14.2249,11.7273,11.0,11.0,52.6301,11.0,11.0,11.0,12.3858,11.0,13.5382,13.2098,17.2281,22.7358,32.1419,11.0,11.0,11.0,11.0,11.0,11.0,18.4517,11.0,20.1842,18.1683,13.8948,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4339,13.8767,15.8941,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7435,19.5153,24.0774,16.0689,11.0,11.0,11.0,11.0,11.0,11.0,11.4181,11.0,16.1217,20.4408,25.1115,19.7514,11.0,15.3972,12.7112,11.9181,15.2571,11.6199,12.8927,16.3781,21.0995,23.8055
