Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,18.5687,14.1193,11.0,12.6639,12.4549,11.0,11.0,11.0,11.0,13.3131,20.3146,26.9958,18.2937,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.095,16.2317,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7344,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1185,13.7004,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1272,11.1828,11.0,11.0,11.0,11.0,18.0452,51.9345,11.0,11.0,11.0,11.0,17.1886,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,28.2529,11.0,14.7152,14.268,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.5437
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,17.4708,13.5899,11.0,11.6459,11.3998,12.1596,11.1871,11.2174,13.3817,11.8807,26.1117,31.4022,17.7411,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0825,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1019,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1328,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8075,20.357,11.0,11.0,11.0,11.0,11.0,11.0,54.6611,11.0,11.0,11.0,11.0,18.0753,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3309,11.0,12.2239,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6544,21.5117
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,29.8896,20.967,15.4,15.1987,12.6822,11.0,12.0445,13.5011,16.4399,18.1899,20.4859,30.0953,18.4877,11.0,11.0,11.0,11.0,13.7876,11.0,11.0,11.0,16.5076,13.8025,15.4383,17.8099,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9662,18.787,14.6078,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6031,18.314,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3225,20.7624,15.6455,11.0,11.0,11.0,11.0,18.4684,54.5014,11.0,11.0,11.0,12.7194,17.1856,11.2507,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1333,25.452,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6998,22.7885
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,26.0051,15.6402,16.1681,14.1971,11.7808,11.0,11.0,16.2527,14.263,11.0,18.5331,25.0198,20.5994,13.4011,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.625,23.4585,20.0379,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7985,17.6598,15.6179,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0674,15.2466,11.0,11.0,11.0,11.0,11.0,11.0,11.4365,11.0,11.0,13.0913,22.3009,13.1488,11.0,11.0,11.0,11.0,21.5005,52.5471,11.0,11.0,11.0,14.1063,23.3609,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5558,14.5085,16.3662,27.6447,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.725,23.7417
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,28.9735,22.0607,14.9301,16.8886,15.3105,11.0,13.9621,16.1637,15.8645,11.7033,19.8627,24.5092,16.8671,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6844,14.2848,16.9886,19.6367,20.4031,11.0,11.0,11.0,11.0,11.0,11.0,16.4345,11.0,11.9728,11.0,21.4884,14.0997,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4855,18.4647,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.8641,24.8009,11.7104,11.0,15.7174,11.2506,11.0,22.3811,48.078,11.0,11.0,11.0,11.0,23.8075,11.9081,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6957,11.2515,17.4654,34.2495,14.9819,11.0,12.309,11.0,11.0,11.0,11.0,11.0,11.0,17.8518,24.7722
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,15.9162,20.9894,11.0,15.9883,14.9792,11.0,14.3427,15.2113,14.3255,13.819,22.4959,28.5184,19.6496,11.0,11.0,11.0,11.0,12.0189,11.0,11.0,11.0,14.0173,12.4774,19.3962,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4071,11.0,11.0,12.2087,14.676,14.5903,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6188,15.6907,11.0,11.0,11.0,11.0,11.0,11.0,12.676,11.0,11.0,24.3366,25.3521,11.0,11.0,18.8727,11.1886,11.0,14.8616,48.8323,11.0,11.0,11.0,15.0607,23.5009,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4464,41.3881,18.5334,11.0,11.0,11.0,11.0,11.0,12.1449,11.0,11.0,12.0085,30.8002
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,24.5247,18.6944,16.3514,18.36,14.6429,11.0,13.903,17.4811,16.6012,13.4955,25.1886,28.8055,20.1215,12.8384,11.0,11.0,11.0,11.0,11.0,11.0,11.4377,13.6017,12.9275,17.381,17.1913,11.0,11.0,11.0,11.0,11.0,11.0,19.3199,12.0721,11.0,12.4583,16.8262,16.7361,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9743,14.4801,11.0,11.0,11.0,11.0,11.0,11.0,11.7763,11.0,11.0,26.7151,27.4309,15.8766,11.0,25.5158,11.3786,11.0,23.6069,49.5431,11.0,11.0,11.0,11.0,21.1176,12.1264,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3099,11.0,13.1403,50.3748,17.4155,11.0,11.0,11.0,11.0,11.0,19.4779,18.3846,11.0,11.597,32.7462
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,18.5646,15.869,15.2199,14.2847,13.1822,11.0,14.0862,11.0,12.8847,12.0916,26.6141,25.0527,19.0605,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2613,20.8499,11.0,11.0,11.0,11.0,11.0,11.0,11.0,34.3985,11.0,11.1881,11.0,18.5579,13.3829,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7293,17.3369,11.0,11.0,11.0,11.0,11.0,11.0,14.5618,11.0,11.0,29.2799,32.3468,11.6466,11.0,31.9819,11.2849,11.0,11.0,44.3365,11.0,11.0,11.0,14.3927,19.0177,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4352,53.9853,22.7516,11.0,15.709,11.0,11.0,12.2567,27.4156,22.3871,11.0,11.19,38.8141
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,21.5289,19.8918,14.6547,17.0043,12.5043,11.0,20.3757,12.4837,13.3262,20.7076,27.2011,41.6484,21.0093,11.0,11.0,11.8966,11.0,11.0,11.0,11.0,13.3696,13.3193,13.9045,23.4014,14.5266,11.0,11.0,11.0,11.0,11.0,11.0,48.8145,11.1548,11.0,12.4935,17.7551,12.7246,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2147,13.5267,11.0,11.0,11.0,11.0,11.0,11.0,15.2743,11.0,11.0,36.5234,34.3455,14.0804,11.0,36.1255,17.2138,11.0,15.8216,47.0885,11.0,11.0,11.0,21.6532,25.272,14.0897,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2685,21.1183,65.3142,37.9151,19.2608,23.8063,11.0,11.0,18.2833,35.4819,32.1007,16.2445,19.3086,49.186
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 289 R2_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 8B_15.OKA,4/19/2022 2:31:30 PM, 8-B,PM03B,ELI 289,"196    IF0a+Sodium Succinate/Ferric Citrate
197    IF0a+Sodium Succinate/Ferric Citrate
198    IF0a+Sodium Succinate/Ferric Citrate
199    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,20.8495,16.2874,11.0,16.3137,16.83,12.0195,22.4541,14.5051,15.4919,18.219,27.8698,31.1777,23.8579,13.6821,11.0,11.3193,11.0,11.0,11.0,11.0,11.0,11.8246,11.0,22.4643,16.5506,11.0,11.0,11.0,11.0,11.0,11.0,67.926,11.0926,11.0,16.4741,19.1852,14.8747,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9682,16.1069,11.0,11.0,11.0,11.0,11.0,11.0,19.4421,11.0,11.0,33.3317,37.4015,14.8435,11.0,44.8136,20.1513,11.0,21.3589,44.4777,11.0,11.0,11.0,13.0129,22.0957,12.8404,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0117,14.9008,77.3345,51.8126,18.7494,32.4817,11.0,11.0,23.6683,47.6374,35.8171,16.2054,14.7702,53.991
