Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9805,13.2329,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.661,16.6016,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2895,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9274,16.8394,11.0,11.0,11.0,11.0,11.0,11.0,20.5484,11.0,11.0,14.6868,15.8242,13.704,11.0,11.0,11.0,11.0,13.5744,76.6311,11.0,11.0,11.0,11.5321,20.5313,14.3215,11.0,11.0,18.2373,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.949,28.4049,26.4201,17.7921,14.535,11.5399,11.0,11.0,16.7727,16.4862,14.1243,19.0974,20.8695
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,13.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9281,17.0781,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4353,14.2854,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4991,12.3347,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.372,19.9176,18.036,11.0,11.0,11.0,11.0,11.0,11.0,37.344,11.0,11.0,19.4562,22.7224,15.4988,12.2631,23.4982,15.5548,11.0,19.7188,78.6144,11.0,12.1246,11.0,16.5872,22.267,16.4792,11.0,11.0,13.9478,11.0,11.0,11.0,11.0,11.0,11.0,12.6426,20.9749,45.4705,36.6087,25.8126,17.9423,12.5097,11.0,15.4848,13.2234,15.7756,16.0587,18.9279,28.5284
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2206,19.589,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6943,17.6002,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9776,11.471,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.7761,19.5241,17.959,11.0,11.0,11.0,11.0,11.0,11.0,42.2988,11.0,11.0,21.7768,25.0439,19.8464,12.6523,29.6972,15.9863,11.0,11.7489,75.9643,11.0,11.0,11.0,17.7685,21.3721,17.962,13.7078,11.0,15.6564,11.0,11.0,11.0,11.0,11.0,11.0,11.6323,22.1748,53.5922,48.5658,32.5089,21.7813,17.573,13.282,22.6156,12.1112,16.4874,19.7463,20.4857,27.1159
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9862,17.6284,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8663,18.6039,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.874,14.6059,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,30.2456,16.1004,18.6166,11.0,11.0,11.0,11.0,11.0,11.0,43.0701,11.0,11.0,25.4886,29.9682,15.847,15.5355,40.0081,18.6659,11.0,16.799,77.2882,11.0,12.7397,11.0,19.1676,24.7559,19.0853,17.7138,11.0,14.7605,12.0423,11.0,11.0,11.0,11.6697,11.5507,11.0,21.9441,57.2102,53.7409,38.4054,16.4372,12.7792,11.3283,26.5476,13.0596,17.8464,22.4387,22.4856,25.0636
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,13.819,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.6227,18.4556,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.807,21.6289,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6987,14.2829,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,34.3846,16.6794,21.7898,11.0,11.0,11.0,11.0,11.0,11.0,36.5435,11.0,11.0,29.8882,28.9906,18.4157,11.701,42.6516,22.9207,11.0,16.0084,75.9456,11.0,13.5286,11.0,20.1894,18.5278,18.1151,15.8949,13.0561,16.156,11.0,11.0,11.0,11.0,11.0,11.0,11.3974,23.5681,49.3585,48.9117,42.9039,23.9793,13.8845,13.9423,29.6039,14.953,18.5759,18.6514,19.9512,25.7913
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,13.7851,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.723,18.2338,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1571,16.2219,17.8752,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.67,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,39.4421,17.2926,18.8016,11.0,11.0,11.0,11.0,11.0,11.0,42.8448,11.0,11.0,29.1934,33.4281,18.4266,15.5145,46.553,29.5092,11.0,18.2971,72.3662,11.0,11.3164,11.0,20.8646,21.7688,15.0513,15.7182,14.4611,14.0172,11.1893,11.0,11.0,11.0,11.0,11.0,11.0,22.4532,50.5854,55.9187,39.1472,22.0219,18.4462,15.474,26.6302,18.6897,20.0018,19.1521,22.1354,27.4034
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5755,16.0182,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9522,20.1598,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.323,13.5668,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,52.4353,24.9736,17.526,11.0,11.0,11.0,11.0,11.0,11.0,42.8513,11.0,11.0,27.8399,28.6779,19.0757,11.0,47.3746,36.0095,11.0,20.4886,66.4685,11.0,11.1269,11.0,17.8038,17.5562,19.6026,13.5963,13.2871,14.7585,11.0,11.0,11.0,11.0,11.0,11.0,11.1659,23.9209,52.9729,56.1876,42.5509,23.4813,16.2586,11.6874,23.9034,19.5727,15.4455,16.699,25.9785,27.5664
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0987,18.7357,15.1892,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3469,15.1049,18.1975,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8833,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,54.9213,19.9725,16.3738,11.0,11.0,11.0,11.0,11.0,11.0,52.8733,11.0,11.0,33.4187,33.2922,18.327,11.0,65.4702,45.4743,11.0,19.3466,64.4648,11.0,11.3497,11.0,18.9771,22.3013,14.3964,11.0,18.3959,14.9978,11.0,11.0,11.0,11.0,11.0,14.2244,12.8602,21.3048,58.7206,60.7864,50.7778,16.192,15.7703,17.5636,25.9655,17.7554,19.3609,19.648,22.9732,26.5669
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6922,11.0,11.0,11.0,12.3599,17.7638,21.3,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4978,15.6537,18.3701,21.6596,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4486,11.2211,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,62.1705,22.5149,19.3882,11.0,11.0,11.0,11.0,11.1899,11.0,60.5562,11.0,11.0,32.0963,40.3299,19.5701,15.5151,73.6572,48.8489,11.0,24.3937,60.5086,11.0,16.4503,11.0,23.3569,16.598,17.4968,13.9683,17.2735,16.1303,13.09,11.0,11.0,11.2255,11.0,11.0,11.4334,25.4732,61.7654,58.0825,44.3236,23.963,13.0177,20.5926,30.541,21.734,21.9033,26.5837,23.4836,29.5573
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 9 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_24A_46.OKA,4/19/2022 2:31:30 PM,24-A,PM03B,ELI 9,"164    IF0a+Sodium Succinate/Ferric Citrate
165    IF0a+Sodium Succinate/Ferric Citrate
166    IF0a+Sodium Succinate/Ferric Citrate
167    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,11.0,11.0,11.0,11.0,11.0,11.0,17.3585,11.0,11.0,11.0,15.5496,24.0816,17.0259,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0949,15.5272,14.1306,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.221,19.738,15.3303,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,59.0329,23.8226,20.1878,11.0,11.0,11.0,11.0,11.0,11.0,69.0377,11.0,11.8973,51.4034,39.7675,20.5999,11.0,79.3353,55.9625,11.0,40.3436,59.222,11.0,15.1881,11.0,24.6943,27.0773,20.7056,19.7642,16.6864,13.2615,11.2849,11.0,11.0,11.0,11.0,12.1732,17.5991,21.6412,67.9555,66.831,46.1911,22.3754,18.5418,20.2135,37.5503,20.82,23.1718,18.8347,23.1326,28.7083
