Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,25.8912,21.8051,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4473,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8477,11.4063,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6657,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.1886,14.8185,13.7156,11.0,11.0,11.0,11.0,11.0,11.0,13.3325,11.0,17.945,18.6106
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,14.6057,11.0,24.3992,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.3802,13.6384,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5726,11.1558,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2419,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3832,15.2735,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9364,16.7482,11.0,11.2808,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.543,13.2253,11.0,11.0,14.5355,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.6449,17.5923,15.459,11.6915,11.6663,11.0,11.0,11.0,11.0,12.1577,12.3662,17.8652,20.5087
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,11.0,11.0,22.834,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.081,14.1673,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.5648,11.9936,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.401,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3164,15.5856,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5508,15.8295,11.0,13.5475,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2141,12.9023,11.7868,11.0,11.0,11.0,12.215,11.0,11.0,11.0,11.0,11.0,11.0,21.454,20.8611,13.9322,11.0,12.0123,13.1914,11.1929,11.0,11.0,11.1935,15.2727,18.9527,23.5544
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,20.6352,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.5898,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6824,19.7607,11.7765,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8149,11.4028,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6936,17.0457,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4954,17.6195,11.0,14.6269,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4991,14.1587,16.199,11.0,11.0,11.0,11.0,13.3334,11.0,11.0,11.0,11.0,11.5566,21.3332,11.6049,14.3393,11.0,11.0,12.1895,11.0,11.8001,11.0,11.0,11.0,21.4661,20.7705
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.0,11.0,19.297,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3556,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9105,16.5632,12.4182,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6394,11.157,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2499,19.0932,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0267,18.5508,11.0,13.043,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3702,12.7197,11.0,11.0,11.0,11.0,12.4236,11.0,11.0,11.0,11.0,11.0,19.1134,20.7602,17.7772,14.2506,12.9412,11.0955,11.0,11.0,11.0,11.0,14.1965,20.6598,24.173
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,11.0,11.0,25.3136,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5158,15.0775,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2668,11.0,11.0,21.88,12.8559,11.0,12.2196,14.206,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9662,15.3463,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0389,20.0419,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4453,15.3285,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2323,11.0,11.0,18.0468,15.8883,11.0,11.0,11.0,11.0,16.4636,11.0,11.0,11.0,11.0,11.4984,26.3139,23.4317,15.6754,15.5354,14.0394,14.4267,11.2284,12.4641,11.0,11.0,15.1528,23.0477,21.2257
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,11.0,11.0,19.6985,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2287,20.6962,13.5053,11.0,11.0,11.0,11.0,11.0,11.0,11.0,28.637,11.0,15.4902,27.578,11.9791,11.0,34.2598,11.6063,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3632,12.0351,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6348,20.3791,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0953,15.7876,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1589,11.0,13.3711,16.6522,11.0,11.0,11.0,11.0,11.0,11.5853,11.0,11.0,11.0,12.3292,12.5979,25.7203,21.7962,15.3702,13.9965,11.0,15.5149,14.1353,11.0,11.0,15.365,15.4685,19.6252,26.2434
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,11.0,11.0,23.1777,11.0,11.0,11.0,11.0,11.667,13.8818,11.0,15.2513,14.0716,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,44.8212,11.0,16.9262,24.2784,11.0,11.0,50.6775,23.1084,11.0,22.0398,11.0,13.728,11.0,18.0232,11.0,15.3456,24.1146,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.6325,11.0,11.0,18.734,15.5486,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5855,16.6696,11.0,14.0731,11.0,11.0,11.0,11.0,11.0,12.7509,11.0,13.4373,14.021,15.5051,11.0,11.0,12.0121,13.2951,13.2064,11.0,11.0,11.0,11.587,11.0,22.3704,19.9501,18.3526,12.5678,11.0,16.8411,13.6705,11.4252,11.4537,12.0147,15.6967,21.0237,28.8256
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,11.0,11.0,22.5722,11.0,11.0,11.0,11.0,14.6063,26.2917,11.0,16.3066,13.7656,13.4742,11.0,13.3623,11.0,11.0,11.0,11.0,11.6,55.1316,11.0,15.8224,24.2658,12.1025,11.0,64.0153,48.3929,11.0,47.1864,11.0,21.3589,11.0,29.4199,11.0,16.6783,38.3002,18.5133,11.0,11.0,11.0,11.0,11.0,11.0,32.2374,11.0,13.5983,15.1965,18.3201,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2044,20.0426,11.0,14.8221,11.0,11.0,11.0,11.0,11.0,15.1964,11.0,13.2717,17.6586,11.0319,11.0,11.0,14.0835,11.0,17.6406,11.0,11.0,11.0,11.0,11.5954,19.1309,17.6957,18.4038,13.8163,11.8643,14.9646,12.0788,11.0,11.0,14.0941,20.0808,22.2703,22.044
F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 92 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_23A_44.OKA,4/12/2022 1:53:05 PM,23-A,PM04A,ELI 92,"212    IF0a+Sodium Succinate/Ferric Citrate
213    IF0a+Sodium Succinate/Ferric Citrate
214    IF0a+Sodium Succinate/Ferric Citrate
215    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,11.0,11.0,23.8144,11.0,11.0,11.0,11.0,15.3186,37.8404,11.0,21.2116,21.3285,11.0,11.0,20.917,11.0,11.0,11.0,11.0,16.7411,73.1122,14.5808,22.1154,28.9842,14.2045,11.0,85.2223,66.7179,11.0,72.484,11.0,28.222,11.0,36.6344,12.7049,19.1303,52.8007,26.5722,11.0,11.0,11.0,11.0,11.0,11.0,50.2332,11.0,23.749,19.0247,21.4595,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4636,18.3346,12.5997,11.0,11.0,11.0,11.0,11.0,11.0,13.725,11.0,11.2858,14.1798,20.1743,11.8222,11.0,11.0,11.0,18.0882,11.0,11.0,11.0,11.0,13.5335,25.1742,23.4502,18.6399,11.0,14.2013,18.0555,12.5073,11.0,11.0,12.6337,15.5883,19.7062,25.0523
