"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",0.0000,"12.5751","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2053","16.6922","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1835","16.7893","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.5099","12.9136","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8350","15.2553","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3148","11.0000","11.0000","11.0000","11.0000","23.1640","68.4593","11.0000","11.0000","11.0000","17.1662","16.6870","17.7696","11.0000","11.0000","15.0064","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1861","17.6396","21.1236","17.1746","17.0337","15.6497","11.0000","11.0000","11.0000","12.0583","11.0000","11.3289","17.4064","16.9668"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",0.2500,"16.4114","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0290","16.5819","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1041","15.0989","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9892","13.1107","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5088","16.4930","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2618","14.3509","11.0000","11.0000","11.0000","11.0000","36.5222","68.7830","11.0000","11.6560","11.0000","16.8369","20.9452","23.8684","13.2069","11.0000","11.0648","13.6479","11.0000","11.0000","11.0000","11.0000","11.0000","14.2194","19.0946","26.3063","23.6579","14.4486","15.5965","14.5225","14.7167","12.1853","12.0956","11.0000","11.8486","19.3486","21.7154"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",0.5000,"14.9738","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3167","19.9719","17.9903","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9236","17.8212","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4290","16.9656","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9682","17.9590","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1326","19.7533","13.3514","11.0000","11.0000","11.0000","35.0959","73.9511","11.0000","11.0000","11.5124","18.0519","18.4998","20.6006","14.0051","11.0000","16.7309","12.9666","11.0000","11.0000","11.0000","11.0958","11.0000","14.8939","18.6118","27.3180","24.1908","20.2940","17.5708","19.7534","15.4009","13.5194","11.2941","14.5717","17.3550","24.0062","20.9996"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",0.7500,"15.4895","11.1589","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6325","16.8430","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0944","17.9606","19.6722","12.4066","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8324","16.6127","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5934","16.6188","11.0000","11.0000","11.0000","11.0000","11.1263","11.0000","11.0000","11.0000","11.0000","11.1599","18.6061","18.1923","12.0221","11.0000","11.0000","11.0000","29.4278","74.8876","11.0000","11.0000","11.0000","16.9516","23.2912","22.2877","18.4016","11.0000","12.7004","15.6745","11.0000","11.0000","11.0000","11.0000","11.8423","13.0352","17.0728","28.8641","24.1688","18.0091","15.6972","15.9880","11.0000","15.4655","11.0000","15.4665","13.2615","20.3973","20.4083"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",1.0000,"16.1896","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.4369","20.3982","17.7006","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8235","11.5029","12.2339","16.2041","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1463","17.3280","18.0349","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2496","19.2105","22.1007","11.0000","11.0000","11.0000","11.0000","13.5343","11.0000","17.5278","11.0000","11.0000","18.1264","16.9233","21.0953","12.5613","11.2202","11.0000","11.0000","11.0000","75.1485","11.3795","11.0000","13.4663","22.7298","20.0907","20.5609","17.1432","12.2728","17.9396","15.9974","14.6110","12.9512","12.5431","11.0000","11.0000","20.2060","22.3788","31.9142","31.6522","25.3485","24.1056","20.6994","16.6231","17.6558","16.7499","19.9090","11.3284","19.7544","24.3672"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",1.2500,"13.8171","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.9925","20.7426","20.8442","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9217","15.7304","17.8436","11.0000","12.7029","11.0000","11.0000","11.0000","11.0000","19.2331","11.0000","11.0000","11.0943","16.2615","12.5173","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3852","18.9888","11.8958","11.0000","11.0000","11.0000","16.2320","11.0000","23.6046","11.0000","11.0000","18.6972","20.5760","20.4548","13.0665","16.6948","14.4300","11.0000","12.5109","72.7546","11.0000","11.3164","16.3894","18.8727","22.5038","20.0595","13.5736","12.1755","11.7871","19.1707","11.0000","12.1694","12.1559","13.0808","11.0000","18.9433","20.1820","36.9540","38.6094","27.7820","28.5073","20.9703","18.7724","24.3927","28.4795","21.0417","14.3005","23.4703","28.4387"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",1.5000,"15.1278","12.2754","11.0000","11.0000","11.0000","11.0000","14.4436","11.0000","11.0000","11.0000","22.5606","20.5544","16.4916","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9308","15.3426","12.7601","18.2278","18.3341","11.0000","20.2677","11.0000","11.0000","11.0000","11.0000","31.5235","11.0000","12.5865","12.0999","19.6324","20.8291","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2969","11.0000","21.9092","21.3978","11.6739","11.1867","11.0000","11.0000","11.0000","11.0000","33.4349","11.0000","12.7297","26.2512","24.5203","21.2189","14.3128","25.5498","24.3749","11.0000","11.4488","80.3114","11.0000","11.0000","14.4140","20.9684","21.7777","14.1543","16.7184","14.1692","11.0000","15.8745","11.0000","13.9822","12.7373","12.5399","14.5422","17.9667","22.0474","39.1736","46.1131","28.6511","33.7974","20.5353","19.8378","25.3985","24.0539","25.7747","15.1596","23.3085","34.3612"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",1.7500,"13.5399","14.6058","11.0000","11.0000","11.0000","11.0000","15.2851","11.0000","11.0000","11.0000","19.9150","23.6051","20.1659","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6075","19.6528","12.3559","16.5247","19.8948","11.0000","25.1907","11.0000","11.0000","11.0000","11.0000","35.0530","11.0000","11.0000","11.0000","20.7122","18.1553","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7682","16.1224","11.0000","11.0000","11.0000","11.0000","11.1891","11.0000","46.3850","11.5030","11.0000","32.2723","30.2695","21.8653","11.0000","31.8287","32.0658","11.0000","12.1601","81.9412","14.8988","11.0636","11.2898","22.1426","23.3258","16.8957","15.1050","11.0654","12.5926","17.6719","11.1951","18.2824","11.0000","11.0000","11.0000","21.2314","19.6794","47.9994","48.8020","48.2073","32.0904","23.1483","26.9028","32.1603","34.8559","33.7311","13.7621","21.5299","40.1921"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",2.0000,"15.2101","13.4707","11.0000","11.0000","11.0000","11.0000","20.7701","11.0000","11.0000","11.0000","15.9021","19.3151","26.1988","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.3701","23.8431","13.8929","15.1630","21.5338","11.0000","32.3724","11.0000","11.0000","11.0000","11.0000","46.2514","11.0000","11.0000","11.0000","17.3716","16.0862","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0452","16.0894","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","56.4638","11.0000","11.0000","30.1116","34.5394","22.3850","11.0000","42.6607","40.0250","11.0000","11.0000","83.6341","11.0000","12.4577","15.1867","25.0318","19.6223","20.6815","15.8813","12.0456","16.4244","17.9350","11.0000","15.3575","13.3522","11.0000","11.3270","17.7011","20.4545","49.6189","58.6119","50.3463","41.4278","23.2664","32.9166","39.4619","42.5514","38.8166","16.9507","22.0747","38.0573"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 224 R1_E.coli_E.coli__3_37_SBR_709_4#19#2022_A_ 2A_2.OKA","4/19/2022 2:31:30 PM"," 2-A","PM03B","EC 224 R1","E.coli","E.coli","",2.2500,"13.4260","19.2400","11.0000","11.0000","11.0000","11.0000","29.7575","11.0000","11.0000","11.0000","20.4131","28.2887","27.0586","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.5214","29.0980","11.0000","12.6124","19.3166","11.0000","34.7892","11.0000","11.0000","11.0000","11.0000","47.5348","11.0000","11.0000","11.0947","18.8394","15.9893","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0800","19.1570","13.5801","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","69.4478","11.7253","11.0000","37.9568","36.0688","19.8470","11.0000","53.9636","49.8063","11.0000","14.2426","88.0399","11.6395","12.9037","12.8534","22.5070","26.4101","23.6362","20.6145","11.0000","14.2120","23.2170","11.0000","16.9290","11.0000","11.0000","11.0000","23.6728","19.4676","57.0295","66.4362","47.5279","52.4867","30.9001","32.9353","44.4722","44.6685","42.6205","18.5359","24.1491","46.1586"
