"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",0.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.0492","14.6282","11.0000","11.0000","11.0000","28.7083","11.0000","11.0000","11.0000","20.6684","11.0000","11.0000","15.6249","11.6625","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5611","15.0292","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1262","16.3730","11.3521","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.7668","19.7008","11.8911","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.8868","11.0000","11.5060","16.9452","16.5356","13.8471","11.0000","11.0000","12.2648","11.0000","11.0000","11.0000","11.0000","11.0000","14.0393","23.1807","23.2860","20.2720","14.9509","14.8424","15.6323","15.2575","13.0588","12.5377","58.1606","17.1809","24.7191","25.3087"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",0.2500,"12.3350","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.0584","17.5834","11.0000","11.0000","11.0000","29.6599","11.0000","11.0000","11.0000","24.1440","11.0000","13.1363","17.5991","17.0483","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8602","17.8603","14.8515","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6853","17.4661","11.4440","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.2099","21.8174","13.6755","11.3746","11.0000","12.3356","11.0000","11.0000","11.0000","33.0628","11.0000","14.3624","21.6250","22.8500","14.9819","12.7467","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0852","18.2204","22.9795","22.4993","24.2518","17.0353","13.4088","19.4650","18.0602","15.7684","14.0654","64.7627","15.0846","25.5650","27.8020"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",0.5000,"16.6245","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5565","32.7698","19.5118","11.0000","11.0000","11.0000","28.6124","11.0000","11.0000","11.0000","22.2288","11.0000","11.7489","17.4510","15.1535","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3777","23.1979","18.7572","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.9989","22.5449","18.9430","11.0000","11.0000","12.5313","11.0000","11.0000","11.0000","11.0000","11.0000","13.2799","33.5184","22.2093","17.4066","16.2073","11.0000","14.4114","11.9511","11.0000","11.0000","36.6013","11.0000","18.4230","26.3728","23.7566","16.2381","11.0000","11.4846","12.2196","11.0000","11.0000","12.3641","12.4618","15.3472","16.7635","24.4977","24.0448","24.3695","14.2297","15.3671","21.1213","17.5236","15.3711","16.9837","60.3772","21.7397","26.7168","27.0861"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",0.7500,"12.4462","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","40.4824","23.2852","11.0000","11.0000","11.0000","34.5470","11.0000","11.0000","11.0000","21.3659","11.0000","17.0728","19.0473","19.5712","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5682","11.0000","19.2298","23.2055","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1089","16.8038","11.7980","11.0000","11.0000","15.4043","11.0000","11.0000","11.0000","11.0000","11.0000","13.4378","35.1034","29.5922","11.0000","16.1152","11.0000","13.1035","11.0000","11.0000","11.0000","36.8282","11.0000","17.9134","26.4251","24.7620","16.4845","11.0000","13.1252","12.9959","14.2638","12.2990","11.9319","12.0601","11.0000","16.3324","32.2774","30.8955","25.0436","19.5146","18.3232","19.6367","17.5370","17.1278","21.0563","64.0272","22.9556","25.3745","31.8530"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",1.0000,"25.8379","11.4149","14.9586","11.0000","11.0000","25.5790","13.9772","20.3494","18.0037","15.7262","26.8931","52.0914","23.2388","11.0000","11.0000","11.0000","34.2404","11.0000","11.0000","11.0000","21.1145","12.2009","18.9911","18.4144","25.7744","11.0000","11.1252","14.3905","11.0000","11.0000","11.0000","11.0000","11.0000","26.2272","17.1704","18.0024","25.3875","11.0000","11.0000","11.0000","11.0000","11.0000","19.2849","11.0000","11.0000","11.0000","14.9794","20.8844","19.2141","11.0643","15.9044","11.0000","20.8121","11.0000","11.0000","11.0000","14.1770","11.0000","15.4162","42.2426","45.6183","13.2120","15.4291","13.4331","20.1989","16.0538","12.7989","11.7580","32.4067","19.3496","19.8247","26.4076","38.4824","22.2707","14.5100","25.8807","18.9247","15.3658","11.1294","17.7389","14.8703","17.3127","27.0501","33.2136","32.5300","31.9653","26.5820","19.3264","27.4155","18.1846","19.7938","21.4412","67.9896","34.9739","26.4313","37.7051"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",1.2500,"39.5362","28.9179","25.6228","18.8610","23.4586","44.5696","31.2548","29.1781","32.6053","36.6233","40.5152","72.6471","23.5884","12.9778","11.0000","16.2650","52.8656","11.0000","21.8974","13.9273","23.5811","11.0000","37.2640","23.3466","42.8900","25.8252","28.1626","35.8586","15.0850","11.0000","13.5011","19.8331","22.1750","34.2816","29.7240","20.1271","36.3876","11.0000","29.5957","11.0000","15.2610","11.0000","36.2459","15.3525","11.0000","20.4437","23.1731","25.7426","26.6449","14.3512","30.0622","11.8084","35.1654","11.0000","11.0000","11.0000","30.0106","11.0000","14.7166","61.1335","59.5687","29.1151","30.4360","33.9156","41.1349","33.9040","28.1244","13.3528","35.9720","32.7710","18.5983","29.2051","47.1817","35.8209","32.7304","38.0038","35.0726","30.1856","11.1623","36.4048","18.8608","27.8844","39.3047","49.2406","48.3985","48.2065","41.0059","27.7763","41.1897","21.1628","37.6319","34.7330","61.8589","45.3957","35.1859","55.4423"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",1.5000,"48.1009","35.7607","40.6832","30.9658","33.2121","62.6464","39.0449","37.9279","38.5982","44.3440","44.3358","81.5918","30.4230","19.1480","11.0000","25.3649","67.0688","14.5733","28.5142","24.0881","20.3771","11.1586","44.3001","22.0875","53.7901","35.4459","41.1516","40.2907","30.3314","11.0000","23.4445","28.2481","37.2640","40.3060","40.0708","22.5368","38.0715","11.0000","38.0616","11.0000","20.9506","11.0000","46.6280","26.1639","20.4557","33.7245","27.4901","29.2187","33.0077","14.0233","36.1606","22.8567","37.7644","11.0000","11.0000","21.1107","39.4999","11.0000","12.9330","67.7656","66.3238","37.7577","38.3621","42.8702","50.8585","41.4264","33.3176","11.0000","34.9958","46.0938","17.2030","39.1130","53.8398","46.7905","41.4529","45.6194","43.7946","40.6051","11.0000","49.7592","30.6709","40.1221","45.5206","57.6602","55.5946","56.0257","51.6127","41.1769","47.6401","30.5901","48.2647","47.6676","72.4994","58.1564","44.3831","64.0484"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",1.7500,"54.7828","44.3803","55.0982","41.3368","45.2794","83.5618","51.8432","46.4325","50.6352","51.8178","53.8434","94.1106","39.1310","27.5461","11.0000","35.6168","82.6609","29.0975","33.4551","36.1077","26.1172","11.6996","53.6722","35.7269","62.7110","43.0410","46.2779","45.6093","39.1029","11.0000","35.9339","34.9316","49.6914","43.7859","46.7053","18.8922","44.5700","20.2822","44.3929","11.0000","20.0570","11.0000","56.4191","37.0410","35.9296","45.5859","38.1038","38.5600","40.5300","11.0000","48.0663","31.6977","41.3072","11.0000","11.0000","35.0560","50.1161","13.4199","17.4279","81.2355","79.6550","51.7184","59.7081","51.6671","62.2855","48.5200","40.1114","13.0923","34.3569","49.8123","24.3900","45.6900","59.8414","57.4602","50.8376","55.9400","51.7556","49.6364","17.0224","57.4495","41.4937","47.8229","56.9531","63.7733","65.6589","68.0547","61.9082","51.5172","57.9195","47.0570","55.7884","54.8500","84.1861","63.9880","51.5454","71.6959"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",2.0000,"61.2726","53.3289","59.0166","47.9923","55.7215","99.0963","58.5455","51.7828","50.7552","58.7424","62.2942","105.2097","43.5133","29.7856","11.7776","42.1391","97.2755","37.0277","44.4363","41.8649","28.7215","11.5080","61.3683","49.8661","77.5217","49.9057","55.4002","50.9192","50.5523","11.5055","45.9720","42.2170","62.6044","47.4057","49.0038","18.3066","56.2527","34.2797","48.2458","11.0000","29.0590","12.9248","64.4167","43.3531","45.9545","45.3123","44.7530","51.1541","43.2136","21.8381","49.8796","41.0030","55.9510","11.0000","11.0000","46.5117","53.9389","20.3169","15.3998","87.6823","85.8072","55.8950","68.5642","58.8573","76.0369","54.7785","48.0615","11.6057","37.0392","59.8995","21.5723","51.7961","68.0891","65.8811","58.1421","62.5894","59.4530","55.0001","14.5731","65.9258","49.5603","55.0126","63.0146","69.5672","76.3895","69.2467","65.5298","55.3361","62.0998","55.5670","60.4201","62.0078","94.5426","66.8098","65.3487","77.8019"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R1_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9A_4.OKA","4/26/2022 2:33:07 PM"," 9-A","PM02A","EC 517 R1","E. coli","E. coli","",2.2500,"66.5811","55.7802","58.2292","50.7241","63.9590","115.7416","64.1050","54.3382","58.8121","65.4412","63.6646","110.0111","47.0980","39.0157","11.0000","49.6478","106.0832","37.3266","42.4339","50.0801","30.6052","13.2293","64.8243","63.7971","86.5054","57.0197","56.3726","55.6131","61.5290","21.7358","57.2515","53.1163","65.3638","52.1229","53.8214","23.2528","73.9478","40.9076","51.0060","11.0000","38.5304","13.8727","70.8032","42.1804","54.1761","47.9466","48.8147","60.5224","45.6604","37.1119","56.1100","51.8277","64.8476","11.0000","11.0000","52.6648","62.4778","24.0277","21.1123","96.0628","95.2261","58.8545","83.2078","65.3398","80.0201","57.3525","47.8059","12.7887","38.3009","65.5539","24.5655","61.8810","67.7091","68.3476","58.6223","70.2856","61.9949","59.5278","16.7047","68.6672","53.1151","60.3959","65.9540","76.1507","78.9551","76.3187","76.0670","64.9677","68.3791","60.1432","62.8372","67.6255","100.2298","71.7757","64.7133","81.1628"
