"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",0.0000,"21.8040","17.7378","13.9182","18.1426","12.9273","13.5889","12.9079","14.6169","15.0103","13.6461","19.3711","32.6196","15.5797","11.0000","11.0000","11.0000","37.5314","11.0000","11.0000","11.0000","27.9552","11.0000","13.6360","14.5955","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4948","15.4196","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3539","14.6793","12.0768","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.2907","12.8096","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.3788","11.0000","11.0000","15.5363","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7164","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","49.4602","11.0000","11.0000","15.5702"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",0.2500,"26.3800","19.3202","11.6074","15.7202","14.5704","13.3708","11.0000","14.9005","18.0348","15.6769","22.4957","38.1660","22.0961","12.3660","11.0000","11.0000","42.7036","11.0000","11.0000","11.0000","30.8829","11.9405","13.7977","16.5028","14.8407","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1726","17.8107","14.4505","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0310","14.5062","12.7545","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","29.3329","17.8524","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","29.6488","11.0000","11.0000","19.8983","14.0560","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5660","14.6596","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","52.4463","11.0000","16.9088","18.5508"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",0.5000,"25.9609","19.7964","17.7596","16.5366","13.7808","15.8579","13.1238","18.5910","18.6902","17.0845","23.5619","47.8360","19.7239","11.0000","11.0000","11.0000","39.4154","11.0000","11.0000","11.0000","30.5258","11.0000","13.2079","20.1632","14.2975","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6419","17.2404","15.4975","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5586","14.7392","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.6368","21.8727","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.9564","11.0000","11.0000","25.4797","15.6890","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2186","15.4956","18.4519","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","53.5508","11.0000","19.2461","20.6908"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",0.7500,"28.3953","19.7064","19.7765","17.9754","17.3057","24.5107","16.6843","14.9566","21.2180","25.4814","21.8441","52.1350","21.0022","11.0000","11.0000","11.0000","46.9046","11.0000","11.0000","11.0000","33.6024","11.0000","15.2399","22.4890","18.5671","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3388","11.0000","15.1834","21.0231","18.4101","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3147","11.0000","18.2528","14.8039","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.2140","19.8823","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.2137","11.7284","11.0000","24.9775","19.1280","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.6860","22.8441","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","57.2378","11.0000","19.5862","26.1271"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",1.0000,"35.5863","28.9225","19.6577","15.5638","20.6824","34.6467","22.1651","29.5827","25.4844","29.6841","36.3651","57.1897","24.9174","14.5285","11.0000","11.0000","47.1013","14.3817","11.0000","13.2475","31.0245","12.3267","18.1280","20.9841","22.1642","11.0000","14.2274","14.8406","11.0000","11.0000","11.0000","11.0000","15.6885","19.9835","14.9696","17.3316","26.1708","11.0000","11.0000","11.0000","11.0000","11.0000","18.3249","11.0000","11.0000","11.0000","11.0000","21.4194","24.6931","11.0000","11.0927","11.0000","18.9890","11.0000","11.0000","11.0000","12.8604","11.0000","11.0000","40.9486","30.6748","11.0000","11.0000","11.1254","11.0000","11.0000","11.0000","11.0000","27.2599","14.0425","11.0000","23.8474","25.5841","12.1026","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.2124","26.9574","19.8671","11.4187","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","51.0341","15.7857","16.1714","29.0766"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",1.2500,"47.6428","37.7790","38.5832","30.6550","34.5783","55.2462","39.3925","42.6022","42.3004","46.0476","48.4192","78.9519","29.7910","21.5024","11.0000","14.9432","56.3781","15.9970","22.1065","21.9207","32.0842","12.6895","39.0841","21.9023","40.7734","21.7322","29.2047","30.7221","18.1371","11.0000","16.5084","25.0465","26.7235","28.8758","31.5866","22.3641","33.5398","11.0000","22.6569","11.0000","14.1676","11.0000","36.2867","11.0000","13.8571","20.2419","17.8324","21.8680","29.9841","11.0000","24.1824","13.8210","24.1552","11.0000","11.0000","11.0000","23.7702","11.0000","13.5597","57.3274","49.2792","22.9111","20.4535","32.7957","27.8793","21.7298","19.3076","11.0000","29.9239","25.6629","19.0810","29.2204","39.9468","30.2609","22.6508","24.1060","19.5640","16.4684","11.0000","26.5077","14.2103","14.0806","38.4618","37.8712","31.9144","32.6984","26.8089","14.3457","21.3115","11.0000","20.5260","21.6179","57.2509","28.3864","22.6032","43.6970"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",1.5000,"59.7818","53.9576","50.9902","46.7781","46.4115","74.3026","48.6430","45.9996","51.8123","58.0806","59.7653","95.7116","33.7673","27.7157","11.0000","26.7514","71.5046","32.4702","33.4358","30.9414","33.1201","17.4991","46.0883","23.9909","51.0751","34.1919","35.7542","35.1974","27.9022","11.0000","25.6051","28.6385","36.1911","38.0584","40.1685","18.6095","38.1104","12.8754","29.3031","11.0000","15.6337","11.0000","46.3583","25.1089","22.6630","28.2284","30.1831","26.2840","30.4547","11.0000","36.0967","22.7503","30.1462","11.0000","11.0000","15.7483","37.9184","11.0000","13.2368","72.6639","62.3212","33.8097","33.4014","42.5164","40.0905","33.7696","25.7449","11.0000","28.6662","39.6091","13.1082","36.0018","49.0681","40.6655","27.0106","39.0909","27.8419","24.3615","11.0000","38.8503","18.4215","27.8441","39.4009","50.0369","43.9768","38.7426","34.2056","22.9147","33.9556","17.0365","29.9548","32.0707","59.1809","39.3548","34.1767","50.7930"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",1.7500,"64.3008","66.3899","61.8012","55.8998","59.6098","94.8635","57.3539","58.0993","60.7437","64.7140","69.7244","103.3161","38.9007","31.8178","11.0000","39.4334","87.1208","36.8600","40.5443","41.9690","35.7600","17.6248","54.7295","39.5345","65.8754","39.7127","47.9134","44.4494","42.8734","11.0000","37.4602","38.8470","49.9509","43.8670","39.8284","21.6140","42.0632","20.4263","43.5998","11.0000","25.3298","11.0000","52.6497","32.8989","36.8021","37.4929","35.9143","36.7500","36.9507","11.0000","40.5278","34.1254","37.0816","11.0000","11.0000","25.7036","42.2670","12.2768","14.6657","76.2397","71.6615","47.1850","51.0184","52.2841","53.9724","40.8910","31.3825","11.0000","33.0898","48.1815","15.2755","45.2707","57.4188","49.7748","40.5611","43.6172","39.1034","32.0858","11.0000","44.3859","34.2734","39.1623","50.5924","56.4779","50.7556","44.1709","44.8891","37.9971","41.2645","32.1317","42.2132","42.0233","68.2874","45.8519","47.4439","61.3568"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",2.0000,"71.4779","70.6406","68.1011","59.9334","68.6276","112.7255","62.9709","63.7905","68.1652","70.3195","67.9239","110.3939","40.5674","36.0754","11.0000","47.7706","95.9813","45.1590","45.2794","54.1055","34.9788","21.1355","60.5161","50.6826","79.5657","53.9478","52.6900","52.9166","57.0519","11.0000","50.0030","45.4873","66.1740","43.0629","48.9359","22.0752","52.5261","35.4369","48.0959","11.0000","28.7939","11.0000","65.6093","39.9342","49.6194","41.2886","45.2772","49.5151","41.8210","18.8375","45.0075","44.1276","39.6786","11.0000","11.0000","43.9878","55.8851","15.9205","17.2124","88.1166","80.6842","51.6585","66.3402","57.6038","65.0500","47.4331","37.7946","11.0000","33.4130","56.6530","16.7140","52.4530","58.5833","56.9679","44.3582","52.0226","46.7646","37.7737","11.0000","52.9387","44.7025","46.7925","56.7181","61.4165","62.3556","52.7917","52.6235","43.5810","44.9275","42.0542","48.2218","47.5180","78.6122","48.1459","53.8110","65.9384"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",2.2500,"79.4992","75.0707","73.0990","66.2780","76.7962","125.3282","70.8913","70.1433","74.8378","78.0700","77.3934","118.9203","52.8177","44.4511","19.9796","53.2185","111.1630","46.9187","47.4240","61.5271","34.4964","15.8130","66.1677","64.5475","87.1504","58.1532","59.1442","56.0619","63.2582","21.7201","60.6565","50.8137","73.6387","46.3137","54.2383","23.2019","70.5200","42.9554","53.0779","11.0000","34.4588","11.0000","72.9006","49.4275","55.1421","51.5183","45.5820","58.3333","50.1304","33.1800","53.3224","48.2124","56.5859","11.0000","15.2293","51.4525","61.6575","25.7295","23.2992","95.4275","90.3535","55.9125","74.2151","63.3642","71.9267","51.6049","41.7758","11.0000","36.1422","65.6752","17.3789","56.7226","62.5332","58.5790","49.1919","57.0631","52.1478","44.7731","11.0000","58.7846","49.3358","55.0510","62.7878","69.6702","63.5207","54.1141","58.1903","50.8516","50.5756","49.9375","47.6862","53.4968","89.5690","57.7660","59.1126","71.5703"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 517 R2_E. coli_E. coli__2_37_SBR_709_4#26#2022_A_ 9B_5.OKA","4/26/2022 2:33:07 PM"," 9-B","PM02A","EC 517 R2","E. coli","E. coli","",2.5000,"81.2518","74.3466","77.9169","75.5914","82.1867","132.5428","74.3383","73.1670","77.5772","82.1074","72.4008","125.4396","56.1523","51.6978","11.6789","58.1545","123.3210","51.3240","52.9444","63.2161","38.4998","16.4467","71.6919","75.0615","89.6815","55.5599","62.3202","59.7459","67.8797","28.5972","73.0677","55.9872","83.1785","53.7332","55.5754","24.8679","86.1580","51.8654","57.6552","11.0000","51.0515","21.7810","76.6743","48.5494","61.5842","52.3510","51.2708","71.1010","51.6957","48.7406","56.9042","56.4194","63.9038","11.0000","17.3201","51.5430","68.3903","33.1174","18.1654","99.8463","98.1145","56.7309","89.8801","60.8476","75.9337","53.9614","38.7525","11.0000","36.4403","69.0340","15.6124","61.8605","65.1691","64.4747","51.3948","60.8704","53.0220","48.1443","11.0000","66.5428","54.9209","52.9362","63.4232","69.8278","69.5394","58.1900","58.3256","54.7647","50.5020","52.0165","53.0015","58.7784","94.7272","57.1340","64.9354","69.1223"
