"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",0.0000,"11.0000","11.0000","17.5592","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2959","14.9084","15.9419","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6157","11.7256","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9497","13.8111","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0728","19.5906","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1226","11.0000","11.0000","11.0000","14.5762","18.5158","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3176","11.0000","11.0000","11.0000","11.4896","11.2846","11.0000","11.0000","11.0000","11.0000","11.0000","11.9911","22.9868","19.8076","16.4251","14.3865","14.2980","13.7921","13.8820","11.0000","11.0000","11.0000","16.0959","19.3097","20.8535"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",0.2500,"11.0000","11.0000","19.1014","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1922","15.8444","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0961","17.2325","15.8012","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0147","16.2983","15.1000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7708","16.2286","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7066","11.0000","11.0000","11.0000","19.1276","16.9959","11.5351","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3973","14.6365","18.6805","13.7841","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4060","16.7634","20.3781","18.6662","18.2105","15.0673","14.4231","17.0911","14.4495","11.0000","11.0000","11.0000","11.0000","18.3955","26.5562"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",0.5000,"12.4219","11.0000","14.9995","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0180","14.8210","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6204","11.6246","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1240","14.6685","13.2961","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8041","14.9821","11.8791","11.0000","11.0000","11.0000","11.0000","11.0000","14.0111","11.0000","11.0000","11.0000","16.5754","15.1881","13.1983","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6291","18.1048","21.5367","11.9377","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4962","17.0158","18.3013","11.4614","14.7658","16.2168","11.0000","11.0000","11.0000","11.0000","16.7278","20.4236","22.1193"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",0.7500,"12.2213","11.0000","19.3076","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1582","17.8272","16.5785","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3580","15.6322","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6398","16.4768","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8787","15.1320","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4304","11.0000","11.0000","11.0000","17.6937","18.8611","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8185","16.2477","16.2124","12.3137","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.1677","24.0833","17.6592","14.4591","15.6050","15.8403","11.0000","11.0000","14.2219","15.7258","15.4134","17.1699","24.9127"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",1.0000,"11.0000","11.0000","19.2912","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2731","15.6445","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2194","14.7072","14.5521","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6847","12.7984","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8957","16.9881","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0985","11.0000","11.0000","11.0000","16.1599","18.7759","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7058","16.9652","23.9533","12.1829","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5458","22.0259","17.9514","20.4130","12.4619","11.3523","16.8198","11.0000","11.0000","11.0976","13.0481","12.8137","17.9785","27.8393"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",1.2500,"15.0034","11.0000","19.6550","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1310","13.6252","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8583","12.5756","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4840","14.9427","15.3093","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7796","13.2080","12.5958","11.0000","11.0000","11.0000","11.0000","11.0000","12.7836","11.0000","11.0000","11.0000","15.3512","15.4153","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9200","13.8526","20.0534","13.4159","11.0000","11.0000","14.1153","11.0000","11.0000","11.0000","11.0000","11.8118","11.6936","18.4077","19.6624","17.7408","11.1673","14.7068","13.6293","11.0000","12.6319","11.0000","11.3296","11.0000","22.7176","27.3363"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",1.5000,"11.0000","11.0000","17.4883","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1588","12.8318","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8466","16.1268","14.5947","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3260","16.7224","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6474","17.3194","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6708","11.0000","11.0000","11.0000","14.3484","14.1839","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5129","11.8665","19.5108","12.8473","11.0000","11.0000","13.0892","11.0000","11.0000","11.0000","11.0000","11.1625","11.0000","21.6680","22.4543","17.5125","12.7339","14.4169","14.3367","11.0000","11.3252","13.9178","11.8832","15.2480","22.0626","24.5765"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",1.7500,"11.0000","11.0000","18.6624","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4457","19.1671","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5341","15.1469","13.5982","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3224","13.7032","15.4320","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2584","16.5545","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5443","11.0000","11.0000","11.0000","17.3250","18.8917","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0522","18.3469","17.6501","14.6601","11.0000","11.0000","12.0149","11.0000","11.0000","11.0000","11.0000","11.1635","12.2215","21.9298","18.8496","20.9311","14.3606","18.3001","15.4037","12.4121","11.3917","11.0000","15.0334","11.5976","12.7499","26.4399"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",2.0000,"11.0000","11.7604","18.6489","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0357","19.6035","16.2197","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3170","11.0000","11.0000","16.8253","15.7064","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7632","13.0296","15.4783","11.5188","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7788","17.2542","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0052","11.0000","11.0000","11.0000","14.3738","18.3653","11.3198","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0521","12.8003","20.6462","13.5602","11.0000","11.6861","11.1899","11.0000","11.0000","11.0000","11.0000","11.0000","11.5922","21.7309","23.9756","19.0431","15.3890","14.2308","15.0741","13.9342","11.0000","11.0000","12.0410","12.1235","21.5705","23.3695"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC 518 R1_E. coli_E. coli__4_37_SBR_709_4#26#2022_A_11A_8.OKA","4/26/2022 2:33:07 PM","11-A","PM04A","EC 518 R1","E. coli","E. coli","",2.2500,"11.0000","11.0000","16.3420","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4239","14.1211","16.5342","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.8910","11.0000","14.5714","15.5052","17.1771","11.0000","11.0000","29.7794","11.0000","11.0000","11.0000","11.0000","11.0000","16.0569","16.0100","17.6382","15.9605","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4692","19.1814","16.8293","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3396","11.0000","11.0000","15.0133","17.8503","20.2995","13.0778","15.0605","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8161","16.2132","12.7518","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.0774","21.3682","20.2936","12.9314","15.5373","15.7074","16.3802","13.8453","15.5807","14.8185","13.9413","18.3066","23.8417"
