"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",0.0000,"23.5954","15.1322","14.0900","13.2375","15.9934","12.6837","16.5121","15.4048","12.4130","17.4427","20.1815","46.2234","16.4685","11.0000","11.0000","11.0000","41.8110","11.0000","11.0000","11.0000","38.9560","11.0632","11.4126","17.2264","15.1917","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7086","16.2557","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5102","16.8321","17.1740","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.8326","16.4228","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.9221","11.0000","11.0000","17.5076","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5193","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","53.9937","11.0000","15.6409","18.2490"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",0.2500,"23.3750","19.5528","16.0112","20.0576","15.6510","16.8980","14.3932","16.5134","15.6321","15.9952","20.7690","57.6560","17.9278","11.7837","11.0000","11.0000","42.9105","12.1423","11.0000","12.2068","37.9792","12.0927","13.4388","18.2764","17.9004","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7733","17.6567","12.3067","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4390","18.3642","17.4476","11.0000","11.0000","11.0000","33.1781","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.3265","19.2601","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.0012","11.0000","11.2778","19.3399","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7716","14.8103","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","55.9314","11.0000","11.5596","19.0775"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",0.5000,"24.7903","19.7547","15.3377","18.1550","17.4203","26.3739","21.9557","17.0435","16.1584","21.7357","24.3085","77.1688","25.1636","17.4359","11.0000","11.0000","47.1624","12.3641","11.0000","12.0806","39.6011","15.3956","15.0367","20.9379","19.7488","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3411","16.0770","17.9038","19.8670","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2119","20.4540","20.4692","11.0000","11.0000","11.0000","56.6617","11.0000","11.0000","11.0000","11.0000","11.0000","11.0621","31.5099","24.8189","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.3880","11.0000","12.2583","17.7691","14.9434","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8193","14.4575","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","56.9288","11.0000","16.6332","21.8588"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",0.7500,"25.5992","20.7444","17.4620","18.5033","17.3891","62.3179","19.9942","18.1555","17.3466","20.2835","24.7127","96.2475","26.3687","33.9010","11.0000","11.0000","42.9209","11.0000","11.0000","11.0000","41.3438","11.0000","17.0082","18.8324","12.6265","11.0000","11.0000","11.0000","11.0000","11.0000","19.5467","11.0000","11.0000","11.0000","14.2060","18.8919","13.9341","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2017","17.8302","20.1659","11.0000","11.0000","11.0000","73.9854","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.8227","36.0890","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","29.7440","11.0000","11.0000","19.9561","16.6542","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.2324","15.4190","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","56.2940","11.0000","14.9661","20.9207"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",1.0000,"27.8465","23.1761","15.1309","18.7448","14.3169","83.3148","20.1462","21.1601","15.2926","18.8651","24.5314","106.8196","32.5086","38.6641","11.0000","11.0000","51.1711","11.0000","11.0000","11.0000","42.8275","14.9115","17.8609","20.2666","20.3330","11.0000","11.0000","11.0000","11.0000","11.0000","34.1915","11.0000","11.0000","11.0000","14.0384","15.1513","20.9787","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5763","19.1886","20.8054","11.5411","11.0000","11.0000","78.8735","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","43.0004","48.8387","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.4773","15.4727","11.0000","18.7195","17.1982","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8845","16.2162","20.1076","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","64.9805","11.0000","17.5094","21.8794"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",1.2500,"29.6865","18.9919","19.3882","17.8097","18.0062","91.6265","19.2352","16.2395","19.0527","21.4070","28.1874","122.8648","31.5487","46.0421","12.3231","11.0000","46.7282","11.7732","11.0000","11.0000","40.3352","13.4684","19.5377","23.7929","19.9893","11.0000","11.0000","11.0000","11.0000","11.0000","48.0165","11.0000","11.0000","11.0000","16.1194","17.7525","18.6841","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0992","25.3363","20.5177","19.3702","11.0000","11.0000","86.5228","11.0000","11.0000","11.0000","11.0000","11.0000","12.2898","43.3346","54.2245","11.0000","11.6526","11.0000","11.0000","11.0000","11.0000","11.0000","29.9197","19.9310","11.0000","19.8657","20.1371","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3182","20.3791","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","70.1366","11.0000","18.3938","21.9848"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",1.5000,"23.2460","20.7134","11.2278","18.4321","19.1071","95.7895","20.3576","18.3417","18.4528","19.7735","26.2653","132.3799","37.5922","51.3916","18.5571","11.0000","51.4806","11.3217","11.0000","11.5636","40.4274","12.9934","18.8459","34.0667","19.9811","11.0000","11.0000","11.0000","11.0000","11.0000","53.7770","11.0000","11.6803","11.0000","15.3443","17.0634","22.0778","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6385","21.2007","20.2054","26.2712","11.0000","11.0000","89.5077","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","43.1323","55.4853","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.1155","20.0885","11.0000","20.8837","17.0486","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4147","21.0076","15.6655","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","77.5456","11.0000","20.7658","19.8381"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",1.7500,"27.9501","21.8282","15.6817","20.5572","23.3480","104.8646","21.2379","21.3559","22.2599","19.3747","22.3034","142.6762","45.2185","55.5172","26.5602","11.0000","57.7896","11.0000","11.0000","16.6915","41.5333","14.2629","16.1125","51.1174","20.7654","11.0000","11.0000","11.0000","11.0000","11.0000","65.7586","11.7757","16.5399","11.0000","16.1540","22.5328","19.6467","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4058","23.1296","20.5533","31.9525","11.0000","11.0000","97.7582","11.0000","11.0000","11.0000","11.0000","11.0000","12.7648","46.4294","63.6208","11.0000","13.1180","11.0000","11.0000","11.0000","11.0000","11.0000","29.5654","24.0588","11.0000","24.7620","15.7039","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9408","11.0000","11.0000","14.3802","20.5823","19.9104","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","89.2396","11.0000","18.0907","26.0054"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",2.0000,"30.5338","23.9862","17.0073","18.8331","18.7386","100.2720","22.2457","19.8247","16.7045","21.2812","22.1449","161.8453","46.7630","60.6779","31.9085","11.0000","59.0205","13.8470","11.0000","12.5315","40.7475","11.5691","16.5044","60.3371","21.6895","11.0000","11.0000","11.0000","11.0000","11.0000","71.8307","11.0000","19.0497","11.0000","15.8865","16.6049","23.7331","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0843","11.0000","17.0095","23.1304","21.3547","31.2819","11.0000","11.0000","99.4523","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","44.8980","70.1259","11.0000","11.0000","11.0000","11.3542","11.0000","11.0000","11.0000","31.2995","27.6685","12.1256","21.9729","15.9636","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6299","19.3225","19.7108","13.1218","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","95.5377","11.0000","18.2674","25.6119"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC205 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_22B_39.OKA","2/25/2022 4:20:34 PM","22-B","PM02A","EC205 R2","E. coli","E.coli","2015480",2.2500,"24.0245","25.9652","19.4974","20.3604","18.5108","101.8409","20.2694","19.8626","17.3329","20.7584","24.9267","179.4632","54.5520","50.2501","30.6589","11.0000","57.2417","13.4493","11.0000","11.0000","39.6524","11.0000","18.2701","70.5960","18.4126","11.0000","11.0000","11.0000","11.0000","11.0000","80.2979","11.0000","28.1244","11.0000","18.3726","15.3435","17.5070","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8460","19.5909","20.2451","32.5130","11.0000","11.0000","99.7888","11.0000","11.0000","11.0000","11.0000","11.0000","11.3160","44.8134","72.6881","11.0000","11.0000","11.0000","13.9900","11.0000","11.0000","11.0000","31.5503","21.8361","11.3770","19.9648","19.9802","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3131","11.0000","11.0000","11.0000","20.2886","19.4023","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","99.6460","11.0000","16.6348","23.0693"
