"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",0.0000,"13.7132","11.0323","14.0203","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0711","18.6097","12.4154","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6877","11.0000","11.0000","11.0000","16.9024","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1533"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",0.2500,"23.1560","16.4364","16.3586","11.0000","12.5743","11.0000","11.0000","12.0899","11.0000","12.7869","18.3750","20.3743","16.8475","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7421","14.7327","17.8508","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5067","15.7397","14.3474","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5551","13.5368","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5000","11.0000","11.0000","11.0000","21.4647","15.0795","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0524","12.4519","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7862"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",0.5000,"22.9211","15.9618","18.8381","11.0000","11.0000","11.0000","11.0000","11.4656","12.6741","13.4246","13.8912","17.0618","13.5236","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1828","14.5588","15.0021","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7414","12.5531","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1721","12.7472","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3559","11.0000","11.0000","11.0000","19.7450","13.4905","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5431","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8186","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9708"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",0.7500,"19.0410","18.1172","17.5071","11.0000","11.9559","11.0000","11.0000","14.4525","11.0000","11.6940","13.0052","23.5795","13.7733","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8182","14.7368","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1245","13.7487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9198","11.4530","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.9832","11.0000","11.0000","11.0000","25.5685","12.3777","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6462","14.6561","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3675","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0251"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",1.0000,"22.7047","18.3415","18.6716","11.0000","11.9077","11.0000","11.0000","13.2011","11.9736","17.8304","20.7195","19.3825","16.3219","11.0000","12.8731","11.0000","11.0000","11.0000","11.0000","11.0000","15.1843","15.5997","13.7796","14.6290","17.1438","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2526","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0728","13.9155","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.6653","11.0000","11.0000","11.0000","21.6682","13.3096","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9091","12.7468","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2156","13.7654","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0222"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",1.2500,"18.8523","21.5578","24.1135","20.4548","15.0565","12.3425","12.7009","19.5277","26.6909","26.5884","33.1030","25.9804","18.2461","11.0000","25.7498","14.2238","13.6780","13.0642","11.0000","19.1478","28.6640","17.6007","22.4254","20.8128","24.2545","11.1307","24.6364","11.0000","11.0000","11.0000","11.0000","23.3512","11.0000","16.3702","31.2351","16.7496","29.2316","13.0700","11.0000","11.0000","11.0000","11.0000","12.6379","11.0000","11.0000","14.0432","28.5851","18.3658","25.1880","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.1836","12.6183","11.2567","11.0000","28.9365","22.9268","12.7163","13.5333","11.0000","11.0000","11.0000","11.0000","11.0000","11.6280","11.0000","14.5612","23.7216","21.8879","11.0000","11.0000","12.5028","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2101","20.0935","21.9213","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5280","21.7778"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",1.5000,"21.7476","33.7431","19.5104","25.4830","26.1154","14.6303","17.9538","31.3927","38.3597","36.8444","39.0816","26.0164","23.6334","11.3608","31.8656","16.2029","21.3894","30.6288","11.6095","25.2263","42.9032","26.9915","28.2019","20.4416","36.4632","18.4929","37.6732","12.6017","11.2193","13.1591","17.0346","39.2417","11.0000","29.5331","42.7443","22.4374","44.0611","21.4471","12.5241","11.0000","11.0000","11.0000","23.6677","11.0000","11.0000","22.6134","46.5641","26.8543","27.4679","16.1089","19.1540","11.0000","11.0000","15.3290","11.0000","30.8352","17.9151","17.0825","14.5966","32.4175","26.2719","14.5589","16.2400","14.8283","11.0000","11.0949","11.0000","13.1469","16.2500","13.5462","19.1326","26.5216","25.7650","11.0000","11.8895","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2887","21.5070","22.0693","25.3429","11.0000","11.0000","14.5315","11.0000","11.0000","11.0000","13.2814","11.0000","13.1747","18.8558","22.4931"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",1.7500,"25.9554","34.0315","29.2230","30.1746","33.0852","19.3396","19.0602","42.8883","50.4054","47.4159","55.8098","31.0882","24.2370","22.9806","47.0977","23.2213","27.7445","47.6374","25.2408","35.0542","56.7419","35.9628","46.0273","28.4139","49.7938","26.4094","62.3146","45.5703","17.5984","36.7432","21.8700","54.7728","13.0696","44.8534","61.0605","28.3688","57.9488","34.1299","17.8955","14.9783","15.4271","20.4780","33.9131","24.1251","11.0000","41.3301","61.9748","24.5372","34.0952","24.9811","24.8348","17.2718","11.0000","20.6699","21.2192","38.9806","23.7208","31.0030","19.7102","37.8217","32.3956","25.7107","24.8797","18.4628","11.0000","16.3534","11.0000","19.8800","19.8228","20.9140","23.8206","31.7585","30.1899","21.4469","16.9966","17.3089","13.8508","15.1676","17.4413","19.9358","20.4535","17.8151","27.5796","27.1315","30.8462","20.7709","15.9415","16.6214","13.6414","14.4847","17.4771","15.7282","13.0870","19.9030","28.5490","34.5737"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",2.0000,"25.5435","39.6644","34.4543","33.5779","29.4592","18.6623","25.6247","50.2104","60.1344","50.6314","62.9128","33.5519","36.7063","24.9463","54.8741","28.6071","30.6921","52.5624","39.1947","38.8519","64.7773","40.2284","49.2812","32.8223","55.1002","31.9139","84.1744","66.0667","22.7855","58.9459","28.7096","70.4106","11.0000","52.5011","75.7607","30.3310","72.3986","59.1982","20.3082","20.3535","18.3648","21.9873","44.0247","30.2275","11.0000","40.5730","73.1251","30.1659","35.2953","26.6141","26.2286","17.7697","12.5774","26.2878","19.8442","40.1395","25.9890","37.2662","24.0627","35.6964","35.0601","26.3213","29.4918","20.7726","15.0602","20.6375","11.0000","23.4917","21.7396","27.3829","23.1733","36.3950","36.5406","23.0526","21.3040","18.4805","20.1440","14.7650","17.1683","21.0366","17.5899","20.6991","29.1379","29.8186","39.5133","25.2234","20.8652","21.3000","16.9632","19.3435","25.5888","21.5110","23.3380","20.6467","25.5947","34.5822"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC207 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_15B_21.OKA","3/4/2022 2:54:48 PM","15-B","PM04A","EC207 R2","E. coli","E. coli","",2.2500,"28.9621","43.7943","39.8267","38.5128","39.2898","19.1261","22.1395","58.0084","65.7436","58.7220","72.3836","33.1145","34.9624","31.0559","61.7322","35.2034","30.8651","58.4626","51.1711","42.7480","71.2389","48.4609","54.4016","28.6885","66.8727","33.8851","95.1045","76.0898","25.2407","88.4005","31.8274","81.2807","13.6545","61.8176","81.4908","29.7481","97.4651","69.1980","24.1312","22.2365","23.6965","30.2031","50.5025","35.9140","11.0000","55.3021","85.5714","30.9839","44.6887","29.8719","32.4320","28.5080","27.5684","30.9707","25.3126","48.9353","37.9559","44.5331","26.2047","40.3029","46.9644","34.6587","29.9713","28.5563","17.4355","23.2304","14.8610","28.6227","29.5693","28.9810","36.4825","41.1939","43.9494","31.3783","22.5685","23.3734","26.2051","21.0502","16.6382","27.7367","24.9391","27.3400","30.0063","25.2539","37.0666","30.9123","22.5973","21.2751","19.5679","18.3624","22.5742","21.1069","22.1647","19.8669","25.5995","44.0320"
