"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",0.0000,"12.8822","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4637","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2953","18.4221","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5787","17.2891","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4718","16.1513","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7080","14.7101","18.6792","11.0000","11.0000","11.0000","11.0000","11.0000","41.2239","11.0000","11.0000","11.0000","15.6288","19.3327","24.0872","13.0547","11.0000","16.3154","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.7329","22.7817","21.7434","11.0000","16.8722","11.8575","11.0000","11.0000","11.0000","11.3258","13.9349","18.2006","23.5343"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",0.2500,"16.6713","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6698","16.8782","18.7549","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8732","18.6886","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8421","17.3047","19.0645","12.5275","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3950","17.6973","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6736","20.6894","17.3032","11.0000","11.9017","11.0000","11.0000","11.0000","44.2803","15.8818","11.0000","11.0000","16.9771","23.5771","26.5761","11.0000","11.0000","14.1880","11.9053","11.0000","11.0000","11.0000","11.0000","13.2693","17.9753","23.0422","25.9630","24.1316","19.9518","17.3853","14.1862","11.0000","11.0000","15.8858","13.3949","18.6309","20.1131","28.7230"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",0.5000,"14.7678","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7326","15.7802","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7205","17.8065","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7161","14.0034","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8190","17.2500","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4730","20.3465","14.5218","11.0000","11.0000","11.0000","11.0000","11.0000","42.2365","16.9757","11.0000","11.0000","19.5093","23.9244","20.4997","14.2961","11.0000","13.3205","11.5619","11.0000","11.0000","11.0000","11.0000","11.2246","11.0000","22.2277","26.3637","22.2734","14.0528","15.1791","13.6349","11.0000","15.8762","12.9599","14.8280","16.3588","16.6478","27.1089"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",0.7500,"15.1645","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5870","16.8963","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3370","15.3750","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3447","14.2289","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6360","15.9181","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3827","15.9207","17.8040","12.4211","12.5227","11.0000","11.0000","11.0000","42.8917","17.7155","11.0000","11.0000","15.1621","22.1045","23.7100","14.0872","11.0000","13.3858","11.0000","12.1451","11.0000","11.0000","11.0000","11.0000","14.4003","25.7989","32.5580","30.4301","18.1729","19.1779","17.8609","11.0000","11.6772","14.4414","16.4649","16.9077","19.2465","24.1354"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",1.0000,"13.3133","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4081","18.0771","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8981","18.6693","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2015","11.0000","11.0000","11.0000","16.8266","15.7295","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5530","17.5986","11.0000","11.0000","11.0000","11.0000","11.4403","11.0000","12.0752","11.0000","11.0000","17.2811","22.0680","14.8959","11.7661","16.2640","11.0000","11.0000","11.0000","40.9477","18.1624","11.0000","11.0000","18.1516","21.0078","25.4601","13.8336","11.0000","13.8412","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3433","19.9916","43.8634","36.2462","26.0786","22.4175","11.9527","13.5653","16.2445","22.0107","22.0955","20.1053","13.8146","28.8024"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",1.2500,"12.2181","11.0000","11.0000","11.0000","11.0000","11.0000","17.2994","11.0000","11.0000","11.0000","13.2000","19.7093","19.7063","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3237","21.1362","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.7004","11.0000","11.0000","11.0000","20.7042","15.5022","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4704","16.6604","11.0000","11.0000","11.0000","11.0000","25.7302","11.0000","21.5964","11.0000","11.0000","23.3777","24.3762","15.8621","16.4393","28.9516","11.6498","11.0000","11.0000","41.8325","19.1523","11.0000","11.0000","13.8596","23.3314","23.7141","15.9249","12.0794","17.5831","12.0124","11.0000","11.0000","11.0000","11.0000","11.0000","14.2189","23.4106","54.3373","52.0920","32.6857","37.5150","19.3857","18.3501","20.9482","36.7516","32.0979","24.1317","20.0412","24.0092"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",1.5000,"17.2603","11.0000","11.0000","11.0000","11.0000","11.0000","22.9781","11.0000","11.0000","11.0000","11.0314","19.1435","19.7603","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7563","19.8692","11.7330","13.0099","11.0000","11.0000","11.0000","11.0000","32.8473","11.0000","11.0000","12.7991","23.2715","18.0818","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3359","18.0907","11.3832","11.0000","11.0000","11.0000","37.4525","11.0000","32.0783","11.1561","11.0000","24.0710","23.4637","20.8801","11.2561","34.3076","22.3441","11.5021","11.0000","38.6074","17.6046","11.7281","11.0000","16.5783","25.7143","24.6066","14.2573","11.3588","13.3882","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7421","26.1568","63.9768","65.3147","45.4202","41.1834","16.5384","20.1682","32.5471","41.9328","44.6195","33.3131","19.4738","32.0232"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",1.7500,"13.7874","11.0000","11.0000","11.0000","11.0000","11.0000","43.3120","11.0000","11.0000","11.0000","11.0000","19.9253","21.4147","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.9437","17.5218","15.7978","20.2854","19.6754","11.0000","20.8633","11.0000","11.0000","11.0000","11.0000","40.5819","11.0000","11.0000","11.0000","20.7633","16.0103","11.3548","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.8689","17.4075","11.6702","11.0000","11.0000","11.0000","43.1759","11.0000","40.9824","11.7544","13.0253","30.6286","34.4183","20.7276","13.2197","53.1852","30.7033","11.0000","11.0000","36.8777","12.4954","11.8576","11.4163","21.3943","30.1433","29.9687","18.2881","17.1547","16.3864","11.9494","11.0000","11.2909","11.0000","15.8440","11.0000","17.9872","25.2109","73.8316","73.7012","54.8626","51.7105","21.3798","35.1418","44.4277","54.4433","60.6055","39.3180","18.6716","43.2809"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",2.0000,"16.6035","11.0000","11.0000","11.0000","11.0000","11.0000","39.8913","11.0000","11.0000","11.0000","11.6619","23.1623","20.7963","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.2823","26.4534","13.3505","22.1194","18.1002","11.0000","30.6704","11.0000","11.0000","11.0000","11.0000","49.7767","11.0000","12.1749","11.0000","19.8658","13.6468","20.1136","11.0000","11.0000","11.0000","11.0000","11.0000","11.9743","11.0000","11.0000","11.0000","22.6181","17.6681","11.0000","13.5602","11.0000","11.0000","48.7968","11.0000","52.7433","11.0000","12.0626","39.3037","34.9009","18.9686","14.4529","64.1527","42.3429","12.5752","13.7675","36.8298","11.0000","13.6606","11.0000","18.7636","28.8823","21.6592","18.7410","11.1643","18.1740","11.5403","13.4645","11.0000","11.0000","11.0000","11.3586","14.0547","27.3213","77.5234","79.9784","57.4084","56.2840","24.2536","43.7398","48.7114","61.0671","61.1875","43.7732","20.1670","48.7965"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R1_E. coli_E. coli__3_37_SBR_709_3#4#2022_A_ 6A_2.OKA","3/4/2022 2:54:48 PM"," 6-A","PM03B","EC212 R1","E. coli","E. coli","",2.2500,"15.9392","11.0000","11.0000","11.0000","11.0000","11.0000","40.9947","11.0000","11.0000","11.0000","16.6267","32.8712","26.7618","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.0099","34.1956","11.0000","18.5131","16.3789","11.0000","35.5844","11.0000","11.0000","11.0000","11.0000","60.9500","11.0000","11.0000","11.0000","17.9278","17.9744","24.8492","12.0059","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5048","17.1549","11.0000","11.0000","11.0000","11.0000","57.0664","11.0000","67.1857","11.0000","14.4757","47.3631","42.7531","17.7599","18.7052","79.4761","49.3017","11.0000","11.0000","33.0033","11.0000","11.0000","11.0000","21.1018","31.7395","22.9153","19.6741","13.9150","19.7280","14.7009","13.7484","11.6807","11.0000","12.4803","14.9735","20.0075","29.9466","87.9819","89.0130","63.0087","63.1112","23.0150","41.5659","59.8941","67.4412","72.0903","47.4033","22.1075","50.9155"
