"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",0.0000,"19.7632","12.5503","14.6308","11.0000","11.0000","11.0000","11.0000","11.0000","13.3632","11.0000","17.4256","17.6817","15.1519","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4112","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1886","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6163","13.1622","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5095","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9255"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",0.2500,"23.4937","13.3984","14.7542","12.2338","11.1852","11.0000","11.0000","11.0000","11.0000","13.7274","17.2813","20.9258","17.0652","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8354","12.1920","15.3169","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5284","16.9092","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1710","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0888","12.9484","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0618","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4836"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",0.5000,"22.8595","16.6934","20.5834","11.0308","13.1580","11.0000","11.4702","11.0000","14.3482","13.6450","13.5455","19.2355","18.3840","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4239","15.8388","12.1568","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6432","11.0000","14.0589","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2935","13.0786","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3668","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2122","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9101"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",0.7500,"18.7008","18.8480","19.2614","11.0000","11.7092","11.2193","11.0000","15.9014","13.4197","11.0000","17.1408","21.2095","18.1981","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0308","11.0000","11.9063","17.0532","15.3596","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1239","11.0000","14.1117","13.5016","13.6461","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5368","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4677","11.0000","11.9797","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8921","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2968","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9957"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",1.0000,"22.8288","13.9107","14.8358","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6998","16.3188","19.1041","14.4010","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6725","11.7917","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6255","15.6168","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0759","13.7941","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7245","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2845","12.3725","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",1.2500,"16.0569","11.2267","16.9461","11.0000","11.0624","11.0000","11.0000","11.0000","11.7203","11.0000","14.4566","19.9698","16.2928","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2958","12.5097","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6399","11.0000","15.8306","15.5928","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7144","11.0000","11.4673","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6599","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5198","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6516","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1975"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",1.5000,"17.4361","15.9610","14.6889","11.0000","15.4694","11.0000","11.0000","11.0946","11.2821","11.5729","17.3461","21.6598","15.7572","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4458","11.0000","11.0000","12.7368","11.0000","11.0000","12.0308","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1022","13.5697","19.4094","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4554","15.5660","11.0000","13.0152","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3995","14.2879","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3481","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3986","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9230"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",1.7500,"21.1050","15.3285","15.9992","14.1286","14.7427","11.0000","11.0000","11.0000","11.1887","13.2463","20.0754","21.2447","16.5023","11.0000","15.7294","11.0000","11.0000","11.0000","11.0000","11.9697","33.3093","11.0000","14.5121","13.0190","12.9838","11.0000","23.7887","11.0000","11.0000","11.0000","11.0000","17.1779","11.0000","16.2925","11.0000","12.4159","22.3400","19.7589","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2865","11.0000","15.2295","11.0000","16.2199","11.7275","16.5835","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2939","11.8295","15.3220","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7021","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5827","13.4536","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9353"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",2.0000,"22.3981","17.0618","22.2298","14.2965","11.0000","11.0000","11.0000","11.0000","15.5206","11.8616","20.0641","22.8158","16.2667","11.0000","23.3507","11.0000","11.0000","11.0000","11.0000","14.8761","44.1538","11.0000","16.6713","16.0625","12.4922","11.3897","36.1807","42.0666","11.0000","11.0000","11.0000","25.5888","11.0000","23.3526","20.0083","15.1491","30.2869","25.4886","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.7074","11.0000","22.4532","14.2874","15.1153","12.8369","16.7302","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3031","11.0000","13.6219","11.3807","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9825","13.0320","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4129","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1479"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC212 R2_E. coli_E. coli__4_37_SBR_709_3#4#2022_A_ 5B_1.OKA","3/4/2022 2:54:48 PM"," 5-B","PM04A","EC212 R2","E. coli","E. coli","",2.2500,"21.7773","15.9483","20.2103","13.9289","14.8591","11.0000","11.0000","11.0000","11.0000","13.2330","23.1881","21.5778","14.1929","11.0000","30.3049","11.0000","11.0000","11.0000","11.0000","15.6076","52.3103","12.3277","16.3777","13.6945","14.9592","11.1625","47.0770","58.5644","11.0000","11.1277","11.0000","30.7393","11.0000","30.9154","25.5092","12.1974","28.4996","48.0028","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","41.0026","11.0000","33.1443","14.0721","17.0810","11.0000","17.0034","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2257","11.0000","13.1479","15.8219","14.2074","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6203","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7504","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5699"
