"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",0.0000,"18.2204","12.9254","28.1257","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7041","12.4208","14.3910","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0309","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0911","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4235"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",0.2500,"21.8587","12.4705","29.8613","11.5650","11.8182","11.0000","11.0000","11.0000","11.0000","11.7406","13.3447","20.2567","15.9784","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6681","16.9046","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2248","12.6462","12.2031","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1963","13.1549","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5205","13.5829","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1223","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2831","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6591"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",0.5000,"23.9059","14.5884","32.8752","11.0000","11.3706","11.0000","11.0000","11.0000","11.4667","13.5422","14.3945","18.7306","14.1248","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6214","11.7103","11.5973","11.0000","15.7809","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6483","12.4373","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7264","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5292","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3035","11.9313","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.6210"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",0.7500,"22.6257","15.8154","30.9134","13.2192","11.0000","11.0000","11.0000","11.0939","13.7658","13.2849","12.4544","19.5037","13.8262","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3784","11.0000","14.0400","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6809","11.0000","14.2807","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0456","14.5394","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3777","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1590","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2714","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.1464"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",1.0000,"20.3481","12.6096","30.9959","11.0000","11.0000","11.0000","11.0000","11.3432","14.2647","14.5150","14.5202","17.5516","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8252","11.0000","11.0000","17.0750","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1553","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5901","11.9378","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2127","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6226","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4067","25.3351"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",1.2500,"19.4864","14.3646","32.0889","12.6956","12.4185","11.0000","11.0000","13.9670","16.1081","16.5318","13.3841","16.2877","12.9068","11.4568","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2190","11.3143","11.6314","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0179","16.3156","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3808","11.6966","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3291","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7345","13.6169","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8913","13.2524","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.3239"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",1.5000,"18.9338","15.8071","31.4957","13.8237","12.2593","11.0000","11.7798","13.8298","12.7138","17.0165","17.1113","18.6918","14.1590","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0021","14.5325","11.0000","14.4713","15.2231","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6460","12.9940","13.9308","11.1917","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5779","14.7901","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5686","11.2434","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9956","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4427","15.1214","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1242","29.8552"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",1.7500,"25.7529","17.2888","32.1372","11.0000","12.5726","11.3460","12.0294","12.6464","15.0124","19.6466","17.7668","19.2349","14.3646","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0588","11.0000","14.3602","13.2032","15.7139","11.0000","11.0000","16.2517","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0804","16.0636","13.9559","15.0315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5255","16.2503","12.9937","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1407","13.4765","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6930","13.1004","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3708","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.8103"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",2.0000,"24.3756","14.2003","31.0034","14.6183","12.3812","11.8828","11.0000","14.0096","14.5085","15.1531","13.4907","19.1707","14.9664","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7892","13.0904","15.1217","18.4262","14.4744","11.0000","11.0000","33.6205","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2532","14.8721","11.0000","13.3044","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4113","11.8148","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3692","14.9105","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8482","14.4927","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8746","12.6598","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","29.9185"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC217 R2_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_15B_25.OKA","3/22/2022 4:15:17 PM","15-B","PM04A","EC217 R2","E. coli","E. coli","",2.2500,"21.9488","16.5153","35.0746","13.4836","11.0000","11.0000","11.0000","11.0936","12.3718","14.9147","17.1349","21.4568","15.3457","11.8766","11.0000","11.0000","11.0000","12.7836","11.0000","11.0000","22.6341","14.2931","15.9484","18.8560","13.2895","11.0000","11.0000","43.4878","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3731","11.0000","12.9867","21.6677","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7256","13.0499","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2309","13.6079","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8474","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7220","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.1863"
