"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",0.0000,"11.0000","11.0000","20.0889","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6343","11.5852","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3233","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5811","12.1357","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5160","16.2714","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4859","11.6135","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0309","14.3445","25.2622","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4237","17.7445","17.1622","11.0000","11.0000","12.6220","11.0000","11.8616","12.0777","12.2100","11.8397","18.8786","20.7054"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",0.2500,"11.0000","11.0000","20.3179","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0954","19.2989","11.7665","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4021","11.0962","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0433","11.5069","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0943","13.4952","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2720","17.8212","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3844","16.2369","23.2676","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7289","25.6473","22.5057","18.8370","15.8043","15.9400","11.7091","13.7531","16.4315","13.9374","13.7152","18.1417","19.9882","27.0118"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",0.5000,"11.0000","11.0000","22.3152","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8049","15.7415","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4620","14.3425","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7838","15.6483","11.5282","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4615","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2334","20.7022","16.2768","11.3799","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1015","16.3914","11.2856","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5575","22.4847","19.0828","18.2145","20.1757","12.3702","16.8142","11.0000","13.7793","12.5469","14.4534","17.8533","18.3349","24.6599"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",0.7500,"11.0000","11.0000","22.1711","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4154","12.9987","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3223","13.4746","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8120","17.7988","13.8937","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.7866","12.4662","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9605","14.5103","16.6390","12.3898","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7885","21.4322","15.1034","11.3572","11.0000","11.0000","12.9060","11.0000","11.0000","11.0000","11.0000","11.0000","12.9958","25.4719","21.3333","20.2462","14.6822","11.0000","14.6142","12.8144","14.1906","17.7241","16.1552","18.2150","19.6821","27.3166"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",1.0000,"11.0000","11.0000","17.9012","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5381","12.0624","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2510","11.0000","14.9677","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3217","12.0944","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9691","12.1911","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5861","15.1039","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8236","16.0588","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3983","19.8428","18.7943","12.5979","11.0000","13.1422","11.4210","11.1301","11.4864","13.3043","17.1109","22.6184","23.7829"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",1.2500,"11.0000","11.0000","18.9658","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0908","15.0724","12.6202","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6784","15.3755","11.5961","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1800","14.7294","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0353","11.9714","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5371","13.2652","15.5902","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8304","17.2700","13.8650","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7205","20.8520","21.4199","13.7114","11.1909","13.8050","11.0000","11.0000","11.0000","16.1478","13.7748","21.9956","23.3808"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",1.5000,"11.0000","11.0000","22.5541","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4653","17.6026","12.1222","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0135","18.8427","14.6740","11.0000","11.0000","24.5074","11.0000","11.0000","11.0000","11.0000","11.0000","12.6653","11.0000","20.3630","15.0308","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1261","17.5568","14.9845","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2513","15.9196","17.3571","13.2712","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0375","11.0000","15.1927","21.9007","16.1814","11.0000","11.0000","11.0000","11.7512","11.0000","11.0000","11.0000","11.0000","11.0000","14.6854","27.2014","21.8091","16.8470","16.2185","13.7530","15.6482","14.4590","13.4985","11.0646","13.4966","18.4647","20.7746","25.8994"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",1.7500,"11.0000","11.0000","20.4541","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5037","21.5879","13.8735","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5827","11.1566","12.2809","19.1109","12.5968","11.0000","15.2332","21.1872","11.0000","11.0000","11.0000","11.0000","11.0000","12.5766","13.1168","14.9847","19.0866","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.0437","17.3733","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3261","19.8210","16.8075","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0044","11.0000","16.7369","18.4268","13.5742","13.8178","11.0000","11.0000","11.0000","11.0000","11.9946","11.0000","11.0000","11.0000","14.0448","24.6064","19.0555","20.3085","12.8523","11.6668","15.9273","13.8745","18.2383","15.3177","16.6287","19.1499","22.2774","30.4869"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",2.0000,"11.0000","11.0000","23.5445","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4164","14.5111","20.2676","15.3821","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.5387","11.5650","15.8225","17.2861","16.4977","11.0000","26.9772","33.2119","11.0000","11.0000","11.0000","20.3127","11.0000","19.4046","13.9587","20.0269","28.2151","15.8693","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4327","11.0000","15.5770","21.6349","16.0943","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0318","14.6711","16.3991","20.2365","11.5057","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3995","18.1819","16.3495","17.3742","11.0000","11.0000","12.2866","13.6523","14.2523","11.0000","11.0000","11.0000","16.4621","26.2504","19.1064","22.7839","24.0804","14.8158","16.2908","18.4126","13.8753","13.3849","18.1171","21.1330","19.5970","24.7221"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC220 R1_E. coli_E. coli__4_37_SBR_709_3#22#2022_B_ 9A_12.OKA","3/22/2022 4:15:17 PM"," 9-A","PM04A","EC220 R1","E. coli","E. coli","",2.2500,"13.6644","11.0000","22.3412","11.0000","11.0000","11.0000","11.0000","11.0000","14.0804","23.8826","18.4135","16.9941","15.0506","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4711","45.0924","18.9106","18.0031","16.2605","17.9728","11.0000","40.3220","56.3018","11.0000","11.0000","11.0000","28.6772","11.0000","30.5597","15.4037","16.6115","34.8078","21.6274","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.5971","12.7718","18.4862","18.9884","13.9293","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8241","16.2580","14.5564","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7807","11.5054","14.1289","17.6959","19.3192","11.9149","11.0000","11.0000","11.0000","11.0000","12.3172","11.0000","11.0000","11.0000","21.0399","18.4776","22.8759","22.0546","16.9278","16.6498","11.9828","11.0000","13.6868","13.5719","15.3977","19.6276","20.0130","23.5812"
