"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",0.0000,"14.1719","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1568","29.9784","15.5166","11.0000","11.0000","11.0000","37.6672","11.0000","11.0000","11.0000","28.5583","11.0000","11.0000","16.8625","13.6413","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9552","14.4045","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9028","31.1263","14.4153","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.2114","16.1224","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.4847","11.0000","15.7449","19.7370","21.5369","12.6679","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3523","20.7586","23.1192","15.3415","17.2801","14.1724","16.4261","11.0000","11.0000","14.9214","66.1484","23.5105","22.6188","22.3199"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",0.2500,"11.5742","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.8947","17.3833","11.0000","11.0000","11.0000","38.6712","11.0000","11.0000","11.0000","25.6888","11.0000","11.3102","18.7323","13.1930","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.3082","12.0255","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2601","22.5369","13.9188","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.6489","19.0503","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.8547","11.0000","16.9362","25.4004","21.0327","11.1955","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3492","12.5473","17.5086","24.0216","24.6106","19.1198","17.2248","12.9058","15.8557","14.3630","11.3569","17.2241","67.8475","21.1919","23.2456","28.1646"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",0.5000,"17.5341","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4948","32.3270","16.9276","11.0000","14.8409","11.0000","43.4408","11.0000","11.0000","11.0000","26.6764","11.0000","11.0000","17.4136","18.0416","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0311","21.1067","19.5466","11.4448","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3960","23.9536","19.6561","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.4628","20.5447","12.7278","11.7206","11.0000","11.0000","11.0000","11.0000","11.0000","39.2291","11.0000","15.9187","20.9849","24.1366","15.0094","11.0000","11.0000","11.5273","11.0000","11.0000","11.0000","11.0000","11.0000","19.5327","23.2377","23.7743","17.7102","21.4436","16.4239","17.2262","12.7382","18.1485","14.3148","67.5284","19.0085","23.4282","23.1721"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",0.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.8673","14.2765","11.0000","11.9027","11.0000","37.3913","11.0000","11.0000","11.0000","25.3944","11.0000","11.0000","20.9143","11.2853","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4335","11.3462","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8246","21.6117","17.0058","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.5453","16.7475","11.0000","13.3615","11.0000","11.0000","11.0000","11.0000","11.0000","33.5664","11.0000","16.1365","22.3172","19.4479","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8343","18.5714","22.0423","15.3821","19.3366","15.0893","16.3461","12.2102","13.3810","11.0000","67.1222","21.3202","23.2680","29.4387"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",1.0000,"11.9310","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2973","36.0756","16.9206","11.0000","11.9662","11.0000","39.0766","11.0000","11.0000","11.0000","25.1097","11.0000","11.0000","16.9989","12.1103","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9464","16.9569","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5391","19.6499","13.6454","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.3176","15.7552","12.0551","13.9731","11.0000","11.0000","11.0000","11.0000","11.0000","36.0672","11.0000","19.7632","20.1374","18.6637","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3576","15.1901","16.4330","24.5778","19.0653","20.6825","16.6841","19.1276","11.0000","11.8827","15.0346","68.0177","15.1981","23.2621","27.8461"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",1.2500,"13.3182","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1538","37.3645","18.7661","11.0000","15.7037","11.0000","42.4389","11.0000","11.0000","11.0000","25.7523","11.0000","12.7245","17.1335","19.4460","11.0000","11.0000","11.0000","11.0000","11.6948","11.0000","11.0000","11.0000","11.0000","11.0000","18.1608","19.0266","11.0000","11.0000","13.8146","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9388","19.1116","14.5222","11.0000","11.0000","11.6655","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.4379","23.7384","11.7355","20.2741","11.0000","11.0000","11.0000","11.0000","11.0000","36.1803","11.0000","17.4772","19.6610","23.5474","11.3303","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8607","11.4897","13.4019","26.5712","24.3612","18.5110","19.4874","14.7230","18.5893","15.8577","15.0377","14.0290","62.4765","18.5060","23.7776","25.9834"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",1.5000,"23.0210","11.0000","14.4247","11.0000","11.0000","19.9034","11.0000","18.2259","11.0000","18.7412","19.7983","47.1506","22.2543","13.1438","18.1449","11.0000","41.1714","11.0000","11.0000","11.0000","26.4793","11.0000","18.4197","17.0437","28.4121","11.0000","13.2543","19.0021","11.0000","14.7802","11.0000","14.1063","11.0000","16.5041","14.6611","20.0016","25.5082","12.3948","11.6271","11.5472","11.0000","11.0000","15.5407","11.0000","11.0000","11.0000","11.0000","22.2824","22.7358","19.7668","13.6984","11.0000","25.3365","11.0000","11.0000","11.0000","11.0000","11.0000","12.8760","38.0131","40.5476","18.3980","25.5202","11.0000","18.3579","14.7633","11.0000","11.0000","38.9834","18.6115","18.3760","26.9470","29.9149","17.3261","12.1097","16.3843","11.5090","16.0645","11.0000","16.7220","12.4803","11.0000","20.7617","24.8710","32.4737","27.2324","26.8669","21.8672","20.6490","12.6049","17.1778","13.8414","67.2118","26.8457","21.6168","38.4848"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",1.7500,"28.1053","16.4393","20.0738","18.1721","14.8660","35.3874","16.7346","21.8608","24.2872","26.4441","30.0144","62.4797","30.1467","16.7496","22.7347","11.0000","45.6001","11.0000","11.0000","11.0000","28.6318","11.0000","25.4979","20.8637","31.4481","15.9970","19.1767","29.7852","11.0000","20.3445","11.0000","24.2979","18.9179","22.8713","24.1324","24.2610","30.5622","14.9948","15.6683","16.7467","12.3232","11.0000","23.9388","13.5449","11.0000","11.0000","15.7176","24.3615","26.0548","26.5925","23.1455","13.9498","26.0732","11.0000","11.0000","13.7988","13.7755","11.0000","13.3752","47.4097","51.1267","26.1637","32.3456","13.8723","27.4332","23.2171","21.4367","11.0000","41.3797","25.1965","17.0359","31.7683","41.2737","24.5020","24.9722","23.1130","20.1551","25.9705","13.7616","24.1888","15.4120","18.0478","30.1742","29.8659","42.7339","36.2517","37.1026","28.2284","28.0762","13.5632","25.9770","19.2319","68.5916","34.7693","26.9887","43.8645"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",2.0000,"35.3142","21.3791","28.1727","23.9661","21.7628","43.7616","25.1550","33.6221","25.6099","31.0666","35.4568","70.1975","38.2055","23.3777","25.1232","16.0681","59.4719","11.0000","17.1270","11.0000","31.3384","12.4597","30.7315","16.5255","39.1594","23.0020","28.2757","34.9544","15.2697","20.4725","12.7364","31.9042","26.6262","32.9506","29.7621","21.1928","37.8649","17.3013","25.9734","17.7900","20.6518","11.0000","29.9752","16.1825","11.0000","13.5420","20.5642","31.8814","23.5777","35.3728","27.3858","17.4726","41.2827","11.0000","11.0000","15.4439","17.9610","12.1227","12.9960","51.4402","59.5652","31.4580","41.1674","26.8791","36.6449","24.4807","22.2880","11.0000","39.6067","30.4115","20.0901","36.7459","43.2214","33.4222","24.5942","27.8739","30.8992","27.1262","17.5874","38.0652","17.0254","22.9677","42.7317","36.5459","42.8919","41.3972","43.0310","36.6411","37.9881","19.5217","30.9060","25.0940","81.3219","42.7208","31.1278","49.2603"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC222 R1_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 5A_4.OKA","2/25/2022 4:20:34 PM"," 5-A","PM02A","EC222 R1","E. coli","E.coli","2015480",2.2500,"39.6737","28.1627","31.2874","24.7432","28.6682","52.1228","27.5160","37.0127","32.5230","39.1442","39.8670","83.0578","38.2242","23.5809","23.3414","23.7419","59.9668","19.8434","23.7033","11.0000","24.2204","17.1636","36.3182","23.4049","42.8608","31.5965","34.3002","44.2126","20.5048","21.7299","17.9751","36.1018","30.9382","37.3280","32.3353","23.4182","41.2809","16.9978","23.6219","20.4352","24.5270","11.0000","39.0709","22.6261","11.7280","20.3571","21.8081","34.4132","30.0699","37.2037","33.8314","23.9744","44.4860","11.0000","11.0000","25.1478","27.7174","12.6358","13.8295","55.4119","65.9806","37.3098","49.7115","34.1754","50.0191","31.8682","29.8045","15.5009","39.1028","41.2387","20.0144","42.2923","46.1777","40.6219","28.0864","37.9587","35.4246","31.2581","19.6179","37.5484","19.9643","29.6065","45.1682","42.7130","52.1880","45.2912","47.8453","35.3313","39.6194","25.7013","38.7471","32.2093","87.2754","46.5483","28.9776","50.1699"
