"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",0.0000,"27.3677","16.1006","13.8968","11.0000","19.5292","17.0678","11.0000","12.7619","14.0458","17.0322","18.2253","28.5653","19.7684","11.0000","11.0000","11.0000","41.2531","11.0000","11.0000","11.0000","32.5812","11.0000","12.8409","22.3836","17.2403","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5983","19.7077","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0018","45.7628","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.0315","17.1581","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.1687","11.0000","11.3122","20.0011","11.1882","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5651","11.6163","18.0694","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","65.1509","11.0000","17.9769","18.4631"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",0.2500,"23.4371","18.3764","16.0429","14.8073","13.3101","14.1855","11.0000","15.2051","14.5751","16.5642","15.4605","34.7094","16.8668","11.0000","11.0000","11.0000","40.1921","11.6981","11.0000","11.0000","33.1416","11.3746","13.4388","20.2439","15.1089","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1035","17.5011","15.4802","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0645","31.9776","12.3533","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.9286","16.9218","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.9078","11.0000","12.7283","16.1252","11.9630","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7513","15.3327","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","57.9390","11.0000","13.1451","18.9861"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",0.5000,"26.4871","18.6404","14.5722","17.4180","18.0654","17.6652","12.0582","17.0125","18.1353","21.6101","20.5684","34.8977","22.4113","12.2677","11.7958","11.0000","44.7495","11.7614","11.0000","11.8028","35.2174","15.3956","17.2724","23.3913","20.4003","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6182","20.4114","22.3215","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.4024","26.5414","21.1970","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1800","28.6706","19.0434","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.1213","11.4696","13.9156","18.9174","19.2842","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9961","18.4658","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","63.6718","11.0000","18.0880","24.0607"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",0.7500,"25.4745","16.3093","11.0000","20.6647","18.0404","17.8296","11.0000","16.8060","15.4929","17.1890","17.6659","35.6215","20.5424","11.2300","11.0000","11.0000","44.9763","11.0000","11.0000","11.0000","35.7223","11.0000","14.8263","20.2535","12.9136","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3766","12.9876","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9297","24.6881","18.8845","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.0714","13.6848","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.5073","11.0000","11.0000","17.3884","13.6240","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0745","13.4584","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","54.3515","11.0000","13.9588","21.4107"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",1.0000,"28.5328","20.0432","14.5500","15.1057","16.2257","20.9996","17.3803","18.3692","17.8177","17.7506","18.4963","38.9487","21.7858","11.0000","11.0000","11.0000","48.4909","11.0000","11.0000","11.0000","32.3014","13.1450","18.7736","18.3058","20.2700","11.0000","11.0000","11.0000","11.2175","13.2415","11.0000","11.0000","11.0000","11.0000","14.1934","18.9566","19.6690","11.0000","11.0000","11.0000","11.0000","12.4587","11.0000","11.0000","11.0000","11.0000","11.4103","18.7216","22.5964","22.0125","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8727","34.7709","16.2340","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.9129","11.0000","11.8431","18.7195","17.8835","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6931","17.5049","21.6512","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","64.6913","15.2978","17.0063","22.7351"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",1.2500,"28.9979","20.6812","18.3597","19.1468","17.6309","30.0664","13.8190","18.1649","20.7199","24.5896","25.1487","52.9262","19.6754","17.3981","11.0000","11.0000","43.5198","11.0000","11.0000","11.0000","31.3621","11.4747","17.4032","17.3964","22.8697","11.5214","11.0000","11.0000","11.0000","13.8204","11.0000","11.0000","11.0000","12.3927","17.8568","21.8668","19.8086","11.0000","11.0000","11.0000","11.0000","14.1273","11.0000","11.0000","11.0000","11.0000","11.6610","22.5125","17.8332","19.5611","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.2306","36.6658","30.1870","11.0000","13.8588","11.0000","11.0000","11.0000","11.0000","11.0000","36.0686","12.6527","11.0000","16.0177","19.1984","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8782","23.3816","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","63.3946","11.0000","18.0791","27.0476"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",1.5000,"37.8471","35.3964","30.8476","24.8070","30.0829","43.7291","29.8098","33.7183","31.9119","39.4657","43.6753","69.0122","27.7667","23.7951","11.0322","20.3217","46.0522","14.6350","18.7075","18.9846","32.5801","11.0000","30.4414","15.7898","33.7543","16.2461","16.2230","23.4904","20.2079","14.4043","11.0000","14.6670","11.1237","21.7976","23.7537","17.8488","33.8401","11.0000","13.9783","11.0000","13.3127","16.9251","28.3786","11.0000","11.0000","11.0000","13.8350","29.3426","22.0891","26.1131","17.7495","19.5341","25.8916","11.0000","11.0000","16.6287","17.4588","11.0000","21.5192","50.1977","44.0480","19.9554","20.9860","23.8893","28.3633","12.0506","11.0000","11.0000","34.7745","23.4888","11.0000","28.7109","31.3082","21.8065","14.6143","18.2488","12.4247","13.8731","11.0000","17.7330","11.0000","11.0000","25.4297","25.3534","31.4662","24.2552","17.7176","11.0000","11.0000","11.0000","19.1050","14.6073","62.2262","26.2051","20.1711","35.7283"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",1.7500,"57.9868","51.5175","50.9719","40.0117","45.6610","67.9233","43.6729","50.8859","52.8494","57.8919","60.8361","86.3141","50.3984","38.8274","11.0000","33.9453","54.5755","33.6211","37.1086","33.3930","34.6961","15.1182","43.0004","22.5204","50.9521","42.4574","33.9807","37.1629","34.4200","20.1272","29.1586","32.1305","20.2331","42.9419","38.3317","21.5977","50.4565","24.2337","32.8152","11.0000","37.7794","24.7471","48.5352","27.0043","33.9293","27.9771","27.9546","46.3677","27.2771","39.5486","31.2691","41.4224","41.7841","11.0000","11.0000","28.8027","33.8247","18.7290","24.3305","64.2822","61.8042","34.5064","38.4093","46.0677","43.9625","30.7645","28.9022","11.0000","40.3039","38.5157","14.4509","42.9278","52.5250","40.5765","34.7497","39.0092","29.0328","28.1001","30.5753","35.9299","19.2924","11.0000","42.8304","43.5860","46.5486","42.1705","40.4583","29.7778","33.1381","17.7893","35.5340","26.9466","73.1418","43.6848","39.2057","56.1686"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",2.0000,"69.2914","59.5613","63.3216","46.2644","58.4615","82.7752","58.6364","61.2161","59.0311","67.3080","72.7893","109.8638","60.1111","49.9592","15.0593","43.9076","56.3458","49.2263","46.0982","38.4415","33.3340","15.5209","59.3441","21.3535","64.6359","47.6741","45.7707","53.9363","48.4808","13.0153","49.0466","42.9364","29.6901","50.6574","45.9835","18.6517","62.2759","28.8037","45.8547","11.0000","43.8357","26.9703","58.9259","39.0879","41.8240","40.3454","36.7144","53.4565","28.2782","47.3107","45.5729","61.8862","53.4968","11.0000","11.0000","40.3018","44.2070","24.9004","31.2816","81.4389","72.6445","51.8258","49.5081","56.9977","58.7268","42.4166","39.8391","24.7337","33.8488","49.0360","19.7858","56.5467","60.2618","57.1683","44.1698","51.7247","43.8287","39.3055","42.2903","48.4797","38.0676","16.3053","48.6658","59.4302","56.3209","55.4932","49.0866","47.1308","45.5125","44.1072","48.8506","35.9178","83.9149","55.5406","48.2178","61.8811"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\EC224 R2_E. coli_E.coli_2015480_2_37_SBR_709_2#25#2022_A_ 3B_1.OKA","2/25/2022 4:20:34 PM"," 3-B","PM02A","EC224 R2","E. coli","E.coli","2015480",2.2500,"77.3409","68.1313","78.0782","53.6178","68.5310","93.7250","61.3647","70.3766","65.6649","78.6390","85.1808","119.9039","73.9954","68.2205","12.9305","54.9413","70.1196","64.0574","53.2118","47.4054","34.4599","21.7370","68.4682","23.9419","74.2776","62.4795","61.0582","64.0148","60.9872","17.8885","59.4520","55.6157","39.5202","60.1269","56.0447","22.0475","71.7637","32.1549","58.3767","11.0000","51.4566","25.2423","70.3134","45.1915","52.4680","50.1652","47.1448","68.0547","30.9853","57.0042","53.7888","64.1802","71.3407","11.0000","14.0799","50.8554","53.5469","36.7032","37.4183","96.6075","90.3133","57.1664","62.0724","70.6921","72.4721","49.9284","48.6639","35.7494","37.6965","59.4439","20.6134","63.6223","66.6585","62.1517","55.4575","59.7880","57.7326","47.9719","57.3314","60.2890","49.7399","19.9197","62.0529","70.7916","62.1606","62.4830","61.7278","54.9384","53.2805","55.5077","60.1276","46.8624","97.5277","65.0347","59.7297","72.2350"
