"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",0.0000,"13.5540","12.0291","36.0641","11.0000","11.0000","11.0000","11.0000","11.0000","12.3655","12.2041","15.1363","26.1929","80.3839","11.0000","16.4158","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0571","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.7574","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","68.1113","54.3166","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.5437","11.0000","53.2133","11.0000","44.5138","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0845","15.7862","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8017","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.2661"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",0.2500,"14.6534","11.0000","35.1214","11.0000","11.0000","11.0000","11.0000","12.8635","11.0000","11.0000","14.5594","14.9341","68.3770","11.0000","24.1019","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4677","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6127","11.0000","11.0000","38.9825","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2146","11.0000","52.8513","53.9768","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","52.1139","11.0000","47.4136","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5991"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",0.5000,"21.1737","13.7417","34.2846","13.5192","13.7725","11.0000","11.0000","11.0000","12.7508","11.0000","20.0748","20.6856","72.5763","11.0000","21.3187","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4485","15.8504","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4281","14.0335","11.0000","11.0000","41.4891","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5239","13.0030","52.9427","56.7721","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4912","13.2311","56.3198","11.0000","50.3850","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3981","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6981","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6370","26.2792"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",0.7500,"20.0280","13.8035","33.6624","12.3968","11.0000","11.0000","11.0000","13.5013","17.3377","11.4767","17.4842","19.3194","75.8819","11.0000","13.6709","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6310","11.9488","20.0379","12.7005","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9923","15.3980","11.4368","11.0000","30.7237","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4624","11.1833","49.3054","52.9192","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8288","46.5842","11.0000","50.9263","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3124","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7543","11.0000","13.2980","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6351","25.2190"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",1.0000,"19.6298","14.0545","30.4573","11.6818","12.7986","11.0000","11.0000","12.7317","18.8773","11.0639","21.3821","17.8319","65.2310","11.0000","12.4809","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3158","11.6304","15.8403","13.0195","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6329","11.0000","11.0000","23.0628","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9550","14.0344","38.5912","45.8009","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9979","11.0000","46.1470","11.0000","46.8604","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2619","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7466","11.5270","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0665","24.2495"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",1.2500,"11.3467","13.6746","27.5269","15.8954","14.0777","11.0000","11.0000","11.7857","17.9333","12.3134","22.5912","17.0772","67.4120","11.0000","11.4480","11.0000","11.0000","11.4458","11.0000","11.0000","11.0000","12.0058","16.6897","20.0566","12.7100","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.2358","15.8699","14.5903","11.0000","21.2459","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1404","12.2793","39.9952","46.3162","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9196","11.0000","42.5346","11.0000","45.5521","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9575","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2616","11.5814","14.4040","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8616","28.2562"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",1.5000,"21.3773","15.7201","32.2452","13.8947","11.0000","11.0000","11.0000","17.0741","22.0146","12.9516","24.8747","19.0125","60.2877","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0625","11.0000","11.0000","17.0335","16.4999","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9123","14.9468","13.5563","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5085","13.8085","27.3838","35.7594","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3769","16.0299","36.3414","11.0000","38.4183","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0475","12.6583","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6083","11.3363","11.1860","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5925","25.9467"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",1.7500,"16.7127","12.2984","31.9399","16.5778","11.0000","11.0000","11.0000","11.0000","22.1511","11.5458","21.9267","22.4100","40.2821","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0465","11.0000","11.0000","13.4309","14.0070","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1513","11.0000","11.0000","14.8704","13.1012","12.1914","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4859","11.0000","11.0000","14.3181","12.6452","14.3068","13.8010","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0543","11.0000","21.9464","11.0000","28.8231","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8432","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3958","11.3366","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3800","27.6823"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",2.0000,"17.3111","15.6070","29.6581","15.3555","11.0313","11.0000","11.0000","13.5570","28.3521","23.2220","21.3214","23.5127","30.0397","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0796","37.2215","11.0000","16.3354","14.3851","16.5281","11.0000","18.1941","11.0000","11.0000","11.0000","11.0000","21.3187","11.0000","11.0000","20.2412","11.0000","18.0551","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1710","11.0000","19.7681","11.0000","11.3044","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9212","13.2487","18.0839","11.0000","27.4020","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2227","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1247","13.8909","14.2644","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6995","27.6468"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 157 R2_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_17B_33.OKA","4/19/2022 2:31:30 PM","17-B","PM04A","ELI 157 R2","E.coli","E.coli","",2.2500,"18.5982","12.8165","28.3417","16.4069","13.6188","11.0000","11.0000","14.9788","35.7838","29.7631","33.4931","21.5530","26.3354","11.0000","13.9815","11.0000","11.5908","18.6524","11.0000","18.2311","46.4845","18.4528","20.8727","13.4318","28.4718","11.0000","28.0283","25.3420","11.0000","11.0000","11.0000","35.0176","11.0000","17.1204","30.3913","14.1167","17.3433","11.9385","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.8324","12.0782","28.7083","11.0000","12.4287","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1396","12.5989","11.0000","11.0000","19.4255","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7597","12.8716","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4549","11.0000","15.9022","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7128","27.9693"
