"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.0000,"18.4883","16.1751","17.1943","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9752","49.1984","40.4539","13.2055","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.4929","14.4717","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1302","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4425","11.6653","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5548","28.0490","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","56.8553","11.0000","11.0000","11.0000","11.2489","24.9619","12.2432","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1918","12.0854","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2034","26.0526"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.2500,"19.8367","20.4764","22.6033","12.2047","14.4776","11.1889","11.0000","11.0000","12.8649","11.0000","17.9460","27.7557","15.8072","11.0000","11.0000","11.0000","11.0000","11.6659","11.0000","11.0000","11.0000","11.0000","12.6533","23.0605","16.9245","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7671","13.6137","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7871","15.7841","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6269","25.8309","14.2601","11.0000","11.0000","11.0000","11.0000","27.4455","47.1411","11.0000","11.0000","11.0000","11.0000","22.9365","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3379","20.2273","14.2414","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1178","22.4399"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.5000,"18.4762","15.4686","21.5854","11.0000","12.8194","11.3156","11.0000","12.6466","12.0537","11.7932","18.9830","25.3457","18.9760","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4664","17.4938","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2462","14.1451","11.6503","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3101","13.5808","15.7159","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5902","21.7580","14.0834","11.0000","11.0000","11.0000","11.0000","30.6661","50.0823","11.0000","11.0000","11.0000","11.0000","19.3221","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0740","12.1686","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8650","22.7963"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.7500,"20.3929","14.9905","23.8953","14.1006","12.2983","11.0000","11.0000","14.5183","11.6526","12.5417","12.6027","20.9100","19.3101","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3482","14.9063","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6055","19.6071","17.0446","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3452","13.1769","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7491","19.7418","11.8814","11.0000","11.0000","11.0000","11.0000","43.1603","43.7875","11.0000","11.0000","11.0000","11.0000","15.6271","11.9895","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7179","13.1253","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4643","15.2299"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.0000,"22.4409","16.6748","11.0000","12.4005","15.1477","16.1197","11.0000","11.6972","13.3608","11.0000","14.8037","24.0508","22.0235","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7823","11.0000","18.0039","15.3533","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9350","16.1420","16.2809","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7746","18.0854","11.0000","11.0000","11.0000","11.0000","11.3752","11.0000","11.0000","11.0000","11.0000","13.9667","19.5934","17.4352","11.0000","11.0000","11.0000","11.0000","45.7449","44.1524","11.0000","11.0000","11.0000","11.5646","19.7663","12.7805","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3448","19.3369","21.2858","17.3500","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8537","20.9806"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.2500,"22.7545","15.7993","13.4777","13.7501","13.5512","13.0613","12.9928","13.4946","15.7739","11.8605","21.4849","23.1640","19.7296","11.0000","11.0000","11.0000","11.5239","11.0000","11.0000","11.2503","11.0000","13.4017","11.0000","17.4246","19.5492","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.9381","11.0000","11.0000","11.0000","16.2945","14.4854","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9738","19.5031","16.5845","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6458","11.0000","11.0000","15.9455","25.7408","17.8954","11.0000","14.1665","11.7533","11.0000","43.6363","45.1355","12.0851","11.0000","11.0000","14.3393","21.9888","15.6779","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8737","33.0052","27.2194","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2173","11.0000","15.3918","18.6987"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.5000,"22.3944","16.5081","13.0865","12.1810","11.0000","11.0000","12.3652","11.9108","11.0000","15.6003","17.6095","25.6562","15.6261","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1130","11.8521","18.3543","21.3766","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.3426","11.0000","11.0000","11.0000","15.7601","14.3357","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6693","14.1104","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4853","11.0000","11.0000","19.7142","27.4629","14.4250","11.0000","20.9516","11.0000","11.0000","34.0566","39.9100","11.0000","11.0000","11.0000","13.9768","19.2864","13.3969","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6892","14.8346","39.8548","34.4090","15.0773","11.5635","11.0000","11.0000","11.0000","15.9826","23.6377","11.0000","11.0000","26.1611"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.7500,"23.6852","21.2212","16.3133","15.5130","16.3731","14.2812","18.5640","15.5753","14.8073","18.6189","21.1939","29.7695","22.5494","11.0000","11.0000","11.0000","13.3795","11.0000","11.0000","11.0000","14.2279","13.9114","11.0000","23.7528","21.1836","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.3057","11.0000","11.0000","13.1155","16.7305","17.0705","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4931","16.5302","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.2636","11.0000","11.0000","23.0769","31.8830","17.9979","11.0000","32.4103","21.2974","11.0000","21.8078","39.5170","13.4960","12.3426","11.0000","15.7725","21.8747","14.9889","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8866","54.8822","42.2359","21.2544","21.3651","11.0000","11.0000","11.0000","20.9776","30.6866","11.0000","12.7000","31.6974"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",2.0000,"22.7539","17.0983","17.1809","12.5196","16.8113","11.0000","18.4395","18.4649","18.9670","15.0678","19.9742","32.5673","21.0564","12.1203","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7799","15.6721","12.7052","23.2076","17.5891","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.0953","11.0000","11.0000","11.5913","16.5105","13.5584","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.3500","20.4862","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.4475","11.0000","11.0000","31.9567","31.3578","14.5639","11.0000","42.4283","21.3506","11.0000","26.8369","40.4846","14.2034","11.0000","11.0000","16.6453","23.3760","17.2116","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0364","16.9630","66.3757","56.0533","26.2656","24.0852","11.0000","11.0000","11.0000","26.3085","38.0866","11.0000","15.0605","41.3132"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 158 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_10B_23.OKA","4/12/2022 1:53:05 PM","10-B","PM03B","ELI 158 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",2.2500,"22.1209","19.4203","12.5110","18.2228","13.0596","11.5105","24.1749","15.0237","12.3879","12.2822","18.0585","31.5520","21.5572","11.0000","11.0000","11.0000","11.0000","11.7062","11.0000","11.0000","13.8952","14.5393","13.2920","17.2220","18.6690","11.0000","11.6123","11.0000","11.0000","11.0000","11.0000","52.1260","11.0000","11.0000","11.6222","16.6423","15.9063","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2875","15.0680","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","36.4551","11.0000","11.0000","36.5013","41.0468","15.4102","11.0000","49.6193","27.7258","11.0000","21.3620","36.6234","11.0000","11.0000","11.0000","16.1852","25.2104","13.7753","11.1289","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2155","69.2252","62.1699","28.2315","30.3712","11.0000","11.0000","11.0000","29.6817","41.6016","11.0000","16.2508","50.4447"
