"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",0.0000,"11.0000","58.6999","62.7446","11.0000","11.0000","11.0000","16.9940","11.0000","11.0000","11.0000","11.0000","13.0515","11.6919","11.0000","11.0000","11.0000","11.0000","11.0000","17.0074","11.0000","11.0000","11.0000","11.0000","14.6704","11.3129","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5121","64.7681","11.0000","51.3911","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6640","12.9568","37.0942","54.7041","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1135","11.0000","55.3527","11.0000","12.7182","11.0000","11.0000","11.0000","11.0000","11.0000","11.9390","17.6401","14.8593","34.8768","38.3636","11.0000","11.0000","11.0000","11.0000","11.0000","12.0305","11.0000","11.0000","23.2259","17.4191","20.1802","65.5675","14.3758","12.1751","11.0000","11.0000","46.1815","11.0000","15.2095","17.3088","20.6760"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",0.2500,"11.0000","52.7630","60.8419","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0944","11.0310","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7761","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6831","65.4132","11.0000","47.2805","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4784","11.0000","37.1671","49.3901","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8729","11.7446","11.0000","50.7019","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4670","16.0670","15.0390","40.7289","49.7011","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.7397","22.2915","18.3865","66.9660","11.0000","11.0000","11.0000","13.8511","32.4288","12.4843","16.9399","19.8663","20.3080"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",0.5000,"11.4807","53.1315","60.7776","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4999","16.7051","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2336","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1724","66.0717","11.0000","45.4714","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7913","12.5360","43.6330","54.1164","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0620","18.9462","11.0000","52.8327","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0944","17.0637","21.0138","45.9378","54.2703","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0694","21.6878","18.0724","64.0088","14.9234","13.5281","13.5754","11.6544","27.5699","14.7341","25.1186","21.7244","23.3944"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",0.7500,"11.0000","48.5617","54.0709","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4627","12.8848","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6671","11.9740","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6160","59.0688","11.0000","40.1122","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8346","16.4939","44.5849","45.6278","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1036","14.0020","11.0000","47.9222","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7412","17.7506","17.6268","51.4138","52.3313","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3606","11.0000","17.0403","20.5872","18.3930","61.9243","11.0000","12.0802","13.1009","12.5319","21.6577","12.4019","24.3724","20.6910","23.6963"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",1.0000,"11.0000","45.3306","53.5658","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8778","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3235","11.7254","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0562","59.5562","11.0000","43.0460","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7843","17.4677","51.3161","43.7983","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3874","14.7178","17.2628","11.0000","44.0989","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3281","19.4847","22.1809","54.1669","51.5026","11.0000","12.7915","11.0000","11.0000","11.0000","11.0000","11.0000","12.4902","23.3431","24.0833","19.8933","63.0712","20.9792","13.7260","13.9423","14.5714","16.6192","15.1619","22.3294","19.7216","22.4900"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",1.2500,"11.7363","38.2081","46.9150","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5126","18.1691","14.1766","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0628","19.4165","12.1984","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4209","52.4727","11.0000","36.6956","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4598","18.5832","48.5922","40.9198","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5910","18.1457","11.0000","37.2085","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5176","17.4229","17.1566","50.0653","49.8560","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3002","21.3752","19.8850","53.2375","15.7602","14.8808","17.1069","14.7292","21.9529","19.3193","22.6836","21.3214","21.1915"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",1.5000,"11.0000","31.3747","43.5832","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4834","12.0100","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.1101","11.0000","11.1572","19.4835","13.2349","11.0000","11.0000","15.6540","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4047","49.2835","16.4246","34.1046","11.0000","11.0000","11.0000","11.0000","11.0000","14.1768","11.0000","11.0000","19.0593","16.7766","46.8766","39.8790","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9521","20.1939","12.1149","36.7614","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2278","20.8503","18.7423","52.5732","47.8216","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2795","23.5656","23.1702","22.5840","42.8524","15.3939","16.4170","14.0441","15.3553","16.5528","11.0000","24.1994","23.8946","22.6159"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",1.7500,"11.6752","21.6258","39.2475","11.0000","11.0000","11.0000","11.0000","11.0000","13.4942","11.0000","12.0987","17.2563","13.3623","11.0000","14.5355","11.0000","11.0000","11.0000","11.0000","11.0000","36.0280","11.0000","11.0000","16.5864","16.7517","11.0000","23.4991","28.1130","11.0000","11.0000","11.0000","11.1578","11.0000","11.0000","11.0000","15.0779","46.6504","33.6472","19.4433","11.0000","11.0000","11.0000","11.0000","11.0000","24.9200","11.0000","11.0000","13.2354","13.8597","38.9533","26.2537","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9673","15.6342","11.0000","28.5150","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7914","15.9623","17.2481","44.1048","44.1832","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8270","18.3141","22.4211","19.3858","37.2000","11.0000","12.9399","14.9839","14.6843","11.0000","11.0000","23.1663","20.7098","21.1298"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",2.0000,"11.0000","11.0000","31.4644","11.0000","11.0000","11.0000","11.0000","11.0000","21.8129","11.0000","11.0949","14.0096","14.0774","11.0000","21.3955","11.0000","11.0000","11.0000","11.0000","11.0000","44.0651","11.0000","13.7671","12.6652","16.2512","11.0000","36.2326","39.9584","11.0000","19.2050","11.0000","24.1563","11.0000","11.0000","11.0000","17.9621","47.6461","51.6561","14.8308","11.0000","11.0000","11.0000","11.0000","11.0000","39.0529","11.0000","23.8166","16.0937","14.8956","29.0019","19.0509","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8393","16.3172","11.0000","18.4012","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7811","13.7668","17.7197","39.6280","39.5904","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1335","20.0336","23.8516","19.8011","28.7704","16.1405","11.0000","17.2758","11.0000","11.0000","11.0000","24.1836","19.3552","22.5172"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 163 R1_E.coli_E.coli__4_37_SBR_709_4#19#2022_A_15A_28.OKA","4/19/2022 2:31:30 PM","15-A","PM04A","ELI 163 R1","E.coli","E.coli","",2.2500,"11.0000","11.0000","30.5874","11.0000","11.0000","11.0000","11.0000","11.0000","33.2681","11.0000","20.5386","17.1723","12.7983","11.0000","31.8934","11.0000","11.0000","11.0000","11.0000","13.9461","53.2439","11.0000","20.9661","12.0853","13.7195","11.0000","54.4930","57.6915","11.0000","38.1769","11.0000","35.2830","11.0000","11.0000","15.5142","16.4535","56.9078","70.8105","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","49.7110","11.0000","33.4964","16.2835","12.5103","25.8050","16.6667","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5606","18.7176","11.0000","13.3498","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7233","22.0253","21.1153","38.5027","27.6976","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1572","18.6565","27.5961","20.5081","21.4938","14.9193","12.8696","11.0000","13.5023","11.0000","13.6106","17.7060","18.7386","23.1926"
