"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2901","14.1621","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7725","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3268","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0520","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1359","14.6091","18.7009","11.0000","11.0000","11.0000","11.0000","11.0000","60.6874","11.0000","11.0000","11.0000","11.6918","13.5624","18.0008","13.0994","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.9510","11.0000","22.5487","21.5009","17.7071","14.3652","13.3569","12.5717","11.0000","11.0000","11.8423","11.9719","11.6239","20.2384","23.4801"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.2500,"14.0997","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.9231","19.6912","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3981","18.0418","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1753","18.1051","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1598","14.9948","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6717","18.3411","19.3303","13.8755","11.0000","11.0000","11.0000","11.0000","60.8313","11.0000","11.0000","11.0000","13.0401","21.5341","23.5996","11.0000","11.0000","12.4785","11.0000","11.0000","11.0000","11.0000","11.0000","32.5993","14.6942","23.7204","23.4907","23.6608","12.3501","13.0625","15.7348","11.7745","11.0000","11.0000","16.1774","17.6686","19.8636","26.7086"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6395","18.9028","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3452","16.9619","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4343","12.9208","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1736","13.9434","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7638","18.1638","15.0913","11.0630","11.0000","11.0000","11.0000","11.0000","65.0115","11.0000","11.0000","11.1574","17.1639","21.3357","19.3401","13.4388","11.0000","11.0000","11.5608","11.0000","11.0000","11.0000","11.0000","37.7626","14.6638","23.0205","27.8643","21.1322","17.5606","14.6379","14.0992","13.8295","14.9936","13.0957","14.8707","20.5811","22.3011","29.3854"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7416","16.6421","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1441","17.3985","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0141","14.7493","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0370","13.0463","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6551","11.0000","11.0000","14.3019","18.2716","16.5419","13.0869","11.6510","11.0000","11.0000","11.0000","58.5903","11.0000","11.0000","11.0000","17.6757","19.9706","20.9282","12.1696","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.9187","16.0420","19.5791","19.8184","27.4696","16.0517","15.5542","16.0085","11.0000","17.5606","11.2258","15.6300","18.3304","21.5945","25.0311"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.0000,"12.1258","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9458","20.0183","12.9558","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4416","16.0426","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1171","13.8880","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6570","13.4373","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8544","11.0000","11.0000","19.2543","20.5215","15.9299","11.0000","13.5459","12.6198","11.0000","11.0000","59.8160","11.0000","13.7315","11.0000","16.0976","23.7157","17.4650","12.7846","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.8613","15.0894","22.5721","25.4323","25.8313","15.2125","20.1651","13.5152","11.0000","17.5295","16.0065","12.8038","21.7428","23.9448","29.0927"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6979","18.7786","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6073","15.9700","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3228","21.1654","16.3469","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7902","15.1947","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3041","11.0000","11.0000","22.2511","19.5341","18.5982","11.0000","16.9771","13.3405","11.0000","11.0000","58.9174","11.0000","11.1580","11.0000","15.5341","28.4901","20.3958","13.5820","11.0000","11.6850","11.0000","11.0000","11.0000","11.0000","11.0000","41.3385","14.8872","22.1724","25.4984","21.9641","19.7397","19.8302","17.8216","17.1670","18.5806","18.9034","14.5706","20.8216","19.4562","24.9264"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.5000,"15.6241","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1590","21.4041","19.0484","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1356","17.3169","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4851","18.7736","13.8858","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6924","18.2219","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.8736","11.0000","11.0000","24.0510","24.3706","17.8215","12.2178","27.4555","27.0561","11.0000","11.6433","55.6828","11.0000","13.1291","11.0000","18.9354","25.6574","17.5355","16.1046","11.0000","14.5805","11.6957","11.0000","12.2038","11.0000","11.6719","45.7223","18.4234","29.1123","28.2611","27.8848","20.7885","19.2788","21.5453","16.0949","19.6728","13.8624","20.2837","19.3127","24.7160","30.8489"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.7500,"15.6756","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3365","15.6794","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9612","15.8173","18.6992","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.5293","17.5573","11.0000","11.2203","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.6472","16.4270","11.0000","11.4678","11.0000","11.0000","11.0000","11.0000","35.4482","11.0000","11.0000","31.2079","28.7413","19.2551","11.0000","36.9647","34.2336","12.7918","11.0000","54.0889","11.0000","11.0000","11.0000","20.3692","21.3486","22.0406","19.0040","15.1992","13.3832","13.3894","11.0000","11.0000","11.0000","11.0000","44.6204","22.3922","24.6638","32.1605","35.1020","22.1746","16.5806","19.5076","16.7318","21.5326","21.6623","16.3027","23.8420","24.7013","30.7020"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",2.0000,"15.9378","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8363","17.7962","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0946","14.6712","18.2765","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7250","20.1845","14.0055","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8024","18.7873","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","41.6568","11.0000","11.0000","34.6694","30.2072","17.4233","12.2821","44.5840","40.2248","11.0000","13.6402","47.9341","11.0000","14.9439","11.0000","19.3296","23.9651","18.0530","13.7717","13.4037","14.8949","11.0000","11.0000","11.0000","11.0000","11.0000","37.0330","19.1705","18.7760","26.5058","46.5450","21.7020","20.3470","16.9944","15.3808","24.3615","17.3729","19.3052","24.0005","27.8407","29.2876"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 193 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 8A_18.OKA","4/12/2022 1:53:05 PM"," 8-A","PM03B","ELI 193 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",2.2500,"11.6781","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.3513","15.9558","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6663","19.1054","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5012","17.2055","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.0617","16.5576","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","47.6608","11.0000","11.0000","43.9719","33.0682","18.4282","11.0000","50.3273","49.1356","11.0000","11.0000","45.7684","11.0000","17.0520","11.0000","17.1599","24.3294","24.0471","15.9006","11.0000","12.5754","11.0000","11.0000","11.2594","11.0000","11.0000","39.0173","19.3007","21.0874","30.1861","44.8854","22.4557","21.5002","21.2053","11.1311","26.9379","15.0815","16.3260","20.4078","22.1282","34.9601"
