"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.0000,"28.0584","21.3180","13.5676","13.2631","17.5489","11.0000","11.5342","13.3221","15.5985","15.9635","20.2268","25.7882","18.7508","11.0000","11.3202","11.0000","11.0000","13.6764","11.0000","11.0000","11.0000","14.5257","12.9842","21.9167","17.4700","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3703","20.1364","14.7677","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.6127","19.5278","12.6298","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1573","17.1217","15.8706","11.0000","11.0000","11.0000","11.0000","11.0000","66.3459","11.0000","11.0000","11.0000","11.0000","16.9923","13.7040","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4290","14.0080","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6327"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.2500,"28.5184","21.3059","18.0892","16.4982","17.8320","14.8725","14.9685","14.6509","17.6202","16.3878","18.0723","29.1367","21.4884","11.0000","15.0130","11.0000","13.8974","13.1879","11.0000","11.0000","18.9448","11.4095","14.8058","21.1810","17.3007","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1945","11.3733","14.2271","21.7591","14.7960","12.3103","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.7458","19.3345","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7053","19.5615","11.0000","11.0000","11.0000","11.0000","11.0000","65.3231","11.0000","11.0000","11.0000","11.0000","21.0629","13.6733","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8921","11.5290","18.2003","17.6372","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3325","19.5345"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.5000,"29.2889","18.6925","17.7189","17.0179","16.2115","14.4396","13.6267","16.9960","17.1361","11.8884","20.3551","31.6029","19.7860","11.0000","11.0000","11.0000","16.6438","11.0000","11.0000","13.2613","11.0000","11.0000","15.1323","19.2157","19.1797","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8631","19.8749","16.8215","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0930","25.9317","19.5907","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8709","18.2935","18.7388","11.0000","11.0000","11.0000","11.0000","11.0000","66.1899","11.0000","11.0000","11.0000","11.0000","18.5050","11.5870","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4966","13.7058","15.0901","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7660","20.0509"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.7500,"27.2832","22.4287","14.1358","18.6441","16.0695","13.0300","15.5030","18.0678","17.3391","18.5196","17.9136","36.2475","23.0450","11.0000","11.6709","11.0000","21.1681","11.0000","11.0000","11.0000","12.5488","11.9402","14.2223","20.4472","21.7813","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.5139","21.4957","21.5471","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3440","28.1259","17.7724","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2727","19.8941","14.6169","11.0000","11.0000","11.0000","11.0000","11.8802","66.8943","11.0000","11.0000","11.0000","11.3104","22.9761","13.0407","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4075","18.9160","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7325","15.1082"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.0000,"27.4111","19.3188","14.4674","14.0811","15.3660","16.1515","13.4405","14.8028","17.8934","17.8285","18.2587","36.5771","22.0861","11.3287","11.0000","11.0000","18.3029","11.0000","11.0000","11.0000","14.4010","14.7192","15.3150","21.1904","15.7664","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0617","11.0000","13.6802","21.6603","17.1245","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9629","11.0000","11.0000","30.3606","19.5146","11.0000","11.0000","11.0000","11.0000","12.9388","11.0000","11.0000","11.0000","11.0000","22.8354","18.6969","14.7998","11.0000","11.0000","11.0000","11.0000","12.9917","60.9054","11.0000","11.0000","11.0000","13.7290","19.6136","15.7479","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0621","22.3081","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0621"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.2500,"29.5826","21.0202","18.1434","20.6099","16.1647","16.4227","16.4090","15.6735","19.6055","19.6683","24.5076","37.8531","19.4766","13.6986","11.0000","11.0000","24.8359","11.0644","11.0000","11.0000","15.2531","15.8981","17.2705","26.1167","24.6598","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4900","22.3095","17.7510","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4817","34.3139","18.8732","11.0951","11.0000","11.0000","11.0000","11.0000","11.2863","18.7945","11.0000","11.0000","24.2515","25.9553","21.2664","11.0000","12.8627","12.9461","11.0000","16.6979","64.9201","11.0000","11.0000","11.0000","15.5565","24.7588","17.2995","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8540","19.0856","28.9198","18.8378","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0115","15.4037"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.5000,"26.6054","18.5170","15.2372","15.4132","13.3415","12.6011","15.8577","18.4121","18.9768","21.0571","17.9257","37.2449","21.0760","12.5892","11.4855","11.0000","11.0000","13.6215","11.0000","11.0000","13.5002","12.8607","14.6292","21.3212","22.5086","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5166","15.8632","11.0000","11.6293","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9171","28.9613","18.0137","11.2535","11.0000","11.0000","11.0000","11.0000","11.0000","22.2495","11.0000","11.0000","25.2913","26.5432","19.8070","11.0000","16.7135","19.3487","11.0000","14.4427","63.4818","11.0000","11.0000","11.0000","12.6921","16.0025","12.7743","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5952","12.2271","35.8974","24.5238","14.3128","11.0000","11.0000","11.0000","11.0000","11.8830","11.0000","11.0000","11.0000","18.5040"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.7500,"23.7165","22.8333","15.3472","17.4427","20.4727","14.4087","26.0334","20.8713","17.6077","19.7984","23.6074","41.2535","25.5076","14.0473","15.9849","11.0000","19.6527","13.6093","13.2647","12.9735","17.2386","12.8354","17.5774","25.5162","21.1521","11.0000","14.6588","11.0000","11.0000","11.0000","11.0000","11.0000","11.2469","11.0000","16.6932","17.5806","21.4289","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4648","11.0000","14.5577","35.5742","18.0273","11.0000","11.2789","11.0000","11.0000","11.0000","11.0000","31.4115","11.0000","11.0000","34.2370","29.0270","19.0108","11.5075","31.8190","26.1652","11.0000","12.3351","69.5721","11.0000","14.5906","11.0000","15.0817","23.4676","17.3261","11.0000","11.0000","13.6645","11.0000","11.0000","11.0000","11.0000","11.0000","13.9328","11.0000","17.9627","44.7174","30.3502","21.4142","18.5781","11.0000","11.0000","19.1243","18.4355","17.3692","11.9623","15.1241","24.3492"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",2.0000,"31.4685","22.9047","16.2151","19.0013","18.5826","13.5288","28.2434","20.1273","21.9976","16.1568","18.7967","43.2894","26.9461","14.1962","14.3845","11.2876","12.0579","11.0000","11.0000","11.0000","14.5253","17.1873","15.2945","24.9695","21.8341","11.0000","25.1326","11.0000","12.8375","11.0000","11.0000","11.0000","12.3894","11.0000","15.6368","18.7462","18.6439","12.3899","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8344","11.0000","12.9308","36.4101","21.0620","11.0000","11.1238","11.0000","11.0000","11.0000","11.5388","33.1861","11.0000","11.0000","34.9053","37.5817","17.4827","13.0883","47.3643","31.1071","11.0000","17.0497","69.2656","11.0000","11.0000","11.0000","15.4849","21.0230","16.7147","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8277","15.5226","14.9651","48.1230","37.8198","28.0616","19.7340","11.0000","11.0000","22.1410","25.3280","26.7122","14.2826","13.1089","26.5413"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 261 R2_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_3_37_SBR_709_4#12#2022_A_ 4B_7.OKA","4/12/2022 1:53:05 PM"," 4-B","PM03B","ELI 261 R2","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",2.2500,"22.4021","17.7687","14.8899","17.7268","17.8966","13.7757","29.1233","16.4068","16.0468","18.7255","22.3316","48.6375","19.9185","11.4645","11.0000","11.0000","11.0000","13.7608","11.0000","11.0626","17.7866","17.6362","22.8056","28.6819","20.2719","11.0000","25.1140","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8172","20.7400","17.8750","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5382","35.8937","15.1598","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.7617","11.0000","11.0000","42.2668","47.4723","16.2065","11.0000","53.8096","36.9691","11.0000","13.4792","62.8931","11.0000","11.0000","11.0000","16.4366","25.8508","12.1538","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7961","21.0218","25.2352","51.0843","49.5866","31.1407","25.0165","11.0000","11.0000","27.6056","33.5007","31.5947","14.5398","16.3137","42.0758"
