"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",0.0000,"19.2821","15.3407","14.7520","12.8552","11.4352","11.0000","12.9705","11.0000","13.1931","14.2518","17.5705","36.3460","13.3057","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.3507","17.0705","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1856","15.0748","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3062","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.9036","13.2696","11.0000","11.0000","11.0000","11.0000","11.0000","62.3694","11.0000","11.0000","11.0000","11.0000","17.6205","12.7856","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5127","17.5609","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4094","14.0880"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",0.2500,"20.4006","19.9578","11.0000","14.2183","13.4931","11.4742","12.5605","11.0000","11.8057","13.3385","16.6700","19.5868","19.3996","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2382","14.2204","17.0444","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7678","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5232","15.5943","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9893","17.4886","11.0000","11.0000","11.0000","11.0000","11.0000","62.2783","11.0000","11.0000","11.0000","11.0000","17.4165","19.2419","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6034","11.0000","17.8367","20.4410","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4257","20.4006"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",0.5000,"22.4823","15.2707","14.0639","15.5883","12.3595","11.2208","12.7490","11.0000","14.7988","14.1841","12.0050","23.7661","15.9091","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1251","13.8609","17.2647","19.1024","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5222","16.0917","11.3412","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7774","16.5183","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1974","18.3692","11.0000","11.0000","11.0000","11.0000","12.9753","63.9705","11.0000","11.0000","11.0000","11.0000","16.9003","15.3805","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6193","11.0000","13.1102","21.9029","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5431","18.6920"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",0.7500,"20.6641","19.0292","15.4043","12.4947","13.7646","11.3179","15.6479","11.6964","17.8120","18.5418","11.3839","27.0123","19.6183","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6645","14.8823","21.6194","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0226","20.9919","13.8452","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7259","18.7295","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6063","17.8231","11.0000","11.0000","11.0000","11.0000","17.0037","64.1130","11.0000","11.0000","11.0000","11.0000","16.9206","16.7209","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3357","11.0000","18.7156","19.2354","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5919","20.7574"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",1.0000,"22.7952","24.5221","14.3150","11.0000","14.0199","11.0000","12.7978","11.0000","16.5179","15.2579","19.0979","24.3723","18.4771","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0740","13.6809","17.3936","19.6903","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0306","11.0000","11.0000","19.5884","15.5356","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.1005","19.4218","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1028","13.0076","11.0000","11.0000","11.0000","11.0000","17.8217","64.9347","11.0000","11.0000","11.0000","11.0000","19.4330","15.3409","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.3282","11.0000","17.0338","24.4096","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7749","20.8183"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",1.2500,"20.8401","24.8914","14.6328","15.7432","15.7903","11.0000","11.3169","14.2899","18.1010","13.2303","19.5575","26.2545","16.4187","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6057","15.0838","20.7049","19.3619","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.6461","16.3845","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2477","17.8646","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6758","19.5645","11.0000","11.0000","11.0000","11.0000","16.7458","62.2837","11.0000","11.0000","11.0000","11.6838","18.7039","15.9908","11.2262","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1254","17.9939","30.8267","13.7645","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4053","21.5514"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",1.5000,"22.0284","32.3016","15.3328","15.4916","17.6708","14.2161","17.3475","12.3303","18.3719","18.5227","15.5024","30.6055","27.9962","11.0987","11.0000","11.0000","11.0000","11.0000","11.0000","11.1878","11.0000","16.2056","15.6974","18.6807","19.7714","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7529","20.4018","15.9292","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4926","17.5870","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0875","23.9271","20.7535","11.0000","11.0000","11.0000","11.0000","19.4121","66.1890","11.0000","11.0000","11.0000","11.0000","19.4362","20.4237","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8681","15.8949","40.5268","23.2119","13.8369","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4461","26.4819"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",1.7500,"27.6624","37.7600","13.0011","17.5337","16.5572","11.4789","15.5246","12.2644","18.4913","18.2277","17.6164","29.5065","34.6999","11.8908","11.0000","11.0000","11.0000","11.3542","11.0000","11.0000","15.6717","19.3364","14.7075","22.6275","24.8137","11.0000","13.8493","11.0000","11.0000","11.0000","11.0000","12.5833","11.3089","11.0000","11.0000","17.5124","19.1334","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1431","17.3428","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.6589","20.7613","11.0000","13.3412","11.0000","11.0000","16.6981","64.1169","11.0000","11.0000","11.0000","11.0000","20.6166","17.0723","11.9394","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1924","20.8958","43.2682","27.0536","23.0509","11.5637","11.0000","11.0000","12.0255","11.0000","14.8795","13.0558","16.1387","30.1748"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",2.0000,"23.9261","42.1267","17.0327","17.1788","17.8165","12.3725","22.7712","14.1164","19.8861","15.2257","13.0729","36.5426","38.3562","11.3286","11.0000","11.0000","11.0000","11.0000","11.0000","12.4670","19.0554","24.7127","16.2636","23.1689","23.6297","11.0000","21.1252","11.0000","11.0000","11.0000","11.0000","11.0000","14.0140","11.0000","12.2687","22.2007","18.0463","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8588","20.2722","18.6519","14.0779","11.0000","11.0000","11.0000","11.0000","11.0000","17.1949","11.0000","11.0000","14.1220","26.5828","25.4355","13.0883","21.2597","12.2579","11.0000","19.6715","66.2538","11.0000","11.0000","11.0000","11.5023","21.6541","16.2695","12.0705","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1444","19.9187","53.0013","40.0363","31.3974","14.7739","11.0000","11.0000","19.9141","17.5132","26.2039","17.7127","18.7895","28.9659"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 310 R2_E. coli_E. coli__3_37_SBR_709_4#26#2022_A_16B_19.OKA","4/26/2022 2:33:07 PM","16-B","PM03B","ELI 310 R2","E. coli","E. coli","",2.2500,"26.8721","45.2269","15.2649","18.2751","16.5065","12.3771","24.6433","12.1028","15.3918","15.6310","18.7869","38.1889","46.3092","16.6082","12.2230","11.0000","11.0000","11.9342","11.0000","12.1201","25.3919","25.8823","17.4922","20.4458","23.7547","11.0000","28.6239","11.0000","11.0000","11.0000","11.0000","13.9814","11.6782","11.0000","11.5607","28.4893","16.7610","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0316","11.0000","18.6233","19.8643","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.5219","11.0000","11.0000","18.3292","27.2514","24.4367","11.8900","23.2979","16.8670","11.0000","18.7585","67.8439","11.0000","11.0000","11.0000","11.0000","22.6602","20.4180","11.8757","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2225","18.4882","20.3860","57.4391","44.0509","35.1691","19.3352","11.8420","11.0000","22.0477","25.1234","30.4089","23.1566","17.0966","29.4796"
