"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.0000,"11.0000","11.0000","13.9186","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8080","14.1509","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0184","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6205","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9725","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7618","18.1465","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0440","15.6763","12.6398","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.9575","16.7596","16.2675","15.4869","11.0000","12.9175","11.0000","11.0000","11.0000","11.0000","14.5463","20.1415","18.6106"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1219","16.5364","12.6762","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6855","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4134","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6797","12.9510","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7181","13.2132","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0421","14.6670","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.7756","16.8353","14.4500","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4762","12.9843","19.3479","21.1190"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4606","13.1696","18.5031","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7008","11.4968","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8690","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7246","11.0000","11.2212","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6852","12.1382","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6538","12.8072","13.6122","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1650","15.5716","21.6776","20.9693","12.7625","13.1195","11.0000","11.0000","11.0000","11.0000","11.0000","16.1466","16.3125","23.5862"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",0.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7030","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7094","12.9568","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5215","14.6274","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6853","11.3695","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1525","16.9699","15.8858","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.2488","12.6554","21.6988","13.7227","12.2334","12.9408","11.0000","11.0000","11.0000","11.0000","12.9874","20.7598","22.5324"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1879","15.0013","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6051","13.4268","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8814","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2071","14.9685","11.0321","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4099","12.6225","11.0000","11.0000","11.0000","11.0000","11.0000","12.0661","11.0000","11.0000","11.0000","11.0000","16.4130","13.4204","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.7337","18.2961","25.3402","12.2604","12.5593","12.0825","11.0000","12.2994","11.0000","11.0000","15.5146","20.1069","23.2668"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.2500,"11.0000","11.0000","11.4688","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6494","17.4543","14.3247","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4709","13.0132","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1290","11.4690","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5026","15.9404","13.7602","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0636","15.2671","13.9272","11.0000","11.0000","11.0000","11.0000","11.0000","16.7143","11.0000","11.0000","11.0000","12.3000","21.7290","16.3645","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.6218","21.6830","22.0629","15.7340","11.0000","11.9518","11.0000","11.0000","11.0000","11.0000","14.4936","19.2277","19.9597"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.3681","15.5557","12.7851","11.0000","11.0000","11.0000","11.0000","11.9973","11.0000","11.0000","12.9667","11.0000","11.4082","15.4598","12.3897","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1255","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1820","14.4078","14.3366","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9700","11.0000","11.0000","11.0000","11.0000","11.0000","13.3754","11.0000","11.0000","11.0000","14.3512","15.9816","11.4485","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9726","11.0000","24.4083","23.5796","20.8660","16.6267","15.0275","13.5574","11.0000","11.0000","11.0000","12.8893","16.7828","23.4189","21.0217"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",1.7500,"11.0000","11.0000","12.0644","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8489","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1646","11.0000","11.0000","26.9755","11.0000","12.5907","11.9573","14.9442","11.0000","11.0000","33.3734","11.0000","11.0000","11.0000","11.0000","11.0000","18.5659","11.0000","15.6870","14.5453","22.5717","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4090","11.6588","17.9578","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4590","16.1712","11.0000","11.0000","11.0000","11.0000","11.0000","12.8986","11.0000","11.0000","11.0000","12.7092","14.1496","17.1548","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.9841","18.1920","26.2327","11.0000","11.0000","12.8095","11.0977","11.0000","12.8473","11.0000","16.9447","22.6510","20.9319"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",2.0000,"11.0000","11.0000","14.3597","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7703","11.0000","14.9149","11.0000","11.0000","11.0000","11.0000","14.6385","11.0000","11.0000","38.3090","11.0000","11.0000","13.4064","13.8665","11.0000","11.0000","64.0023","11.0000","29.1248","11.0000","11.0000","11.0000","26.5418","11.0000","16.1818","13.5359","38.3767","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6839","15.6101","17.7175","11.0000","11.0000","11.0000","11.0000","11.0000","12.8293","11.0000","11.0000","11.0000","12.7115","15.2095","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0290","13.4970","16.8403","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9517","22.7123","17.2472","29.3458","13.3856","11.0000","11.9515","13.5173","11.0000","11.0000","11.7491","21.5180","26.9339","20.6148"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",2.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.6226","18.3862","11.0000","11.0000","11.0000","11.0000","11.0000","12.5565","11.0000","11.0000","52.6913","11.0000","11.0000","15.1265","12.1938","11.0000","11.0000","80.8856","11.0000","34.4526","11.0000","11.0000","11.0000","39.1306","11.0000","15.7916","11.0945","57.9441","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3086","11.0000","11.0000","17.0185","15.4960","12.3235","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2725","14.0275","11.6079","11.0000","11.0000","11.0000","11.0000","18.6516","11.0000","11.0000","11.0000","11.0000","12.9271","19.9838","12.1511","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2061","21.4710","21.7024","12.6078","12.8567","16.3861","11.2294","11.0000","11.0000","11.6862","16.1825","20.1644","24.8256"
"F:\projects\DP_Clinical_strains\DP Clinical Isolates results-20220505T053100Z-001\ DP Clinical Isolates results\ELI 96 R1_E. coli_E.coli_IF 0a - Na-Succinate-Fe Citrate_4_37_SBR_709_4#12#2022_A_21A_40.OKA","4/12/2022 1:53:05 PM","21-A","PM04A","ELI 96 R1","E. coli","E.coli","IF 0a - Na-Succinate-Fe Citrate",2.5000,"11.0000","11.0000","11.9071","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5399","15.5246","11.0000","11.0000","11.0000","11.0000","11.0000","13.9464","11.0000","11.0000","58.9407","11.0000","11.0630","12.8169","13.4483","11.0000","11.0000","93.6362","11.0000","45.4697","11.0000","11.0000","11.0000","45.8130","11.0000","15.4274","11.0000","80.2822","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.5729","11.0000","11.0000","12.7328","13.0703","16.8444","11.0000","11.0000","11.0000","11.0000","11.0000","11.9514","11.0000","11.0000","11.0000","14.5985","13.2114","11.0000","11.0000","11.0000","11.0000","11.0000","12.5224","11.0000","11.0000","11.0000","11.0000","15.5637","17.6774","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3175","14.5005","27.7039","14.2866","11.0000","12.0796","14.6843","11.0000","12.3316","12.3387","15.1008","17.2563","21.0248"
