Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,15.8727,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1164,40.7567,17.452,11.0,50.9242,11.0,208.8405,11.0,11.0,11.0,171.888,11.0,53.808,43.5501,18.3329,14.3653,11.0,11.0,11.0,11.0,11.0,15.8398,11.0,11.0,11.0,34.5006,17.1375,11.0,11.0,11.1263,11.0,70.8972,11.0,11.0,11.0,12.6562,11.0,22.6609,19.6432,11.0,11.0,11.0,57.4139,11.0,11.0,11.0,11.0,11.0,11.0,143.2305,20.7211,16.4074,15.978,11.0,11.0,11.0,11.0,11.0,50.5568,11.0,17.644,21.4198,19.974,14.6256,12.4831,11.0321,11.0,11.0,11.0,11.0,11.0,12.5372,14.6275,24.0471,20.5729,16.923,13.6249,21.4745,14.8237,14.8864,11.5471,24.8412,171.1515,22.7506,40.5449,28.1276
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,18.4821,11.0,11.0,11.0,11.0,11.8734,11.0,11.0,11.0,11.0,18.3081,46.4499,21.4102,11.0,53.7496,11.0,211.7927,11.0,11.0,11.0,173.2048,13.0871,60.4596,46.8434,24.1771,14.3964,11.0,11.0,11.0,11.0,11.0,20.5301,11.0,11.0,12.7769,40.8731,14.5677,11.0,11.0,16.026,11.0,71.5786,11.0,11.0,11.0,15.1196,12.3747,24.9253,17.3711,11.0,11.0,11.0,62.3359,11.0,11.0,11.0,11.0,14.4889,11.0,149.0331,19.807,14.1752,19.822,12.7008,14.9232,11.0,11.0,13.6323,48.91,11.0,19.4618,22.3997,25.3515,17.5031,14.9409,12.046,13.914,18.047,15.0116,11.0,13.1755,15.166,15.912,27.0664,26.8861,22.4441,20.7166,22.1338,17.7724,12.2505,15.6832,30.6485,177.6879,24.4577,43.7801,33.2935
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,16.4886,11.0,11.0,11.0,11.0,13.1942,11.0,11.0,11.0,11.0,14.807,45.4686,17.5094,12.1067,51.6845,11.0,210.5387,11.0,11.0,11.0,174.2327,11.0,58.5892,47.6729,23.4444,15.3718,11.9073,11.0,11.0,11.0,11.0,18.7347,11.0,12.5606,12.8927,42.6226,21.0507,11.0,11.0,17.1506,11.0,73.2492,11.0,11.0,11.0,17.297,11.6083,27.7109,18.5297,11.0,11.0,11.0,68.1562,11.0,11.0,11.0,13.6668,11.6443,13.1207,144.6549,21.9126,15.1914,15.443,12.3836,11.0,13.5028,11.0,11.0,58.0821,11.0,15.3655,26.4953,20.8534,13.1296,11.0,11.684,14.3029,11.5511,14.8063,11.097,11.5145,12.3376,21.684,28.9186,27.4471,21.8084,21.0741,23.3892,20.317,13.2676,16.929,27.1998,173.5452,24.42,39.4619,31.5703
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,14.5005,11.0,11.0,11.0,11.0,19.1369,11.0,11.0,11.0,11.0,14.2171,48.5532,21.495,11.0,53.453,11.0,210.6792,11.0,11.0,11.0,172.4911,11.0,57.4068,43.4321,22.6758,14.5698,11.6245,11.0,11.0,11.0,11.0,12.0481,11.0,11.5431,11.316,38.7106,18.0152,11.0,11.252,16.5461,11.0,72.5452,11.0,11.0,11.0,11.9772,11.0,26.1092,17.6038,11.0,11.0,11.0,77.7134,11.0,11.0,11.0,11.0,12.9563,11.2224,146.6249,25.0865,14.7769,21.9745,11.3232,15.5505,11.0,11.0,11.0,54.3151,13.3716,17.96,23.5614,20.6141,13.8495,15.1,12.5067,20.3632,11.0,15.7055,12.328,14.9114,15.8477,19.0432,25.721,26.9379,21.8661,18.889,21.5602,18.5258,14.1687,14.1027,36.4628,175.4044,25.4046,39.1516,32.9136
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,18.6945,11.0,11.0,11.0,11.0,33.3343,11.0,11.0,11.0,11.0,14.7198,54.784,21.5921,17.1201,54.147,11.0,212.3242,11.0,11.0,11.0,177.8136,12.58,60.355,43.5002,30.1523,17.4685,12.5972,11.0,11.0,11.0,11.0,15.9073,11.0,11.0,15.8063,43.6231,21.4199,11.0,11.0,16.9232,11.0,75.5377,11.0,11.0,11.0,17.9831,13.297,29.1361,21.2338,11.0,11.0,11.0,89.4571,11.0,11.0,11.0,11.0,12.1259,12.5851,150.3694,29.05,12.7664,25.5452,12.6669,18.5496,13.2805,11.0,11.0,55.5725,15.1049,19.5938,26.4418,25.1972,18.425,13.4721,11.0,14.9008,12.5847,23.1006,13.2321,11.5138,17.9288,20.5999,27.2209,29.4796,21.7195,19.3431,22.313,20.3722,18.4018,13.8677,39.5983,177.6431,28.925,41.655,36.0057
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,18.2705,11.0,11.0,11.0,11.0,41.7065,11.0,11.0,13.6121,13.8078,16.1883,59.9579,20.6383,25.2372,52.6995,11.0,210.8325,11.0,11.0,11.0,177.5023,11.0,60.6091,47.241,23.6691,14.4673,11.0,11.0,11.0,11.0,11.0,16.8843,12.0731,11.0,21.3758,52.2179,21.9206,11.0,11.0,14.2771,11.0,76.2684,11.0,11.0,11.0,19.8542,11.1598,24.468,24.6268,11.0,11.0,11.0,95.2886,11.0,11.0,11.0,11.8194,11.0,16.1567,145.6953,36.1463,15.4868,22.2,11.0,15.385,11.0,11.0,11.0,55.0027,12.7652,18.4229,30.066,26.4603,18.7909,12.7997,13.0235,18.8225,12.3532,16.7859,12.8327,14.4704,18.0175,20.3396,26.3771,33.5347,23.7087,24.7161,22.3542,24.4032,18.1288,15.3818,34.6039,178.2451,27.2329,42.4694,30.4321
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,17.8072,11.0,13.2769,11.0,11.0,56.3269,11.2858,11.5083,14.705,11.8962,15.6333,67.2843,25.6056,34.0731,49.3117,11.0,213.9812,11.0,11.0,11.0,176.5193,11.0,60.1728,46.9845,26.3808,17.4986,14.2752,11.0,11.0,11.0,11.0,17.2509,11.0,12.0534,17.2648,57.3608,22.79,11.0,12.0644,13.3161,11.0,74.7406,18.4511,11.0,11.0,20.4265,11.0,27.7097,21.972,11.7077,12.162,11.0,104.3669,11.0,11.0,11.0,11.2211,11.9296,11.5386,147.972,38.7364,17.1002,32.5382,12.0982,16.901,11.0,11.0,11.0,51.4353,12.1855,17.2615,25.7266,26.7278,15.9673,19.4123,17.1495,14.2875,11.0,25.478,11.6765,11.1936,19.1475,22.0612,31.2182,28.8768,24.1906,25.6335,22.1556,18.1765,17.4473,15.166,42.8905,176.894,24.0575,40.6313,30.8976
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,18.8335,11.0,11.0,11.0,11.0,65.2444,11.0,12.6855,12.5022,13.9412,16.0007,68.4962,21.6147,41.912,51.8077,11.0,212.3022,11.0,11.0,11.0,177.2495,11.0,58.8558,48.7436,27.5177,14.2416,11.6262,12.1468,11.0,11.0,11.0,17.3311,12.1368,21.8626,17.71,62.0684,23.3826,11.0,11.2508,12.6095,11.0,74.9041,33.1069,11.0,11.1878,17.8811,13.8744,23.3639,24.0774,20.1504,11.8784,11.0,106.896,11.0,11.0,11.0,11.0,12.255,11.0,147.9762,51.3666,23.0256,44.7627,12.3531,16.5755,11.0,11.0,13.5324,52.7158,16.4315,17.977,27.5613,25.1021,22.5543,13.6563,14.29,14.1374,11.0,22.4751,12.1348,11.0,15.8056,22.5201,29.9495,30.844,24.2987,24.0989,20.4537,21.2173,11.0,13.7797,37.8876,173.1577,27.7323,40.2045,37.1019
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,22.1775,11.0,11.0,14.1063,11.0,78.3993,13.5161,23.2745,11.0,20.4857,20.2603,79.3315,25.0162,50.3606,53.4533,12.4606,212.1187,11.0,11.0,11.0627,180.6532,12.6142,62.9115,48.8916,37.4661,20.6714,20.4625,19.5222,11.0,11.0,11.0,21.8998,16.4622,27.788,19.1021,72.3255,33.1696,11.0,15.4621,17.03,11.0,78.3402,39.1288,11.0,11.126,27.8679,16.5232,27.126,27.0496,21.4184,16.6575,11.0,117.67,11.0,11.0,11.0,21.379,12.6003,14.5874,155.3188,51.1345,37.4171,52.2542,11.4853,22.3971,14.3409,11.0,11.0959,53.6675,21.5899,19.9629,30.4052,30.7799,36.9487,16.5869,13.1514,18.5154,13.6219,26.399,17.8782,16.4709,18.322,23.5204,27.5162,34.9194,30.3466,27.935,23.5217,23.7111,18.9473,18.0948,44.0751,174.3333,29.886,39.0191,37.3971
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_13A_23.OKA,5/17/2022 1:54:44 PM,13-A,PM01,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,21.6418,11.0,17.646,15.6319,12.9184,89.4263,15.5518,25.3778,17.3328,26.9931,26.5327,80.5544,29.306,59.1642,53.4159,11.0,215.1899,11.0,11.0,11.3467,178.6701,13.8449,61.584,45.2727,40.0924,17.9239,26.8692,26.1989,11.0,11.0,11.0,21.3184,19.4492,28.8,21.5518,79.3638,35.4609,11.0,20.6449,18.289,11.0,81.7647,51.9931,11.408,11.4402,26.1147,12.471,27.674,26.7187,33.57,19.913,11.0,126.3373,12.5666,11.0,11.0,27.0496,12.2176,12.8793,155.1711,69.0676,46.8985,60.8998,13.3304,25.6584,12.6457,11.0,11.3493,53.2591,25.5568,23.0774,30.4601,33.6425,44.4789,21.0499,14.6503,16.6886,15.4846,24.6153,23.0861,11.1926,18.4054,22.2328,34.3566,32.5815,29.427,29.2934,24.5432,19.9701,16.1741,15.5843,41.5405,174.2733,25.3619,45.7328,37.1301
