Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,26.2457,17.7167,17.4748,17.0684,21.4882,15.6227,23.126,15.6455,18.0592,15.7686,20.0472,40.785,26.482,11.2284,39.136,11.0,194.6833,11.2223,11.0,11.0,147.0909,14.2004,56.3986,45.4628,25.0591,11.0,11.0,11.0,11.0,11.0,11.0,16.6963,13.6364,11.0,16.4275,30.4256,18.1736,11.0,11.0,14.7128,11.0,69.8181,11.0,11.0,11.0,11.0,11.0,14.2396,23.6208,11.0,11.0,11.0,48.4043,11.0,11.0,11.0,11.0,11.0,11.0,134.1003,16.1242,11.0,11.0,11.0,11.0,11.0,11.0,11.0,52.0023,11.0,11.0,17.5859,17.4974,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5594,11.0,11.0618,15.1165,19.6635,11.0,11.0,11.0,11.0,11.0,11.0,11.0,144.6573,11.0,25.3874,18.6949
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,31.7879,22.6173,13.8474,20.192,19.4063,26.8162,27.5335,20.997,19.1328,20.5627,18.371,47.0649,20.5488,12.749,43.9116,11.0,199.7923,13.412,11.0,15.6748,147.7773,17.2037,58.2117,46.4614,23.0704,12.5754,11.0,11.0,11.0,11.0,11.0,15.1286,11.0,11.0,19.6144,35.8228,24.0456,11.0,11.0,18.407,11.0,76.1608,11.0,11.0,11.0,11.0,11.0,18.3602,22.255,11.0,11.0,11.0,46.4355,11.0,11.0,11.0,11.0,11.0,11.0,135.5854,19.6591,11.0,11.0627,11.0,11.0,11.0,11.0,11.0,55.7139,11.0,12.5394,21.122,13.5423,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.8162,11.0,11.0,17.9989,17.347,11.0,11.0,11.0,11.0,11.0,11.0,11.0,145.4607,11.0,23.0661,23.0387
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,30.0931,21.1367,17.8256,20.0677,21.0575,22.5662,27.8822,18.7715,19.239,20.3792,25.4997,48.47,18.9475,13.7322,45.293,12.2437,200.2356,11.9333,11.0,11.5651,151.0387,16.6195,56.681,49.725,24.2146,16.3203,11.0,11.0,13.9555,11.0,11.0,12.2188,11.0,11.3785,20.0406,37.1823,19.0118,11.0,11.0,17.9704,11.0,73.7837,11.0,11.0,11.0,11.0,11.0,17.9431,25.6363,12.6118,11.0,11.0,51.9153,11.0,11.0,11.0,11.0,11.0,11.0,138.0292,20.4238,11.0,11.8142,11.0,11.0,11.0,11.0,11.0,52.7191,11.0,11.0,21.6792,18.7687,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.7897,11.0,12.7306,19.6678,18.7725,11.0,11.0,11.0,11.0,11.0,11.0,11.0,142.3042,11.0,23.227,22.5344
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,30.455,23.0435,16.9319,20.3184,21.9214,28.2362,20.0588,19.1622,23.8873,20.7731,20.0304,48.2644,16.5745,11.0,45.0465,11.0,201.0055,15.4073,12.4363,13.0083,152.843,15.7145,54.9666,46.5848,23.3925,16.6029,11.0,11.0,12.5324,11.0,11.0,16.2569,11.2163,11.0,16.9392,38.9366,17.3971,11.0,11.0,14.7796,11.0,77.9854,11.0,11.0,11.0,11.0,11.0,16.4859,23.7927,13.1108,11.0,11.0,60.4544,11.0,11.0,11.0,11.0,11.0,11.0,140.7862,19.9159,11.0,11.0,11.0,11.0,11.0,11.0,11.0,49.395,11.0,13.5311,18.931,18.4994,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.0224,11.0,13.4253,22.3382,23.7801,11.0,11.0,11.0,11.0,11.0,11.0,11.0,141.9677,11.0,23.2094,18.5832
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,30.5088,24.965,14.5869,19.7735,20.0591,42.3229,23.2891,21.0451,19.4611,21.8443,19.7852,60.405,19.6632,15.7731,42.6596,11.0,200.0232,15.2962,12.5023,13.2183,148.4231,11.793,57.9378,48.7568,24.299,12.5104,12.2127,11.4552,13.3971,11.0,11.0,15.5689,11.3413,11.0,18.9445,36.5819,22.3728,11.0,11.0,16.1298,11.0,75.8741,11.0,11.0,12.7622,11.0,11.0,21.7458,22.8064,11.2218,16.0504,11.0,72.6972,11.0,11.0,11.0,11.0,11.0,14.1065,138.3748,23.2781,13.6835,15.1435,11.0,11.0,11.0,11.0,11.0,49.3184,11.0,15.1651,26.0733,19.48,11.0,11.0,11.0,11.0,11.0,11.0,11.0,28.7664,11.0,13.3238,19.7547,21.2745,11.3522,11.0,11.0,11.0,11.0,11.0,11.0,147.3008,11.0,25.3399,21.3043
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,30.7696,23.566,18.0543,20.9285,21.0804,48.3941,24.7824,13.917,19.135,25.2788,25.0259,70.4159,26.5453,25.8783,43.9803,11.0,197.2017,13.9295,11.0,11.0,149.4782,14.9437,55.2126,46.3877,23.0307,17.3214,12.7891,11.0,11.0,11.0,11.0,13.5646,12.5175,11.0,15.5897,38.9655,19.1242,11.0,11.0,15.2767,11.0,78.2619,11.0,11.0,11.0,11.0,11.0,15.7132,22.1818,11.3489,11.0,11.0,82.7341,11.0,11.0,11.0,11.0,11.0,13.2314,138.9305,30.9712,13.3158,26.3814,11.0,11.0,11.0,11.0,11.0,53.4118,11.0,11.2826,21.797,15.6834,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.763,11.0,14.6446,20.8411,21.3757,11.0,11.0,11.0,11.0,11.0,11.0,11.0,144.4713,11.0,30.7514,25.2309
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,26.0456,23.085,16.8943,22.9945,20.6974,61.8031,28.5978,19.2668,20.3734,24.416,24.0138,77.1207,24.978,32.1596,44.5841,11.0,196.8573,13.4932,15.185,13.7236,151.0951,11.0,58.2117,47.7218,23.2831,16.8753,11.0,11.0,11.9996,11.0,11.0,18.9177,17.3603,12.6358,18.5782,42.5502,20.6577,11.0,11.0,18.2811,11.0,75.6435,14.099,11.0,11.0,11.0,13.1746,18.7767,23.0654,11.0,11.0,11.0,88.5554,11.0,11.0,11.0,11.0,11.0,11.0,141.0359,32.4218,13.383,29.6074,11.0,11.0,11.0,11.0,11.0,50.7314,11.5706,12.7274,23.9862,17.2629,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0083,11.0,11.6932,19.8497,21.6087,11.0,11.0,11.0,11.0,11.0,11.0,11.0,142.7219,11.0,30.1816,25.4389
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,25.4036,23.1725,23.359,21.3074,20.0651,69.1139,17.9016,24.7696,20.8195,24.36,23.7316,83.4904,25.9785,40.4463,44.0288,11.0,199.5704,12.382,11.0,12.0102,148.3592,12.7101,54.7509,46.6016,24.7681,13.0291,16.7316,12.1744,12.222,11.0,11.0,16.2012,15.241,11.0,16.342,51.6077,21.6273,11.0,11.0,12.7196,11.0,77.2885,19.5705,11.0,11.0,11.0,11.0,14.5067,20.2777,13.8536,11.0,11.0,94.8326,11.0,11.0,11.0,11.0,11.0,11.0,137.6291,39.321,23.7103,44.1047,11.0,11.0,11.0,11.0,11.0,52.8467,13.2975,12.5447,25.772,18.2404,16.7077,11.0,11.0,11.0,11.0,11.0,11.0,13.7205,11.6383,14.2409,19.9806,21.2166,11.0,11.0,11.0,11.0,11.0,11.0,11.0,146.7545,11.0,26.1786,23.4955
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,31.1731,18.602,19.9307,25.2574,21.318,79.0408,22.5069,29.2376,20.3909,30.6974,29.0945,89.5276,25.8505,50.9604,48.2897,11.7624,198.1465,14.4274,13.1294,13.1623,151.363,13.5019,58.5186,47.8746,27.2523,16.3578,21.1298,13.2851,15.0713,11.0,11.0314,16.2737,20.9554,11.6334,19.1617,59.6091,24.6308,11.0,11.0,15.1948,11.0,79.8693,31.8908,11.0,11.0,11.0,12.5126,22.0667,22.6939,17.0345,11.0,11.0,102.6604,11.0,11.0,11.0,11.0,11.0,11.0,140.7375,50.0466,28.0218,49.3952,11.0,11.0,11.0,11.0,11.0,49.3057,20.2253,13.4528,24.5434,19.6083,28.5719,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5413,22.4536,27.036,13.3616,12.0832,11.0,11.0,11.0,11.0,11.0,140.6501,11.0,29.2417,25.692
F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_12B_19.OKA,5/17/2022 1:54:44 PM,12-B,PM02A,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,29.5458,24.5552,20.7935,28.1197,28.5909,88.04,23.7727,37.5508,21.9329,36.8336,28.9618,96.1227,30.0195,53.7358,46.3303,11.3191,199.7091,14.5312,15.5253,14.8884,152.4901,16.954,59.0799,48.2053,34.6907,17.7155,26.7991,23.0814,15.4694,11.0,11.6597,18.0533,24.2064,18.4833,18.6884,65.4405,31.2946,11.6129,16.22,16.593,11.0,87.8844,42.3856,11.0,11.0,11.0,15.1546,22.125,25.6154,27.8616,17.4666,11.0,112.423,11.0,11.0,11.0,15.9751,11.0,12.2577,145.7635,53.829,35.7585,56.8147,11.2826,12.7663,11.0,11.0,11.0,54.8669,26.2525,16.2149,25.4529,24.016,35.4614,14.5998,11.0,11.0,11.0,11.0,11.3445,15.479,11.8276,17.1736,25.673,27.7477,13.7988,15.8737,11.0,11.0,11.0,11.0,11.0,142.9165,11.0323,28.467,24.5378
