Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,40.8454,13.802,12.5577,12.2787,11.0,11.0,11.0,11.2577,12.1898,17.3555,26.5377,46.7545,16.1036,53.3265,11.0,14.7341,11.0,11.0,11.0,11.0,11.0,11.1622,18.7718,23.3193,11.9785,33.6685,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1763,26.12,48.2632,39.8419,11.0,11.0,11.0,11.0,11.0,11.0,43.6548,11.0,12.6014,16.9819,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1036,26.4879,14.1636,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6789,22.956,43.3573,30.362,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1582,23.6466,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.7141,23.7225
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,28.5756,17.3693,11.0945,11.0,11.2146,11.0,11.0,11.0,11.0,13.3845,21.9683,34.9655,15.2466,50.129,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7059,13.7599,34.6093,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5374,11.0,17.3621,24.7632,41.0806,38.0014,11.0,11.0,11.0,11.0,11.0,11.7334,36.2679,11.0,14.0494,22.6471,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.9255,15.9783,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6762,20.4903,36.4847,16.5634,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6671,13.558,15.1679,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2692,21.3453
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,25.1326,20.2098,13.2548,12.8976,13.5509,11.0,11.1258,11.0,15.3482,16.3033,22.3913,34.9974,14.9235,50.3782,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8651,21.2356,14.7003,34.7726,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3686,19.535,37.4697,34.5213,11.0,11.0,11.0,11.0,11.0,16.7817,30.9682,11.0,14.7699,28.7324,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.7967,15.5367,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.2308,30.1464,12.8761,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.5914,11.6847,14.8335,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4647,23.0511
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,21.3803,18.3371,11.0,17.749,11.7229,11.0,11.945,13.6777,13.1625,15.9756,22.885,37.1216,18.7095,44.5946,11.0,11.0,12.3674,11.0,11.0,11.0,11.0,11.0,15.4461,19.5411,13.498,31.1151,11.4486,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8076,16.3042,15.2002,35.2839,28.2746,11.0,11.0,11.0,11.0,12.9014,18.3152,31.2351,11.0,18.2767,24.4449,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8409,22.4523,15.1621,11.0,11.0,17.1603,11.0,11.0,11.0,11.0,11.0,11.0,13.2263,20.7933,23.1841,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.1336,12.493,18.8609,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5457,19.0768
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,24.9641,18.4482,14.309,14.5949,14.7677,11.1596,14.1301,11.0,14.1054,17.9573,24.6577,31.8385,18.808,35.7991,11.0,11.0,11.0,11.0,11.0,11.0,11.7481,11.5703,13.1203,22.1635,13.9251,26.0123,18.4433,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0447,15.0566,13.6885,32.2694,25.4951,11.0,11.0,11.0,11.0,11.4974,24.6107,19.1515,11.0,18.1785,33.0026,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8131,26.5118,19.7559,11.3497,11.0,17.5549,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.0691,21.2492,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2776,15.3846,16.4533,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0272,20.3525
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,21.7961,21.3917,12.0969,13.2792,12.4977,11.032,13.2499,11.0,11.2528,16.1298,22.5635,28.5975,17.6892,30.7029,11.0,11.0,12.3038,12.5402,11.0,11.0,11.0,12.6175,11.662,20.7701,15.5206,17.9608,16.7567,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8409,17.3259,12.7523,21.1901,21.3117,11.0,11.0,11.0,11.0,12.2116,25.1038,11.0,11.0,18.3773,30.8421,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.629,25.466,16.6909,11.0,11.0,18.5629,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2032,17.3424,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8593,12.8973,13.3949,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9239,20.8723
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,25.3837,23.3365,17.2963,15.8023,14.2271,11.0,16.8839,12.4559,15.7247,15.7828,24.0725,33.3036,21.2607,32.2615,11.0,11.0,11.0,11.0,11.0,11.6869,11.0,11.0,16.4072,26.4505,15.2415,14.7521,22.0895,11.0,11.0,11.0,11.0,11.0,11.2455,11.0,11.6852,17.7065,15.9941,19.7065,18.6945,11.0,11.0,11.0,11.0,11.0935,25.6102,11.0,11.9149,20.7655,37.8239,11.0,11.0,11.0,11.0,11.0,11.0,12.3372,11.0,11.0,15.3194,27.1439,16.9443,11.0,11.0,22.3767,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.8079,16.2107,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7593,15.5706,16.8903,21.4732,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8877,22.0187
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,24.883,22.662,17.6922,19.4174,15.6121,17.2378,14.0978,13.4874,16.8211,16.8285,22.3371,29.8504,16.3334,11.3319,11.0,11.0,12.468,12.7012,11.0,11.0,11.0,11.0,18.6959,19.5494,13.6358,11.0,19.3403,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3483,14.3351,13.7158,11.0,11.0,11.0,11.0,11.0,11.0,14.3886,23.7001,11.0,14.4642,19.459,31.1652,11.0,11.0,11.0,11.0,11.0,11.0,11.248,11.0,11.0,19.507,23.5388,14.0853,11.0,11.0,18.4407,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.7176,25.7823,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6717,18.999,19.5175,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.55,22.312
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,23.3234,21.7121,15.2965,18.7352,17.5667,12.7912,11.0,13.2039,17.7247,17.3619,21.9886,29.7835,19.3558,14.0644,12.7355,11.0,11.0,11.0,11.0,11.0,11.562,11.0,16.7199,21.7607,15.694,11.0,28.6764,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.6362,21.973,12.4797,11.0,11.0,11.0,11.0,11.0,11.0,12.8094,28.0932,11.0,14.7428,20.3352,32.5248,12.3004,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0125,27.18,19.1298,11.0,11.0,21.812,11.0,11.0,11.0,11.0,11.0,11.0,12.096,23.6834,26.6737,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8268,14.4523,16.9214,19.6061,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3165,22.1947
F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_24B_39.OKA,5/10/2022 1:15:07 PM,24-B,PM05,BW25113,"0     IF0a+Sodium Succinate/Ferric Citrate
1     IF0a+Sodium Succinate/Ferric Citrate
2     IF0a+Sodium Succinate/Ferric Citrate
3     IF0a+Sodium Succinate/Ferric Citrate
40    IF0a+Sodium Succinate/Ferric Citrate
41    IF0a+Sodium Succinate/Ferric Citrate
62                            M9 No Carbon
63                            M9 No Carbon
64                            M9 No Carbon
65                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,25.7766,22.8439,18.2301,15.6233,15.2231,12.0836,14.722,14.203,18.7063,20.299,22.6213,29.0509,20.6155,11.3957,11.7721,11.0,12.9853,12.5083,11.0,11.1557,11.0,13.5555,18.5949,25.105,17.8897,11.0,25.0971,11.0,11.0,11.0,11.0,11.0,11.154,11.0,27.0931,21.5457,20.7837,11.0,11.0,11.0,11.0,11.0,11.0,15.8433,29.0003,11.0,21.1881,21.4279,35.2043,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.2938,26.0917,19.6047,18.1208,11.2801,22.7471,11.0,11.0,11.0,11.0,11.0,11.0,12.6344,24.9489,32.2328,11.0,11.0,11.0,11.0,16.3105,11.0,11.0,11.0,11.0,14.694,18.0578,18.4812,19.1377,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8194,20.0608
