Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,21.133,18.799,14.727,12.3485,12.9876,11.0,13.3319,11.2787,12.7879,12.2549,18.8617,18.5833,20.2646,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0742,11.0,12.4864,18.27,15.5312,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9544,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1477,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8641,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4168,13.3906,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2119,15.2402,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3277
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,24.3814,21.746,11.0,17.128,11.8125,11.9865,15.4949,15.0868,18.2257,17.1839,15.9459,27.9102,16.9247,11.0,11.0,11.0,12.3964,11.0,11.0,11.0,11.0,11.5039,12.5158,18.4456,14.8968,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2051,12.5955,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0559,16.7804,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8169,14.654,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0366,11.3452,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3684,15.2313,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5663
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,22.649,17.2628,14.2672,12.4646,14.0826,11.0,13.4706,11.0,11.0,11.9252,22.6628,24.7575,12.4305,11.8229,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2526,12.198,18.2039,11.2229,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3096,15.4526,11.845,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7999,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4625,12.0196,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5295,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6953,12.6789,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0885
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,22.1083,16.7641,15.2232,13.4932,11.4681,11.0,11.0,11.6303,16.5231,11.0,19.1401,23.4215,14.1536,11.0,11.0,11.0,11.3422,11.0,11.0,11.0,11.0,11.0,11.0,17.4298,11.4449,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7292,11.9721,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5585,14.9691,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0712,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7187,17.8899,13.0311,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5353,13.4816,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8052
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,24.0162,20.3315,11.0,11.6244,11.716,11.5114,11.0,14.4216,11.8775,14.2214,15.4563,23.3667,18.1196,11.0,11.0,11.0,11.155,11.0,11.0,11.0,11.0,11.0,11.0,19.5095,14.1273,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5827,11.0,15.6426,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8347,11.0,11.0,15.1187,15.473,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.8789,17.5056,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.2689,11.0,11.0,12.1425,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7242,15.4874,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0019,16.7827
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,26.9332,21.4824,15.9606,13.6993,11.3121,11.0,11.0,12.7756,13.1987,19.3452,19.2264,26.2095,22.2429,11.0,11.0,11.0,12.2123,11.0,11.0,11.0,11.0,11.0,13.4824,16.4345,12.9946,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6995,12.192,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6543,19.3256,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4714,19.826,20.3423,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3102,15.0277,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5709,14.2929,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1258,18.6204
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,22.2295,24.0492,12.1917,15.5752,14.9912,14.4292,12.4217,15.432,14.8559,16.2332,19.0862,25.461,18.3685,11.0,11.0,11.0,11.0,11.2557,12.1097,11.4383,11.0,11.0,13.1388,19.9137,16.2235,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2598,11.0,11.0932,12.2897,15.8445,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3742,17.1546,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3372,11.9596,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8361,13.1607,11.0,15.7731,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9914,15.684,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9401,18.9231
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,20.9886,18.4334,12.1908,11.9342,13.3052,14.7297,12.4497,11.0,11.0,15.9741,17.8262,24.0206,18.5837,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6967,13.464,21.5648,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1026,14.3445,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7201,16.7259,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2774,11.6486,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9659,11.156,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6551,16.4654,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.8709
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,25.7729,17.2701,15.2236,15.9793,12.995,11.6064,13.396,13.3269,13.5355,18.6125,21.3082,28.0859,21.3827,11.0,11.0,11.1906,11.0,11.0,11.0,11.0,11.1862,11.0,15.7079,18.1299,12.1088,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8852,14.9482,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1849,20.7449,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9494,16.8017,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5648,12.5651,11.0,16.5779,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0062,16.9942,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.1329
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,24.1405,18.8614,14.9756,18.0638,15.8313,11.9598,11.7569,22.3521,13.7961,17.3234,18.3494,27.6198,18.6457,11.0,11.0,11.0,12.3381,11.0,11.0,11.5017,11.0,12.1341,14.5288,16.7847,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4435,11.0,15.3712,14.7383,16.2141,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2833,16.1875,25.5242,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.9576,16.7495,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.406,16.3473,11.0,11.0,13.5485,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.784,18.7679,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0445
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.5,20.7759,16.7472,11.0,18.38,16.4154,11.7989,14.0882,12.3865,16.0264,17.9113,21.8563,27.2761,21.2587,11.0,11.0,11.0,13.3684,11.0,11.3185,11.2498,11.3426,11.0,14.8081,17.2028,18.2879,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2893,11.0,11.9341,13.3857,14.7602,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2795,11.0,11.0,16.4845,27.8552,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.2478,17.7558,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8795,12.1272,11.0,16.3838,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1068,11.938,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2602
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.75,20.9622,22.3101,19.317,19.975,16.2557,14.0964,11.0,16.1118,12.8833,13.3903,20.0385,22.1956,17.9316,11.0,11.0,11.0,17.7293,11.0,11.0,16.5077,11.9027,12.9302,11.8514,18.9717,12.7712,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9765,11.0,11.0,17.1676,17.6689,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9998,11.0,13.2613,17.3861,26.8896,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.363,15.3662,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6055,11.0,11.0,13.7657,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7263,15.6601,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.079
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,3.0,26.153,21.5816,16.6439,18.7071,16.867,14.122,16.6789,14.967,18.1072,14.9833,20.1727,31.0865,17.8375,11.0,11.0,11.8278,15.1527,11.0,12.1777,18.3427,17.1002,11.1907,13.1046,23.5258,15.3759,11.0,11.0,11.0,11.0,12.3011,11.0,11.0,12.7263,11.0,12.5843,13.9773,17.4795,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6829,11.0,12.6384,16.586,32.1271,11.0,11.2471,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.886,19.0473,18.9749,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7866,17.908,11.0,14.3865,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3396,16.8377,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.7471
F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R2_E. coli_E. coli__7_37_SBR_709_5#17#2022_A_14B_20.OKA,5/17/2022 1:54:44 PM,14-B,PM07,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,3.25,23.3048,20.5676,14.3907,15.8618,14.206,13.6254,15.977,15.5871,14.3723,14.8836,21.0949,27.7347,24.4637,11.0,11.0,11.0,12.0577,11.0,11.0,20.0579,14.8639,15.4787,12.1364,21.5182,16.5174,11.0,11.0,11.0,11.0,14.7211,11.0,11.0,11.8962,11.0,13.2906,14.7899,20.7898,11.0,11.0,11.0,12.8012,11.0,11.0,11.0,11.0,11.0,13.8039,16.284,28.2727,11.4441,11.0,11.0,11.0,11.0,11.0,11.0,11.8656,11.0,13.485,21.0007,17.4357,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3174,18.1596,11.0,17.5521,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0682,16.9515,13.4397,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.638
