Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,13.5313,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8993,16.726,17.3903,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.97,11.4039,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.53,11.0308,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5318,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,28.538,13.2734,20.4758,11.1875,11.0,11.0,11.0,11.0,87.1676,12.5048,11.0,11.0,12.1743,13.9681,13.8142,11.0,11.0,11.8991,11.0,11.0,11.0,11.0,11.0,30.7913,11.0,22.9043,14.6017,11.5179,11.0,17.5544,13.7895,11.0,11.0,11.0,11.0,11.0,20.646,22.8968
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,18.2573,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7122,20.7994,19.3407,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.609,14.2069,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3778,12.8628,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1598,15.5102,12.0201,11.0,14.9578,11.0,11.0,11.0,11.0,11.0,12.4724,29.4299,22.3719,13.5792,13.3734,11.0,12.444,11.0,24.0893,91.148,21.1168,11.0,11.0,17.3307,18.7389,21.2013,13.6932,11.0,14.0726,13.4389,15.7087,11.0,11.0,12.6317,34.4339,14.1648,24.9005,21.5269,20.8746,11.6322,21.7191,11.0,13.6326,13.6668,13.1832,11.0,17.6304,23.8185,24.8485
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,17.4195,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8248,19.3412,17.2264,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3537,13.9615,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4821,17.4924,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2898,11.7561,11.0,11.0,16.3866,11.0,11.0,11.0,11.0,11.0,11.0,32.8403,18.0692,17.2981,11.0,11.0,11.0,11.0,21.4926,87.5161,19.3246,11.883,11.0,13.0246,19.2919,16.7213,15.423,11.0,12.4331,12.1433,11.0,11.0,11.0,11.0,36.6429,16.5059,24.1963,20.0235,14.107,11.5302,17.4181,11.7606,11.9859,13.0849,11.0,11.0,17.4469,19.5941,22.8425
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,14.083,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.6595,14.782,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7449,13.1774,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6667,11.2517,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2946,12.3836,11.0,11.0,20.8298,11.0,11.0,11.0,11.0,11.0,11.0,31.6496,17.2839,16.5596,11.0,11.0,11.0,11.0,19.9757,87.0438,22.3338,11.0,11.0,13.5509,16.2045,15.6953,11.0,11.0,11.0,14.5624,11.0,11.0,11.0,11.0,40.6716,12.3571,24.5239,19.1453,19.2899,11.0,16.1201,11.0,15.3774,11.0,13.7421,13.386,19.1889,20.0335,24.2064
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,12.9961,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.6213,17.0795,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0527,20.8881,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1257,19.2488,16.4907,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.3918,17.9164,11.0,11.0,18.684,11.0,11.0,11.0,11.0,11.0,11.0,36.4569,20.4291,17.1413,11.0,13.2834,11.0,11.0,20.989,89.3259,21.0925,11.0,11.0,19.125,24.7827,22.4524,15.3367,11.618,11.6224,11.0,11.0,11.0,11.0,11.0,40.3418,14.2989,20.5436,23.5534,18.6615,12.9279,23.0121,15.0708,16.1519,13.7047,14.4526,14.6036,20.8457,24.2914,29.2326
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,16.0507,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2263,16.2378,15.9767,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2974,13.9698,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7071,17.958,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.152,15.1664,11.0,11.0,19.351,11.0,11.0,11.0,11.0,11.0,11.0,38.6816,16.7727,19.579,11.0,11.0,11.0,11.0,18.488,84.3457,21.281,11.0,11.0,16.0539,22.0634,19.3955,12.5846,11.0,14.0679,14.6589,11.0,11.0,12.0289,11.0,40.6694,11.0,25.6619,22.5866,17.9981,15.251,15.5097,14.9958,12.7083,11.0,11.8139,16.6528,20.4255,19.5379,22.49
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,13.4082,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.5636,17.3176,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2026,13.5792,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9579,17.9243,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5171,17.7832,11.0,11.0,21.6426,11.0,11.0,11.0,11.0,11.0,11.0,40.59,16.9102,19.6423,11.2874,11.0,11.0,11.0,23.4144,82.1137,25.9525,12.9406,11.0,19.3278,21.8378,18.1519,13.8479,11.4222,13.4077,11.0,11.0,11.0,11.0,11.0,39.8246,12.9423,23.6525,20.5643,18.3208,15.5357,15.7947,11.0,11.0,11.0,13.3454,15.7676,12.5245,18.564,24.9769
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,14.692,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0822,24.0868,15.9599,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2166,15.0195,11.0,11.0,11.0,11.0,11.0,11.0,12.4489,11.0,11.0,11.0,16.225,13.3257,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3742,16.2372,11.0,11.0,25.2665,11.0,11.0,11.0,11.0,11.0,11.0,42.0005,19.1036,19.0236,11.0,11.0,15.4781,11.0,25.9384,86.0019,30.4045,13.3175,11.0,21.0255,21.135,18.1781,12.7827,11.0,12.4333,11.6655,11.0,11.0,11.0,11.0,40.5802,19.0183,23.5897,23.3985,19.6903,15.7421,22.0186,12.174,11.4274,13.3873,13.3878,11.1639,18.5459,24.9816,26.6096
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,17.6937,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6906,21.3449,16.3619,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0068,15.9093,11.8618,11.0,11.0,11.0,11.0,11.0,21.1503,11.0,11.0,11.0,20.0221,15.1529,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9862,14.9184,11.0,11.0,23.6152,11.0,11.0,11.0,14.2823,11.0,11.0,46.0807,19.617,16.5142,11.7329,11.0,18.1831,11.0,32.1054,88.2669,24.3642,13.1808,12.7544,16.1891,22.8091,21.095,15.5985,11.0,15.368,11.0,11.0,11.0,11.0,11.0,41.1991,13.4382,21.4689,22.9278,22.3513,14.3472,15.9638,13.8774,18.2012,12.6347,17.8947,14.9869,19.984,20.032,26.9093
F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_22A_38.OKA,5/17/2022 1:54:44 PM,22-A,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,17.6031,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8159,18.7044,14.4599,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1516,11.0,11.0,11.0,11.0,11.0,11.0,22.0084,11.0,11.0,11.0,20.3111,13.7839,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8121,13.8865,11.0,11.0,24.0665,11.0,11.0,11.0,14.1352,11.0,11.0,47.1838,17.4714,18.4294,12.7155,11.0,23.1373,11.0,31.5869,86.5234,29.0696,12.3949,11.0,19.313,20.6186,16.7162,11.0,11.0,15.2696,13.8443,11.0,11.0,11.0,11.0,40.1995,16.1387,25.5818,27.9592,25.8595,16.5375,21.8983,11.0,12.5391,11.3602,16.5233,15.2082,11.8935,26.5086,26.9934
