Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,21.0556,17.2377,11.7954,13.8131,11.0,11.0,11.0,11.0,14.7622,14.2105,18.3309,26.1062,13.6006,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9083,16.3855,16.2284,13.2832,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1342,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0961,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6665,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5383,11.7743,11.0,34.1224,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6084,11.1601,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5446
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,19.4204,17.6862,11.7564,11.0916,11.0,11.0,11.0,13.5881,11.0,11.0,19.4205,25.9139,15.0296,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8897,14.2251,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.596,14.1029,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4217,12.5231,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.3486,13.2629,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1015,13.5943,11.0,24.4171,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5702,11.1523,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.118
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,22.6532,19.3755,14.0923,11.5911,15.4485,11.7345,13.9887,11.0,14.8164,14.1948,21.7567,27.3367,17.6762,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.451,14.8542,14.6371,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0308,11.0,11.9025,16.2116,14.0639,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6734,15.9493,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.4454,13.2529,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7446,12.6242,11.0,29.1656,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.2179,13.0852,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.8795
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,21.6297,16.624,12.0686,15.2104,11.0,11.0,11.5355,12.7956,15.1995,15.7523,21.0101,32.2854,16.2551,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2106,15.6984,17.738,14.162,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.988,15.1992,12.818,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4877,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7172,13.374,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.723,11.8793,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0518,16.8164,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1893,24.4511
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,22.9069,18.7073,18.5497,15.8655,15.2036,11.0,12.4228,11.0,15.0151,19.2598,18.8721,28.7867,19.2173,11.0,11.0,11.0,12.2787,11.0,11.0,11.0,11.0,11.2535,11.0,16.7394,13.9251,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3453,14.239,13.1258,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7441,19.3155,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9504,22.9016,16.2352,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1065,14.531,11.0,21.3034,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1568,16.6508,15.509,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7966
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,22.2006,20.3622,12.4518,14.6218,13.621,11.0959,13.2815,12.205,11.0,14.4626,19.839,26.0306,19.1792,11.0,11.0,11.0,14.7872,11.8985,11.0,11.0,11.0,11.0,13.5534,20.9277,17.9864,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3636,16.5076,15.5373,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0215,16.6561,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6942,20.6236,16.8139,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4857,15.4365,11.0,17.4173,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7225,16.031,17.4385,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7893,19.5233
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,24.7947,20.9913,15.5295,13.5259,12.0652,11.0,11.0,11.0,16.9136,14.9538,19.4196,23.8769,17.3893,11.5242,11.0,11.0,11.0,11.0,11.0,11.0,11.995,12.7127,14.3952,17.8914,14.7034,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0555,15.1877,16.1502,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1262,17.3243,18.2743,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6484,21.4281,15.5583,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.164,13.933,11.0,12.979,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1104,16.5493,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7219,19.4548
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,27.5229,17.9455,17.2759,12.1492,12.527,11.0,13.592,14.4635,15.7883,15.9685,17.6372,24.9988,17.1539,11.0,11.0,11.0,11.6559,11.674,11.0,12.7196,11.0,11.0,14.2982,17.9028,16.748,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8932,11.0,14.9179,13.4541,15.7448,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4172,16.8777,13.9988,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8293,14.1162,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9919,12.1251,11.0,12.1826,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7461,15.9916,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2822,15.3342
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,18.5692,22.6801,14.715,13.3299,15.0147,11.0,12.5859,14.2113,16.9115,13.7174,18.908,26.2424,14.6537,11.0,11.0,11.0,11.1874,11.0,11.0,11.0,11.7181,12.1453,14.2685,13.6981,15.0914,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.649,19.3081,12.5742,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2192,16.9842,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.7642,15.2805,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7159,14.934,11.0,13.4993,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3153,14.3035,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4818
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21B_33.OKA,5/10/2022 1:15:07 PM,21-B,PM07,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,23.2827,22.4908,15.3702,15.7474,13.2523,11.1912,12.3248,16.5268,17.2399,19.7296,22.0845,25.6818,20.3327,11.0,11.0,11.0,14.133,11.6418,11.0,11.0,11.0,14.1234,11.6618,22.3154,15.6672,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2627,11.0,16.302,14.8291,17.9172,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.514,20.9314,19.978,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.2215,18.2267,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.1496,13.7518,11.0,18.8037,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0957,17.3827,14.9734,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3466
