Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,15.0973,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9583,18.5634,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7963,13.807,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9147,19.2418,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9548,18.8811,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2872,11.0,12.1078,17.25,18.0577,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8853,22.8721,20.9555,14.7521,11.0,11.0,11.293,11.0,11.0,11.0,11.0,11.0,11.0,25.8732,25.0794,18.8527,13.4826,13.9748,13.8196,11.0,13.3941,15.7241,16.9412,15.1055,20.4796,17.8721
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.041,18.4327,15.3364,11.5583,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0467,18.2874,11.1548,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7898,13.5589,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2505,19.387,18.659,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5086,11.0,11.0,18.3041,20.0347,15.0841,14.7029,11.0,11.2462,11.0,11.0,11.0,12.5479,13.936,13.9878,21.1577,19.4309,11.8724,11.0,11.0,12.3025,11.0,11.0,11.0,11.0,11.0,11.9714,25.7989,27.1101,21.5069,15.4733,19.4427,17.0502,12.5063,16.0724,17.5085,17.2067,18.4165,18.5119,19.4095
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,16.2698,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0103,22.027,17.5171,11.8557,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0901,19.3962,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3817,11.0,22.2909,17.9924,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9089,20.2896,11.289,11.0,11.0,11.0,11.0,11.0,11.0,19.9517,11.0,11.0,21.0252,18.6796,13.3921,11.221,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4649,24.1226,23.7244,16.3261,14.6044,11.0,13.5405,11.0,11.0,11.0,13.0425,12.7585,14.4018,26.1254,26.419,24.8283,16.9254,21.0075,18.4695,19.5525,15.4624,15.4853,14.4815,21.8723,22.5888,27.7767
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,12.1649,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0949,20.9978,22.284,12.0809,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5765,20.0675,15.4902,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.951,12.0693,21.0601,16.3435,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.7216,18.9898,11.8004,11.0,11.0,11.0,11.0,11.0,11.0,23.5037,11.0,11.0,20.938,20.4431,15.6556,11.8197,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3768,21.836,24.7834,16.8385,11.0,12.7693,13.0001,11.5818,11.0,11.0,11.0,11.0,15.4146,27.4749,27.1765,21.6011,17.039,19.2574,18.3938,11.0,16.4316,15.5333,15.1667,16.3492,21.8171,26.995
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.7066,13.1267,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8815,20.3464,17.1795,13.6541,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8814,18.9304,18.5285,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3069,11.2199,20.0174,18.1682,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2065,18.8428,18.2556,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.0283,11.0,13.0017,20.4444,20.7565,13.3009,11.0,11.0,12.381,11.0,11.0,11.0,11.0,11.0,18.0571,24.4437,23.9009,17.0761,11.3268,15.6915,12.6231,11.0,11.0,11.0,11.0,11.0,19.8789,29.672,25.7235,22.6593,17.1623,17.9971,17.0118,17.5154,14.7533,16.0088,16.1849,20.2313,18.2901,27.434
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,12.1591,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7092,20.225,16.4262,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2652,17.3947,16.7612,11.4494,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3575,21.5498,20.3091,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.1939,17.9016,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9419,11.0,12.6858,21.3782,22.783,11.0,11.0,11.0,11.7233,11.0,11.0,11.797,11.0,11.0,15.4524,24.0578,19.4674,17.4194,13.7999,15.78,11.9238,11.0,11.0,11.0,13.2412,15.2818,14.5697,29.3367,28.332,27.3701,22.2923,20.1021,16.5593,16.7743,16.0537,12.7306,11.0,15.9572,26.0393,29.8638
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,17.3883,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4717,24.5268,18.4088,12.5337,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3011,17.1662,13.3637,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4454,15.9763,18.6204,14.4844,11.0,11.0,11.0,11.0,20.8355,11.0,11.0,11.0,11.0,13.5288,23.8254,18.5561,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.4566,11.0,15.6023,21.9306,21.8838,13.1849,11.0,11.0,15.4447,11.0,11.0,11.7967,12.5921,11.0,16.8288,27.389,22.6626,17.2104,12.8036,11.0,14.836,11.0,11.0,13.3536,11.0,17.2691,17.4051,32.8712,28.3346,23.0977,14.8394,16.1814,17.0424,18.8225,17.7098,13.1266,18.4373,23.7834,28.6026,26.9427
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7056,24.5599,15.5892,12.175,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8154,16.961,20.3491,12.8305,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7011,13.1492,22.7137,16.6813,11.0,13.1893,11.0,11.0,19.6245,11.0,11.0,11.0,11.0,11.0,24.7734,22.5804,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2003,15.3286,16.4617,20.4011,23.2931,13.716,13.9945,11.0,11.0,11.0,11.0,11.0,12.1457,11.0,16.0134,26.3711,24.6485,12.2917,12.4084,11.0,14.6173,15.6358,11.0,14.0509,11.0,17.1599,18.5752,33.1074,24.4701,22.4474,17.5036,18.6259,19.8285,14.5562,14.7973,17.5375,17.8102,26.1739,22.8612,25.1289
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8808,21.1036,19.0378,15.5719,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8961,16.4378,20.3702,12.996,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9291,20.0432,15.9993,11.0,11.0,11.0,11.0,18.388,11.0,11.0,11.0,11.0,13.6864,24.4449,17.0297,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.5619,11.0643,13.1572,16.9138,20.7166,11.0,15.0386,11.0,11.0,11.0,11.0,11.0,11.0,13.4957,14.4396,26.51,21.7949,15.8745,11.0,11.0,11.3797,11.0648,11.0,11.0,11.0,15.06,19.5978,34.2717,23.2951,20.581,22.5547,19.9695,16.3093,17.6232,17.5164,12.7963,19.6608,19.5905,22.2968,25.9682
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_20A_30.OKA,5/10/2022 1:15:07 PM,20-A,PM05,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1791,22.3526,14.405,16.6511,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.007,17.6298,23.6912,13.049,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.603,13.5654,20.067,16.472,11.0,11.0,11.0,11.0,22.3032,11.0,11.0,11.0,11.0,14.1304,25.9884,20.8866,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.9466,12.1542,13.5889,22.0842,20.6812,16.0462,11.0,11.0,11.0,11.2889,11.0,13.6113,11.0,14.5137,18.5501,25.9168,22.3563,14.4526,14.8019,11.0,13.5591,15.2655,11.2263,11.9615,11.0,14.7343,15.4513,34.323,30.7919,22.3578,17.2388,17.7263,17.4726,19.6076,16.4103,16.8491,23.7629,20.4182,25.4671,25.1344
