Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,19.899,16.3037,13.4195,14.1967,13.7988,11.0,11.0,14.8976,11.0,14.3743,19.9853,25.4728,17.3389,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4866,16.579,18.091,12.4025,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3654,13.9275,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5158,11.063,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0458,12.6134,16.7872,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3207,11.0,11.0,16.1347,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.5191,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,22.0843,18.8903,15.7275,11.0,11.1533,11.0,11.0,11.7703,11.0,11.0,17.494,18.381,15.9595,11.5484,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2791,11.8355,13.352,16.3648,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7496,14.1029,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1904,15.838,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4356,16.4611,20.8264,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.437,16.7989,11.0,11.0626,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2473,14.3803,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7447
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,25.4735,24.4778,14.1245,12.9598,14.5774,11.0,12.1326,13.3257,17.3503,13.2363,16.9019,25.1523,19.0051,15.7241,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8235,13.8281,17.3183,15.6491,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5837,13.1885,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1126,19.7447,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.5242,13.3146,28.9165,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4628,16.341,11.0,15.9199,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6002,13.1163,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8514
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,23.9988,22.2157,11.1295,16.7893,11.0,11.0,13.457,14.1187,13.8519,14.8593,18.9445,24.9541,22.3598,11.0,11.0,11.0,12.5849,11.2565,11.0,11.0,11.0,11.0,13.8064,17.5166,15.9327,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0134,11.0,13.0191,13.368,14.0718,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.748,13.3276,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1551,14.453,31.0015,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.254,12.2561,11.0,12.1392,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8781,17.0652,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4837
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,21.4419,20.2293,13.8271,15.5866,12.7437,11.0,13.6242,11.8262,12.2861,15.4476,17.1649,25.7349,18.745,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9062,13.0349,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1937,13.5157,15.3453,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7104,17.5553,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1706,16.1127,36.3703,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4859,14.031,11.0,14.7611,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5331,18.7584,14.6072,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.019
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,24.4407,26.8611,14.5489,13.529,12.9657,11.0,11.0,13.3467,11.0,14.0137,17.4946,22.1028,16.0407,14.2728,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8686,20.2343,17.6386,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0623,12.8883,11.8762,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0592,16.5338,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7619,16.291,39.4351,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5362,16.5925,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8653,14.3281,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0517
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,27.5846,26.26,14.0839,13.9624,14.0391,11.0,11.0,11.8862,14.1289,13.9335,17.5837,23.7845,17.5467,18.8952,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4888,13.1063,16.9788,16.0644,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1725,17.0866,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6033,21.9417,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2457,18.9462,38.6451,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5412,16.3667,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9387,16.1773,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6905,18.5391
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,25.8147,25.6986,18.4606,14.106,11.6856,13.8961,11.3161,13.267,15.9448,15.4271,17.129,23.021,17.8482,12.925,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3873,17.0162,12.048,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0473,11.0,13.8918,13.3597,15.1829,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8344,18.2772,16.049,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3957,13.6842,44.7529,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1882,13.9065,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0823,17.3248,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9346
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,21.9784,25.0677,13.972,12.8328,15.1703,11.0,11.0,12.7946,12.6264,14.1969,15.478,26.2116,14.8443,17.2607,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0485,15.2535,13.4739,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5556,16.7687,11.1889,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7213,18.2055,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7804,15.1573,46.6814,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2457,14.2784,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3871,16.3293,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6772
F:\projects\Omnilog_database\Irina YTF\raw data 1\ybeF R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_19B_29.OKA,5/10/2022 1:15:07 PM,19-B,PM07,ybeF,"8     IF0a+Sodium Succinate/Ferric Citrate
9     IF0a+Sodium Succinate/Ferric Citrate
10    IF0a+Sodium Succinate/Ferric Citrate
11    IF0a+Sodium Succinate/Ferric Citrate
46    IF0a+Sodium Succinate/Ferric Citrate
47    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,23.3139,25.5401,13.9884,13.6064,12.5328,11.0,14.1227,16.3384,16.7095,20.5204,22.495,22.2818,20.9926,13.5058,11.0,11.0,11.0,12.8614,11.0,12.09,11.0,11.8203,13.5526,20.372,13.8892,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1744,20.5033,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7726,19.614,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5583,17.6756,48.1547,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1572,15.3648,16.3786,11.0,11.6319,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4368,16.898,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5304
