Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,13.3791,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3636,11.0,11.0,20.9956,14.6369,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5356,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.636,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6843,17.4335,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5104,22.0998,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4649,20.5108,15.2385,15.5633,31.0472,11.0,11.0,11.0,11.0,11.0,11.0,13.5423,11.0,23.9766,21.1703,19.0567,13.0688,12.9501,12.5081,12.3186,12.1802,15.0875,13.0254,19.4824,21.2527,21.6267
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8628,11.0,13.0273,18.4631,15.6132,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.715,11.9598,11.0,11.0,11.0,11.0,17.4553,11.0,11.0,11.0,11.0,11.0,17.2075,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4946,13.7991,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3543,23.9855,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6962,19.8138,17.0665,11.0,29.4068,11.0,11.3101,11.0,11.0,11.0,11.0,11.0,12.4571,24.2077,22.7164,18.0367,13.5142,15.4861,13.9785,11.0,12.4037,12.0848,11.0,16.0303,17.6451,21.8305
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,16.8447,11.0,11.0,11.0,11.0,11.0,11.0,14.8206,21.8795,11.0,13.7784,23.2282,15.7226,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7464,14.6478,11.0,11.0,11.0,11.0,17.859,11.0,11.0,11.0,11.0,13.2961,20.2183,15.4526,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2593,17.6534,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.6469,27.6079,12.6585,11.0,11.0,11.2822,11.0,11.0,11.0,11.0,11.0,12.0424,23.2925,19.7994,12.9069,35.1595,11.0,14.4297,11.0,13.8069,11.0,12.1808,12.0095,14.534,28.1982,21.9311,19.77,17.1917,19.5096,15.7159,19.3581,12.4006,15.2578,16.694,20.501,25.331,29.4544
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.702,20.9082,11.0,12.2973,24.1144,15.7644,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7972,18.6488,15.6472,11.0,11.0,11.0,11.0,23.6178,11.0,11.0,11.0,11.7925,11.0,19.0171,12.2259,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.7836,17.0395,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0766,24.5528,12.3393,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7086,21.4844,20.9088,17.4618,33.9633,11.0,11.0,11.0,11.0,11.0,11.0,13.198,14.3857,25.4277,21.7417,22.5888,15.2373,16.857,17.1245,13.9263,15.9438,15.7276,16.5013,18.6937,17.0352,27.6749
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.8672,11.0,11.0,11.0,11.0,11.0,11.0,14.1834,20.7076,11.0,17.6431,23.2768,14.1528,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5666,20.6584,14.2445,11.0,11.0,11.0,11.0,26.2651,11.0,11.0,11.0,11.0,11.1256,18.4316,14.9614,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.5398,17.6588,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9064,21.2944,27.0731,13.1731,11.0,11.0,12.2554,11.0,11.0,11.0,11.0,11.0,15.4737,19.5347,20.8505,14.1202,34.3351,14.5512,12.7822,11.0,11.0,11.0,11.0,11.3918,13.3765,24.2721,27.6717,20.0426,18.4281,17.2622,17.8344,16.4729,13.6762,13.9272,15.761,17.3075,18.455,28.8169
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,12.6742,11.0,11.0,11.0,11.0,11.0,11.0,19.2677,16.5773,11.0,11.9136,22.4773,17.1162,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7428,14.1972,11.0,11.0,11.0,11.0,32.3844,11.0,11.0,11.0,11.0,17.4228,19.9983,18.7784,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.678,18.5004,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4453,17.8767,27.8641,11.0,11.0,11.0,11.3145,11.0,11.0,11.0,11.0,11.0,12.8315,20.2586,18.0935,16.0039,36.8178,12.5608,11.0,11.0,11.0,11.0,12.2487,14.3735,13.5689,27.4998,24.5017,24.358,17.6893,21.1842,15.1216,13.395,13.0215,12.8612,11.0,19.1299,25.1547,29.2189
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,14.5312,11.0,11.0,11.0,11.0,11.0,11.0,19.3221,18.9214,11.0,13.673,22.185,16.9961,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4591,16.1372,11.0319,11.0,11.0,11.0,30.8266,11.0,11.0,11.0,11.0,12.3228,16.4742,14.6727,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3553,17.2023,11.0961,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0474,20.009,27.3414,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7261,23.4747,18.1501,13.4316,28.7739,11.8828,14.2019,11.0,11.0,11.0,11.0,11.0325,14.646,23.9739,25.7487,20.4276,14.3052,16.5332,15.4841,12.7347,15.8532,11.0,13.2507,21.6529,24.7957,29.8473
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,12.7344,11.0,11.0,11.0,11.0,11.0,11.0,21.2192,20.9022,11.0,13.4636,24.0987,17.2865,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5677,21.6759,14.093,11.0,11.0,11.0,11.0,35.9477,11.0,11.0,11.0,11.0,11.6321,20.2411,14.8608,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9558,22.8621,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2565,12.2702,21.2815,30.7624,13.2686,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6486,25.223,22.7213,14.8751,29.0468,11.5901,14.2048,11.0,11.0,12.5094,11.0,14.7608,15.4463,26.527,23.9879,24.6513,14.3352,18.7541,19.1639,13.3379,12.3749,13.092,12.6944,23.8244,21.2841,28.0388
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,11.9352,11.0,11.0,11.0,11.0,11.0,11.0,18.7042,18.0967,11.0,11.6965,21.2269,17.3176,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8757,13.546,20.6485,16.006,11.0,11.0,11.0,11.0,38.2622,11.0,11.0,11.0,11.0,11.0,20.354,19.9362,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2239,21.4399,19.9503,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6013,19.1591,28.8711,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7019,24.4124,21.3504,19.0152,32.9076,15.6589,15.3345,11.0,11.0,11.0,11.0,15.06,15.2004,27.4195,19.4108,17.9049,18.3711,18.888,18.0475,11.4262,14.0627,14.8212,13.8327,21.9185,22.1988,31.2795
F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_17A_24.OKA,5/10/2022 1:15:07 PM,17-A,PM07,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.3065,19.7675,11.0,16.6116,23.7986,16.076,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.456,12.0055,19.4094,14.9089,11.0,11.0,11.0,11.0,38.2712,11.0,11.0,11.0,11.9521,12.3619,21.3401,17.754,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.575,23.4339,19.694,11.9901,12.5015,11.0,11.0,11.0,11.0,11.4415,11.0,11.0,11.0,22.2726,28.6391,11.8943,11.0,11.0,11.0,12.0913,11.0,11.0,11.0,11.5111,21.3383,23.1756,17.8903,16.9845,34.8512,11.0,17.919,12.6157,14.3625,14.2372,11.6747,14.6694,13.126,30.1029,26.075,22.9487,17.8361,20.3722,16.9332,15.4342,13.64,17.7264,21.4803,22.9778,24.9119,29.7491
