Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,15.7431,85.5206,13.6847,11.0919,11.0,11.0,11.0,11.0,11.0,11.5647,15.1804,20.5629,49.4741,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2274,43.4942,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6773,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6198,13.6381,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5962,11.0,11.0,11.0,11.0,11.0,11.0,67.3808,11.0,11.0,11.0,11.0,13.4168,11.9501,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7847,13.898,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8064
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,24.8171,80.1553,13.2973,15.8281,12.0625,12.082,14.7719,12.6662,15.0038,16.3551,14.8929,21.5151,34.2575,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.275,11.4737,14.6913,35.1409,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9903,13.7616,12.5642,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0621,12.2234,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3244,13.8556,11.0,11.0,11.0,11.0,11.0,69.2617,11.0,11.0,11.0,11.0,15.9845,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6753,15.9158,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9142
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,22.1506,69.5606,14.4613,12.9943,14.5497,11.0,11.0,11.5686,11.2201,11.4785,20.1096,21.0476,17.8031,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5469,12.6078,19.1477,24.7241,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2075,15.3898,11.6885,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.907,17.9234,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6774,11.2163,11.0,11.0,11.0,11.0,11.0,71.0913,11.0,11.0,11.0,11.0,18.3229,12.3104,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5636,14.7619,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0772
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,21.5498,60.2366,15.8035,14.3658,11.0,11.0,11.0,11.6933,15.0253,11.5749,16.9779,20.6577,12.529,11.0,11.0,11.0,11.7467,11.0,11.0,11.0,11.0,13.1516,11.0,19.6046,22.5664,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3891,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3872,15.2134,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.976,11.8638,11.0,11.0,11.0,11.0,11.0,69.458,11.0,11.0,11.0,11.7812,18.4717,12.6874,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8305,18.7239,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5035,15.1307
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,20.3506,56.145,14.0376,14.653,11.8094,11.0,12.3268,12.2242,14.8232,14.5722,15.1698,22.7807,15.4103,11.3621,11.0,11.0,12.2087,11.1282,11.0,11.0,11.0,11.0,11.4741,16.5784,22.1194,12.6417,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6517,15.5997,17.2317,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7729,15.5339,11.0,12.7447,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3931,19.0315,13.7183,11.0,11.0,11.0,11.0,11.0,72.6216,11.0,11.0,11.0,11.0626,20.6943,13.5565,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6528,18.3036,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.63,14.3528
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,24.2107,47.544,14.801,16.2745,11.0,11.0,11.0,11.0,13.3871,17.0923,20.3611,22.0361,14.8,11.1971,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1234,14.0481,17.3508,17.7752,13.2157,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.124,15.3578,11.4391,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5895,15.7401,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1542,15.1516,14.2468,11.0,11.0,11.0,11.0,11.0,72.7095,11.0,11.0,11.0,11.0,17.0867,12.8733,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7677,16.281,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4782,19.2019
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,20.6968,40.409,14.8651,17.5228,11.0,11.0,11.4423,11.9744,13.2571,14.6791,19.9075,23.1842,14.6052,11.7228,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5228,20.51,18.5028,14.7005,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6606,13.9067,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4361,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.86,13.4989,11.0,11.0,11.0,11.0,11.0,11.0,66.3801,11.0,11.0,11.0,11.0,15.7667,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8268,13.4506,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1252,16.7205
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,18.0765,26.5159,11.0,14.3631,12.5264,11.0,13.8363,11.2521,13.6666,11.0,18.9374,21.8659,15.0593,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6967,12.8953,20.4708,14.0843,11.1636,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7143,13.1967,11.6877,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1898,14.062,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3366,13.6464,11.5559,11.0,11.0,11.0,11.0,11.0,68.4525,11.0,11.0,11.0,11.0,16.5242,11.4993,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9003,18.1423,11.3853,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4714
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,26.1143,11.0,13.1601,13.3505,13.9925,11.0,15.0668,13.3269,16.8223,16.5508,17.4938,26.1227,15.3419,11.0,11.0,11.0,11.2191,11.5445,11.0,11.0,16.8976,13.0902,14.735,19.8888,18.7302,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9905,15.8295,13.1621,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0828,19.2223,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6117,17.7217,13.9776,11.0,11.0,11.0,11.0,11.0,57.6711,11.0,11.0,11.0,12.3836,21.5541,12.4712,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0944,19.6816,21.0727,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9814,21.0187
F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20B_35.OKA,5/17/2022 1:54:44 PM,20-B,PM03B,ycaN,"12    IF0a+Sodium Succinate/Ferric Citrate
13    IF0a+Sodium Succinate/Ferric Citrate
14    IF0a+Sodium Succinate/Ferric Citrate
15    IF0a+Sodium Succinate/Ferric Citrate
48    IF0a+Sodium Succinate/Ferric Citrate
49    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,25.1967,12.0352,11.1939,17.9096,11.7742,11.0,11.9777,16.0037,11.7226,12.9383,16.5121,25.9639,15.6443,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6462,12.4808,15.6783,11.5413,11.0,11.0,11.0,11.0,11.0,11.0,11.1554,11.0,11.0,11.062,17.5027,13.8725,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4721,15.9063,18.019,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5591,19.2165,15.4889,11.0,11.0,11.0,11.0,11.0,54.4893,11.0,11.0,11.0,14.3101,16.9278,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9362,16.5619,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7553,19.4534
