Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,13.1516,32.758,11.0,11.0,11.0,11.0,11.0,11.0,11.2187,11.0,12.0854,16.0864,16.4333,11.0,11.0,11.3406,11.0,11.0,11.0,32.5366,11.0,11.0,11.0,15.9401,15.1636,11.0,11.0,54.4951,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1714,13.3748,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1853,27.7617,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9516,21.9784,14.3132,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.644,15.831,19.1923,16.9563,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4483,13.3967,23.0948,19.4987,21.7132,13.0343,17.0526,21.6877,73.7928,15.6343,12.0277,11.0,18.4658,24.7344,25.863
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,15.5278,33.8495,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3948,22.3661,15.9856,12.337,11.0,11.5021,11.0,11.0,11.0,34.0647,11.0,11.0,11.5349,20.4698,14.9055,11.0,11.0,54.9033,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0822,13.0207,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2531,29.9239,11.0,12.1976,11.9653,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7593,19.4925,11.9622,11.0,11.0,11.0,12.2864,11.0,11.0,11.0,11.0,20.6527,21.1473,22.6903,19.7693,13.7358,11.0,16.6379,16.3814,14.4616,11.0,11.0,17.2165,16.9998,28.5858,28.6086,24.1116,16.424,18.6246,26.1421,71.3194,18.4476,15.236,13.8858,24.1294,26.1017,30.8991
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,13.311,34.6625,13.091,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4006,23.2971,17.1006,16.154,11.0,12.8559,11.0,11.0,11.0,38.2658,11.0,11.0,16.4415,18.6915,21.6801,11.0,11.0,57.1028,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.1767,19.6149,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.3478,29.5878,11.0,13.2849,13.5971,11.0,11.0,11.0,11.0,11.0,11.0,11.6964,21.2739,20.416,14.0076,11.0,11.0,11.0,11.6418,11.0,11.0,11.2838,11.0,16.7574,23.1337,22.538,14.8333,11.7526,13.2147,11.0,11.2918,11.0,11.0,11.0,13.9362,20.3403,24.2287,24.5992,21.7093,23.1618,20.6112,29.1269,70.8457,15.9843,15.6566,15.4179,22.5781,21.6201,29.656
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.6744,36.2418,16.6864,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.9184,24.6306,17.6815,21.1592,12.3149,14.069,11.0,11.0,11.0,38.2167,11.0,11.0,18.6554,14.3829,22.0447,11.0,11.0,59.4173,11.0,11.0,11.0,11.0,14.9284,11.0,11.0,19.7491,16.9771,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.9948,33.1698,11.0,13.6789,13.7072,11.0,11.0,11.0,11.0,11.0,27.0674,12.1754,20.0627,19.0896,13.0805,11.0,11.0,11.0,11.0,11.0,11.0,11.1264,11.0,18.2119,22.8225,19.0809,12.0603,16.1413,11.0,15.918,11.0,11.0,11.0,11.0,20.0772,14.6741,28.374,24.3083,20.3468,15.4313,20.3122,35.7684,73.7537,21.4184,23.0785,14.5626,23.3984,19.8364,31.7483
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,13.0283,37.33,18.3532,11.0,11.0,11.0,11.0,11.0,11.0,11.0,35.746,24.5786,27.4836,32.7674,22.1367,18.591,11.0,12.3207,13.8788,48.7813,11.0,11.0,27.6821,21.7923,28.3431,11.0,11.0,59.5633,11.0,11.0,13.6011,11.0,19.9927,11.0,11.7539,20.2722,18.9241,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1276,27.9373,39.9801,11.0,13.7306,14.2794,11.0,11.0,11.0,11.0,11.0,35.4153,13.4728,24.2822,20.2276,11.4496,12.4076,11.0,11.0,11.0,11.0,11.0,13.2397,11.0,19.5938,24.1447,21.5375,14.0883,22.2544,11.0,14.6471,12.0349,12.1264,11.0,11.0,22.3203,14.5298,23.7357,25.0509,21.2263,19.3099,18.4361,51.1396,73.4099,21.1672,31.4878,17.1359,28.14,22.63,31.0623
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,11.4826,38.6758,32.1623,11.0,11.0,11.0,11.0,11.0,12.4653,15.8179,47.664,23.848,33.3634,42.4417,30.4846,24.1392,11.0,16.5997,20.2608,57.5287,11.0,11.0,39.0331,18.0571,30.9989,13.0868,11.4045,66.9219,11.0,11.0,21.1198,11.0,28.2954,11.0,14.3328,24.8425,19.5493,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,30.6911,35.7475,11.0,20.5492,19.5116,11.0,11.0,11.0,11.0,11.0,46.5914,11.5378,19.0754,22.5319,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.5392,26.9096,24.211,13.4099,24.5798,11.0,18.2547,14.3186,11.0,13.315,11.6748,29.8657,14.0692,26.1495,26.7679,22.9495,19.1367,19.2198,69.867,70.4284,20.8427,37.0782,21.4285,28.902,24.5429,28.8697
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,11.3853,42.5169,41.0363,11.0,11.0,11.0,11.0,11.0,12.6783,19.0654,50.2094,23.9745,46.1534,41.6691,32.427,31.2816,12.4471,22.8708,31.3741,61.6012,22.1383,11.0,44.1594,20.0347,35.2192,11.0,11.0,69.9316,13.9557,11.0,35.1601,11.0,31.6375,13.4579,11.0,28.3736,17.8307,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,36.6668,34.1631,11.0,22.7768,28.0859,11.0,11.0,11.0,11.0,11.0,59.1162,12.4573,21.6572,20.0167,14.4813,11.0,11.0,12.0672,11.0,11.0,11.0,11.0,11.0,26.8416,26.6829,22.2025,12.3908,31.6572,11.9436,16.8795,11.065,11.5817,11.0,11.0,34.9555,18.6046,29.1899,25.4748,20.3323,18.9127,17.0093,78.3509,73.6405,18.1183,46.1805,18.0379,22.2017,22.3789,30.9623
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,14.0499,50.2621,47.4188,11.0,11.0,16.2505,11.0,11.0,11.5434,26.8887,60.5671,29.389,52.6376,48.6016,43.9085,42.2375,23.5532,26.3595,41.2358,65.4008,29.5634,11.0,49.3729,21.5904,40.1414,11.2568,11.0,73.8485,15.8111,11.0,36.7129,11.0,40.2091,22.4942,11.2205,33.7662,17.9141,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,42.9969,32.8584,11.3188,31.6116,34.6379,16.6578,11.0,11.0,11.0,11.0,66.5747,11.0,24.6631,23.9994,12.6996,11.3155,11.2899,11.0,11.0,11.0,11.095,11.4127,11.0,27.7511,27.0178,21.4178,15.1595,34.152,11.8469,14.7712,11.0,11.0,11.0,11.0,41.4893,18.9528,29.3654,27.7763,20.3486,18.2292,22.9768,86.8045,71.2305,20.2548,46.065,16.1146,29.832,24.0342,32.3385
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,14.7151,51.2672,50.7811,11.0,11.0,21.8834,11.0,11.0,11.4803,32.407,68.351,29.8173,56.2154,54.85,52.2404,50.2494,20.9123,28.4476,51.9642,75.5137,35.7496,11.0,54.4014,20.2965,45.5853,14.7664,12.905,83.6127,22.7848,11.0,42.1632,11.0,41.0418,23.5672,13.7743,39.3065,19.9303,11.0,11.0,11.0,11.8039,11.0,11.0,11.0,11.0,11.0,11.6066,52.269,37.3,11.0,39.0687,44.1911,20.3198,11.0,11.0,11.0,11.0,75.0749,11.4127,20.4661,21.3704,12.9438,11.0,11.0,11.3778,11.0,11.0,11.0,12.2958,11.0,32.6683,34.3948,24.2182,14.843,40.6764,11.0,21.4837,11.0971,11.0,12.4142,14.1673,47.9353,17.0625,31.0275,25.0965,21.3642,18.0259,18.0775,95.2032,74.5781,20.2199,56.2384,18.2876,31.0663,20.3617,27.7483
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8A_10.OKA,5/17/2022 1:54:44 PM, 8-A,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,13.9489,55.5929,52.5217,11.0,13.1423,26.3688,11.0,11.0,11.7996,44.7454,70.2439,36.2618,43.114,63.654,63.3264,54.0162,31.0853,32.4026,61.7135,79.953,42.4441,11.0,58.779,19.2983,49.1503,16.2493,11.7185,92.1876,27.9572,11.0,48.449,11.0,49.3072,29.6932,20.1974,47.6257,19.8835,11.0,11.0,14.101,16.6891,11.0,11.0,17.0261,11.0,11.0,11.7675,62.3546,35.1584,11.7662,46.7776,49.038,28.7636,12.3473,11.0,11.0,11.9404,84.8559,13.1022,24.7636,24.46,18.9739,11.0,11.0,14.177,11.0,11.0,15.6365,13.9166,11.0,36.3469,40.0468,22.5277,14.9251,54.5278,14.0311,26.3592,18.8399,13.1122,11.6091,13.2471,61.2789,22.8916,35.1631,26.3015,25.3685,21.7453,23.0136,95.0394,71.1576,22.2643,53.1394,19.6448,34.1644,27.1871,32.5927
