Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,18.6998,52.128,13.811,15.5359,14.0272,11.0,12.6479,11.0,13.2503,15.0784,24.3212,29.3035,15.8631,11.0,11.0,14.4277,11.0,11.0,11.0,33.3717,11.0,11.0,11.0,22.1989,11.869,11.8376,11.0,53.6673,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0203,11.3695,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7726,13.2783,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.5639,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9274,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8161,11.3051,11.0,11.0,11.0,11.0,58.9757,11.0,11.0,11.0,11.0,11.0,17.3068
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,25.0349,52.2092,11.906,19.6659,14.125,12.5593,15.3377,13.8294,17.4749,23.1766,24.3381,34.0594,20.2021,11.858,11.0,16.3814,15.0961,11.0,11.0,43.1937,11.0,14.8734,11.8842,23.9352,14.9601,15.5949,12.5422,57.4552,11.0,11.0,11.0,11.0,11.0,11.0,11.3732,19.6299,16.6312,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4969,14.823,11.0,16.5074,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.279,21.44,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0334,13.0715,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0249,16.9114,12.4156,11.0,11.0,11.0,54.2711,11.0,11.0,11.0,11.0,11.0,22.7017
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,27.5079,50.2233,15.7553,15.5495,14.9856,12.7301,11.9502,11.4739,16.5031,23.8566,32.0246,33.7541,16.2136,14.588,11.0,16.5489,11.0,11.0,11.0,39.7561,11.0,16.2407,17.7465,22.7654,17.7824,18.605,15.7287,56.6614,11.0,11.0,11.0,11.0,11.0,11.0,12.8886,19.6229,16.1013,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1291,20.5045,11.0,19.2446,11.1579,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2316,18.1992,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4397,19.3603,13.5896,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5958,15.8811,11.0,11.0,11.0,11.0,62.3925,11.0,11.0,11.0,11.0,11.0,21.8002
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,25.3353,55.5996,21.413,14.2412,15.2438,14.2238,12.78,15.2229,15.4622,25.3721,37.805,32.6754,19.7599,18.5964,13.455,14.4889,11.3111,11.0,14.4472,42.5989,11.7157,14.7336,22.9419,25.5302,18.6579,19.1913,17.1645,55.9838,11.0,11.0,13.0159,11.0,15.976,11.0,11.5939,23.1205,16.4564,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.234,15.6713,12.7013,15.5441,11.0,11.0,11.0,11.0,11.0,11.0,22.2744,11.0,22.1245,19.0829,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6561,18.8086,14.9997,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0706,13.8848,13.5556,11.0,11.0,11.0,57.19,11.0,11.0,11.0,11.0,13.3286,20.9877
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,26.6567,55.8232,31.9075,12.4362,15.3272,14.2921,12.9903,13.6368,12.5355,29.4672,50.0878,35.9492,28.7044,27.9197,21.8114,20.8052,16.2997,18.1496,18.2559,48.3355,12.6497,15.7899,30.3757,23.0393,25.8153,17.9608,19.6487,65.0436,11.0,11.0,16.7224,11.0,19.8438,11.0,14.2585,22.6253,17.9795,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.2722,17.6031,11.0,15.4995,11.3769,11.0,11.0,11.0,11.0,11.0,31.7317,11.0,21.7189,24.8969,11.663,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2904,18.2327,13.2759,11.0,11.2856,11.0,11.0,11.0,11.0,11.0,11.0,12.0885,12.7271,20.2445,18.5512,12.9531,11.0,11.0,17.0918,55.5047,11.0,16.1067,11.0,11.0,14.7572,20.1355
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,26.1907,56.8402,39.5717,21.3939,14.9011,16.4982,12.9054,13.1561,13.8583,32.7989,61.8399,35.6072,41.9965,36.0599,34.7832,30.3138,18.8024,23.6193,26.5409,54.1889,14.6261,17.9408,41.8262,23.3225,30.8823,23.0563,11.0,68.5154,11.0,11.0,27.9572,11.0,25.5249,11.0,11.0312,22.5373,15.266,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.9223,19.4167,11.0,11.4372,16.9339,11.0,11.0,11.0,11.0,11.0,43.6529,11.0,20.3488,23.4054,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4806,17.6679,15.1214,11.0,15.0722,11.0,11.0,11.0,11.0,11.0,11.0,18.7296,11.0,21.7885,14.1686,11.0,11.0,11.0,41.5252,54.7724,11.0,21.0135,11.0,11.0,13.1701,22.5684
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,22.7925,55.6438,44.9807,20.3977,15.3966,26.0187,12.6113,15.212,15.671,39.0373,63.1182,39.4297,42.1816,41.8523,37.4798,32.4702,20.6683,30.4025,39.3122,64.6572,24.9564,13.5415,46.9828,26.6617,32.1471,23.8542,11.0,72.7708,12.2495,11.0,32.0175,11.0,33.7064,12.3527,13.2983,24.18,17.5947,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.3017,15.1437,11.0,19.2298,23.3422,11.2565,11.0,11.0,11.0,11.0,54.4852,11.0,18.1265,18.9867,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5955,19.6473,11.0,11.0,24.7821,11.0,11.0,11.0,11.0,11.0,11.0,22.5755,11.0,19.3291,12.582,11.8712,11.0,11.0,59.8679,56.1437,11.0,32.0048,11.0,11.4818,11.8449,20.8503
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,20.5502,55.1133,52.7115,16.7921,18.9436,28.278,15.6011,18.4047,14.2,37.8156,69.9272,39.9962,56.6279,48.6276,47.1162,43.0089,26.2364,35.5217,44.0306,69.5271,33.4969,17.4605,49.444,25.8783,35.8971,23.4692,11.0,80.9417,15.4806,11.0,39.7916,11.0,38.1178,11.2535,15.5656,32.1198,17.1264,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,36.9246,19.3285,11.0,25.2881,34.9552,17.1896,11.0,11.0,11.0,11.0,66.3582,11.0,21.1242,17.4548,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.7408,23.0557,12.1859,11.0,25.7247,11.0,11.0,11.0,11.0,11.0,11.0,28.8413,11.0,22.9537,16.7139,14.8847,11.0,11.0,64.9785,56.6864,11.0,36.4804,11.0,11.0,11.0,22.2398
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,25.5246,58.9189,53.7837,19.0101,17.2968,30.308,13.2068,15.6223,14.8816,44.3682,76.5059,44.5583,61.1832,54.461,52.4438,50.7107,30.8759,37.2021,52.2859,74.8033,43.2816,15.6237,58.6442,24.6317,42.8077,26.1587,11.0,83.5689,23.0896,11.0,47.1695,11.0,47.3387,14.5472,16.2958,41.5139,14.0395,11.0,11.0,11.0,14.1427,11.0,11.0,12.6442,11.0,11.0,11.0,49.1291,16.3292,11.0,32.2982,44.0399,23.7519,11.0,11.0,11.0,11.0,72.9418,11.0,20.0543,19.5031,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2516,26.4041,11.0,11.0,36.069,11.0,11.0,11.0,11.0,11.0,11.0,35.9197,11.2516,25.7739,20.671,14.702,11.0,11.0,69.909,57.2216,11.0,45.7478,11.0,18.0176,11.0,22.8514
F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 8B_11.OKA,5/17/2022 1:54:44 PM, 8-B,PM01,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,29.7322,65.8356,55.7011,19.3593,27.1044,38.3543,15.6045,20.4444,17.8802,54.4692,85.2229,53.3773,56.4635,60.9746,63.2668,56.3465,39.2255,38.7362,61.3206,83.0615,46.9647,20.1042,58.9854,24.6556,42.7468,27.691,13.542,93.9745,28.0397,11.0,50.0819,11.0,55.1339,27.3243,22.0055,42.1941,18.1812,11.0,11.0,11.0,17.6515,11.0,11.0,16.3394,11.0,11.0,14.7769,56.1563,22.1818,11.0,40.2079,47.5763,30.1485,11.0,11.0,11.0,11.0,81.4801,11.0,31.3123,18.5327,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,32.2968,34.2224,13.5466,11.0,45.7238,11.0,11.8412,11.0,11.0,11.0,11.0,45.9817,16.7011,33.3139,16.1268,11.5791,11.0,11.0,78.0443,56.5473,12.5689,47.7503,11.0,16.2589,12.8254,24.4459
