Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,25.6175,20.2399,15.375,15.859,11.5147,11.0,11.0,16.1216,15.0516,18.3056,22.0289,27.563,19.7445,12.8373,11.0,11.4258,11.0,11.0,11.9219,11.0,11.0,12.7193,18.6751,16.4244,23.6554,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8654,17.6613,16.5333,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0531,13.7391,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.836,15.8087,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.352,12.0646,11.1996,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3847,15.7937,14.1709,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7115,15.6522
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,27.7183,20.1895,17.3979,14.7259,14.0348,11.9065,11.0,12.8178,13.5296,12.5374,17.7115,22.7853,22.3449,12.4839,11.0,11.0,11.0,12.039,11.1261,11.0,11.0,13.9458,13.1352,16.6943,28.3659,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8302,13.3774,17.024,17.2364,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5275,23.1673,20.5566,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7111,11.0,11.0,21.601,16.0689,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.6221,18.5691,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5847,16.2379,11.4074,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6087,15.8559
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,35.3291,26.0181,19.6005,17.0039,16.6617,12.9481,14.7123,18.2913,18.5703,17.8368,18.774,25.6138,22.1059,11.0,11.3224,11.0,13.1545,15.6147,15.2657,11.0,11.0,16.2262,17.2218,18.6451,30.7351,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3695,11.0,15.2323,19.3826,18.0344,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3156,21.8112,24.1475,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5948,11.0,11.0,28.1923,19.0241,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0059,22.0172,18.6523,11.0,14.6584,11.0,11.0,11.0,13.2471,11.0,11.0,11.0,11.0,23.2091,17.1932,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1487,20.5736
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,30.015,20.7935,13.7848,18.0895,16.815,14.0359,15.41,16.9855,16.1397,19.8349,21.455,26.3095,23.8702,11.0,11.0,11.0,11.0,11.9938,15.6171,11.0,12.2843,12.3699,15.8245,18.6554,33.3867,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0975,11.3145,13.8888,16.7147,16.7987,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7572,27.9478,20.1879,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8685,11.0,11.6629,24.4279,19.2318,11.3822,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.5684,16.4326,11.0,13.1834,11.0,11.0,11.0,15.3705,11.0,11.0,11.0,11.0,18.715,16.5364,14.4192,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1766,20.1517
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,31.5721,18.5777,20.413,19.7392,17.8815,13.2024,16.6595,13.4467,15.862,18.1797,24.5944,29.1258,26.2067,14.4812,11.2585,11.0,13.152,11.8698,17.4748,11.0,15.3329,13.3446,14.7342,23.4564,34.7825,11.0,11.0639,11.0,11.0,11.0,11.0,11.0,12.6742,11.0,18.7245,19.239,19.4093,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1586,25.1074,26.5384,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.7082,11.0,16.9141,25.0433,18.3783,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2886,23.8426,23.999,11.0,14.5398,11.0,11.0,11.0,17.0085,11.0,11.0,11.0,11.0,23.4623,19.8626,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5092,19.8278
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,35.1124,25.735,15.0651,16.1205,17.7084,11.2238,15.6265,14.1395,13.7811,14.9114,21.4547,26.711,21.1764,14.2067,11.0,11.0,13.6076,12.4119,20.6365,11.0,11.6231,15.2817,15.634,23.0078,36.6694,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2115,11.0,15.516,19.5604,18.8854,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.732,11.0,11.5703,28.7613,24.6969,12.2374,11.0,11.0,11.0,11.0,11.0,11.0,22.1035,11.0,13.9032,24.1788,17.1523,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.2449,20.8728,11.0,16.8136,11.0,11.0,11.0,21.4664,11.0,11.0,11.0,12.378,20.5406,17.3451,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0539,20.8417
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,35.3964,25.2641,17.8424,17.2679,18.488,11.4809,17.0104,13.0573,18.7284,21.2033,20.9073,25.6021,25.6042,17.8142,11.0,11.0,11.0,11.5466,21.8876,11.9992,14.3893,15.4403,18.5764,22.8947,37.7148,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9175,11.0,16.4503,21.3275,19.6773,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4109,14.8487,27.2138,27.0944,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.5733,11.0,13.3016,29.8497,18.4534,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.3284,21.7334,11.0,12.4683,11.0,11.0,11.0,21.7135,11.0,11.0,11.0,11.0,19.8037,18.3164,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2733,22.8734
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,35.1633,21.7575,19.069,14.8826,19.5075,12.464,16.2157,17.9584,18.6049,20.2045,19.4473,28.3053,21.6353,13.2569,11.0968,11.0,13.4675,11.0,19.7089,14.1579,13.2246,15.2497,21.146,22.3675,37.4851,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.146,11.0,17.4366,19.495,21.863,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3538,26.0209,25.2595,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.2903,11.0,12.9607,25.4702,20.5027,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2196,25.4296,20.0007,11.0,14.5158,11.0,11.0,11.0,20.471,11.0,11.0,11.0,11.0,21.3614,19.278,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6441,21.2976
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,33.8014,23.7771,16.9441,16.8402,18.7493,15.3181,16.8997,18.2413,20.2269,18.4169,23.259,29.9991,17.4495,18.4798,14.6317,13.1147,11.0,14.024,24.0161,11.629,14.7776,12.1771,19.3913,21.3798,39.8302,11.0,11.0,11.0,11.3133,11.0,11.0,11.0,13.6934,12.6668,17.5648,25.9233,18.3987,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3729,11.0,13.3789,25.9363,25.8994,11.666,11.9851,11.0,11.0,11.0,11.0,11.0,22.9179,11.0,11.0,26.5364,19.407,13.0335,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3778,21.9636,22.7709,11.0,19.6999,11.0,11.0,11.0,27.6447,11.0,11.0,11.0,11.0,19.6307,18.9783,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6937,26.0792
F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_16B_23.OKA,5/10/2022 1:15:07 PM,16-B,PM05,yeeY,"16    IF0a+Sodium Succinate/Ferric Citrate
17    IF0a+Sodium Succinate/Ferric Citrate
18    IF0a+Sodium Succinate/Ferric Citrate
19    IF0a+Sodium Succinate/Ferric Citrate
50    IF0a+Sodium Succinate/Ferric Citrate
51    IF0a+Sodium Succinate/Ferric Citrate
72                            M9 No Carbon
73                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,28.8941,26.5351,20.0617,19.9363,15.9113,11.1594,14.8166,17.8771,18.6127,23.7149,26.1898,27.5982,24.5749,13.6707,14.3457,11.9602,14.5362,12.3158,23.4482,14.4568,11.0,16.4896,18.9101,24.8543,41.4479,11.0,11.0,11.0,11.6584,11.0,11.0,11.0,18.8225,11.9446,18.7658,23.1151,22.2793,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5234,27.7281,28.2584,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.6912,11.0,15.5559,25.2293,21.2889,12.5824,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.3995,26.4477,11.0,15.9602,11.0,11.0,11.0,23.1815,11.0,11.0,11.0,11.8765,19.1625,20.8714,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8995,24.0096
