Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9442,17.4829,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8796,15.5365,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.59,11.5552,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9323,17.4207,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7682,20.4451,16.2512,11.5911,11.0,11.0,18.5224,70.0726,11.0,11.0,11.0,13.3177,17.2203,15.0336,15.6614,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8097,24.9995,19.0248,19.2534,11.6234,13.0698,16.4535,11.0,11.0,11.0,11.2575,16.9402,24.3831,19.2289
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,12.6056,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0775,26.206,17.7416,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4048,19.6987,19.0015,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0564,12.6734,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3356,18.128,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.192,12.7477,24.5394,19.3352,11.9943,15.0014,11.1604,11.0,11.0,76.5727,14.0445,11.0,11.0,17.3933,21.4363,21.5181,23.415,15.5272,12.5363,12.0136,14.4915,12.9087,11.0,12.6956,12.4646,17.857,26.9694,25.6101,25.2887,18.9529,14.9559,16.6224,12.777,19.7159,11.3258,17.821,20.486,24.6339,25.1073
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,12.5728,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7934,23.9104,19.1761,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4035,22.7526,20.7665,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.6014,18.3663,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.3169,23.98,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7983,23.5989,21.9126,13.1757,12.4281,11.0,11.0,11.0,79.6129,12.4353,17.4016,11.0,14.0052,22.3013,18.3106,24.7604,14.6649,12.7913,12.842,11.0,11.0,11.0,12.7042,11.0,20.9302,26.4281,28.087,20.1558,22.0351,14.4485,17.8134,11.0,13.7039,11.0,19.1485,22.282,24.8878,25.795
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.0901,14.0886,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0316,14.507,21.5714,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8223,13.6739,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8497,17.3208,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5733,20.0943,18.3087,13.6887,11.0,11.0,11.0,11.0,76.881,12.6282,11.0,11.0,14.7477,14.1484,15.1203,21.0725,11.5206,12.5723,11.662,11.0,11.0,11.0,11.0,11.0,11.7944,22.8739,22.1277,16.5486,12.5107,14.3601,16.2395,11.49,13.2862,14.4277,13.484,19.9782,20.0335,23.3324
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,13.7043,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.6227,21.5921,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3094,18.8629,24.1009,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5026,19.2178,15.7732,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.3898,20.9834,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5045,18.6749,23.0333,11.0,16.3801,11.3526,11.0,11.0,75.5207,15.3936,11.5993,11.0,16.7813,22.709,21.1904,26.3428,11.0,11.0,12.2368,11.0,11.9333,11.0,11.0,11.0651,15.4865,24.3871,26.0067,17.8723,19.3763,14.4638,21.8554,12.9238,16.2139,14.0292,16.9411,22.1214,23.3793,23.1016
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,12.4477,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.3048,15.0002,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6694,17.749,20.5097,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4942,17.3964,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2014,19.6773,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8087,18.0344,22.6251,11.0,11.0,12.5512,11.0,11.0,75.3462,11.0,13.6947,11.0,14.5693,23.1793,17.5896,26.0206,11.0,13.3499,11.6308,11.0,11.0,11.0,11.0,11.0,12.1551,22.736,26.6083,20.7379,18.0407,15.0619,22.2322,11.0,11.8175,13.2464,16.6203,20.491,22.3839,19.4629
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,12.4449,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.1216,21.3834,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4157,18.9246,23.6443,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2981,18.6593,17.7683,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.347,20.8154,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8513,18.8907,20.4223,11.0,12.9321,11.0,11.8161,11.0,73.8311,11.0,11.7953,11.0,17.919,25.5035,22.8987,22.789,12.8514,14.6767,12.5173,11.0,11.0,11.0,11.0,11.0,16.8598,26.2924,32.2147,22.6736,20.2701,17.6167,21.5742,16.2364,16.7734,15.365,20.0163,17.0648,20.2084,25.4945
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,13.0868,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8492,24.8837,14.633,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0793,18.5733,21.0488,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9045,13.6714,11.0,12.0034,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6908,18.997,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5196,21.051,22.0091,11.0,11.0,11.3866,11.0,11.0,77.2785,11.0,11.0,11.0,15.6828,21.4867,19.4485,25.5584,11.0,13.4431,11.919,11.0,11.0,11.0,11.0,11.5845,16.4655,23.0056,40.9737,27.0638,20.849,19.3997,20.0432,11.0,14.1394,11.2944,15.5572,19.2349,24.8182,30.8258
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,17.5015,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1301,24.6909,17.6788,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3421,13.8997,21.4624,21.7627,11.0,11.0,11.0,11.0,11.0,11.0,14.7166,11.0,11.0,11.6305,19.7741,16.7766,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0319,24.664,20.7489,11.0,11.0,11.0,11.0,11.0,11.0,12.9883,11.0,11.0,17.3812,20.3718,18.676,14.2504,14.6902,13.5238,11.0,11.0,78.8488,11.0,13.6549,11.0,18.2961,21.9154,19.8647,29.0655,11.0,15.7266,14.5998,11.0,11.0,11.0,13.3355,11.1627,18.4793,24.8827,49.3667,33.242,26.1123,19.8388,20.4227,17.4227,16.1004,16.7564,18.7124,21.8857,19.8672,27.6192
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18A_30.OKA,5/17/2022 1:54:44 PM,18-A,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,14.59,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.4314,16.8818,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2607,17.9718,18.108,11.0,11.0,11.0,11.0,11.0,11.0,11.6586,11.0,11.0,11.0,19.0119,16.0361,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8329,17.5887,11.0,11.0,11.0,11.0,11.0,11.0,11.2534,11.0,11.0,17.3704,19.4602,20.9163,11.9848,16.4568,11.2913,11.0,11.0,74.4127,11.0,14.4872,11.0,16.6466,22.8162,16.9385,29.2732,12.4683,16.0518,14.3499,11.0,11.0,11.0,11.0,11.0,16.7976,25.4527,55.8207,39.7043,30.7107,23.4916,17.489,11.524,15.5843,26.2053,15.4692,16.8904,26.8317,24.6765
