Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,16.4521,15.8478,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.5474,21.1382,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5565,12.3286,17.3385,12.2403,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4541,16.872,17.9862,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7232,22.4659,19.7818,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.4492,23.0622,12.9446,11.0,11.0,12.3541,11.0,11.0,11.0,11.0,11.0,15.5918,22.4129,21.7441,17.6929,11.0,13.3318,14.3211,11.0,11.0,11.0,11.0,13.4754,13.7802,25.1744,22.628,25.1757,20.2751,14.702,29.0321,16.4773,15.5858,18.0359,16.1648,22.0949,22.0931,24.1744
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,13.3657,14.6017,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1195,18.4934,19.396,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8309,18.7713,16.1085,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0624,11.3093,19.0028,18.1527,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.6908,18.7206,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8745,19.7587,18.2278,12.6212,11.0,11.0,11.1231,11.0,11.0,11.0,14.5602,11.0,17.7763,22.0954,22.2309,13.2294,11.0,11.0,13.388,11.0,11.0,11.0,13.3227,11.0,14.7886,24.2395,27.0477,22.1495,16.9427,18.9442,31.6946,15.8073,14.4773,13.9671,15.3511,17.2234,22.2036,24.8566
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,17.8667,18.406,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.105,23.0126,20.697,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2732,15.8428,11.0,11.0,11.0,11.0,11.0,11.0,11.4064,11.0,11.3181,13.9566,21.765,18.9644,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.7959,18.8773,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1739,22.633,22.3945,13.8705,11.0,11.0,12.787,11.0,11.0,11.0,13.3866,11.0,16.686,23.8352,27.0479,20.0412,17.1373,12.0126,15.8905,11.0,17.1622,11.0,14.6063,12.27,17.5395,27.5504,25.3932,25.3539,18.8229,21.2625,36.0354,21.1723,19.2407,19.0281,21.054,25.4638,25.8859,28.9059
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,13.9446,18.9954,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.791,22.8493,18.46,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.3937,17.7196,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6974,12.1322,22.0506,17.6323,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.0138,17.4485,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.3453,23.2666,15.2411,12.198,11.0,12.8278,12.4459,11.0,11.0637,11.8907,11.0,20.0406,24.7447,23.7671,19.889,13.4825,11.0,13.5398,13.1334,12.6014,11.0,11.0,11.0,17.5722,28.1898,28.3913,24.63,20.6758,16.697,37.3701,14.551,16.6593,19.16,19.2357,20.3447,24.1256,28.8405
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,13.4089,23.8874,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7631,21.3952,17.7786,11.1896,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7617,13.046,19.9178,19.4735,11.0,11.1874,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0732,18.8358,16.439,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4537,21.1988,17.4389,11.0,11.1251,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8446,23.4667,19.6307,14.8349,11.0,11.0,12.5693,11.0,11.192,11.0,12.778,11.0,17.1434,23.5453,26.6019,17.4374,13.4839,12.9548,12.6868,11.0,11.2276,11.0,12.6406,12.2081,15.9841,25.5408,28.8534,18.7839,18.2949,19.0834,41.1854,18.3298,19.094,20.6924,19.4459,22.1367,21.8526,34.7666
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,13.608,19.7397,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8271,20.1016,21.4133,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2335,20.2816,14.0705,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6421,23.97,17.7788,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.125,20.784,19.9185,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.161,12.7812,22.1668,21.5985,12.643,11.9155,11.0,11.0,11.0,11.0,11.0,15.5458,11.7721,17.4418,24.8559,21.4485,16.0039,16.1766,15.1297,11.3823,12.7557,11.0,11.9034,15.4504,15.5089,14.6698,28.6278,30.7897,26.4861,21.7624,22.7437,38.4451,16.0525,16.5102,19.5875,12.9067,19.1629,21.8453,28.6062
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,15.4301,22.7994,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7044,22.7705,19.9784,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.386,21.1943,15.5069,11.0,11.0,11.0,11.0,11.0,11.0,11.1568,11.0,11.6681,14.9999,20.1134,18.7535,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.242,25.2161,18.3357,11.4803,12.3763,11.0,11.7265,11.0,11.0,11.0,11.0937,11.0,17.4432,26.8446,20.4181,12.0925,11.0,11.0,13.9423,11.0,11.0,11.0,13.5792,13.084,19.4754,27.5799,26.0946,19.9377,14.5089,14.9561,14.3604,11.0,13.2124,11.6448,13.7994,15.0603,20.4598,28.1475,28.59,25.8666,15.1398,20.819,44.9326,18.8879,20.8042,14.9261,18.3394,24.2423,27.7892,29.815
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,14.1477,23.8033,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2955,23.4222,18.8267,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3725,14.0909,22.6633,15.5132,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7699,24.5372,18.9099,11.0,12.5012,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1892,22.6117,22.6117,11.0,11.6898,11.0,11.0,11.0,11.0,11.0,11.0,11.3848,14.5882,23.3881,25.0048,13.5562,11.0,11.0,13.0205,11.0,11.0,11.0,11.0,11.0,18.0944,26.8813,28.7873,15.6037,11.0,12.9999,11.0,14.2094,11.2601,12.7021,11.0,16.9005,20.0243,26.527,27.3635,27.1184,17.6036,17.152,50.0477,15.9721,17.1215,17.0471,20.9057,24.5749,23.4526,29.3644
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,16.3855,25.5904,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5009,23.0443,21.1019,11.0635,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5281,15.7463,20.865,17.5584,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6407,17.538,21.6592,20.8111,11.9067,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.085,24.1351,19.5107,11.0,13.258,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0909,21.6574,21.6851,15.1393,12.2936,11.0,12.9822,11.0,11.0,14.5266,14.0608,11.4159,20.0251,25.8426,30.3355,22.6138,14.4436,15.1702,16.252,16.668,15.3225,11.0,13.4223,16.3592,21.4683,28.2922,29.1056,22.7615,21.4258,24.6768,50.3776,19.7216,22.3385,18.871,21.647,23.9185,24.4516,33.4684
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_14A_18.OKA,5/10/2022 1:15:07 PM,14-A,PM05,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,19.0055,26.309,11.3127,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.517,20.3528,19.6072,13.4309,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6143,17.2842,23.0135,17.3993,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3647,14.1355,23.0169,19.4737,11.2908,11.0,11.0,11.0,12.5071,11.0,11.0,11.9735,11.0,16.3345,25.4652,20.3217,12.4053,14.6913,11.0,11.8867,14.2782,11.0,12.4822,11.2835,14.3985,13.6848,26.3546,22.4983,14.4174,11.3175,11.0,12.2274,15.0443,11.0,11.1274,12.5933,13.0443,20.8058,27.4467,25.0997,17.5106,17.6939,11.0,16.1498,22.504,14.9445,13.2436,14.1165,14.8642,17.677,33.2921,28.9115,25.7061,23.6767,21.4242,45.4252,19.8032,20.028,19.1887,26.3669,23.3716,26.9693,32.3629
