Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,16.7595,13.1328,15.3902,11.0,11.2446,11.0,11.0,11.4645,14.1751,11.0,15.7732,15.3551,17.0327,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7951,19.6899,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.17,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8424,11.0,11.0,11.0,11.0,11.0,11.0,69.9034,11.0,11.0,11.0,11.0,17.4046,11.3371,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.959,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9907,11.0,11.0,15.9187
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,23.0122,20.3584,14.1386,15.9829,14.5625,14.3414,14.709,14.7725,21.0721,16.2914,20.1261,29.2015,16.515,11.0,11.0,11.0,13.2032,11.1286,11.0,12.5894,11.0,11.0,11.8211,20.4332,19.3004,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4306,17.9667,14.848,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0621,14.7313,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7094,15.9744,11.0,11.0,11.0,11.0,11.0,76.8527,11.0,11.0,11.0,11.0628,18.278,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2539,14.7646,11.0,11.0,11.0,11.0,11.0,11.0,11.0,30.819,11.0,12.3582,26.5921
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,22.026,20.7171,14.8495,14.6458,18.5665,11.0,13.1855,15.328,19.7736,15.4982,19.6998,24.943,12.9074,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1365,14.058,16.0333,14.5345,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2509,19.1212,12.8465,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3456,18.6218,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9854,15.7274,11.0,11.0,11.0,11.0,11.0,74.8109,11.0,11.0,11.0,11.0,20.6112,15.2431,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9204,11.7151,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2462,11.0,11.1584,19.0772
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,21.7049,18.9539,11.0,11.8726,12.1858,11.0,11.7946,12.3551,16.8352,14.7048,13.671,20.2229,13.7713,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2973,11.0,15.0659,17.7364,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6374,14.9198,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4261,15.1828,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3437,11.0,11.0,11.0,11.0,11.0,11.0,72.9892,11.0,11.0,11.0,11.0,16.9406,13.0623,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0225,12.2718,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,15.7164
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,22.5251,17.5964,11.5817,11.0,11.6538,12.1506,12.0741,16.1167,17.3929,14.7317,11.8594,26.2347,20.9863,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1868,11.7613,12.6752,17.3348,13.5271,11.0,11.0319,11.0,11.3736,11.0,11.0,11.0,11.0,11.0,12.2724,14.5285,12.8383,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4413,16.9641,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.414,16.742,11.0,11.0,11.0,11.0,11.0,72.6858,11.0,11.0,11.0,15.1964,24.9793,14.4606,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3263,17.6846,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.619,11.0,14.3502,23.0269
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,24.025,20.0078,11.1288,11.0,11.0,11.0,11.0,11.0,15.0518,15.6644,16.4212,23.149,21.552,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1358,13.1054,12.0111,15.0841,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3924,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1838,16.439,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.76,19.0572,16.7279,11.0,11.0,11.0,11.0,11.0,73.9878,11.0,11.0,11.0,11.0,17.1173,13.0919,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9731,16.9955,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3274,21.5278
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,19.7897,18.4567,13.3191,14.1223,13.401,17.0011,11.4107,15.6835,13.9782,15.7257,16.0223,27.184,17.2933,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.366,13.7679,17.4969,16.7933,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.316,12.844,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7784,18.4342,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7743,19.5148,11.4643,11.0,11.0,11.0,11.0,11.0,69.9946,11.0,11.0,11.0,11.3455,23.5279,13.6304,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8287,20.9263,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0679,24.0012
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,21.0199,15.3497,11.5471,11.3737,15.112,16.1961,14.1514,14.6551,14.6392,16.3886,13.032,27.1603,18.5522,11.0,11.8683,11.0,11.1869,11.0,11.0,11.0,11.0,12.2351,12.9901,23.0652,14.8157,11.0,11.0,11.0,12.5353,11.0,11.0,11.0,11.0,11.0,11.0,13.8557,15.9073,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6262,12.8984,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1999,21.0934,14.8914,11.0,11.0,11.0,11.0,11.0,71.1254,11.0,11.0,11.0,11.0,21.3465,12.8101,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5056,26.8063,14.3389,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1022,24.4449
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,25.7729,13.5665,12.9345,13.3195,13.712,14.7659,16.9899,17.6033,14.3494,18.6125,18.5026,29.5276,22.2008,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5763,11.7917,15.2057,18.6325,17.1144,11.0,11.0,11.0,16.9049,11.0,11.0,14.5055,11.0,11.0,11.0623,14.7319,14.2589,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5408,17.0601,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3698,24.5968,15.5739,11.0,11.0,11.0,11.0,11.0,68.3645,11.0,11.0,11.0,12.6981,20.883,14.5998,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5662,17.7929,37.7266,22.4572,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9564,20.1634
F:\projects\Omnilog_database\Irina YTF\raw data 2\yhjC R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_18B_31.OKA,5/17/2022 1:54:44 PM,18-B,PM03B,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,25.7248,15.2057,11.0,11.7712,14.9641,11.8638,17.5913,15.5659,11.7226,14.3364,13.6927,25.044,18.5825,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9612,11.3151,16.8163,13.834,11.0,11.0,11.0,15.2832,11.0,11.0,12.9886,11.0,11.0,12.3331,12.822,14.9028,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3438,16.7428,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2761,21.9961,14.6588,11.0,11.0,13.9198,11.0,11.0,66.823,11.0,11.0,11.0,16.5584,22.5806,11.6917,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.5588,41.0154,24.3184,11.0,11.0,11.0,11.0,11.0,14.131,11.0,11.0,11.0,18.749
