Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,19.1601,13.6686,16.2367,11.0,11.0,11.0,11.0,13.1904,13.8618,15.7503,22.9371,33.6751,16.2337,11.2382,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9023,18.2543,12.0111,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7187,12.2546,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4092,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.1805,13.5625,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.4536,13.4518,11.0,25.848,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9882,13.3061,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8717,18.6271
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,20.6146,14.0737,15.0656,11.0,11.0,11.6877,11.0,13.0335,11.0,13.0393,21.5644,25.2153,15.4946,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7349,13.6669,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3666,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0494,14.7629,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0725,11.7241,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8018,16.86,11.0,24.2607,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0881,12.4922,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7353
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,27.55,19.5359,17.3135,11.4355,13.6753,11.0,16.3168,11.3457,15.7862,12.246,20.2019,31.767,17.3598,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0997,11.0,15.3993,19.9088,15.1747,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9919,12.7195,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3679,18.4998,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.2794,14.2405,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.2989,17.3717,11.0,31.8779,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.3385,15.077,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1896,20.8489
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,21.2868,18.4017,18.3181,12.9504,11.0,13.3329,13.646,11.441,15.6696,14.8274,22.1223,34.7805,18.1117,11.0,11.0,11.0,11.0,11.4168,11.0,11.0,11.0,11.0,11.0,18.4972,19.4108,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4566,11.0,11.0,16.0832,14.3225,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7218,17.4621,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.8349,14.823,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2508,21.1606,14.9881,11.0,27.9924,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0012,14.6391,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0062,22.4549
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,20.725,18.8692,21.1841,13.5722,13.491,11.0,11.8853,11.0,13.2585,19.1645,22.5395,32.7633,17.2023,11.0,11.0,11.0,11.0312,11.0,11.0,11.0,17.0786,11.0,11.0,21.2489,11.3497,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8593,15.8113,15.2203,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4969,19.4065,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.3073,16.4189,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.7237,16.3746,11.0,29.7105,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6339,23.0652,14.7627,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5451,20.3834
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,24.4718,18.3997,17.0654,11.7806,13.4649,11.0,11.0,11.0,11.0632,13.0198,24.0526,31.4119,16.4211,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6823,11.0,13.6795,21.6841,14.2245,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9343,14.9655,16.7263,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4865,17.4204,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.3014,14.353,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.9545,16.1239,11.0,27.0114,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2705,16.6298,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5786,21.2402
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,23.6787,20.3488,21.9543,11.4054,11.0,11.0,11.0,11.0,12.9712,16.3886,20.116,29.7917,18.6168,14.5381,11.0,11.0,11.0,11.0,11.0,11.0,16.2239,11.0,14.8668,19.8424,15.2098,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4638,15.2821,15.8693,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9833,21.3052,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.1743,13.4639,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4914,17.0532,11.0,27.4701,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.3129,16.9213,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5111,20.6452
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,24.1376,20.7883,21.3104,13.7333,12.9633,15.9648,11.0,14.5894,15.9448,17.0833,22.2736,32.5389,17.5642,11.0,11.0,11.0,11.1562,11.4494,11.0,11.0,12.6606,11.0,16.9368,17.2379,15.8588,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6182,15.9321,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0945,18.7126,21.2815,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.3169,12.2341,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.2936,19.7194,11.0,29.538,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0557,18.2859,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7975,18.3467
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,20.7586,19.6471,16.6533,13.0814,13.6454,13.6229,11.0,12.1019,15.0661,15.8593,20.2419,33.3247,14.9396,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7123,11.0,16.437,16.2693,12.7127,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6465,12.9205,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6676,23.5485,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.7285,15.6192,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.595,21.1651,16.4015,11.0,23.8759,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4149,12.7764,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9596,24.3969
F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13B_17.OKA,5/10/2022 1:15:07 PM,13-B,PM07,yhjC,"20    IF0a+Sodium Succinate/Ferric Citrate
21    IF0a+Sodium Succinate/Ferric Citrate
22    IF0a+Sodium Succinate/Ferric Citrate
23    IF0a+Sodium Succinate/Ferric Citrate
52    IF0a+Sodium Succinate/Ferric Citrate
53    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,22.3786,20.565,18.3265,13.6995,11.1564,11.0,11.0,15.1137,14.9311,20.5836,21.4845,29.2364,21.5582,11.0,11.0,11.0,11.2171,11.9628,11.0,12.8063,15.8085,11.0,14.0254,21.3123,13.8575,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8605,15.9542,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4417,32.1711,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.6441,14.8583,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.1481,19.1617,11.0,22.2158,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5487,18.2949,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4268,20.122
