Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,14.259,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5272,39.3252,18.1621,11.0,45.3128,11.0,200.4318,11.0,11.0,11.0,159.9393,11.0,53.7769,44.0653,22.2169,11.4718,11.0,11.0,11.0,11.0,11.0,12.0548,11.0,11.9719,11.0,36.5814,14.0533,11.0,11.0,15.3245,11.0,78.295,11.0,11.0,11.0,17.0833,11.0,20.2861,23.3166,11.0,11.0,11.0,48.3985,11.0,11.0,11.0,11.3707,11.0,14.6511,144.8499,22.7144,13.5006,11.0,11.0,12.9213,11.0,11.0,11.0,54.13,11.0,17.6131,19.2411,20.8808,13.4278,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7045,18.6437,26.8407,21.9315,21.9398,17.4638,17.7112,14.8551,15.4324,12.062,12.8305,161.5604,20.4459,38.4049,28.0319
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,16.3627,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7989,43.5316,19.1526,11.0,47.384,11.0,208.094,11.0,11.0,11.0,157.0571,11.0,57.565,41.6612,16.5248,12.2496,11.0,11.0,11.0,11.0,11.0,18.3984,11.0,11.0,11.9202,37.7335,14.5361,11.0,11.0,16.1861,11.0,76.6453,11.0,11.0,11.0,20.3096,12.4386,14.9165,20.9666,11.0,11.0,11.0,46.9415,11.0,11.0,11.0,11.0,11.0,12.271,151.1064,18.769,11.0,11.0,11.0,11.0,11.4502,11.0,11.0,54.0348,11.0,22.4077,21.7253,23.0388,14.3501,13.9313,11.2288,15.0859,13.9469,13.2322,11.0968,12.4717,17.8023,20.0987,28.6827,28.2577,25.0599,21.5152,17.6037,14.8973,11.8556,15.4881,17.6798,161.6848,22.1928,38.3657,29.8637
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,16.9701,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7551,46.8485,17.1006,11.0,43.1851,11.0,200.0401,11.0,11.0,11.0,157.8683,11.0,55.9785,45.5809,20.924,12.1894,11.0,11.0,11.0,11.0,11.0,13.8612,11.0,11.0,13.4289,37.9458,19.7085,11.0,11.0,17.567,11.0,75.7215,11.0,11.0,11.0,26.9201,11.0,21.6875,21.1761,11.0,11.0,11.0,52.3322,11.0,11.0,11.0,11.0,11.0,14.4501,148.9907,22.1309,11.096,11.0,11.0,11.0,11.0,11.0,11.0,58.1451,11.0,17.0104,24.3183,23.3962,13.2606,11.9817,11.0,12.842,11.9401,11.0,11.0,11.0,11.6851,21.389,26.7192,25.6232,20.3541,19.4503,14.5124,18.6057,13.0376,20.1867,16.8372,164.7749,24.9792,35.6713,27.2226
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,15.0464,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2393,45.6432,17.1142,11.0,46.2523,11.0,201.5587,11.0,11.0,11.0,156.3547,11.0,52.0607,40.9803,17.8477,11.804,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9591,36.9982,13.5167,11.0,11.0,13.0197,11.0,78.2034,11.0,11.0,11.0,23.5402,11.0,22.8407,19.522,11.0,11.0,11.0,58.0525,11.0,11.0,11.0,11.5668,11.0,12.0484,147.1301,20.9636,12.9205,15.3329,11.0,11.0,11.0,11.0,11.0,55.4525,11.0,15.2201,19.899,20.135,11.0,11.5857,11.0,11.0,11.0,11.0,11.0,11.0962,13.4401,18.0833,26.9504,23.5707,20.3468,14.2227,15.8961,17.2556,15.0181,14.6905,15.5376,162.4612,21.7212,35.6039,28.4467
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,12.8351,11.0,11.0,11.0,11.0,22.2158,11.0,11.0,11.0,11.0,12.1348,50.7196,15.0425,13.5553,48.1121,11.0,205.4839,11.0,11.0,11.0,160.0869,11.0,55.1085,40.355,23.6642,14.1382,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,37.297,18.2378,11.0,11.0,13.4013,11.0,76.4552,11.0,11.0,11.0,28.8457,11.0,22.4965,22.423,11.0,11.0,11.0,64.9215,11.0,11.0,11.0,11.0,11.0,12.5534,149.461,22.7527,11.0,15.5669,11.8976,17.8604,11.0,11.0,11.0,58.0645,11.35,19.375,23.9532,23.3673,11.0,11.6505,11.0,11.0,12.0026,11.5149,11.0,11.0,12.3662,17.6968,24.4523,32.5383,23.528,19.7752,17.8005,18.5104,16.6084,11.7821,18.2961,163.0663,25.9157,32.338,30.0351
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,13.6058,11.0,11.0,11.0,11.0,35.6818,11.0,11.0,11.0,11.0,12.4464,58.7871,16.5751,18.3553,46.9907,11.0,199.4754,11.0,11.0,11.0,155.4285,11.0,56.0419,42.4952,18.5193,11.61,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4019,43.7018,19.0189,11.0,11.0,13.1205,11.0,78.786,11.0,11.0,11.0,29.2921,11.0,19.1737,21.9015,11.0,11.0,11.0,73.8195,11.0,11.0,11.0,11.0,11.0,13.9738,147.3041,23.7441,11.0,12.835,11.0,11.0,11.0,11.0,11.0,51.3886,11.0,15.9275,19.7041,22.1517,11.0,11.3927,11.6201,15.1005,15.0596,11.0,12.6077,11.0,13.6438,14.5642,27.645,26.353,20.9029,22.8563,15.8615,19.7781,11.4928,12.1445,17.7393,162.1638,21.8001,35.8287,29.9764
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,13.9862,11.0,11.0,11.0,11.0,46.2471,11.0,11.0,11.0,11.0,12.639,64.6771,19.9447,21.9826,45.2707,11.0,205.1699,11.0,11.0,11.0,157.6699,11.0,56.6177,41.5267,23.6443,13.0808,11.0,11.0,11.0,11.0,11.0,12.8311,11.0,12.5961,13.3296,48.0824,20.3883,11.0,11.0,13.3161,11.0,76.5635,13.8141,11.0,11.0,31.5317,11.0,21.7794,20.4403,11.0,11.0,11.0,81.041,11.0,11.0,11.0,11.0,11.0,12.5524,145.0484,25.7574,12.3414,23.0677,11.0,13.1658,11.0,11.0,11.0,50.2264,11.0,19.2339,24.5791,26.0316,11.0,12.3317,11.6507,14.4455,11.0,11.0,11.3221,11.0,13.7916,17.3865,26.6465,25.0254,20.794,21.4951,17.1372,19.3196,11.6218,13.8211,19.7951,164.3425,20.4452,33.8565,31.7065
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,16.4257,11.0,11.0,11.0,11.0,61.7977,11.0,11.0,11.0,11.4156,17.8878,68.6188,19.2454,33.7956,46.9683,11.0,202.008,11.0,11.0,11.0,158.9386,11.0,57.5956,46.6501,23.1527,15.397,11.0,11.0,11.0,11.0,11.0,16.1971,11.0,13.5262,12.8586,56.5946,18.1341,11.0,13.6026,16.1825,11.0,82.5776,21.1934,11.0,11.0,29.7845,11.3513,22.3387,22.1017,11.5101,11.0,11.0,87.507,11.0,11.0,11.0,11.0,11.0,11.191,145.6519,31.1211,13.6296,33.9713,11.3222,14.3705,11.0,11.0,11.0,54.7794,13.9714,17.3799,24.3642,24.3716,11.0,11.0,14.5181,11.3169,11.0,11.0,11.0,11.0,14.4743,22.7492,27.5808,28.1917,23.6404,23.4356,18.6971,21.3442,12.3151,13.6489,18.6868,159.4533,22.6142,38.8324,33.0466
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,14.7472,11.0,11.0,12.0982,11.0,69.8412,11.4777,14.1869,11.7045,11.6409,16.2109,76.7223,21.1907,41.5401,50.0011,11.0,199.688,11.0,11.0,11.0,158.3312,11.0,55.9459,47.2348,26.2314,15.8517,13.2173,11.0,11.0,11.0,11.0,20.2133,11.0,14.4909,13.6797,63.6444,20.7109,11.0,11.0,18.6252,11.0,80.8097,29.8271,11.0,11.0,35.6705,13.3625,24.8179,23.2879,11.0,13.7506,11.0,93.4513,11.0,11.0,11.0,11.0,11.0,14.4922,150.287,35.8452,20.3368,42.9184,11.0,12.7946,13.1202,12.1532,11.0,57.1125,18.9743,18.0445,25.905,25.9217,14.4817,13.4977,12.2387,14.663,15.1108,11.3249,17.5246,13.6874,15.1654,21.214,26.3783,29.5615,26.8918,23.0965,16.4762,21.1499,18.8499,15.5446,24.7569,160.6405,31.3614,36.2501,35.3318
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6A_6.OKA,5/17/2022 1:54:44 PM, 6-A,PM02A,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,14.6541,11.0,15.3168,11.5672,11.0,77.8674,11.0,15.9404,11.0,15.2222,16.8365,80.2781,19.9957,48.1435,47.0893,11.0,206.5269,11.0,11.0,11.0,160.6119,11.3161,56.6359,43.7303,27.4175,14.0594,20.3716,13.7865,11.0,11.0,11.0,18.1194,11.0,11.0,13.4253,71.4447,21.4162,11.0,13.9436,16.3069,11.0,79.389,35.3277,11.0,11.0,34.4685,11.0,22.4362,20.7575,19.2044,11.0,11.0,96.4046,11.0,11.0,11.0,16.1095,13.7876,11.0,147.0896,43.5775,25.8042,49.3238,11.0,15.2151,11.2904,11.0,11.0,53.8297,17.9578,20.5365,26.8611,26.2115,20.1696,16.9712,14.6829,14.1287,18.6463,11.0,15.0394,13.1508,18.0157,21.9692,33.292,30.9239,28.2815,26.9532,19.2852,19.3976,12.3427,14.1763,21.5592,161.094,24.9317,41.8879,36.8405
